date,데이터라벨링부업
2023-12-20,26.66666
2023-12-21,33.33333
2023-12-22,34.0
2023-12-23,18.66666
2023-12-24,15.33333
2023-12-25,15.33333
2023-12-26,32.0
2023-12-27,42.66666
2023-12-28,21.33333
2023-12-29,30.0
2023-12-30,8.0
2023-12-31,8.66666
2024-01-01,26.0
2024-01-02,24.0
2024-01-03,44.0
2024-01-04,54.0
2024-01-05,25.33333
2024-01-06,16.66666
2024-01-07,21.33333
2024-01-08,22.66666
2024-01-09,28.66666
2024-01-10,22.66666
2024-01-11,31.33333
2024-01-12,20.0
2024-01-13,18.0
2024-01-14,18.0
2024-01-15,24.0
2024-01-16,27.33333
2024-01-17,18.66666
2024-01-18,24.0
2024-01-19,19.33333
2024-01-20,14.66666
2024-01-21,92.0
2024-01-22,32.66666
2024-01-23,24.66666
2024-01-24,30.66666
2024-01-25,28.0
2024-01-26,18.0
2024-01-27,9.33333
2024-01-28,14.66666
2024-01-29,24.0
2024-01-30,18.0
2024-01-31,14.0
2024-02-01,18.0
2024-02-02,12.0
2024-02-03,8.66666
2024-02-04,11.33333
2024-02-05,14.0
2024-02-06,14.66666
2024-02-07,16.0
2024-02-08,16.66666
2024-02-09,11.33333
2024-02-10,8.66666
2024-02-11,6.66666
2024-02-12,6.0
2024-02-13,20.66666
2024-02-14,18.0
2024-02-15,20.0
2024-02-16,10.66666
2024-02-17,16.0
2024-02-18,18.0
2024-02-19,100.0
2024-02-20,34.0
2024-02-21,18.66666
2024-02-22,12.66666
2024-02-23,24.0
2024-02-24,14.0
2024-02-25,18.66666
2024-02-26,26.0
2024-02-27,20.0
2024-02-28,22.0
2024-02-29,13.33333
2024-03-01,6.66666
2024-03-02,14.0
2024-03-03,22.66666
2024-03-04,20.66666
2024-03-05,28.0
2024-03-06,38.66666
2024-03-07,20.0
2024-03-08,16.66666
2024-03-09,4.66666
2024-03-10,11.33333
2024-03-11,33.33333
2024-03-12,24.0
2024-03-13,17.33333
2024-03-14,10.66666
2024-03-15,14.0
2024-03-16,11.33333
2024-03-17,8.66666
2024-03-18,8.66666
2024-03-19,22.66666
2024-03-20,15.33333
