date,세이코인
2024-02-28,10.74574
2024-02-29,13.54517
2024-03-01,9.25148
2024-03-02,8.42595
2024-03-03,7.76645
2024-03-04,13.60051
2024-03-05,14.54595
2024-03-06,12.05091
2024-03-07,10.62583
2024-03-08,15.9203
2024-03-09,11.24383
2024-03-10,9.33911
2024-03-11,11.30378
2024-03-12,11.48365
2024-03-13,12.21694
2024-03-14,9.93404
2024-03-15,12.37836
2024-03-16,23.5899
2024-03-17,14.58285
2024-03-18,12.45215
2024-03-19,11.49748
2024-03-20,9.79569
