date,실비보험
2021-03-07,7.80345
2021-03-08,15.15807
2021-03-09,15.37068
2021-03-10,15.17382
2021-03-11,15.91007
2021-03-12,13.24067
2021-03-13,7.81526
2021-03-14,7.01208
2021-03-15,14.88641
2021-03-16,15.49273
2021-03-17,14.98877
2021-03-18,14.77223
2021-03-19,13.87849
2021-03-20,10.09882
2021-03-21,8.24048
2021-03-22,15.50454
2021-03-23,15.67778
2021-03-24,16.40222
2021-03-25,15.31556
2021-03-26,12.55954
2021-03-27,8.84286
2021-03-28,7.87826
2021-03-29,15.79589
2021-03-30,15.70927
2021-03-31,15.62659
2021-04-01,11.66975
2021-04-02,10.72483
2021-04-03,6.78766
2021-04-04,6.2719
2021-04-05,12.95326
2021-04-06,12.86664
2021-04-07,11.25634
2021-04-08,11.54769
2021-04-09,10.20118
2021-04-10,5.92543
2021-04-11,5.56714
2021-04-12,12.59104
2021-04-13,12.84302
2021-04-14,12.406
2021-04-15,11.91385
2021-04-16,10.72089
2021-04-17,6.44907
2021-04-18,5.91755
2021-04-19,11.65793
2021-04-20,11.88629
2021-04-21,12.47686
2021-04-22,11.13429
2021-04-23,11.17366
2021-04-24,5.8703
2021-04-25,5.36635
2021-04-26,13.58321
2021-04-27,13.76825
2021-04-28,12.42174
2021-04-29,10.96893
2021-04-30,10.07519
2021-05-01,6.03567
2021-05-02,6.42938
2021-05-03,11.28784
2021-05-04,10.66971
2021-05-05,8.61844
2021-05-06,18.46135
2021-05-07,15.48092
2021-05-08,8.91373
2021-05-09,7.268
2021-05-10,13.60683
2021-05-11,14.86278
2021-05-12,13.85487
2021-05-13,13.3391
2021-05-14,11.53588
2021-05-15,6.62624
2021-05-16,6.56325
2021-05-17,14.01629
2021-05-18,12.83121
2021-05-19,6.96484
2021-05-20,12.73672
2021-05-21,14.45726
2021-05-22,9.37832
2021-05-23,6.92153
2021-05-24,13.90605
2021-05-25,14.91003
2021-05-26,14.29977
2021-05-27,17.60699
2021-05-28,14.08716
2021-05-29,8.54364
2021-05-30,8.96885
2021-05-31,17.04791
2021-06-01,15.40611
2021-06-02,14.13441
