date,김프
2021-06-29,7.19533
2021-06-30,6.15848
2021-07-01,6.81424
2021-07-02,4.37659
2021-07-03,3.42643
2021-07-04,3.48651
2021-07-05,4.56457
2021-07-06,3.74572
2021-07-07,3.71139
2021-07-08,4.59547
2021-07-09,4.01438
2021-07-10,2.8153
2021-07-11,2.31747
2021-07-12,2.99555
2021-07-13,3.15606
2021-07-14,3.71483
2021-07-15,3.08739
2021-07-16,3.51312
2021-07-17,2.51746
2021-07-18,2.36296
2021-07-19,3.10284
2021-07-20,4.76627
2021-07-21,3.36635
2021-07-22,3.39896
2021-07-23,2.83247
2021-07-24,3.35175
2021-07-25,3.07366
2021-07-26,7.40991
2021-07-27,5.82974
2021-07-28,6.07093
2021-07-29,4.07532
2021-07-30,4.24098
2021-07-31,4.17317
2021-08-01,3.97318
2021-08-02,3.94657
2021-08-03,3.532
2021-08-04,3.34489
2021-08-05,3.60067
2021-08-06,3.29854
2021-08-07,5.90441
2021-08-08,5.96964
2021-08-09,5.38083
2021-08-10,5.19458
2021-08-11,6.89578
2021-08-12,8.35493
2021-08-13,7.00822
2021-08-14,7.6305
2021-08-15,6.24431
2021-08-16,6.3413
2021-08-17,7.3052
2021-08-18,6.53185
2021-08-19,4.76541
2021-08-20,5.73017
2021-08-21,5.69584
2021-08-22,4.17832
2021-08-23,6.66403
2021-08-24,5.69756
2021-08-25,6.03059
2021-08-26,5.36538
2021-08-27,4.67701
2021-08-28,4.1045
2021-08-29,4.80146
2021-08-30,4.51393
2021-08-31,4.54311
2021-09-01,4.43496
2021-09-02,5.24608
2021-09-03,4.9079
2021-09-04,5.1714
2021-09-05,4.62465
2021-09-06,6.65459
2021-09-07,7.65711
2021-09-08,18.3527
2021-09-09,7.09148
2021-09-10,7.22194
2021-09-11,7.15585
2021-09-12,4.97828
2021-09-13,7.46828
2021-09-14,5.03321
2021-09-15,4.3105
2021-09-16,4.15085
2021-09-17,5.49499
2021-09-18,4.63838
2021-09-19,3.07881
2021-09-20,9.48019
2021-09-21,9.83983
2021-09-22,9.03987
2021-09-23,7.56441
2021-09-24,7.70346
2021-09-25,4.8358
2021-09-26,5.11304
2021-09-27,4.5165
2021-09-28,4.68559
2021-09-29,4.67529
2021-09-30,4.75941
2021-10-01,5.0581
2021-10-02,4.42208
2021-10-03,3.61955
2021-10-04,4.19034
2021-10-05,6.16706
2021-10-06,7.12667
2021-10-07,5.31903
2021-10-08,4.41865
2021-10-09,3.79293
2021-10-10,4.08305
2021-10-11,5.16969
2021-10-12,6.19538
2021-10-13,5.22805
2021-10-14,3.62127
