date,보험비교
2021-02-05,17.52305
2021-02-06,9.94729
2021-02-07,9.55204
2021-02-08,19.43346
2021-02-09,17.32542
2021-02-10,12.91172
2021-02-11,6.0606
2021-02-12,7.31225
2021-02-13,7.83926
2021-02-14,12.84584
2021-02-15,22.66139
2021-02-16,21.93675
2021-02-17,21.93675
2021-02-18,18.37944
2021-02-19,19.89459
2021-02-20,9.68379
2021-02-21,8.69565
2021-02-22,17.19367
2021-02-23,22.26613
2021-02-24,16.20553
2021-02-25,18.31357
2021-02-26,14.82213
2021-02-27,7.04874
2021-02-28,11.33069
2021-03-01,12.12121
2021-03-02,19.49934
2021-03-03,17.78656
2021-03-04,19.36758
2021-03-05,14.55862
2021-03-06,8.30039
2021-03-07,9.42028
2021-03-08,17.52305
2021-03-09,17.06192
2021-03-10,18.44532
2021-03-11,18.90645
2021-03-12,18.05006
2021-03-13,7.83926
2021-03-14,9.35441
2021-03-15,17.58893
2021-03-16,21.34387
2021-03-17,20.48748
2021-03-18,19.30171
2021-03-19,15.94202
2021-03-20,11.8577
2021-03-21,12.12121
2021-03-22,21.67325
2021-03-23,23.25428
2021-03-24,19.82872
2021-03-25,18.44532
2021-03-26,18.37944
2021-03-27,8.43214
2021-03-28,10.01317
2021-03-29,22.00263
2021-03-30,22.00263
2021-03-31,18.51119
2021-04-01,16.86429
2021-04-02,14.09749
2021-04-03,7.57575
2021-04-04,9.02503
2021-04-05,16.99604
2021-04-06,17.06192
2021-04-07,15.81027
2021-04-08,15.94202
2021-04-09,15.48089
2021-04-10,6.32411
2021-04-11,6.71936
2021-04-12,18.24769
2021-04-13,19.10408
2021-04-14,16.99604
2021-04-15,15.81027
2021-04-16,14.88801
2021-04-17,7.57575
2021-04-18,8.23451
2021-04-19,18.90645
2021-04-20,16.13965
2021-04-21,16.33728
2021-04-22,15.48089
2021-04-23,12.05533
2021-04-24,5.40184
2021-04-25,6.65349
2021-04-26,14.6245
2021-04-27,14.03162
2021-04-28,14.03162
2021-04-29,13.30698
2021-04-30,12.84584
2021-05-01,6.19235
2021-05-02,5.40184
2021-05-03,13.70223
2021-05-04,13.17523
2021-05-05,7.11462
2021-05-06,13.10935
2021-05-07,12.64822
2021-05-08,6.98287
2021-05-09,9.28853
2021-05-10,15.08563
2021-05-11,16.40316
2021-05-12,15.08563
2021-05-13,13.83399
2021-05-14,13.70223
2021-05-15,7.50988
2021-05-16,7.97101
2021-05-17,14.88801
2021-05-18,14.49275
2021-05-19,6.71936
2021-05-20,17.52305
2021-05-21,14.55862
2021-05-22,6.78524
2021-05-23,6.58761
2021-05-24,16.07378
2021-05-25,17.12779
2021-05-26,17.12779
2021-05-27,20.02635
2021-05-28,15.15151
2021-05-29,7.90513
2021-05-30,8.30039
2021-05-31,16.07378
2021-06-01,16.73254
2021-06-02,15.34914
2021-06-03,14.6245
2021-06-04,13.83399
2021-06-05,6.91699
2021-06-06,7.04874
2021-06-07,14.42687
2021-06-08,17.6548
2021-06-09,17.06192
2021-06-10,20.55335
2021-06-11,17.19367
2021-06-12,6.85111
2021-06-13,9.22266
2021-06-14,19.30171
2021-06-15,19.10408
2021-06-16,18.64295
2021-06-17,16.66666
2021-06-18,15.34914
2021-06-19,7.83926
2021-06-20,10.01317
2021-06-21,19.56521
2021-06-22,22.85902
2021-06-23,24.76943
2021-06-24,22.06851
2021-06-25,20.94861
2021-06-26,9.55204
2021-06-27,11.19894
2021-06-28,26.87747
2021-06-29,26.02108
2021-06-30,30.43478
2021-07-01,13.2411
2021-07-02,10.93544
2021-07-03,6.12648
2021-07-04,6.0606
2021-07-05,12.91172
2021-07-06,12.18708
2021-07-07,15.01976
2021-07-08,11.26482
2021-07-09,10.86956
2021-07-10,6.38998
2021-07-11,5.33596
2021-07-12,14.29512
2021-07-13,14.75625
2021-07-14,12.77997
2021-07-15,12.18708
2021-07-16,12.31884
2021-07-17,6.0606
2021-07-18,5.86297
2021-07-19,13.96574
2021-07-20,12.77997
2021-07-21,13.83399
2021-07-22,11.26482
2021-07-23,10.07905
2021-07-24,6.65349
2021-07-25,5.92885
2021-07-26,13.37285
2021-07-27,12.31884
2021-07-28,12.77997
2021-07-29,13.17523
2021-07-30,11.06719
2021-07-31,6.65349
2021-08-01,5.92885
2021-08-02,11.79183
2021-08-03,11.33069
2021-08-04,12.05533
2021-08-05,13.37285
2021-08-06,13.37285
2021-08-07,7.04874
2021-08-08,8.23451
2021-08-09,16.73254
2021-08-10,17.25955
2021-08-11,15.94202
2021-08-12,14.361
2021-08-13,13.10935
2021-08-14,7.31225
2021-08-15,6.12648
2021-08-16,9.35441
2021-08-17,14.95388
2021-08-18,16.07378
2021-08-19,14.88801
2021-08-20,13.63636
2021-08-21,8.10276
2021-08-22,8.8274
2021-08-23,18.57707
2021-08-24,15.81027
2021-08-25,13.57048
2021-08-26,15.81027
2021-08-27,13.63636
2021-08-28,8.23451
2021-08-29,7.37812
2021-08-30,15.87615
2021-08-31,14.16337
2021-09-01,13.63636
2021-09-02,13.76811
2021-09-03,10.27667
2021-09-04,5.13833
2021-09-05,7.7075
2021-09-06,12.91172
2021-09-07,12.91172
2021-09-08,15.7444
2021-09-09,13.37285
2021-09-10,11.98945
2021-09-11,7.7075
2021-09-12,7.7075
2021-09-13,14.88801
2021-09-14,16.20553
2021-09-15,13.96574
2021-09-16,13.30698
2021-09-17,11.46245
2021-09-18,5.40184
2021-09-19,4.54545
2021-09-20,4.4137
2021-09-21,5.53359
2021-09-22,7.64163
2021-09-23,17.91831
2021-09-24,15.67852
2021-09-25,8.76152
2021-09-26,9.42028
2021-09-27,14.22924
2021-09-28,16.73254
2021-09-29,17.85243
2021-09-30,15.48089
2021-10-01,11.52832
2021-10-02,6.12648
2021-10-03,6.91699
2021-10-04,8.30039
2021-10-05,13.63636
2021-10-06,15.08563
2021-10-07,14.82213
2021-10-08,13.10935
2021-10-09,6.58761
2021-10-10,5.27009
2021-10-11,7.83926
2021-10-12,13.83399
2021-10-13,13.43873
2021-10-14,14.82213
2021-10-15,12.64822
2021-10-16,7.11462
2021-10-17,6.32411
2021-10-18,14.82213
2021-10-19,13.63636
2021-10-20,12.18708
2021-10-21,13.43873
2021-10-22,11.66007
2021-10-23,7.64163
2021-10-24,6.25823
2021-10-25,13.37285
2021-10-26,14.16337
2021-10-27,14.29512
2021-10-28,13.30698
2021-10-29,12.77997
2021-10-30,5.86297
2021-10-31,7.50988
2021-11-01,15.01976
2021-11-02,13.43873
2021-11-03,14.6245
2021-11-04,12.05533
2021-11-05,9.28853
2021-11-06,5.33596
2021-11-07,4.01844
2021-11-08,11.66007
2021-11-09,13.70223
2021-11-10,12.9776
2021-11-11,12.12121
2021-11-12,12.38471
2021-11-13,6.85111
2021-11-14,6.0606
2021-11-15,15.34914
2021-11-16,14.03162
2021-11-17,13.2411
2021-11-18,11.98945
2021-11-19,8.89328
2021-11-20,4.94071
2021-11-21,6.32411
2021-11-22,15.21739
2021-11-23,11.5942
2021-11-24,14.09749
2021-11-25,12.31884
2021-11-26,10.86956
2021-11-27,5.86297
2021-11-28,6.78524
2021-11-29,11.72595
2021-11-30,14.69038
2021-12-01,12.38471
2021-12-02,12.58234
2021-12-03,10.54018
2021-12-04,5.59947
2021-12-05,5.40184
2021-12-06,13.37285
2021-12-07,12.58234
2021-12-08,12.38471
2021-12-09,15.08563
2021-12-10,11.66007
2021-12-11,6.38998
2021-12-12,7.24637
2021-12-13,13.04347
2021-12-14,12.64822
2021-12-15,12.12121
2021-12-16,14.69038
2021-12-17,11.5942
2021-12-18,5.73122
2021-12-19,8.03689
2021-12-20,16.60079
2021-12-21,13.96574
2021-12-22,14.03162
2021-12-23,14.49275
2021-12-24,10.54018
2021-12-25,5.7971
