date,삼화전자주가
2022-09-07,0.0592
2022-09-08,0.08074
2022-09-12,0.05382
2022-09-13,0.12918
2022-09-14,0.11303
2022-09-15,0.11303
2022-09-16,0.11841
2022-09-19,0.16148
2022-09-20,0.24222
2022-09-21,0.12918
2022-09-22,0.18301
2022-09-23,0.19916
2022-09-26,0.31219
2022-09-27,0.26375
2022-09-28,0.19377
2022-09-29,0.17762
2022-09-30,0.18839
2022-10-04,0.15609
2022-10-05,0.15071
2022-10-06,0.16148
2022-10-07,0.22607
2022-10-11,0.12918
2022-10-12,0.20992
2022-10-13,0.30143
2022-10-14,0.27451
2022-10-15,0.04306
2022-10-17,0.40908
2022-10-18,0.34987
2022-10-19,0.29066
2022-10-20,0.26913
2022-10-21,0.19377
2022-10-24,0.15609
2022-10-25,0.17224
2022-10-26,0.16686
2022-10-27,0.1238
2022-10-28,0.20992
2022-10-31,0.1238
2022-11-01,0.11841
2022-11-02,0.14533
2022-11-03,0.1238
2022-11-04,0.1238
2022-11-07,0.12918
2022-11-08,0.11303
2022-11-09,0.13995
2022-11-10,0.11841
2022-11-11,0.19916
2022-11-14,0.48444
2022-11-15,1.23802
2022-11-16,0.38217
2022-11-17,0.22607
2022-11-18,0.15071
2022-11-21,0.14533
2022-11-22,0.11303
2022-11-23,0.16686
2022-11-24,0.15071
2022-11-25,0.10765
2022-11-28,0.1238
2022-11-29,0.09688
2022-11-30,0.08074
2022-12-01,0.10765
2022-12-02,0.13995
2022-12-05,0.07535
2022-12-06,0.11303
2022-12-07,0.08612
2022-12-08,0.1238
2022-12-09,0.13456
2022-12-12,0.06997
2022-12-13,0.11303
2022-12-14,0.07535
2022-12-15,0.05382
2022-12-16,0.08074
2022-12-19,0.08074
2022-12-20,0.09688
2022-12-21,0.03767
2022-12-22,0.06459
2022-12-23,0.05382
2022-12-26,0.04306
2022-12-27,0.0915
2022-12-28,0.0915
2022-12-29,0.11841
2022-12-30,0.03229
2023-01-02,0.08612
2023-01-03,0.33372
2023-01-04,0.22069
2023-01-05,0.10765
2023-01-06,0.13995
2023-01-09,0.10227
2023-01-10,0.13456
2023-01-11,0.10765
2023-01-12,0.10227
2023-01-13,0.10765
2023-01-16,0.1238
2023-01-17,0.08074
2023-01-18,0.08074
2023-01-19,0.06997
2023-01-20,0.06997
2023-01-25,0.63515
2023-01-26,0.2476
2023-01-27,0.13995
2023-01-30,0.2476
2023-01-31,0.17224
2023-02-01,0.25298
2023-02-02,0.24222
2023-02-03,0.23145
2023-02-04,0.02691
2023-02-06,0.15609
2023-02-07,0.23683
2023-02-08,0.23145
2023-02-09,0.22607
2023-02-10,0.15609
2023-02-11,0.04844
2023-02-13,0.13456
2023-02-14,0.18839
2023-02-15,0.25837
2023-02-16,0.15609
2023-02-17,0.24222
2023-02-18,0.03767
2023-02-19,0.03229
2023-02-20,0.22069
2023-02-21,0.24222
2023-02-22,0.23145
2023-02-23,0.2153
2023-02-24,0.13995
2023-02-25,0.02691
2023-02-26,0.04306
2023-02-27,0.10765
2023-02-28,0.13456
2023-03-02,0.11841
2023-03-03,0.13995
2023-03-06,0.10227
2023-03-07,0.17224
2023-03-08,0.18301
2023-03-09,0.15071
2023-03-10,0.17762
2023-03-13,0.08074
2023-03-14,0.08074
2023-03-15,0.06459
2023-03-16,0.10227
2023-03-17,0.14533
2023-03-18,0.02691
2023-03-20,0.02691
2023-03-21,0.03229
2023-03-22,0.0592
2023-03-23,0.10227
2023-03-24,0.02691
2023-03-27,0.16148
2023-03-28,0.16686
2023-03-29,0.10227
2023-03-30,0.16148
2023-03-31,0.15609
2023-04-02,0.02691
2023-04-03,0.16148
2023-04-04,0.10227
2023-04-05,0.1238
2023-04-06,0.0915
2023-04-07,0.16686
2023-04-10,0.13456
2023-04-11,0.04306
2023-04-12,0.08612
2023-04-13,0.06997
2023-04-14,0.10765
2023-04-17,0.13456
2023-04-18,0.15071
2023-04-19,0.09688
2023-04-20,0.09688
2023-04-21,0.1238
2023-04-24,0.52212
2023-04-25,2.15308
2023-04-26,4.89288
2023-04-27,9.80191
2023-04-28,16.22349
2023-04-29,3.20809
2023-04-30,2.61599
2023-05-01,3.22424
2023-05-02,40.5641
2023-05-03,18.38733
2023-05-04,100.0
2023-05-05,16.57874
2023-05-06,7.78339
2023-05-07,5.63569
2023-05-08,44.74109
2023-05-09,24.24911
2023-05-10,14.63559
2023-05-11,12.26181
2023-05-12,10.09258
2023-05-13,1.28108
2023-05-14,1.17881
2023-05-15,12.28872
2023-05-16,10.9269
2023-05-17,10.42631
2023-05-18,44.10054
2023-05-19,22.28442
2023-05-20,2.75056
2023-05-21,2.01851
2023-05-22,13.69899
2023-05-23,11.63203
2023-05-24,8.75767
2023-05-25,8.26246
2023-05-26,34.78845
2023-05-27,3.63332
2023-05-28,2.57831
2023-05-29,2.9874
2023-05-30,13.21993
2023-05-31,12.24028
2023-06-01,12.64398
2023-06-02,10.27021
2023-06-03,1.26493
2023-06-04,1.41027
2023-06-05,10.81386
2023-06-06,2.17999
2023-06-07,12.33179
2023-06-08,8.65001
2023-06-09,7.09441
2023-06-10,1.06577
2023-06-11,0.95273
2023-06-12,6.26547
2023-06-13,6.79298
2023-06-14,7.6273
2023-06-15,5.7272
2023-06-16,5.59801
2023-06-17,0.69975
2023-06-18,0.62439
2023-06-19,5.5388
2023-06-20,5.31273
2023-06-21,4.95747
2023-06-22,4.86058
2023-06-23,6.95984
2023-06-24,1.01194
2023-06-25,0.69436
2023-06-26,4.91979
2023-06-27,4.06394
2023-06-28,4.37614
2023-06-29,3.99397
2023-06-30,4.18774
2023-07-01,0.53288
2023-07-02,0.33372
2023-07-03,4.00473
2023-07-04,8.95683
2023-07-05,8.0633
2023-07-06,7.06211
2023-07-07,7.37969
2023-07-08,0.72666
2023-07-09,0.8074
2023-07-10,5.30735
2023-07-11,21.83227
2023-07-12,20.92259
2023-07-13,12.7947
2023-07-14,9.31747
2023-07-15,1.18419
2023-07-16,0.9635
2023-07-17,7.22898
2023-07-18,6.35698
2023-07-19,6.22779
2023-07-20,5.47959
2023-07-21,6.18473
2023-07-22,0.78587
2023-07-23,0.6513
2023-07-24,6.09861
2023-07-25,6.10937
2023-07-26,5.25352
2023-07-27,5.47959
2023-07-28,5.50113
2023-07-29,0.54365
2023-07-30,0.50059
2023-07-31,4.62374
2023-08-01,4.37614
2023-08-02,5.81332
2023-08-03,5.2589
2023-08-04,4.31693
2023-08-05,0.67283
2023-08-06,0.44676
2023-08-07,4.47841
2023-08-08,4.28463
2023-08-09,3.86478
2023-08-10,3.68715
2023-08-11,3.5472
2023-08-12,0.41985
2023-08-13,0.35525
2023-08-14,3.41802
2023-08-15,0.58671
2023-08-16,2.82592
2023-08-17,3.2673
2023-08-18,2.71288
2023-08-19,0.44138
2023-08-20,0.41446
2023-08-21,3.25653
2023-08-22,2.96587
2023-08-23,2.65367
2023-08-24,2.58908
2023-08-25,2.34686
2023-08-26,0.28528
2023-08-27,0.23683
2023-08-28,3.18656
2023-08-29,2.68058
2023-08-30,2.77747
2023-08-31,2.36839
2023-09-01,2.03466
2023-09-02,0.2153
2023-09-03,0.2153
2023-09-04,2.23382
2023-09-05,2.29303
2023-09-06,1.91086
2023-09-07,1.85165
2023-09-08,1.46948
2023-09-09,0.31757
2023-09-10,0.33911
2023-09-11,2.34147
2023-09-12,2.28765
2023-09-13,1.67402
2023-09-14,1.74399
2023-09-15,1.65249
2023-09-16,0.29604
2023-09-17,0.23683
2023-09-18,1.59866
2023-09-19,1.4318
2023-09-20,1.85703
2023-09-21,1.78167
2023-09-22,1.51254
2023-09-23,0.17224
2023-09-24,0.17762
2023-09-25,1.44256
2023-09-26,1.60943
2023-09-27,2.28226
2023-09-28,0.2476
2023-09-29,0.16686
2023-09-30,0.19916
2023-10-01,0.16686
2023-10-02,0.30143
2023-10-03,0.25298
2023-10-04,1.78167
2023-10-05,1.44794
2023-10-06,1.35106
2023-10-07,0.16686
2023-10-08,0.11841
2023-10-09,0.1238
2023-10-10,1.44794
2023-10-11,1.42641
2023-10-12,1.67402
2023-10-13,1.21649
2023-10-14,0.11303
2023-10-15,0.11303
2023-10-16,1.30799
2023-10-17,1.60404
2023-10-18,5.96942
2023-10-19,3.87555
2023-10-20,2.15308
2023-10-21,0.20992
2023-10-22,0.22607
2023-10-23,3.36419
2023-10-24,2.90666
2023-10-25,1.95392
2023-10-26,1.9916
2023-10-27,1.68478
2023-10-28,0.18839
2023-10-29,0.18301
2023-10-30,2.04543
2023-10-31,1.73861
2023-11-01,1.84626
2023-11-02,2.19076
2023-11-03,1.81935
2023-11-04,0.22607
2023-11-05,0.22607
2023-11-06,2.65367
2023-11-07,2.07772
2023-11-08,7.67574
2023-11-09,3.49337
2023-11-10,2.40607
2023-11-11,0.29066
2023-11-12,0.26913
2023-11-13,2.77209
2023-11-14,2.76671
2023-11-15,4.03703
2023-11-16,2.6752
2023-11-17,2.62138
2023-11-18,0.33372
2023-11-19,0.22607
2023-11-20,2.54063
2023-11-21,2.48142
2023-11-22,2.01313
2023-11-23,2.1154
2023-11-24,2.34686
2023-11-25,0.30681
2023-11-26,0.19916
2023-11-27,2.12078
2023-11-28,1.77629
2023-11-29,1.63634
2023-11-30,1.63096
2023-12-01,1.4318
2023-12-02,0.13456
2023-12-03,0.11841
2023-12-04,1.30799
2023-12-05,1.62557
2023-12-06,1.71708
2023-12-07,1.49639
2023-12-08,1.5556
2023-12-09,0.17762
2023-12-10,0.18839
2023-12-11,1.79782
2023-12-12,2.29303
2023-12-13,2.74518
2023-12-14,2.00236
2023-12-15,1.94315
2023-12-16,0.22069
2023-12-17,0.28528
2023-12-18,2.04543
2023-12-19,1.74938
2023-12-20,4.25772
2023-12-21,2.93896
2023-12-22,9.12369
2023-12-23,1.82473
2023-12-24,1.38873
2023-12-25,1.87318
2023-12-26,7.42275
2023-12-27,5.24276
2023-12-28,4.34384
2023-12-29,1.42103
2023-12-30,0.51135
2023-12-31,0.33911
2024-01-01,0.30143
2024-01-02,3.29421
