date,채권추심
2022-01-30,18.09841
2022-01-31,15.59633
2022-02-01,20.01668
2022-02-02,36.78065
2022-02-03,80.73394
2022-02-04,74.64553
2022-02-05,26.35529
2022-02-06,26.43869
2022-02-07,68.47372
2022-02-08,73.97831
2022-02-09,72.39366
2022-02-10,76.23019
2022-02-11,66.97247
2022-02-12,27.02251
2022-02-13,24.68723
2022-02-14,69.47456
2022-02-15,65.55462
2022-02-16,61.71809
2022-02-17,64.55379
2022-02-18,59.71643
2022-02-19,28.69057
2022-02-20,24.35362
2022-02-21,65.63803
2022-02-22,67.22268
2022-02-23,70.809
2022-02-24,60.96747
2022-02-25,56.29691
2022-02-26,24.35362
2022-02-27,20.7673
2022-02-28,66.38865
2022-03-01,32.02668
2022-03-02,71.72643
2022-03-03,63.88657
2022-03-04,59.13261
2022-03-05,24.60383
2022-03-06,23.7698
2022-03-07,67.38949
2022-03-08,71.22602
2022-03-09,26.93911
2022-03-10,63.63636
2022-03-11,63.55296
2022-03-12,25.52126
2022-03-13,26.93911
2022-03-14,64.13678
2022-03-15,67.47289
2022-03-16,66.30525
2022-03-17,69.47456
2022-03-18,62.55212
2022-03-19,29.94161
2022-03-20,32.02668
2022-03-21,68.14011
2022-03-22,70.97581
2022-03-23,76.23019
2022-03-24,69.05754
2022-03-25,65.55462
2022-03-26,22.18515
2022-03-27,21.85154
2022-03-28,58.54879
2022-03-29,67.63969
2022-03-30,76.14678
2022-03-31,77.89824
2022-04-01,77.81484
2022-04-02,25.35446
2022-04-03,21.01751
2022-04-04,63.46955
2022-04-05,70.6422
2022-04-06,69.47456
2022-04-07,70.30859
2022-04-08,65.55462
2022-04-09,25.77147
2022-04-10,16.68056
2022-04-11,63.38615
2022-04-12,72.47706
2022-04-13,63.80316
2022-04-14,66.80567
2022-04-15,62.21851
2022-04-16,25.27105
2022-04-17,22.10175
2022-04-18,62.55212
2022-04-19,68.80733
2022-04-20,65.88824
2022-04-21,58.13177
2022-04-22,60.63386
2022-04-23,20.35029
2022-04-24,21.01751
2022-04-25,61.63469
2022-04-26,64.47039
2022-04-27,63.21934
2022-04-28,59.96663
2022-04-29,58.13177
2022-04-30,31.27606
2022-05-01,23.35279
2022-05-02,70.30859
2022-05-03,74.22852
2022-05-04,63.05254
2022-05-05,24.02001
2022-05-06,49.87489
2022-05-07,21.51793
2022-05-08,21.43452
2022-05-09,67.38949
2022-05-10,64.804
2022-05-11,66.38865
2022-05-12,72.56046
2022-05-13,63.63636
2022-05-14,22.60216
2022-05-15,19.18265
2022-05-16,65.55462
2022-05-17,65.55462
2022-05-18,68.22351
2022-05-19,65.30442
2022-05-20,59.0492
2022-05-21,24.18682
2022-05-22,23.6864
2022-05-23,54.71226
2022-05-24,60.13344
2022-05-25,58.79899
2022-05-26,69.89157
2022-05-27,54.71226
2022-05-28,22.01834
2022-05-29,18.59883
2022-05-30,72.89407
2022-05-31,70.22518
2022-06-01,27.35613
2022-06-02,89.15763
2022-06-03,77.31442
2022-06-04,24.10341
2022-06-05,19.76647
2022-06-06,23.10258
2022-06-07,69.55796
2022-06-08,68.97414
2022-06-09,67.7231
2022-06-10,56.29691
2022-06-11,28.60717
2022-06-12,24.18682
2022-06-13,60.21684
2022-06-14,66.63886
2022-06-15,74.31192
2022-06-16,69.89157
2022-06-17,60.96747
2022-06-18,20.6005
2022-06-19,27.02251
2022-06-20,64.8874
2022-06-21,70.30859
2022-06-22,66.13844
2022-06-23,70.97581
2022-06-24,54.29524
2022-06-25,22.10175
2022-06-26,27.77314
2022-06-27,63.88657
2022-06-28,69.97497
2022-06-29,80.15012
2022-06-30,71.55963
2022-07-01,66.63886
2022-07-02,24.93744
2022-07-03,19.01584
2022-07-04,62.80233
2022-07-05,70.89241
2022-07-06,71.55963
2022-07-07,63.46955
2022-07-08,56.79733
2022-07-09,24.18682
2022-07-10,22.85237
2022-07-11,71.89324
2022-07-12,72.81067
2022-07-13,70.22518
2022-07-14,64.30358
2022-07-15,62.96914
2022-07-16,21.76814
2022-07-17,21.93494
2022-07-18,65.55462
2022-07-19,65.55462
2022-07-20,65.05421
2022-07-21,59.29941
2022-07-22,55.71309
2022-07-23,22.26855
2022-07-24,21.35112
2022-07-25,53.87823
2022-07-26,65.72143
2022-07-27,58.38198
2022-07-28,60.80066
2022-07-29,59.63302
2022-07-30,21.43452
2022-07-31,23.01918
2022-08-01,69.47456
2022-08-02,62.21851
2022-08-03,52.04336
2022-08-04,71.14261
2022-08-05,58.04837
2022-08-06,23.603
2022-08-07,20.43369
2022-08-08,62.38532
2022-08-09,67.22268
2022-08-10,67.8065
2022-08-11,57.88156
2022-08-12,58.13177
2022-08-13,24.18682
2022-08-14,21.35112
2022-08-15,23.603
2022-08-16,61.55129
2022-08-17,66.55546
