date,지분경매
2022-02-20,16.30434
2022-02-21,12.5
2022-02-22,19.56521
2022-02-23,15.76086
2022-02-24,21.73913
2022-02-25,10.86956
2022-02-26,22.82608
2022-02-27,18.47826
2022-02-28,11.95652
2022-03-01,10.86956
2022-03-02,20.10869
2022-03-03,21.19565
2022-03-04,12.5
2022-03-05,13.04347
2022-03-06,10.32608
2022-03-07,19.02173
2022-03-08,16.30434
2022-03-09,9.7826
2022-03-10,16.30434
2022-03-11,30.43478
2022-03-12,7.06521
2022-03-13,23.36956
2022-03-14,18.47826
2022-03-15,22.82608
2022-03-16,30.97826
2022-03-17,32.06521
2022-03-18,15.76086
2022-03-19,22.2826
2022-03-20,21.73913
2022-03-21,26.08695
2022-03-22,29.34782
2022-03-23,32.06521
2022-03-24,33.15217
2022-03-25,30.97826
2022-03-26,18.47826
2022-03-27,23.36956
2022-03-28,28.26086
2022-03-29,25.0
2022-03-30,28.80434
2022-03-31,33.69565
2022-04-01,21.73913
2022-04-02,19.56521
2022-04-03,36.95652
2022-04-04,31.52173
2022-04-05,76.63043
2022-04-06,65.21739
2022-04-07,67.93478
2022-04-08,55.97826
2022-04-09,38.58695
2022-04-10,30.43478
2022-04-11,46.19565
2022-04-12,49.45652
2022-04-13,54.8913
2022-04-14,55.97826
2022-04-15,45.65217
2022-04-16,44.56521
2022-04-17,42.3913
2022-04-18,39.67391
2022-04-19,57.06521
2022-04-20,64.67391
2022-04-21,53.80434
2022-04-22,41.30434
2022-04-23,44.02173
2022-04-24,35.32608
2022-04-25,55.97826
2022-04-26,62.5
2022-04-27,56.52173
2022-04-28,46.19565
2022-04-29,39.67391
2022-04-30,26.08695
2022-05-01,27.71739
2022-05-02,41.84782
2022-05-03,46.73913
2022-05-04,33.15217
2022-05-05,30.43478
2022-05-06,42.93478
2022-05-07,40.21739
2022-05-08,32.60869
2022-05-09,35.32608
2022-05-10,34.7826
2022-05-11,46.73913
2022-05-12,35.86956
2022-05-13,46.73913
2022-05-14,28.80434
2022-05-15,27.17391
2022-05-16,33.15217
2022-05-17,36.41304
2022-05-18,32.06521
2022-05-19,28.26086
2022-05-20,27.71739
2022-05-21,15.21739
2022-05-22,35.32608
2022-05-23,29.34782
2022-05-24,26.63043
2022-05-25,30.97826
2022-05-26,28.80434
2022-05-27,32.06521
2022-05-28,26.08695
2022-05-29,15.76086
2022-05-30,15.21739
2022-05-31,23.36956
2022-06-01,11.95652
2022-06-02,21.19565
2022-06-03,26.08695
2022-06-04,19.56521
2022-06-05,23.91304
2022-06-06,25.0
2022-06-07,21.73913
2022-06-08,26.63043
2022-06-09,23.36956
2022-06-10,24.45652
2022-06-11,20.65217
2022-06-12,17.3913
2022-06-13,35.32608
2022-06-14,32.60869
2022-06-15,27.71739
2022-06-16,24.45652
2022-06-17,27.71739
