date,환율
2021-05-20,18.23675
2021-05-21,15.94389
2021-05-22,5.31467
2021-05-23,4.31432
2021-05-24,16.65105
2021-05-25,16.63143
2021-05-26,17.26885
2021-05-27,17.27319
2021-05-28,16.28622
2021-05-29,5.2054
2021-05-30,4.27135
2021-05-31,18.92912
2021-06-01,20.40625
2021-06-02,18.60453
2021-06-03,17.55679
2021-06-04,15.81303
2021-06-05,5.22124
2021-06-06,4.22173
2021-06-07,17.56919
2021-06-08,17.41331
2021-06-09,16.63893
2021-06-10,15.73796
2021-06-11,15.63563
2021-06-12,4.92012
2021-06-13,3.94766
2021-06-14,15.64123
2021-06-15,15.67747
2021-06-16,14.88606
2021-06-17,21.64457
2021-06-18,18.93144
2021-06-19,5.76992
2021-06-20,4.38974
2021-06-21,20.03693
2021-06-22,18.09734
2021-06-23,18.08038
2021-06-24,17.3517
2021-06-25,16.45332
2021-06-26,5.24115
2021-06-27,4.11329
2021-06-28,16.69647
2021-06-29,16.09564
2021-06-30,17.51754
2021-07-01,15.6338
2021-07-02,14.7826
2021-07-03,5.06227
2021-07-04,4.12997
2021-07-05,15.9905
2021-07-06,15.31488
2021-07-07,17.14387
2021-07-08,22.64948
2021-07-09,22.9724
2021-07-10,6.57535
2021-07-11,4.92188
2021-07-12,19.22001
2021-07-13,18.15467
2021-07-14,20.34625
2021-07-15,19.44767
2021-07-16,17.6915
2021-07-17,5.40194
2021-07-18,4.33815
2021-07-19,19.22947
2021-07-20,21.56663
2021-07-21,20.54629
2021-07-22,19.07239
2021-07-23,17.37686
2021-07-24,5.67186
2021-07-25,4.4592
2021-07-26,18.96319
2021-07-27,18.5678
2021-07-28,18.681
2021-07-29,18.61798
2021-07-30,17.87725
2021-07-31,5.78051
2021-08-01,4.60268
2021-08-02,16.56491
2021-08-03,16.47197
2021-08-04,16.83764
2021-08-05,16.90493
2021-08-06,15.541
2021-08-07,5.856
2021-08-08,5.00543
2021-08-09,17.35906
2021-08-10,17.9587
2021-08-11,20.74501
2021-08-12,23.18548
2021-08-13,28.80233
2021-08-14,8.82931
2021-08-15,6.21326
2021-08-16,11.83901
2021-08-17,36.79544
2021-08-18,32.13438
2021-08-19,33.58367
2021-08-20,34.78288
2021-08-21,9.83332
2021-08-22,7.37798
2021-08-23,31.36883
2021-08-24,28.27685
2021-08-25,26.67608
2021-08-26,27.00565
2021-08-27,23.32566
2021-08-28,7.81185
2021-08-29,5.86238
2021-08-30,23.43508
2021-08-31,24.86643
2021-09-01,24.18843
2021-09-02,23.06457
2021-09-03,20.71725
2021-09-04,6.81423
2021-09-05,5.72233
2021-09-06,20.91442
2021-09-07,20.16738
2021-09-08,21.65719
2021-09-09,22.02538
2021-09-10,20.85498
2021-09-11,6.60423
2021-09-12,5.23204
2021-09-13,22.92123
2021-09-14,20.99194
2021-09-15,20.6487
2021-09-16,20.25948
2021-09-17,20.84839
2021-09-18,6.93556
2021-09-19,4.95209
2021-09-20,10.37983
2021-09-21,11.66833
2021-09-22,11.60511
2021-09-23,30.69223
2021-09-24,24.47644
2021-09-25,7.78725
2021-09-26,6.41751
2021-09-27,23.08301
2021-09-28,25.75927
2021-09-29,28.95926
2021-09-30,24.67824
2021-10-01,23.87736
2021-10-02,7.61798
2021-10-03,5.73495
2021-10-04,10.11382
2021-10-05,26.89322
2021-10-06,29.99074
2021-10-07,28.2936
2021-10-08,26.19174
2021-10-09,8.1136
2021-10-10,6.45276
2021-10-11,11.27294
2021-10-12,36.21501
2021-10-13,28.57705
2021-10-14,26.63031
2021-10-15,24.29672
2021-10-16,7.68737
2021-10-17,5.94207
2021-10-18,24.05995
2021-10-19,24.11511
2021-10-20,25.11169
2021-10-21,23.0652
2021-10-22,20.28275
2021-10-23,6.6219
2021-10-24,5.45626
2021-10-25,24.05561
2021-10-26,24.60955
2021-10-27,23.27989
2021-10-28,21.79303
2021-10-29,21.0157
2021-10-30,7.15607
2021-10-31,5.80069
2021-11-01,21.87672
2021-11-02,21.32586
2021-11-03,21.83515
2021-11-04,22.28788
2021-11-05,21.34437
2021-11-06,6.80855
2021-11-07,5.4885
2021-11-08,21.42616
2021-11-09,28.58742
2021-11-10,21.68726
2021-11-11,21.96566
2021-11-12,20.53557
2021-11-13,6.50912
2021-11-14,5.25306
2021-11-15,20.41032
2021-11-16,20.83262
2021-11-17,20.63202
2021-11-18,19.72236
2021-11-19,19.49414
2021-11-20,7.27467
2021-11-21,5.80672
2021-11-22,22.15772
2021-11-23,21.83277
2021-11-24,20.64723
2021-11-25,21.07199
2021-11-26,22.10241
2021-11-27,8.40385
2021-11-28,6.51949
2021-11-29,24.2232
2021-11-30,24.14259
2021-12-01,25.23323
2021-12-02,23.9225
2021-12-03,20.58954
2021-12-04,7.49426
2021-12-05,5.38259
2021-12-06,20.61765
2021-12-07,19.81698
2021-12-08,20.29775
2021-12-09,19.56003
2021-12-10,18.22372
2021-12-11,6.29919
2021-12-12,5.03522
2021-12-13,18.55259
2021-12-14,18.63109
2021-12-15,18.39754
2021-12-16,18.69439
2021-12-17,17.45193
2021-12-18,5.95798
2021-12-19,4.92489
2021-12-20,21.66784
2021-12-21,21.44691
2021-12-22,19.47613
2021-12-23,18.68303
2021-12-24,16.17281
2021-12-25,5.11246
2021-12-26,4.76795
2021-12-27,17.18242
2021-12-28,17.13252
2021-12-29,16.09592
2021-12-30,16.22468
2021-12-31,12.09064
2022-01-01,5.12318
2022-01-02,4.95966
2022-01-03,18.85055
2022-01-04,21.35222
2022-01-05,24.98825
2022-01-06,29.87306
2022-01-07,26.23821
2022-01-08,8.5507
2022-01-09,6.72942
2022-01-10,25.3111
2022-01-11,23.12205
2022-01-12,21.63546
2022-01-13,21.27659
2022-01-14,20.78678
2022-01-15,6.76776
2022-01-16,5.39346
2022-01-17,19.56689
2022-01-18,19.93937
2022-01-19,19.73007
2022-01-20,19.00966
2022-01-21,19.0705
2022-01-22,7.16133
2022-01-23,5.33696
2022-01-24,21.19037
2022-01-25,24.4027
2022-01-26,21.11902
2022-01-27,25.74988
2022-01-28,24.6741
2022-01-29,8.65969
2022-01-30,6.12172
2022-01-31,6.9943
2022-02-01,8.44815
2022-02-02,9.38059
2022-02-03,23.43494
2022-02-04,21.57006
2022-02-05,7.72788
2022-02-06,5.886
2022-02-07,21.10262
2022-02-08,19.9789
2022-02-09,18.92415
2022-02-10,19.00013
2022-02-11,18.5324
2022-02-12,7.23156
2022-02-13,5.41336
2022-02-14,20.70407
2022-02-15,20.22751
2022-02-16,18.79139
2022-02-17,18.49182
2022-02-18,17.40434
2022-02-19,6.43279
2022-02-20,5.44308
2022-02-21,19.78558
2022-02-22,21.39511
2022-02-23,19.49582
2022-02-24,31.52541
2022-02-25,26.82776
2022-02-26,8.01989
2022-02-27,6.14639
2022-02-28,23.89916
2022-03-01,11.11607
2022-03-02,22.93041
2022-03-03,20.64702
2022-03-04,25.60016
2022-03-05,9.43323
2022-03-06,6.72192
2022-03-07,35.54212
2022-03-08,37.02317
2022-03-09,14.14897
2022-03-10,29.42335
2022-03-11,26.66304
2022-03-12,9.90747
2022-03-13,7.68337
2022-03-14,32.08496
2022-03-15,32.42925
2022-03-16,30.472
2022-03-17,34.10881
2022-03-18,30.44024
2022-03-19,10.39426
2022-03-20,7.3231
