date,추심
2021-04-18,6.19834
2021-04-19,8.99699
2021-04-20,9.87978
2021-04-21,11.51389
2021-04-22,9.99248
2021-04-23,8.52742
2021-04-24,3.64387
2021-04-25,3.68144
2021-04-26,8.07663
2021-04-27,7.98271
2021-04-28,7.66341
2021-04-29,8.37716
2021-04-30,6.574
2021-05-01,3.36213
2021-05-02,3.38091
2021-05-03,7.45679
2021-05-04,7.13749
2021-05-05,4.39519
2021-05-06,7.45679
2021-05-07,6.78061
2021-05-08,3.62509
2021-05-09,3.56874
2021-05-10,8.47107
2021-05-11,8.56498
2021-05-12,8.92186
2021-05-13,8.84673
2021-05-14,7.3441
2021-05-15,3.90683
2021-05-16,3.68144
2021-05-17,9.10969
2021-05-18,8.37716
2021-05-19,4.73328
2021-05-20,8.60255
2021-05-21,8.02028
2021-05-22,3.88805
2021-05-23,3.60631
2021-05-24,8.17054
2021-05-25,8.99699
2021-05-26,8.84673
2021-05-27,8.45229
2021-05-28,7.92637
2021-05-29,4.45154
2021-05-30,4.18858
2021-05-31,7.85123
2021-06-01,8.84673
2021-06-02,8.95942
2021-06-03,9.22238
2021-06-04,9.01577
2021-06-05,4.39519
2021-06-06,4.16979
2021-06-07,10.06761
2021-06-08,9.78587
2021-06-09,10.5184
2021-06-10,10.4057
2021-06-11,8.26446
2021-06-12,4.63936
2021-06-13,4.73328
2021-06-14,8.4335
2021-06-15,8.88429
2021-06-16,9.33508
2021-06-17,7.66341
2021-06-18,8.75281
2021-06-19,4.3764
2021-06-20,3.24943
2021-06-21,7.98271
2021-06-22,8.4335
2021-06-23,8.35837
2021-06-24,8.4335
2021-06-25,7.15627
2021-06-26,3.70022
2021-06-27,3.32456
2021-06-28,7.43801
2021-06-29,8.24567
2021-06-30,8.47107
2021-07-01,8.28324
2021-07-02,6.91209
2021-07-03,3.43726
2021-07-04,3.09917
2021-07-05,8.11419
2021-07-06,9.14725
2021-07-07,8.26446
2021-07-08,8.28324
2021-07-09,7.04357
2021-07-10,3.32456
2021-07-11,3.49361
2021-07-12,7.08114
2021-07-13,8.09541
2021-07-14,8.07663
2021-07-15,7.51314
2021-07-16,7.66341
2021-07-17,3.23065
2021-07-18,3.15552
2021-07-19,8.33959
2021-07-20,8.82794
2021-07-21,7.7761
2021-07-22,7.3441
2021-07-23,7.30653
2021-07-24,3.08039
2021-07-25,2.94891
2021-07-26,6.574
2021-07-27,8.15176
2021-07-28,7.1187
2021-07-29,7.36288
2021-07-30,6.78061
2021-07-31,2.93012
2021-08-01,2.64838
2021-08-02,6.19834
2021-08-03,7.58827
2021-08-04,7.04357
2021-08-05,6.49887
2021-08-06,6.76183
2021-08-07,3.24943
2021-08-08,5.07137
2021-08-09,7.79489
2021-08-10,7.19383
2021-08-11,7.08114
2021-08-12,7.58827
2021-08-13,7.26897
2021-08-14,3.38091
2021-08-15,3.08039
2021-08-16,4.24492
2021-08-17,7.96393
2021-08-18,7.62584
2021-08-19,10.0864
2021-08-20,8.24567
2021-08-21,3.60631
2021-08-22,3.30578
2021-08-23,7.06235
2021-08-24,8.05785
2021-08-25,8.15176
2021-08-26,7.15627
2021-08-27,8.95942
2021-08-28,3.34335
2021-08-29,3.51239
2021-08-30,7.06235
2021-08-31,9.46656
2021-09-01,8.45229
2021-09-02,8.56498
2021-09-03,6.38617
2021-09-04,3.36213
2021-09-05,3.26821
2021-09-06,6.55522
2021-09-07,7.13749
2021-09-08,7.92637
2021-09-09,7.62584
2021-09-10,7.51314
2021-09-11,3.11795
2021-09-12,3.1743
2021-09-13,7.02479
2021-09-14,8.09541
2021-09-15,8.47107
2021-09-16,7.70097
2021-09-17,6.79939
2021-09-18,3.32456
2021-09-19,2.87377
2021-09-20,2.5169
2021-09-21,2.25394
2021-09-22,2.57325
2021-09-23,7.55071
2021-09-24,7.26897
2021-09-25,3.68144
2021-09-26,3.24943
2021-09-27,7.60706
2021-09-28,8.33959
2021-09-29,8.62133
2021-09-30,8.09541
2021-10-01,7.08114
2021-10-02,4.09466
2021-10-03,3.79413
2021-10-04,4.50788
2021-10-05,8.15176
2021-10-06,7.87002
2021-10-07,8.52742
2021-10-08,7.19383
2021-10-09,3.98196
2021-10-10,3.85048
2021-10-11,4.47032
2021-10-12,8.03906
2021-10-13,8.15176
2021-10-14,9.10969
2021-10-15,8.69646
2021-10-16,4.41397
2021-10-17,4.01953
2021-10-18,9.29752
2021-10-19,9.2036
2021-10-20,9.48534
2021-10-21,8.28324
2021-10-22,7.36288
2021-10-23,3.47483
2021-10-24,3.58752
2021-10-25,8.73403
2021-10-26,9.22238
