date,아이큐코인
2023-10-20,0.58238
2023-10-21,0.74617
2023-10-22,0.9221
2023-10-23,0.80077
2023-10-24,1.78354
2023-10-25,1.14656
2023-10-26,1.18903
2023-10-27,0.84324
2023-10-28,0.46711
2023-10-29,0.9403
2023-10-30,1.1223
2023-10-31,1.1041
2023-11-01,1.06163
2023-11-02,1.59548
2023-11-03,1.19509
2023-11-04,0.8675
2023-11-05,1.44382
2023-11-06,1.1223
2023-11-07,0.98277
2023-11-08,1.0313
2023-11-09,1.11623
2023-11-10,1.0677
2023-11-11,0.66124
2023-11-12,0.70371
2023-11-13,1.11623
2023-11-14,1.48628
2023-11-15,0.9767
2023-11-16,0.72797
2023-11-17,0.59451
2023-11-18,0.68551
2023-11-19,0.78257
2023-11-20,0.94637
2023-11-21,0.9039
2023-11-22,1.03736
2023-11-23,1.04343
2023-11-24,2.16573
2023-11-25,1.9716
2023-11-26,1.34676
2023-11-27,1.80781
2023-11-28,1.14049
2023-11-29,0.67944
2023-11-30,0.70371
2023-12-01,0.77651
2023-12-02,0.60664
2023-12-03,0.58238
2023-12-04,1.75928
2023-12-05,1.19509
2023-12-06,2.12933
2023-12-07,0.97063
2023-12-08,1.31642
2023-12-09,1.19509
2023-12-10,1.07376
2023-12-11,1.37102
2023-12-12,1.44989
2023-12-13,0.89177
2023-12-14,0.89784
2023-12-15,0.8129
2023-12-16,0.47318
2023-12-17,0.55811
2023-12-18,0.78257
2023-12-19,0.9585
2023-12-20,0.78864
2023-12-21,0.87964
2023-12-22,1.04343
2023-12-23,0.54598
2023-12-24,0.50351
2023-12-25,0.52171
2023-12-26,1.82601
2023-12-27,1.69861
2023-12-28,1.29216
2023-12-29,0.92817
2023-12-30,0.67338
2023-12-31,0.42465
2024-01-01,0.76437
2024-01-02,1.17689
2024-01-03,1.11623
2024-01-04,1.16476
2024-01-05,1.23149
2024-01-06,0.95243
2024-01-07,0.89784
2024-01-08,1.52875
2024-01-09,1.34676
2024-01-10,1.24363
2024-01-11,1.73501
2024-01-12,1.72288
2024-01-13,0.9039
2024-01-14,0.74617
2024-01-15,1.11623
2024-01-16,0.91603
2024-01-17,1.06163
2024-01-18,1.0495
2024-01-19,0.72191
2024-01-20,0.38218
2024-01-21,0.53991
2024-01-22,1.05556
2024-01-23,1.26182
2024-01-24,0.58844
2024-01-25,0.60664
2024-01-26,0.44285
2024-01-27,0.57631
2024-01-28,0.49138
2024-01-29,0.64304
2024-01-30,0.75831
2024-01-31,0.40038
2024-02-01,0.44892
2024-02-02,0.49745
2024-02-03,0.23659
2024-02-04,0.44285
2024-02-05,0.52171
2024-02-06,0.55205
2024-02-07,0.38218
2024-02-08,0.53991
2024-02-09,0.33972
2024-02-10,0.30332
2024-02-11,0.35792
2024-02-12,0.37612
2024-02-13,0.75224
2024-02-14,0.80684
2024-02-15,0.9039
2024-02-16,1.29216
2024-02-17,0.9585
2024-02-18,1.26182
2024-02-19,2.82091
2024-02-20,1.74108
2024-02-21,1.28609
2024-02-22,11.66585
2024-02-23,14.32904
2024-02-24,11.23513
2024-02-25,8.8692
2024-02-26,7.52851
2024-02-27,6.95826
2024-02-28,5.99975
2024-02-29,6.26668
2024-03-01,5.58116
2024-03-02,6.31521
2024-03-03,6.479
2024-03-04,7.35865
2024-03-05,6.40014
2024-03-06,4.19194
2024-03-07,5.58116
2024-03-08,4.3072
2024-03-09,15.24508
2024-03-10,57.99563
2024-03-11,31.02402
2024-03-12,18.07206
2024-03-13,22.36107
2024-03-14,14.43824
2024-03-15,10.69521
2024-03-16,7.31618
2024-03-17,7.68624
2024-03-18,9.9915
2024-03-19,31.93399
2024-03-20,12.80635
