date,당진부동산
2021-02-01,23.46153
2021-02-02,39.34911
2021-02-03,33.46153
2021-02-04,32.36686
2021-02-05,24.20118
2021-02-06,22.30769
2021-02-07,18.22485
2021-02-08,20.71005
2021-02-09,19.20118
2021-02-10,17.30769
2021-02-11,18.40236
2021-02-12,16.50887
2021-02-13,20.29585
2021-02-14,22.21893
2021-02-15,25.65088
2021-02-16,24.26035
2021-02-17,21.71597
2021-02-18,21.09467
2021-02-19,21.71597
2021-02-20,16.50887
2021-02-21,18.1065
2021-02-22,21.4497
2021-02-23,19.73372
2021-02-24,19.88165
2021-02-25,20.8284
2021-02-26,20.2071
2021-02-27,17.21893
2021-02-28,17.72189
2021-03-01,20.53254
2021-03-02,19.28994
2021-03-03,20.05917
2021-03-04,19.31952
2021-03-05,19.52662
2021-03-06,19.37869
2021-03-07,21.21301
2021-03-08,22.30769
2021-03-09,22.95857
2021-03-10,20.59171
2021-03-11,20.2071
2021-03-12,17.10059
2021-03-13,16.39053
2021-03-14,16.77514
2021-03-15,20.02958
2021-03-16,22.6923
2021-03-17,27.39644
2021-03-18,24.64497
2021-03-19,17.86982
2021-03-20,16.06508
2021-03-21,16.62721
2021-03-22,17.15976
2021-03-23,19.67455
2021-03-24,18.28402
2021-03-25,18.63905
2021-03-26,17.10059
2021-03-27,16.6568
2021-03-28,17.21893
2021-03-29,20.94674
2021-03-30,25.50295
2021-03-31,25.4142
2021-04-01,18.49112
2021-04-02,18.04733
2021-04-03,14.61538
2021-04-04,15.73964
2021-04-05,16.50887
2021-04-06,19.55621
2021-04-07,26.39053
2021-04-08,25.14792
2021-04-09,31.47928
2021-04-10,34.52662
2021-04-11,32.72189
2021-04-12,30.02958
2021-04-13,27.86982
2021-04-14,21.71597
2021-04-15,20.02958
2021-04-16,20.05917
2021-04-17,16.53846
2021-04-18,17.45562
2021-04-19,20.32544
2021-04-20,20.47337
2021-04-21,17.60355
2021-04-22,17.24852
2021-04-23,17.45562
2021-04-24,15.91715
2021-04-25,16.74556
2021-04-26,17.60355
2021-04-27,15.88757
2021-04-28,18.81656
2021-04-29,18.25443
2021-04-30,17.15976
2021-05-01,14.37869
2021-05-02,13.60946
2021-05-03,15.68047
2021-05-04,14.11242
2021-05-05,12.72189
2021-05-06,14.52662
2021-05-07,16.42011
2021-05-08,14.28994
2021-05-09,13.34319
2021-05-10,15.0
2021-05-11,13.40236
2021-05-12,13.66863
2021-05-13,13.40236
2021-05-14,17.54437
2021-05-15,13.87573
2021-05-16,14.34911
2021-05-17,16.36094
2021-05-18,14.37869
2021-05-19,13.3136
2021-05-20,14.79289
2021-05-21,14.85207
2021-05-22,11.36094
2021-05-23,11.8639
2021-05-24,15.05917
2021-05-25,15.08875
2021-05-26,14.79289
2021-05-27,14.46745
2021-05-28,14.20118
2021-05-29,11.74556
2021-05-30,12.57396
2021-05-31,16.36094
2021-06-01,13.72781
2021-06-02,14.70414
2021-06-03,16.2426
2021-06-04,13.78698
2021-06-05,11.8639
2021-06-06,13.28402
2021-06-07,16.0355
2021-06-08,14.94082
2021-06-09,14.85207
2021-06-10,14.58579
2021-06-11,15.35502
2021-06-12,13.90532
2021-06-13,14.20118
2021-06-14,17.21893
2021-06-15,17.51479
2021-06-16,17.45562
2021-06-17,16.89349
2021-06-18,16.2426
2021-06-19,13.57988
2021-06-20,12.84023
2021-06-21,16.77514
2021-06-22,18.37278
2021-06-23,16.00591
2021-06-24,15.6213
2021-06-25,16.2426
2021-06-26,12.36686
2021-06-27,12.4852
2021-06-28,18.1065
2021-06-29,17.57396
2021-06-30,17.63313
2021-07-01,15.29585
2021-07-02,15.32544
2021-07-03,12.92899
2021-07-04,15.23668
2021-07-05,17.92899
2021-07-06,17.84023
2021-07-07,18.40236
2021-07-08,26.8639
2021-07-09,22.60355
2021-07-10,16.15384
2021-07-11,18.28402
2021-07-12,22.8994
2021-07-13,19.88165
2021-07-14,22.39644
2021-07-15,19.55621
2021-07-16,22.13017
2021-07-17,19.02366
2021-07-18,19.40828
2021-07-19,23.40236
2021-07-20,30.73964
2021-07-21,27.071
2021-07-22,23.93491
2021-07-23,22.10059
2021-07-24,19.02366
2021-07-25,16.71597
2021-07-26,22.54437
2021-07-27,41.0355
2021-07-28,27.01183
2021-07-29,24.97041
2021-07-30,28.37278
2021-07-31,26.36094
2021-08-01,22.39644
2021-08-02,29.64497
2021-08-03,28.55029
2021-08-04,27.86982
2021-08-05,27.071
2021-08-06,26.83431
2021-08-07,25.53254
2021-08-08,22.39644
2021-08-09,27.95857
2021-08-10,33.60946
2021-08-11,32.33727
2021-08-12,27.18934
2021-08-13,26.36094
2021-08-14,24.73372
2021-08-15,24.08284
2021-08-16,26.80473
2021-08-17,27.18934
2021-08-18,27.24852
2021-08-19,25.4142
2021-08-20,22.8994
2021-08-21,22.45562
2021-08-22,20.38461
2021-08-23,29.20118
2021-08-24,35.32544
2021-08-25,36.74556
2021-08-26,29.34911
2021-08-27,24.76331
2021-08-28,22.24852
2021-08-29,21.47928
2021-08-30,29.40828
2021-08-31,32.36686
2021-09-01,28.40236
2021-09-02,22.4852
2021-09-03,22.2781
2021-09-04,21.42011
2021-09-05,19.40828
2021-09-06,23.55029
2021-09-07,21.39053
2021-09-08,21.18343
2021-09-09,22.33727
2021-09-10,21.47928
2021-09-11,18.04733
2021-09-12,18.19526
2021-09-13,21.36094
2021-09-14,21.77514
2021-09-15,32.30769
2021-09-16,32.78106
2021-09-17,28.90532
2021-09-18,23.78698
2021-09-19,23.07692
2021-09-20,17.84023
2021-09-21,19.17159
2021-09-22,21.53846
2021-09-23,28.04733
2021-09-24,22.63313
2021-09-25,22.13017
