date,MMF금리
2021-07-21,2.76497
2021-07-23,4.14746
2021-07-24,1.38248
2021-07-30,1.38248
2021-08-02,1.6129
2021-08-03,1.6129
2021-08-04,1.15207
2021-08-05,3.45622
2021-08-06,1.84331
2021-08-09,2.30414
2021-08-13,1.38248
2021-08-17,3.2258
2021-08-18,2.53456
2021-08-19,2.30414
2021-08-24,1.6129
2021-08-25,2.07373
2021-08-26,3.2258
2021-08-27,1.6129
2021-08-30,2.76497
2021-08-31,2.53456
2021-09-01,1.84331
2021-09-02,1.84331
2021-09-03,3.45622
2021-09-05,1.15207
2021-09-06,1.84331
2021-09-08,1.84331
2021-09-09,3.68663
2021-09-10,1.38248
2021-09-14,1.38248
2021-09-16,1.15207
2021-09-18,1.38248
2021-09-22,1.38248
2021-09-23,2.53456
2021-09-24,3.2258
2021-09-26,1.38248
2021-09-27,2.76497
2021-09-28,1.15207
2021-09-29,1.6129
2021-09-30,1.6129
2021-10-01,1.38248
2021-10-05,2.07373
2021-10-06,2.76497
2021-10-09,1.6129
2021-10-11,1.38248
2021-10-12,3.2258
2021-10-13,1.15207
2021-10-14,1.38248
2021-10-15,2.30414
2021-10-21,1.84331
2021-10-22,1.84331
2021-10-23,1.38248
2021-10-24,1.15207
2021-10-26,3.2258
2021-10-27,1.38248
2021-10-28,2.07373
2021-11-01,2.07373
2021-11-02,3.2258
2021-11-03,2.53456
2021-11-07,2.30414
2021-11-08,3.2258
2021-11-09,2.53456
2021-11-10,1.15207
2021-11-14,1.15207
2021-11-15,1.6129
2021-11-16,3.68663
2021-11-17,2.07373
2021-11-18,1.84331
2021-11-19,2.76497
2021-11-20,1.15207
2021-11-21,1.15207
2021-11-22,3.45622
2021-11-23,1.15207
2021-11-25,1.84331
2021-11-27,1.6129
2021-11-29,2.07373
2021-11-30,4.60829
2021-12-01,2.30414
2021-12-02,1.84331
2021-12-03,1.38248
2021-12-04,1.15207
2021-12-05,1.6129
2021-12-06,4.37788
2021-12-07,1.6129
2021-12-09,1.6129
2021-12-10,2.53456
2021-12-11,1.15207
2021-12-13,3.68663
2021-12-15,1.84331
2021-12-20,2.53456
2021-12-21,2.76497
2021-12-22,3.45622
2021-12-23,2.76497
2021-12-24,1.84331
2021-12-27,1.6129
2021-12-28,1.84331
2021-12-29,5.06912
2021-12-31,1.15207
2022-01-01,1.15207
2022-01-03,2.30414
2022-01-04,1.38248
2022-01-05,2.76497
2022-01-06,2.30414
2022-01-07,1.38248
2022-01-08,1.38248
2022-01-09,1.15207
2022-01-10,2.30414
2022-01-11,2.76497
2022-01-12,5.29953
2022-01-13,2.53456
2022-01-14,4.37788
2022-01-16,1.15207
2022-01-17,2.30414
2022-01-18,4.60829
2022-01-19,5.99078
2022-01-20,4.14746
2022-01-21,7.37327
2022-01-22,1.84331
2022-01-23,1.38248
2022-01-24,4.8387
2022-01-25,2.07373
2022-01-26,3.68663
2022-01-27,2.76497
2022-01-28,3.91705
2022-01-29,1.6129
2022-02-01,2.30414
2022-02-02,2.76497
2022-02-03,3.45622
2022-02-04,4.8387
2022-02-05,2.53456
2022-02-06,1.15207
2022-02-07,5.52995
2022-02-08,3.91705
2022-02-09,4.8387
2022-02-10,3.91705
2022-02-11,2.07373
2022-02-12,1.38248
2022-02-14,2.07373
2022-02-15,3.91705
2022-02-16,4.14746
2022-02-17,5.99078
2022-02-18,1.6129
2022-02-19,1.6129
2022-02-20,1.84331
2022-02-21,1.38248
2022-02-22,3.2258
2022-02-23,5.29953
2022-02-24,2.99539
2022-02-25,1.15207
2022-02-26,1.15207
2022-02-28,1.38248
2022-03-01,1.15207
2022-03-02,2.99539
2022-03-03,1.38248
2022-03-05,1.15207
2022-03-06,1.15207
2022-03-07,1.6129
2022-03-09,1.15207
2022-03-10,1.6129
2022-03-11,1.15207
2022-03-13,2.07373
2022-03-14,2.30414
2022-03-15,1.84331
2022-03-16,2.53456
2022-03-17,4.37788
2022-03-19,1.15207
2022-03-21,1.38248
2022-03-22,1.6129
2022-03-23,3.2258
2022-03-24,1.6129
2022-03-26,1.38248
2022-03-29,4.14746
2022-03-30,5.29953
2022-03-31,1.84331
2022-04-01,2.53456
2022-04-03,1.15207
2022-04-04,2.53456
2022-04-05,1.6129
2022-04-06,2.99539
2022-04-07,1.6129
2022-04-08,1.15207
2022-04-09,2.07373
2022-04-11,3.45622
2022-04-12,2.53456
2022-04-13,1.84331
2022-04-14,2.53456
2022-04-15,4.60829
2022-04-16,1.15207
2022-04-17,2.30414
2022-04-18,2.76497
2022-04-19,1.6129
2022-04-20,3.2258
2022-04-21,2.07373
2022-04-23,2.07373
2022-04-24,2.30414
2022-04-25,3.2258
2022-04-26,3.45622
2022-04-27,2.99539
2022-04-28,4.37788
2022-04-29,1.15207
2022-04-30,1.6129
2022-05-02,1.15207
2022-05-03,1.6129
2022-05-04,1.6129
2022-05-05,1.6129
2022-05-06,1.84331
2022-05-07,1.15207
2022-05-09,1.6129
2022-05-10,1.6129
2022-05-11,4.14746
2022-05-12,5.76036
2022-05-13,2.53456
2022-05-14,2.30414
2022-05-16,1.15207
2022-05-17,3.45622
2022-05-18,1.84331
2022-05-19,1.15207
2022-05-21,1.15207
2022-05-22,1.15207
2022-05-23,3.45622
2022-05-24,4.37788
2022-05-25,1.38248
2022-05-26,1.6129
2022-05-27,3.91705
2022-05-28,1.15207
2022-05-29,2.53456
2022-05-30,9.447
2022-05-31,4.37788
2022-06-01,1.38248
2022-06-03,3.45622
2022-06-06,1.15207
2022-06-07,2.99539
2022-06-08,3.91705
2022-06-09,3.2258
2022-06-10,3.91705
2022-06-11,1.15207
2022-06-12,2.07373
2022-06-13,1.6129
2022-06-14,3.68663
2022-06-15,3.45622
2022-06-16,5.06912
2022-06-17,4.14746
2022-06-18,1.6129
2022-06-19,1.84331
2022-06-20,4.14746
2022-06-21,4.14746
2022-06-22,2.76497
2022-06-23,3.91705
2022-06-24,1.84331
2022-06-25,2.53456
2022-06-27,5.06912
2022-06-28,2.99539
2022-06-29,3.68663
2022-06-30,1.6129
2022-07-01,1.15207
2022-07-03,1.38248
2022-07-04,3.45622
2022-07-05,3.68663
2022-07-06,3.45622
2022-07-07,1.84331
2022-07-08,1.15207
2022-07-09,1.15207
2022-07-11,2.99539
2022-07-12,6.22119
2022-07-13,8.52534
2022-07-14,7.14285
2022-07-15,4.8387
2022-07-16,1.84331
2022-07-17,2.07373
2022-07-18,5.99078
2022-07-19,6.68202
2022-07-20,4.60829
2022-07-21,5.76036
2022-07-22,1.6129
2022-07-23,1.15207
2022-07-25,4.8387
2022-07-26,1.6129
2022-07-27,5.52995
2022-07-28,5.52995
2022-07-29,3.45622
2022-08-01,3.91705
2022-08-02,2.53456
2022-08-03,4.14746
2022-08-04,2.30414
2022-08-05,4.60829
2022-08-06,1.15207
2022-08-07,1.6129
2022-08-08,1.84331
