date,압구정재건축
2021-08-29,7.83433
2021-08-30,10.82834
2021-08-31,10.12974
2021-09-01,10.42914
2021-09-02,10.82834
2021-09-03,9.33133
2021-09-04,8.33333
2021-09-05,7.03592
2021-09-06,10.77844
2021-09-07,11.47704
2021-09-08,9.98003
2021-09-09,9.88023
2021-09-10,8.98203
2021-09-11,6.98602
2021-09-12,8.33333
2021-09-13,8.98203
2021-09-14,8.68263
2021-09-15,10.82834
2021-09-16,8.83233
2021-09-17,8.38323
2021-09-18,6.68662
2021-09-19,6.68662
2021-09-20,7.48502
2021-09-21,7.08582
2021-09-22,8.43313
2021-09-23,9.28143
2021-09-24,8.93213
2021-09-25,8.08383
2021-09-26,8.18363
2021-09-27,10.37924
2021-09-28,10.62874
2021-09-29,8.88223
2021-09-30,9.33133
2021-10-01,8.38323
2021-10-02,7.28542
2021-10-03,8.08383
2021-10-04,8.08383
2021-10-05,10.57884
2021-10-06,9.33133
2021-10-07,9.23153
2021-10-08,9.13173
2021-10-09,7.63473
2021-10-10,6.53692
2021-10-11,9.73053
2021-10-12,7.93413
2021-10-13,9.68063
2021-10-14,8.83233
2021-10-15,8.58283
2021-10-16,7.83433
2021-10-17,6.63672
2021-10-18,8.13373
2021-10-19,10.72854
2021-10-20,8.43313
2021-10-21,7.48502
2021-10-22,8.58283
2021-10-23,7.93413
2021-10-24,7.43512
2021-10-25,8.88223
2021-10-26,8.33333
2021-10-27,8.63273
2021-10-28,8.78243
2021-10-29,8.48303
2021-10-30,7.68463
2021-10-31,6.13772
2021-11-01,9.88023
2021-11-02,10.37924
2021-11-03,8.53293
2021-11-04,9.98003
2021-11-05,8.03393
2021-11-06,7.48502
2021-11-07,6.43712
2021-11-08,9.18163
2021-11-09,9.83033
2021-11-10,9.88023
2021-11-11,9.38123
2021-11-12,9.63073
2021-11-13,8.03393
2021-11-14,7.78443
2021-11-15,9.58083
2021-11-16,10.02994
2021-11-17,10.32934
2021-11-18,10.02994
2021-11-19,10.02994
2021-11-20,7.28542
2021-11-21,8.43313
2021-11-22,7.48502
2021-11-23,11.92614
2021-11-24,10.97804
2021-11-25,9.58083
2021-11-26,9.83033
2021-11-27,8.08383
2021-11-28,8.98203
2021-11-29,8.63273
2021-11-30,9.83033
2021-12-01,10.82834
2021-12-02,14.87025
2021-12-03,11.87624
2021-12-04,9.53093
2021-12-05,9.13173
2021-12-06,12.77445
2021-12-07,14.22155
2021-12-08,13.82235
2021-12-09,13.12375
2021-12-10,11.92614
2021-12-11,11.12774
2021-12-12,9.98003
2021-12-13,12.22554
2021-12-14,11.62674
2021-12-15,11.17764
2021-12-16,11.42714
2021-12-17,11.92614
2021-12-18,9.73053
2021-12-19,9.73053
2021-12-20,11.12774
2021-12-21,11.47704
2021-12-22,9.98003
2021-12-23,12.27544
2021-12-24,10.07984
2021-12-25,8.78243
2021-12-26,10.97804
2021-12-27,11.37724
2021-12-28,13.02395
2021-12-29,13.57285
2021-12-30,16.46706
2021-12-31,16.96606
2022-01-01,11.22754
2022-01-02,12.47504
2022-01-03,13.97205
2022-01-04,13.47305
2022-01-05,12.52495
2022-01-06,12.67465
2022-01-07,12.92415
2022-01-08,10.67864
2022-01-09,9.73053
2022-01-10,11.32734
2022-01-11,11.87624
2022-01-12,10.82834
2022-01-13,12.42514
2022-01-14,10.92814
2022-01-15,8.83233
2022-01-16,8.93213
2022-01-17,10.22954
2022-01-18,10.92814
2022-01-19,11.32734
2022-01-20,10.27944
2022-01-21,10.17964
2022-01-22,8.13373
2022-01-23,9.98003
2022-01-24,10.67864
2022-01-25,10.77844
2022-01-26,9.58083
2022-01-27,10.42914
2022-01-28,10.62874
2022-01-29,7.58483
2022-01-30,7.08582
2022-01-31,7.43512
2022-02-01,7.88423
2022-02-02,7.73453
2022-02-03,10.27944
2022-02-04,9.88023
2022-02-05,9.08183
2022-02-06,8.83233
2022-02-07,13.42315
2022-02-08,11.67664
2022-02-09,9.98003
2022-02-10,10.27944
2022-02-11,9.98003
2022-02-12,7.53493
2022-02-13,7.88423
2022-02-14,9.73053
2022-02-15,9.98003
2022-02-16,15.86826
2022-02-17,14.82035
2022-02-18,14.52095
2022-02-19,11.97604
2022-02-20,12.12574
2022-02-21,11.37724
2022-02-22,11.37724
2022-02-23,11.27744
2022-02-24,12.42514
2022-02-25,11.52694
2022-02-26,8.88223
2022-02-27,9.13173
2022-02-28,10.27944
2022-03-01,10.02994
2022-03-02,12.07584
2022-03-03,18.71257
2022-03-04,16.36726
2022-03-05,11.47704
2022-03-06,12.77445
2022-03-07,15.21956
2022-03-08,13.07385
2022-03-09,9.73053
2022-03-10,16.26746
2022-03-11,14.07185
2022-03-12,14.22155
2022-03-13,12.12574
2022-03-14,15.91816
2022-03-15,13.72255
2022-03-16,13.72255
2022-03-17,13.22355
2022-03-18,12.47504
2022-03-19,10.12974
2022-03-20,11.82634
2022-03-21,13.32335
2022-03-22,11.82634
2022-03-23,11.22754
2022-03-24,12.42514
2022-03-25,12.17564
2022-03-26,10.17964
2022-03-27,10.62874
2022-03-28,11.77644
2022-03-29,10.87824
2022-03-30,11.07784
2022-03-31,11.22754
2022-04-01,11.42714
2022-04-02,8.58283
2022-04-03,8.88223
2022-04-04,12.57485
2022-04-05,12.07584
2022-04-06,12.92415
2022-04-07,12.27544
2022-04-08,10.97804
2022-04-09,10.47904
2022-04-10,8.23353
2022-04-11,12.42514
2022-04-12,12.37524
2022-04-13,11.07784
2022-04-14,10.67864
2022-04-15,10.37924
2022-04-16,7.73453
2022-04-17,8.88223
