date,주식매매방
2021-07-16,1.2939
2021-07-17,1.47874
2021-07-19,2.03327
2021-07-21,1.2939
2021-07-24,2.21811
2021-07-25,0.92421
2021-07-28,2.21811
2021-07-29,1.84842
2021-07-31,1.47874
2021-08-01,1.84842
2021-08-02,2.5878
2021-08-04,1.10905
2021-08-05,2.03327
2021-08-06,1.66358
2021-08-07,1.47874
2021-08-08,1.66358
2021-08-09,2.03327
2021-08-11,1.10905
2021-08-14,1.47874
2021-08-15,0.92421
2021-08-20,2.77264
2021-08-22,3.8817
2021-08-23,2.03327
2021-08-24,1.47874
2021-08-26,2.5878
2021-08-29,0.92421
2021-08-30,1.84842
2021-08-31,1.2939
2021-09-01,1.84842
2021-09-02,9.0573
2021-09-03,10.90573
2021-09-04,8.68761
2021-09-05,4.80591
2021-09-06,4.99075
2021-09-07,6.83918
2021-09-08,3.69685
2021-09-09,2.03327
2021-09-10,3.32717
2021-09-11,8.87245
2021-09-12,1.84842
2021-09-13,0.92421
2021-09-14,2.40295
2021-09-15,2.03327
2021-09-16,2.77264
2021-09-17,1.2939
2021-09-18,1.84842
2021-09-19,2.5878
2021-09-20,1.2939
2021-09-21,2.03327
2021-09-22,2.40295
2021-09-23,1.10905
2021-09-25,1.84842
2021-09-26,1.66358
2021-09-27,1.84842
2021-09-28,3.69685
2021-09-29,5.1756
2021-09-30,1.66358
2021-10-01,0.92421
2021-10-02,2.40295
2021-10-03,1.2939
2021-10-04,3.51201
2021-10-05,2.5878
2021-10-06,1.2939
2021-10-07,2.40295
2021-10-08,1.10905
2021-10-09,1.47874
2021-10-10,1.10905
2021-10-11,1.66358
2021-10-12,2.5878
2021-10-13,1.10905
2021-10-14,2.40295
2021-10-16,0.92421
2021-10-18,1.66358
2021-10-19,1.10905
2021-10-20,4.06654
2021-10-21,0.92421
2021-10-22,1.47874
2021-10-24,1.84842
2021-10-25,3.8817
2021-10-26,2.5878
2021-10-28,2.21811
2021-10-29,1.10905
2021-10-31,1.10905
2021-11-01,5.1756
2021-11-03,1.2939
2021-11-05,1.10905
2021-11-06,1.84842
2021-11-07,1.66358
2021-11-09,1.10905
2021-11-12,0.92421
2021-11-13,1.10905
2021-11-15,1.84842
2021-11-21,0.92421
2021-11-22,3.14232
2021-11-23,0.92421
2021-11-24,1.10905
2021-11-25,1.84842
2021-11-30,0.92421
2021-12-01,1.2939
2021-12-02,0.92421
2021-12-05,1.66358
2021-12-06,0.92421
2021-12-07,0.92421
2021-12-08,1.84842
