date,개인연금
2021-08-17,34.13419
2021-08-18,34.95458
2021-08-19,30.58892
2021-08-20,31.43861
2021-08-21,26.16466
2021-08-22,22.64869
2021-08-23,28.80164
2021-08-24,45.29739
2021-08-25,35.83357
2021-08-26,38.52915
2021-08-27,34.01699
2021-08-28,22.1799
2021-08-29,23.52768
2021-08-30,32.8157
2021-08-31,30.03222
2021-09-01,27.62965
2021-09-02,28.94813
2021-09-03,25.52007
2021-09-04,21.3302
2021-09-05,20.74421
2021-09-06,27.54175
2021-09-07,26.22326
2021-09-08,27.54175
2021-09-09,25.43217
2021-09-10,22.0041
2021-09-11,16.67154
2021-09-12,19.04482
2021-09-13,24.64107
2021-09-14,25.28567
2021-09-15,24.58247
2021-09-16,23.08819
2021-09-17,21.9455
2021-09-18,19.07412
2021-09-19,18.10723
2021-09-20,22.56079
2021-09-21,30.79402
2021-09-22,39.02724
2021-09-23,50.54204
2021-09-24,46.76237
2021-09-25,28.71374
2021-09-26,29.56343
2021-09-27,34.63228
2021-09-28,33.1966
2021-09-29,60.09375
2021-09-30,69.96777
2021-10-01,47.58277
2021-10-02,37.56226
2021-10-03,30.73542
2021-10-04,38.35335
2021-10-05,43.6273
2021-10-06,42.86551
2021-10-07,42.95341
2021-10-08,35.54058
2021-10-09,23.55698
2021-10-10,24.61177
2021-10-11,27.19015
2021-10-12,31.43861
2021-10-13,32.7571
2021-10-14,31.64371
2021-10-15,29.06533
2021-10-16,21.2423
2021-10-17,27.04365
2021-10-18,29.18253
2021-10-19,29.73923
2021-10-20,27.13155
2021-10-21,28.30354
2021-10-22,53.94081
2021-10-23,20.39261
2021-10-24,23.08819
2021-10-25,32.4641
2021-10-26,38.52915
2021-10-27,34.39789
2021-10-28,30.09082
2021-10-29,28.21564
2021-10-30,20.94931
2021-10-31,26.22326
2021-11-01,28.91883
2021-11-02,29.41693
2021-11-03,32.02461
2021-11-04,29.03603
2021-11-05,27.19015
2021-11-06,18.57603
2021-11-07,22.1799
2021-11-08,29.91503
2021-11-09,27.92264
2021-11-10,25.46147
2021-11-11,31.52651
2021-11-12,24.11368
2021-11-13,20.71491
2021-11-14,22.67799
2021-11-15,33.98769
2021-11-16,40.66803
2021-11-17,33.87049
2021-11-18,34.83738
2021-11-19,36.85906
2021-11-20,25.40287
2021-11-21,23.26399
2021-11-22,31.11631
2021-11-23,26.66276
2021-11-24,28.33284
2021-11-25,29.38763
2021-11-26,39.73044
2021-11-27,21.8869
2021-11-28,22.26779
2021-11-29,28.01054
2021-11-30,29.06533
2021-12-01,26.60416
2021-12-02,24.64107
2021-12-03,21.7111
2021-12-04,18.72253
2021-12-05,22.59009
2021-12-06,27.42455
2021-12-07,30.03222
2021-12-08,27.04365
2021-12-09,35.95077
2021-12-10,29.56343
2021-12-11,29.24113
2021-12-12,27.65895
2021-12-13,29.32903
2021-12-14,29.59273
2021-12-15,27.60035
2021-12-16,25.57866
2021-12-17,22.41429
2021-12-18,17.78493
2021-12-19,24.52387
2021-12-20,32.5227
2021-12-21,35.18898
2021-12-22,30.53032
2021-12-23,31.20421
2021-12-24,32.4348
2021-12-25,23.11749
2021-12-26,27.33665
2021-12-27,38.14825
2021-12-28,38.93934
2021-12-29,38.11895
2021-12-30,40.43363
2021-12-31,36.44887
2022-01-01,25.25637
2022-01-02,26.10606
2022-01-03,31.40931
2022-01-04,35.98007
2022-01-05,36.82976
2022-01-06,30.41312
2022-01-07,26.31116
2022-01-08,22.67799
2022-01-09,26.42836
2022-01-10,35.07178
2022-01-11,31.90741
2022-01-12,29.91503
2022-01-13,46.08848
2022-01-14,39.43744
2022-01-15,30.06152
2022-01-16,29.21183
2022-01-17,53.76501
2022-01-18,62.05684
2022-01-19,55.66949
2022-01-20,57.63258
2022-01-21,54.5854
2022-01-22,34.72018
2022-01-23,35.59917
2022-01-24,56.63639
2022-01-25,64.48871
2022-01-26,59.68356
2022-01-27,49.16495
2022-01-28,45.20949
2022-01-29,30.70612
2022-01-30,28.39144
2022-01-31,32.05391
2022-02-01,36.24377
2022-02-02,37.94315
2022-02-03,59.68356
2022-02-04,51.77263
2022-02-05,39.43744
2022-02-06,39.32024
2022-02-07,57.77907
2022-02-08,56.51919
2022-02-09,45.64898
2022-02-10,45.53179
2022-02-11,41.89862
2022-02-12,28.45004
2022-02-13,33.63609
2022-02-14,38.06035
2022-02-15,43.3636
2022-02-16,41.92792
2022-02-17,38.14825
2022-02-18,39.14444
2022-02-19,26.77995
2022-02-20,27.80544
2022-02-21,48.54966
2022-02-22,47.90506
2022-02-23,43.6273
2022-02-24,38.91004
2022-02-25,41.66422
2022-02-26,31.29211
2022-02-27,26.83855
2022-02-28,34.80808
2022-03-01,28.03984
2022-03-02,34.22209
2022-03-03,30.50102
2022-03-04,28.50864
2022-03-05,23.17609
2022-03-06,22.94169
2022-03-07,25.72516
2022-03-08,24.26018
2022-03-09,18.83973
2022-03-10,26.42836
2022-03-11,25.05127
2022-03-12,20.30471
2022-03-13,22.0041
2022-03-14,27.24875
2022-03-15,27.77615
2022-03-16,33.51889
2022-03-17,30.53032
2022-03-18,26.86785
2022-03-19,19.86522
2022-03-20,20.59771
2022-03-21,28.03984
2022-03-22,26.10606
2022-03-23,27.51245
2022-03-24,26.01816
2022-03-25,28.39144
2022-03-26,20.07031
2022-03-27,23.41048
2022-03-28,26.42836
2022-03-29,24.26018
2022-03-30,25.10987
2022-03-31,27.80544
2022-04-01,21.7404
2022-04-02,14.26897
2022-04-03,16.23205
2022-04-04,22.91239
2022-04-05,25.90096
2022-04-06,23.43978
2022-04-07,23.61558
2022-04-08,19.86522
2022-04-09,14.94286
2022-04-10,14.38617
2022-04-11,22.79519
2022-04-12,23.67418
