date,VOO주가
2022-03-24,8.7912
2022-03-25,9.1575
2022-03-26,6.2271
2022-03-27,2.5641
2022-03-28,2.5641
2022-03-29,17.21611
2022-03-30,14.28571
2022-03-31,15.01831
2022-04-01,15.01831
2022-04-02,10.98901
2022-04-03,3.663
2022-04-04,5.4945
2022-04-05,12.82051
2022-04-06,6.9597
2022-04-07,9.1575
2022-04-08,7.326
2022-04-09,5.8608
2022-04-10,2.1978
2022-04-11,8.0586
2022-04-12,6.5934
2022-04-13,10.98901
2022-04-14,8.4249
2022-04-15,7.326
2022-04-16,1.8315
2022-04-17,2.1978
2022-04-18,7.326
2022-04-19,7.326
2022-04-20,4.0293
2022-04-21,7.6923
2022-04-22,8.4249
2022-04-23,5.1282
2022-04-24,1.8315
2022-04-25,6.2271
2022-04-26,7.326
2022-04-27,7.326
2022-04-28,7.6923
2022-04-29,8.0586
2022-04-30,2.9304
2022-05-02,1.8315
2022-05-03,5.8608
2022-05-04,4.3956
2022-05-05,6.9597
2022-05-06,12.45421
2022-05-07,3.2967
2022-05-09,5.1282
2022-05-10,10.25641
2022-05-11,9.5238
2022-05-12,9.1575
2022-05-13,11.35531
2022-05-14,1.8315
2022-05-15,3.2967
2022-05-16,6.9597
2022-05-17,2.5641
2022-05-18,6.5934
2022-05-19,5.4945
2022-05-20,5.1282
2022-05-21,4.3956
2022-05-22,4.3956
2022-05-23,2.9304
2022-05-24,3.2967
2022-05-25,6.2271
2022-05-26,4.7619
2022-05-27,3.663
2022-05-28,1.8315
2022-05-29,2.9304
2022-05-30,4.3956
2022-05-31,2.1978
2022-06-01,2.1978
2022-06-02,4.7619
2022-06-03,6.5934
2022-06-04,3.2967
2022-06-06,2.1978
2022-06-07,2.1978
2022-06-10,5.8608
2022-06-11,4.7619
2022-06-12,2.9304
2022-06-13,6.2271
2022-06-14,4.3956
2022-06-15,5.4945
2022-06-16,5.4945
2022-06-17,7.6923
2022-06-18,10.25641
2022-06-20,2.5641
2022-06-21,2.1978
2022-06-22,2.1978
2022-06-23,2.5641
2022-06-24,2.9304
2022-06-25,3.2967
2022-06-26,4.3956
2022-06-29,5.8608
2022-06-30,2.1978
2022-07-01,4.3956
2022-07-02,2.1978
2022-07-03,1.8315
2022-07-04,1.8315
2022-07-06,2.5641
2022-07-07,3.663
2022-07-08,3.2967
2022-07-09,2.5641
2022-07-10,2.5641
2022-07-11,1.8315
2022-07-12,2.9304
2022-07-14,2.1978
2022-07-16,2.9304
2022-07-19,2.1978
2022-07-20,5.1282
2022-07-21,3.2967
2022-07-22,2.1978
2022-07-23,5.1282
2022-07-24,2.9304
2022-07-26,3.663
2022-07-27,1.8315
2022-07-28,5.4945
2022-07-29,5.4945
2022-07-30,2.1978
2022-07-31,1.8315
2022-08-01,2.1978
2022-08-02,5.1282
2022-08-03,4.3956
2022-08-04,9.5238
2022-08-05,4.0293
2022-08-06,4.7619
2022-08-08,4.0293
2022-08-09,5.4945
2022-08-10,6.5934
2022-08-11,7.326
2022-08-12,4.7619
2022-08-13,4.3956
2022-08-14,2.9304
2022-08-15,2.9304
2022-08-16,3.2967
2022-08-17,1.8315
2022-08-18,2.1978
2022-08-19,2.1978
2022-08-20,1.8315
2022-08-21,1.8315
2022-08-23,6.9597
2022-08-24,6.2271
2022-08-25,10.62271
2022-08-26,10.98901
2022-08-27,10.25641
2022-08-28,3.2967
2022-08-29,8.4249
2022-08-30,6.2271
2022-08-31,9.8901
2022-09-01,11.72161
2022-09-02,11.35531
2022-09-03,4.0293
2022-09-04,2.5641
2022-09-06,5.4945
2022-09-07,9.8901
2022-09-08,6.5934
2022-09-09,5.4945
2022-09-10,8.0586
2022-09-12,3.2967
2022-09-13,8.7912
2022-09-14,9.1575
2022-09-15,5.1282
2022-09-16,5.8608
2022-09-17,5.8608
2022-09-18,4.0293
2022-09-19,2.1978
2022-09-20,6.5934
2022-09-21,5.8608
2022-09-22,12.82051
2022-09-23,14.28571
2022-09-24,5.4945
2022-09-25,6.5934
2022-09-26,10.98901
2022-09-27,9.1575
2022-09-28,12.45421
2022-09-29,8.0586
2022-09-30,12.08791
2022-10-01,6.5934
2022-10-02,7.326
2022-10-03,12.45421
2022-10-04,8.4249
2022-10-05,15.75091
2022-10-06,13.55311
2022-10-07,7.6923
2022-10-08,7.326
2022-10-09,4.7619
2022-10-10,14.28571
2022-10-11,15.38461
2022-10-12,11.72161
2022-10-13,12.45421
2022-10-14,10.62271
2022-10-15,8.0586
2022-10-16,2.9304
2022-10-17,6.9597
2022-10-18,8.7912
2022-10-19,10.25641
2022-10-20,6.9597
2022-10-21,5.8608
2022-10-22,6.2271
2022-10-23,2.1978
2022-10-24,4.7619
2022-10-25,5.8608
2022-10-26,11.72161
2022-10-27,8.0586
2022-10-28,6.9597
2022-10-29,5.8608
2022-10-30,2.1978
2022-10-31,9.5238
2022-11-01,9.5238
2022-11-02,11.72161
2022-11-03,13.55311
2022-11-04,8.7912
2022-11-05,8.7912
2022-11-06,4.3956
2022-11-07,10.62271
2022-11-08,13.18681
2022-11-09,12.08791
2022-11-10,8.4249
2022-11-11,13.91941
2022-11-12,8.7912
2022-11-13,5.8608
2022-11-14,5.1282
2022-11-15,13.18681
2022-11-16,15.01831
2022-11-17,10.98901
2022-11-18,4.0293
2022-11-19,9.8901
2022-11-20,3.663
2022-11-21,6.5934
2022-11-22,10.25641
2022-11-23,13.55311
2022-11-24,6.2271
2022-11-25,5.8608
2022-11-26,5.8608
2022-11-27,5.1282
2022-11-28,5.4945
2022-11-29,13.55311
2022-11-30,8.0586
2022-12-01,12.08791
2022-12-02,8.7912
2022-12-03,4.3956
2022-12-04,5.1282
2022-12-05,8.4249
2022-12-06,5.4945
2022-12-07,8.0586
2022-12-08,12.45421
2022-12-09,14.28571
2022-12-10,9.1575
2022-12-11,5.4945
2022-12-12,11.72161
2022-12-13,10.98901
2022-12-14,14.65201
2022-12-15,16.11721
2022-12-16,10.62271
2022-12-17,10.62271
2022-12-18,3.2967
2022-12-19,8.4249
2022-12-20,16.11721
2022-12-21,13.55311
2022-12-22,14.28571
2022-12-23,12.45421
2022-12-24,10.25641
2022-12-25,5.4945
2022-12-26,9.8901
2022-12-27,15.38461
2022-12-28,17.21611
2022-12-29,15.01831
2022-12-30,9.1575
2022-12-31,9.8901
2023-01-01,4.7619
2023-01-02,10.62271
2023-01-03,9.5238
2023-01-04,13.55311
2023-01-05,16.48351
2023-01-06,15.38461
2023-01-07,17.21611
2023-01-08,9.1575
2023-01-09,15.01831
2023-01-10,26.37362
2023-01-11,23.80952
2023-01-12,19.41391
2023-01-13,21.24542
2023-01-14,15.38461
2023-01-15,9.5238
2023-01-16,10.62271
2023-01-17,16.11721
2023-01-18,13.55311
2023-01-19,12.82051
2023-01-20,13.18681
2023-01-21,22.34432
2023-01-22,9.5238
2023-01-23,6.2271
2023-01-24,25.64102
2023-01-25,16.11721
2023-01-26,14.65201
2023-01-27,24.54212
2023-01-28,20.87912
2023-01-29,6.2271
2023-01-30,10.25641
2023-01-31,20.51282
2023-02-01,19.78021
2023-02-02,26.00732
2023-02-03,22.34432
2023-02-04,21.61172
2023-02-05,8.7912
2023-02-06,14.28571
2023-02-07,21.24542
2023-02-08,19.04761
2023-02-09,23.44322
2023-02-10,17.94871
2023-02-11,18.31501
2023-02-12,8.4249
2023-02-13,10.98901
2023-02-14,20.51282
2023-02-15,20.87912
2023-02-16,20.51282
2023-02-17,13.18681
2023-02-18,10.98901
2023-02-19,6.9597
2023-02-20,7.6923
2023-02-21,17.21611
2023-02-22,16.48351
2023-02-23,17.94871
2023-02-24,19.04761
2023-02-25,11.72161
2023-02-26,3.663
2023-02-27,10.62271
2023-02-28,16.11721
2023-03-01,12.45421
2023-03-02,13.55311
2023-03-03,12.45421
2023-03-04,8.4249
2023-03-05,5.4945
2023-03-06,13.18681
2023-03-07,17.58241
2023-03-08,16.11721
2023-03-09,18.31501
2023-03-10,10.98901
2023-03-11,8.0586
2023-03-12,9.8901
2023-03-13,16.48351
2023-03-14,16.11721
2023-03-15,20.51282
2023-03-16,24.54212
2023-03-17,22.71062
2023-03-18,12.82051
2023-03-19,5.1282
2023-03-20,8.4249
2023-03-21,19.78021
2023-03-22,18.31501
2023-03-23,20.14652
2023-03-24,24.54212
2023-03-25,13.18681
2023-03-26,8.4249
2023-03-27,12.82051
2023-03-28,18.31501
2023-03-29,18.68131
2023-03-30,20.51282
2023-03-31,19.78021
2023-04-01,13.55311
2023-04-02,3.663
2023-04-03,10.98901
2023-04-04,22.71062
2023-04-05,24.17582
2023-04-06,14.28571
2023-04-07,13.18681
2023-04-08,5.4945
2023-04-09,7.6923
2023-04-10,9.5238
2023-04-11,17.94871
2023-04-12,19.78021
2023-04-13,14.65201
2023-04-14,18.68131
2023-04-15,8.7912
2023-04-16,2.9304
2023-04-17,12.08791
2023-04-18,18.31501
2023-04-19,17.58241
2023-04-20,19.04761
2023-04-21,17.21611
2023-04-22,12.82051
2023-04-23,4.7619
2023-04-24,9.8901
2023-04-25,18.31501
2023-04-26,16.11721
2023-04-27,13.91941
