date,박물관
2021-02-05,16.28978
2021-02-06,22.21524
2021-02-07,26.17252
2021-02-08,14.82412
2021-02-09,15.45226
2021-02-10,15.57788
2021-02-11,18.80234
2021-02-12,20.07956
2021-02-13,34.14991
2021-02-14,27.99413
2021-02-15,15.87102
2021-02-16,15.34757
2021-02-17,17.04355
2021-02-18,14.90787
2021-02-19,18.19514
2021-02-20,27.44974
2021-02-21,28.49664
2021-02-22,16.28978
2021-02-23,17.92294
2021-02-24,18.1742
2021-02-25,18.99078
2021-02-26,20.95896
2021-02-27,32.30737
2021-02-28,38.84003
2021-03-01,31.97236
2021-03-02,13.50502
2021-03-03,14.04941
2021-03-04,14.90787
2021-03-05,17.88107
2021-03-06,32.26549
2021-03-07,27.30318
2021-03-08,15.09631
2021-03-09,15.07537
2021-03-10,16.12227
2021-03-11,16.37353
2021-03-12,18.48827
2021-03-13,31.99329
2021-03-14,30.33919
2021-03-15,14.74036
2021-03-16,15.28475
2021-03-17,14.99162
2021-03-18,15.59882
2021-03-19,22.15242
2021-03-20,37.2278
2021-03-21,33.6474
2021-03-22,16.33165
2021-03-23,15.43132
2021-03-24,17.62981
2021-03-25,17.02261
2021-03-26,23.59715
2021-03-27,36.51591
2021-03-28,32.53768
2021-03-29,15.99664
2021-03-30,15.74539
2021-03-31,15.99664
2021-04-01,17.08542
2021-04-02,21.1474
2021-04-03,35.38525
2021-04-04,29.31323
2021-04-05,15.68257
2021-04-06,16.14321
2021-04-07,16.35259
2021-04-08,14.65661
2021-04-09,19.01172
2021-04-10,24.74874
2021-04-11,24.07872
2021-04-12,17.81825
2021-04-13,16.60385
2021-04-14,14.92881
2021-04-15,17.81825
2021-04-16,19.80737
2021-04-17,33.75209
2021-04-18,28.66415
2021-04-19,16.49916
2021-04-20,15.13819
2021-04-21,13.65159
2021-04-22,14.92881
2021-04-23,16.87604
2021-04-24,25.25125
2021-04-25,24.62311
2021-04-26,13.92378
2021-04-27,15.07537
2021-04-28,16.18509
2021-04-29,17.39949
2021-04-30,23.8484
2021-05-01,38.21189
2021-05-02,31.30234
2021-05-03,24.41373
2021-05-04,33.0402
2021-05-05,46.83835
2021-05-06,20.28894
2021-05-07,20.14237
2021-05-08,23.86934
2021-05-09,24.03685
2021-05-10,14.69849
2021-05-11,16.03852
2021-05-12,17.04355
2021-05-13,18.46733
2021-05-14,23.30402
2021-05-15,40.13819
2021-05-16,40.89195
2021-05-17,20.268
2021-05-18,26.50753
2021-05-19,35.72026
2021-05-20,19.0536
2021-05-21,21.56616
2021-05-22,31.76298
2021-05-23,30.00418
2021-05-24,18.36264
2021-05-25,17.69262
2021-05-26,17.16917
2021-05-27,17.94388
2021-05-28,22.92713
2021-05-29,36.49497
2021-05-30,31.5536
2021-05-31,18.57202
2021-06-01,17.27386
2021-06-02,18.46733
2021-06-03,18.19514
2021-06-04,23.93216
2021-06-05,32.80988
2021-06-06,33.08207
2021-06-07,19.20016
2021-06-08,19.09547
2021-06-09,18.36264
2021-06-10,18.50921
2021-06-11,25.35594
2021-06-12,40.61976
2021-06-13,38.92378
2021-06-14,19.70268
2021-06-15,18.6139
2021-06-16,19.2211
2021-06-17,19.89112
2021-06-18,24.97906
2021-06-19,39.07035
2021-06-20,37.12311
2021-06-21,20.49832
2021-06-22,18.88609
2021-06-23,18.36264
2021-06-24,18.99078
2021-06-25,22.8015
2021-06-26,41.03852
2021-06-27,40.70351
2021-06-28,19.2211
2021-06-29,19.55611
2021-06-30,19.84924
2021-07-01,21.96398
2021-07-02,26.06783
2021-07-03,41.20603
2021-07-04,46.71273
2021-07-05,23.61809
2021-07-06,21.5871
2021-07-07,17.60887
2021-07-08,17.23199
2021-07-09,18.86515
2021-07-10,26.61222
2021-07-11,25.62814
2021-07-12,17.52512
2021-07-13,17.83919
2021-07-14,17.44137
2021-07-15,17.86013
2021-07-16,21.56616
2021-07-17,31.40703
2021-07-18,36.41122
2021-07-19,22.29899
2021-07-20,25.48157
2021-07-21,23.32495
2021-07-22,26.42378
2021-07-23,28.53852
2021-07-24,42.04355
2021-07-25,47.67587
2021-07-26,37.12311
2021-07-27,38.67252
2021-07-28,39.13316
2021-07-29,39.27973
2021-07-30,41.77135
2021-07-31,50.43969
2021-08-01,56.97236
2021-08-02,49.01591
2021-08-03,49.51842
2021-08-04,43.48827
2021-08-05,40.32663
2021-08-06,39.07035
2021-08-07,53.45477
2021-08-08,46.94304
2021-08-09,30.5067
2021-08-10,32.18174
2021-08-11,27.55443
2021-08-12,28.43383
2021-08-13,29.14572
2021-08-14,48.42964
2021-08-15,57.95644
2021-08-16,45.95896
2021-08-17,25.83752
2021-08-18,24.47654
2021-08-19,24.20435
2021-08-20,25.98408
2021-08-21,44.80737
2021-08-22,38.73534
2021-08-23,24.76968
2021-08-24,21.60804
2021-08-25,20.33082
2021-08-26,18.57202
2021-08-27,22.84338
2021-08-28,37.87688
2021-08-29,38.14907
2021-08-30,18.46733
2021-08-31,18.53015
2021-09-01,18.3417
2021-09-02,19.47236
2021-09-03,25.18844
2021-09-04,35.09212
2021-09-05,32.09798
2021-09-06,19.15829
2021-09-07,17.65075
2021-09-08,18.48827
2021-09-09,19.45142
2021-09-10,22.90619
2021-09-11,30.31825
2021-09-12,30.36013
2021-09-13,20.58207
2021-09-14,19.07453
2021-09-15,21.00083
2021-09-16,20.20519
2021-09-17,20.05862
2021-09-18,24.16247
2021-09-19,28.87353
2021-09-20,25.87939
2021-09-21,27.38693
2021-09-22,33.58458
2021-09-23,23.86934
2021-09-24,25.46063
2021-09-25,28.49664
2021-09-26,27.03098
2021-09-27,19.57705
2021-09-28,18.55108
2021-09-29,19.17922
2021-09-30,18.06951
2021-10-01,21.60804
2021-10-02,34.92462
2021-10-03,46.50335
2021-10-04,43.09045
2021-10-05,20.89614
2021-10-06,19.13735
2021-10-07,20.1005
2021-10-08,29.22948
2021-10-09,48.17839
2021-10-10,61.6206
2021-10-11,38.50502
2021-10-12,17.98576
2021-10-13,18.04857
2021-10-14,18.46733
2021-10-15,23.93216
2021-10-16,35.53182
2021-10-17,32.97738
2021-10-18,18.13232
2021-10-19,15.74539
2021-10-20,17.04355
2021-10-21,17.62981
2021-10-22,22.11055
2021-10-23,32.09798
2021-10-24,30.08793
2021-10-25,18.46733
2021-10-26,17.25293
2021-10-27,16.77135
2021-10-28,17.71356
2021-10-29,18.48827
2021-10-30,26.36097
2021-10-31,25.43969
2021-11-01,18.67671
2021-11-02,18.71859
2021-11-03,14.99162
2021-11-04,18.46733
2021-11-05,19.55611
2021-11-06,26.52847
2021-11-07,28.39195
2021-11-08,20.56113
2021-11-09,17.65075
2021-11-10,17.1273
2021-11-11,17.33668
2021-11-12,23.2412
2021-11-13,30.69514
2021-11-14,28.05695
2021-11-15,15.61976
2021-11-16,16.79229
2021-11-17,16.64572
2021-11-18,15.87102
2021-11-19,21.35678
2021-11-20,32.85175
2021-11-21,36.13902
2021-11-22,18.21608
2021-11-23,18.53015
2021-11-24,16.93886
2021-11-25,17.25293
2021-11-26,22.40368
2021-11-27,34.5268
2021-11-28,32.6005
2021-11-29,18.02763
2021-11-30,17.52512
2021-12-01,17.33668
2021-12-02,16.93886
2021-12-03,23.17839
2021-12-04,33.73115
2021-12-05,32.89363
2021-12-06,16.91792
2021-12-07,16.72948
2021-12-08,15.66164
2021-12-09,15.201
2021-12-10,18.04857
