date,KEC주가
2022-11-29,7.61561
2022-11-30,7.67925
2022-12-01,9.28086
2022-12-02,7.4406
2022-12-03,0.87505
2022-12-04,0.82732
2022-12-05,7.605
2022-12-06,6.58676
2022-12-07,6.66631
2022-12-08,6.36402
2022-12-09,6.53903
2022-12-10,1.02354
2022-12-11,0.8061
2022-12-12,6.98451
2022-12-13,7.26028
2022-12-14,6.88375
2022-12-15,6.72464
2022-12-16,5.47836
2022-12-17,0.6417
2022-12-18,0.49321
2022-12-19,6.25265
2022-12-20,6.50721
2022-12-21,7.06936
2022-12-22,8.25731
2022-12-23,6.6557
2022-12-24,0.91217
2022-12-25,0.8061
2022-12-26,7.42999
2022-12-27,7.40878
2022-12-28,7.68985
2022-12-29,7.32923
2022-12-30,2.30165
2022-12-31,0.63109
2023-01-01,0.72655
2023-01-02,7.35574
2023-01-03,7.38756
2023-01-04,9.06873
2023-01-05,7.42999
2023-01-06,7.84365
2023-01-07,1.22507
2023-01-08,0.8061
2023-01-09,9.1801
2023-01-10,7.98684
2023-01-11,7.99215
2023-01-12,7.67394
2023-01-13,7.49363
2023-01-14,1.2728
2023-01-15,1.00233
2023-01-16,7.17543
2023-01-17,6.78298
2023-01-18,6.18901
2023-01-19,5.63746
2023-01-20,5.07
2023-01-21,0.84853
2023-01-22,0.41366
2023-01-23,0.4773
2023-01-24,0.62049
2023-01-25,8.25731
2023-01-26,7.88078
2023-01-27,7.7588
2023-01-28,1.06597
2023-01-29,0.83792
2023-01-30,7.39287
2023-01-31,6.4966
2023-02-01,7.5997
2023-02-02,8.88311
2023-02-03,7.64212
2023-02-04,0.88565
2023-02-05,0.83262
2023-02-06,6.63979
2023-02-07,7.27619
2023-02-08,7.4512
2023-02-09,43.91175
2023-02-10,40.39563
2023-02-11,4.90029
2023-02-12,4.41238
2023-02-13,18.3549
2023-02-14,19.08676
2023-02-15,15.34259
2023-02-16,14.32965
2023-02-17,14.78574
2023-02-18,2.75774
2023-02-19,2.57212
2023-02-20,12.80229
2023-02-21,10.26198
2023-02-22,8.53309
2023-02-23,8.64446
2023-02-24,7.43529
2023-02-25,1.52206
2023-02-26,1.04476
2023-02-27,10.98854
2023-02-28,12.29316
2023-03-01,2.61455
2023-03-02,17.55409
2023-03-03,13.29019
2023-03-04,2.41832
2023-03-05,1.79783
2023-03-06,15.28425
2023-03-07,16.66313
2023-03-08,11.16885
2023-03-09,10.94081
2023-03-10,9.73695
2023-03-11,1.49024
2023-03-12,1.37356
2023-03-13,9.42935
2023-03-14,8.58082
2023-03-15,9.57785
2023-03-16,8.84599
2023-03-17,10.22486
2023-03-18,1.76601
2023-03-19,1.41599
2023-03-20,9.35511
2023-03-21,8.57021
2023-03-22,9.24904
2023-03-23,8.51187
2023-03-24,9.47708
2023-03-25,1.86677
2023-03-26,1.44251
2023-03-27,8.8672
2023-03-28,25.23334
2023-03-29,15.59715
2023-03-30,19.02842
2023-03-31,17.12452
2023-04-01,2.77365
2023-04-02,2.39181
2023-04-03,12.52651
2023-04-04,11.33856
2023-04-05,10.69155
