date,다이렉트보험
2022-10-25,44.1576
2022-10-26,46.73913
2022-10-27,50.13586
2022-10-28,41.30434
2022-10-29,21.73913
2022-10-30,21.73913
2022-10-31,45.5163
2022-11-01,37.22826
2022-11-02,45.78804
2022-11-03,41.57608
2022-11-04,42.3913
2022-11-05,20.10869
2022-11-06,20.38043
2022-11-07,49.86413
2022-11-08,45.78804
2022-11-09,49.32065
2022-11-10,48.91304
2022-11-11,41.44021
2022-11-12,19.83695
2022-11-13,18.88586
2022-11-14,46.73913
2022-11-15,53.80434
2022-11-16,48.91304
2022-11-17,47.01086
2022-11-18,43.07065
2022-11-19,22.82608
2022-11-20,22.2826
2022-11-21,51.08695
2022-11-22,52.85326
2022-11-23,45.78804
2022-11-24,47.2826
2022-11-25,42.79891
2022-11-26,24.45652
2022-11-27,22.14673
2022-11-28,52.17391
2022-11-29,45.78804
2022-11-30,46.60326
2022-12-01,44.02173
2022-12-02,37.5
2022-12-03,16.84782
2022-12-04,23.23369
2022-12-05,44.83695
2022-12-06,44.1576
2022-12-07,43.34239
2022-12-08,43.34239
2022-12-09,38.85869
2022-12-10,25.27173
2022-12-11,23.23369
2022-12-12,50.13586
2022-12-13,52.30978
2022-12-14,51.35869
2022-12-15,47.01086
2022-12-16,42.25543
2022-12-17,20.78804
2022-12-18,24.72826
2022-12-19,60.05434
2022-12-20,46.875
2022-12-21,50.95108
2022-12-22,46.73913
2022-12-23,36.00543
2022-12-24,22.55434
2022-12-25,22.41847
2022-12-26,55.97826
2022-12-27,52.58152
2022-12-28,52.98913
2022-12-29,51.08695
2022-12-30,43.75
2022-12-31,24.72826
2023-01-01,24.59239
2023-01-02,49.59239
2023-01-03,49.59239
2023-01-04,50.13586
2023-01-05,46.875
2023-01-06,45.10869
2023-01-07,23.91304
2023-01-08,25.0
2023-01-09,55.97826
2023-01-10,52.98913
2023-01-11,37.77173
2023-01-12,41.30434
2023-01-13,44.42934
2023-01-14,28.66847
2023-01-15,27.85326
2023-01-16,50.81521
2023-01-17,51.35869
2023-01-18,46.33152
2023-01-19,40.08152
2023-01-20,22.69021
2023-01-21,16.57608
2023-01-22,16.30434
2023-01-23,13.85869
2023-01-24,19.83695
2023-01-25,57.74456
2023-01-26,55.43478
2023-01-27,51.90217
2023-01-28,30.70652
2023-01-29,32.33695
2023-01-30,58.69565
2023-01-31,47.96195
2023-02-01,48.23369
2023-02-02,48.36956
2023-02-03,43.75
2023-02-04,26.35869
2023-02-05,27.98913
2023-02-06,61.27717
2023-02-07,55.97826
2023-02-08,50.95108
2023-02-09,51.08695
2023-02-10,42.93478
2023-02-11,26.7663
2023-02-12,26.7663
2023-02-13,51.90217
2023-02-14,55.43478
2023-02-15,55.84239
2023-02-16,52.85326
2023-02-17,47.01086
2023-02-18,27.98913
2023-02-19,29.48369
2023-02-20,50.54347
2023-02-21,53.80434
2023-02-22,45.78804
2023-02-23,50.81521
2023-02-24,45.38043
2023-02-25,28.94021
2023-02-26,27.03804
2023-02-27,52.98913
2023-02-28,57.06521
2023-03-01,38.72282
2023-03-02,59.10326
2023-03-03,44.83695
2023-03-04,30.29891
2023-03-05,32.20108
2023-03-06,63.45108
2023-03-07,57.47282
2023-03-08,56.79347
2023-03-09,46.875
2023-03-10,47.41847
2023-03-11,24.45652
2023-03-12,26.22282
2023-03-13,55.57065
2023-03-14,45.38043
2023-03-15,49.72826
2023-03-16,51.7663
2023-03-17,53.26086
2023-03-18,27.58152
2023-03-19,27.44565
2023-03-20,50.95108
2023-03-21,58.83152
2023-03-22,52.03804
2023-03-23,57.60869
2023-03-24,49.18478
2023-03-25,28.5326
2023-03-26,25.54347
2023-03-27,54.48369
2023-03-28,51.7663
2023-03-29,44.56521
2023-03-30,51.22282
2023-03-31,49.59239
2023-04-01,24.86413
2023-04-02,30.84239
2023-04-03,51.22282
2023-04-04,56.11413
2023-04-05,53.39673
2023-04-06,51.49456
2023-04-07,43.07065
2023-04-08,22.01086
2023-04-09,24.32065
2023-04-10,60.86956
2023-04-11,56.25
2023-04-12,50.4076
2023-04-13,53.5326
2023-04-14,48.50543
2023-04-15,27.44565
2023-04-16,24.45652
2023-04-17,53.39673
2023-04-18,53.66847
2023-04-19,43.88586
2023-04-20,46.19565
2023-04-21,42.3913
2023-04-22,22.96195
2023-04-23,20.24456
2023-04-24,56.25
2023-04-25,52.30978
2023-04-26,48.09782
2023-04-27,50.67934
2023-04-28,42.66304
2023-04-29,23.09782
2023-04-30,18.88586
2023-05-01,32.88043
2023-05-02,43.47826
2023-05-03,47.55434
2023-05-04,41.16847
2023-05-05,21.875
2023-05-06,19.56521
2023-05-07,20.24456
2023-05-08,51.7663
2023-05-09,52.85326
2023-05-10,54.8913
2023-05-11,57.74456
2023-05-12,44.29347
2023-05-13,31.92934
2023-05-14,29.34782
2023-05-15,60.32608
2023-05-16,62.9076
2023-05-17,56.92934
2023-05-18,55.84239
2023-05-19,49.86413
2023-05-20,24.72826
2023-05-21,29.48369
2023-05-22,64.40217
2023-05-23,50.95108
2023-05-24,55.02717
2023-05-25,49.59239
2023-05-26,45.5163
2023-05-27,26.90217
2023-05-28,21.875
2023-05-29,34.51086
2023-05-30,59.23913
2023-05-31,53.39673
