date,예금금리높은은행
2023-02-15,21.4146
2023-02-16,18.83963
2023-02-17,17.53585
2023-02-18,9.41981
2023-02-19,9.25684
2023-02-20,20.14341
2023-02-21,22.09908
2023-02-22,18.05736
2023-02-23,19.45893
2023-02-24,17.14471
2023-02-25,9.61538
2023-02-26,10.56062
2023-02-27,17.56844
2023-02-28,19.75228
2023-03-01,13.52672
2023-03-02,19.81747
2023-03-03,16.52542
2023-03-04,9.45241
2023-03-05,9.485
2023-03-06,16.16688
2023-03-07,16.00391
2023-03-08,17.34028
2023-03-09,16.16688
2023-03-10,14.76531
2023-03-11,6.5189
2023-03-12,8.67014
2023-03-13,17.43807
2023-03-14,17.11212
2023-03-15,15.54758
2023-03-16,14.8305
2023-03-17,13.46153
2023-03-18,5.28031
2023-03-19,6.87744
2023-03-20,15.51499
2023-03-21,14.37418
2023-03-22,15.18904
2023-03-23,16.88396
2023-03-24,15.61277
2023-03-25,7.30117
2023-03-26,7.65971
2023-03-27,16.42764
2023-03-28,16.36245
2023-03-29,14.2438
2023-03-30,15.09126
2023-03-31,14.04823
2023-04-01,6.22555
2023-04-02,7.92046
2023-04-03,13.95045
2023-04-04,13.46153
2023-04-05,12.71186
2023-04-06,11.57105
2023-04-07,11.31029
2023-04-08,4.88917
2023-04-09,5.47588
2023-04-10,12.15775
2023-04-11,14.2764
2023-04-12,11.57105
2023-04-13,10.85397
2023-04-14,10.62581
2023-04-15,4.7262
2023-04-16,5.05215
2023-04-17,13.59191
2023-04-18,12.71186
2023-04-19,9.485
2023-04-20,10.43024
2023-04-21,8.53976
2023-04-22,4.23728
2023-04-23,4.1395
2023-04-24,10.91916
2023-04-25,11.14732
2023-04-26,10.1043
2023-04-27,8.57235
2023-04-28,10.03911
2023-04-29,5.86701
2023-04-30,4.62842
2023-05-01,7.33376
2023-05-02,13.0378
2023-05-03,9.87614
2023-05-04,9.64797
2023-05-05,5.60625
2023-05-06,4.36766
2023-05-07,4.66101
2023-05-08,10.13689
2023-05-09,10.0717
2023-05-10,9.77835
2023-05-11,9.84354
2023-05-12,8.67014
2023-05-13,4.30247
2023-05-14,5.44328
2023-05-15,10.46284
2023-05-16,11.04954
2023-05-17,10.6584
2023-05-18,10.03911
2023-05-19,7.62711
2023-05-20,4.49804
2023-05-21,4.53063
2023-05-22,11.01694
2023-05-23,10.36505
2023-05-24,9.32203
2023-05-25,10.52803
2023-05-26,8.93089
2023-05-27,4.33507
2023-05-28,4.7588
2023-05-29,5.80182
2023-05-30,11.63624
2023-05-31,12.90743
2023-06-01,11.37548
2023-06-02,10.46284
2023-06-03,5.05215
2023-06-04,6.02998
2023-06-05,11.17992
2023-06-06,7.07301
2023-06-07,9.87614
2023-06-08,9.74576
2023-06-09,9.38722
2023-06-10,4.53063
2023-06-11,5.08474
2023-06-12,9.97392
2023-06-13,9.32203
2023-06-14,9.25684
2023-06-15,8.50717
2023-06-16,9.22425
2023-06-17,4.36766
2023-06-18,5.41069
2023-06-19,8.70273
2023-06-20,9.22425
2023-06-21,10.26727
2023-06-22,9.38722
2023-06-23,8.44198
2023-06-24,4.7588
2023-06-25,4.36766
2023-06-26,11.24511
2023-06-27,8.76792
2023-06-28,8.8983
2023-06-29,9.485
2023-06-30,11.11473
2023-07-01,5.44328
2023-07-02,7.75749
2023-07-03,14.53715
2023-07-04,17.76401
2023-07-05,17.63363
2023-07-06,17.14471
2023-07-07,14.2438
2023-07-08,6.06258
2023-07-09,6.29074
2023-07-10,13.20078
2023-07-11,13.29856
2023-07-12,12.64667
2023-07-13,10.29986
2023-07-14,10.33246
2023-07-15,5.11734
2023-07-16,4.95436
2023-07-17,12.4837
2023-07-18,10.78878
2023-07-19,9.94132
2023-07-20,9.87614
2023-07-21,9.12646
2023-07-22,5.18252
2023-07-23,6.09517
2023-07-24,12.94002
2023-07-25,12.84224
2023-07-26,11.2777
2023-07-27,13.33116
2023-07-28,12.64667
2023-07-29,5.83441
2023-07-30,6.06258
2023-07-31,13.55932
2023-08-01,12.4511
2023-08-02,13.91786
2023-08-03,12.71186
2023-08-04,10.56062
2023-08-05,5.8996
2023-08-06,8.05084
2023-08-07,16.68839
2023-08-08,14.14602
2023-08-09,12.12516
2023-08-10,10.91916
2023-08-11,13.72229
2023-08-12,6.16036
2023-08-13,6.12777
2023-08-14,13.00521
2023-08-15,7.26857
2023-08-16,12.51629
2023-08-17,12.64667
2023-08-18,10.91916
2023-08-19,5.47588
2023-08-20,5.24771
2023-08-21,11.24511
2023-08-22,11.73402
2023-08-23,11.08213
2023-08-24,10.85397
2023-08-25,10.95176
2023-08-26,5.80182
2023-08-27,5.57366
2023-08-28,11.17992
2023-08-29,12.12516
2023-08-30,10.49543
2023-08-31,13.6571
2023-09-01,12.67926
2023-09-02,7.20338
2023-09-03,7.43155
2023-09-04,15.02607
2023-09-05,14.60234
2023-09-06,12.51629
2023-09-07,14.40677
2023-09-08,13.49413
2023-09-09,7.56192
2023-09-10,5.41069
2023-09-11,12.90743
2023-09-12,12.12516
2023-09-13,12.25554
2023-09-14,12.64667
2023-09-15,11.2777
2023-09-16,7.43155
2023-09-17,6.87744
2023-09-18,11.60365
2023-09-19,11.31029
