date,전자단기사채
2021-09-16,9.74358
2021-09-17,5.1282
2021-09-19,3.07692
2021-09-23,11.79487
2021-09-24,5.64102
2021-09-27,18.46153
2021-09-28,8.20512
2021-09-29,16.92307
2021-09-30,5.1282
2021-10-01,4.61538
2021-10-02,2.5641
2021-10-05,10.25641
2021-10-06,6.66666
2021-10-07,13.84615
2021-10-08,2.5641
2021-10-12,13.33333
2021-10-13,11.79487
2021-10-14,26.15384
2021-10-15,18.46153
2021-10-17,2.5641
2021-10-18,11.79487
2021-10-19,17.94871
2021-10-20,20.51282
2021-10-21,12.82051
2021-10-22,8.71794
2021-10-24,3.58974
2021-10-25,13.84615
2021-10-26,17.94871
2021-10-27,22.5641
2021-10-28,17.94871
2021-10-29,9.23076
2021-10-30,2.5641
2021-10-31,4.10256
2021-11-01,14.87179
2021-11-02,13.33333
2021-11-03,12.30769
2021-11-04,14.87179
2021-11-05,5.64102
2021-11-08,12.82051
2021-11-09,16.92307
2021-11-10,9.23076
2021-11-11,16.41025
2021-11-12,9.74358
2021-11-15,17.43589
2021-11-16,12.30769
2021-11-17,12.82051
2021-11-18,13.84615
2021-11-19,10.25641
2021-11-21,3.58974
2021-11-22,12.82051
2021-11-23,12.82051
2021-11-24,16.92307
2021-11-25,11.79487
2021-11-26,7.6923
2021-11-29,14.35897
2021-11-30,9.23076
2021-12-01,10.25641
2021-12-02,9.23076
2021-12-03,11.28205
2021-12-06,7.17948
2021-12-07,16.92307
2021-12-08,16.41025
2021-12-09,15.89743
2021-12-10,9.74358
2021-12-13,21.53846
2021-12-14,20.0
2021-12-15,13.33333
2021-12-16,12.82051
2021-12-17,10.25641
2021-12-18,3.58974
2021-12-20,7.6923
2021-12-21,23.58974
2021-12-22,20.51282
2021-12-23,13.33333
2021-12-24,6.15384
2021-12-27,11.79487
2021-12-28,13.84615
2021-12-29,13.84615
2021-12-30,9.74358
2022-01-02,7.6923
2022-01-03,13.33333
2022-01-04,21.02564
2022-01-05,16.92307
2022-01-06,20.51282
2022-01-07,13.33333
2022-01-08,2.5641
2022-01-09,2.5641
2022-01-10,16.41025
2022-01-11,17.94871
2022-01-12,23.07692
2022-01-13,15.38461
2022-01-14,20.51282
2022-01-16,3.07692
2022-01-17,16.41025
2022-01-18,14.35897
2022-01-19,12.82051
2022-01-20,15.89743
2022-01-21,15.38461
2022-01-22,2.5641
2022-01-23,4.10256
2022-01-24,14.35897
2022-01-25,24.10256
2022-01-26,23.07692
2022-01-27,20.51282
2022-01-28,13.84615
2022-02-02,2.5641
2022-02-03,17.94871
2022-02-04,13.33333
2022-02-05,3.07692
2022-02-07,14.87179
2022-02-08,15.89743
2022-02-09,17.94871
2022-02-10,17.43589
2022-02-11,14.35897
2022-02-12,3.07692
2022-02-14,16.92307
2022-02-15,18.46153
2022-02-16,14.87179
2022-02-17,24.61538
2022-02-18,13.84615
2022-02-21,10.76923
2022-02-22,17.94871
2022-02-23,11.79487
2022-02-24,20.51282
2022-02-25,18.46153
2022-02-27,3.58974
