date,증시현황
2021-08-28,4.76498
2021-08-29,1.57969
2021-08-30,19.05995
2021-08-31,21.68846
2021-09-01,20.08286
2021-09-02,20.01812
2021-09-03,19.16353
2021-09-04,3.91039
2021-09-05,1.77392
2021-09-06,16.3149
2021-09-07,18.68444
2021-09-08,20.70438
2021-09-09,22.43946
2021-09-10,19.96633
2021-09-11,4.06577
2021-09-12,1.95519
2021-09-13,17.73922
2021-09-14,18.33484
2021-09-15,18.98226
2021-09-16,18.12767
2021-09-17,18.30894
2021-09-18,3.39246
2021-09-19,1.9293
2021-09-20,2.86158
2021-09-21,6.55185
2021-09-22,7.96322
2021-09-23,21.62372
2021-09-24,19.83685
2021-09-25,4.24705
2021-09-26,1.69623
2021-09-27,15.31788
2021-09-28,22.29703
2021-09-29,27.80007
2021-09-30,21.58487
2021-10-01,24.79606
2021-10-02,5.73611
2021-10-03,2.48608
2021-10-04,7.88553
2021-10-05,31.15369
2021-10-06,36.76032
2021-10-07,26.24627
2021-10-08,24.4853
2021-10-09,4.84267
2021-10-10,2.14942
2021-10-11,6.5907
2021-10-12,25.2363
2021-10-13,22.24524
2021-10-14,21.64961
2021-10-15,20.23824
2021-10-16,4.86857
2021-10-17,2.26595
2021-10-18,17.8946
2021-10-19,18.47727
2021-10-20,20.36773
2021-10-21,19.30596
2021-10-22,19.00815
2021-10-23,4.32474
2021-10-24,2.08468
2021-10-25,15.84876
2021-10-26,17.75216
2021-10-27,18.78803
2021-10-28,18.86572
2021-10-29,21.22232
2021-10-30,4.93331
2021-10-31,1.9293
2021-11-01,16.59976
2021-11-02,19.61672
2021-11-03,20.82092
2021-11-04,20.43247
2021-11-05,18.80098
2021-11-06,4.2082
2021-11-07,1.5538
2021-11-08,16.17247
2021-11-09,17.76511
2021-11-10,19.37071
2021-11-11,18.72329
2021-11-12,16.67745
2021-11-13,4.57076
2021-11-14,1.70918
2021-11-15,14.30791
2021-11-16,16.78104
2021-11-17,17.0659
2021-11-18,18.11472
2021-11-19,15.14955
2021-11-20,4.13051
2021-11-21,1.45021
2021-11-22,13.71228
2021-11-23,17.53204
2021-11-24,15.8876
2021-11-25,15.90055
2021-11-26,17.48025
2021-11-27,5.39945
2021-11-28,2.38249
2021-11-29,16.08183
2021-11-30,25.83193
2021-12-01,21.22232
2021-12-02,19.43545
2021-12-03,16.78104
2021-12-04,4.33769
2021-12-05,1.77392
2021-12-06,15.18839
2021-12-07,17.13064
2021-12-08,18.04998
2021-12-09,15.61569
2021-12-10,16.14657
2021-12-11,3.96219
2021-12-12,1.60559
2021-12-13,12.92243
2021-12-14,16.3408
2021-12-15,15.1366
2021-12-16,15.68043
2021-12-17,14.39854
2021-12-18,4.15641
2021-12-19,1.51495
2021-12-20,16.53502
2021-12-21,17.63563
2021-12-22,15.62864
2021-12-23,15.25313
2021-12-24,14.87763
2021-12-25,3.19823
2021-12-26,1.54085
2021-12-27,12.63757
2021-12-28,14.77405
2021-12-29,16.17247
2021-12-30,15.36967
2021-12-31,6.12456
2022-01-01,1.76097
2022-01-02,1.35957
2022-01-03,13.84177
2022-01-04,14.79994
2022-01-05,18.49022
2022-01-06,18.47727
2022-01-07,16.03004
2022-01-08,3.63848
2022-01-09,1.60559
2022-01-10,14.32085
2022-01-11,17.33782
2022-01-12,17.05295
2022-01-13,14.41149
2022-01-14,15.21429
2022-01-15,3.41836
2022-01-16,1.23009
2022-01-17,12.72821
2022-01-18,14.3338
2022-01-19,15.34377
2022-01-20,14.23022
2022-01-21,15.74517
2022-01-22,4.89447
2022-01-23,1.99404
2022-01-24,15.82286
2022-01-25,24.23928
2022-01-26,20.78207
2022-01-27,29.57399
2022-01-28,21.07989
2022-01-29,4.38948
2022-01-30,1.67033
2022-01-31,2.12352
2022-02-01,4.01398
2022-02-02,5.46419
2022-02-03,17.72627
2022-02-04,15.07186
2022-02-05,4.6355
2022-02-06,1.67033
2022-02-07,13.62164
2022-02-08,14.67046
2022-02-09,14.29496
2022-02-10,15.5121
2022-02-11,14.98122
2022-02-12,4.2341
2022-02-13,1.45021
2022-02-14,14.87763
2022-02-15,18.6456
2022-02-16,15.47326
2022-02-17,18.58086
2022-02-18,16.67745
2022-02-19,4.48012
2022-02-20,1.68328
2022-02-21,12.54693
2022-02-22,17.94639
2022-02-23,17.18244
2022-02-24,24.18749
2022-02-25,18.89162
2022-02-26,5.19228
2022-02-27,1.69623
2022-02-28,13.89356
2022-03-01,7.32875
2022-03-02,15.82286
2022-03-03,14.82584
2022-03-04,15.69338
2022-03-05,4.14346
2022-03-06,1.78687
2022-03-07,17.05295
2022-03-08,19.047
2022-03-09,8.06681
2022-03-10,16.08183
2022-03-11,16.50912
2022-03-12,4.89447
2022-03-13,1.9293
2022-03-14,14.51508
2022-03-15,17.22128
2022-03-16,16.85873
2022-03-17,17.48025
2022-03-18,16.83283
2022-03-19,4.57076
2022-03-20,1.5279
2022-03-21,13.51806
2022-03-22,14.43739
2022-03-23,14.04894
2022-03-24,14.16547
2022-03-25,14.08778
2022-03-26,4.01398
2022-03-27,1.68328
2022-03-28,11.67939
2022-03-29,14.02304
2022-03-30,14.7611
2022-03-31,13.66049
2022-04-01,13.97125
2022-04-02,4.11757
2022-04-03,1.16535
2022-04-04,11.20031
2022-04-05,13.9583
2022-04-06,15.05891
2022-04-07,17.4414
2022-04-08,13.86766
2022-04-09,4.13051
2022-04-10,1.24304
2022-04-11,11.42043
2022-04-12,16.00414
2022-04-13,15.1625
2022-04-14,14.3338
2022-04-15,14.28201
2022-04-16,2.97811
2022-04-17,1.30778
2022-04-18,11.30389
2022-04-19,13.01307
2022-04-20,13.71228
2022-04-21,13.16845
2022-04-22,13.33678
2022-04-23,4.53191
2022-04-24,1.1265
2022-04-25,14.28201
2022-04-26,14.78699
2022-04-27,17.71332
2022-04-28,16.25016
2022-04-29,14.79994
2022-04-30,5.20523
2022-05-01,1.74802
2022-05-02,13.27204
2022-05-03,14.65751
2022-05-04,14.54098
2022-05-05,7.51003
2022-05-06,16.04298
2022-05-07,4.82972
2022-05-08,1.47611
2022-05-09,14.86468
2022-05-10,20.03107
2022-05-11,17.41551
2022-05-12,21.79204
2022-05-13,17.53204
2022-05-14,5.02395
2022-05-15,1.81276
2022-05-16,12.75411
2022-05-17,15.1625
2022-05-18,15.24019
2022-05-19,18.96931
2022-05-20,15.57684
2022-05-21,4.75203
2022-05-22,1.45021
2022-05-23,12.8318
2022-05-24,17.94639
2022-05-25,16.56092
2022-05-26,14.57982
2022-05-27,13.99715
2022-05-28,3.8327
2022-05-29,1.17829
2022-05-30,10.4752
2022-05-31,12.89654
2022-06-01,7.17337
2022-06-02,13.41447
2022-06-03,11.89952
2022-06-04,3.44425
2022-06-05,1.16535
2022-06-06,3.80681
2022-06-07,15.39557
2022-06-08,14.7093
2022-06-09,15.9135
2022-06-10,16.61271
2022-06-11,5.07574
2022-06-12,1.8775
2022-06-13,26.0132
2022-06-14,26.10384
2022-06-15,27.38573
2022-06-16,24.55004
2022-06-17,25.15861
2022-06-18,6.04687
2022-06-19,2.14942
2022-06-20,24.49825
2022-06-21,21.49423
2022-06-22,26.72536
2022-06-23,26.34986
2022-06-24,21.26116
2022-06-25,5.4124
2022-06-26,2.17532
2022-06-27,18.08882
2022-06-28,21.04104
2022-06-29,20.30299
2022-06-30,21.7273
2022-07-01,22.32293
2022-07-02,5.37355
2022-07-03,1.67033
2022-07-04,18.12767
2022-07-05,20.04402
2022-07-06,23.02214
2022-07-07,19.74621
2022-07-08,18.34779
2022-07-09,5.30881
2022-07-10,1.51495
2022-07-11,16.47028
2022-07-12,20.44542
2022-07-13,20.09581
2022-07-14,21.0022
2022-07-15,20.05697
2022-07-16,4.94626
2022-07-17,1.30778
2022-07-18,16.08183
2022-07-19,18.6456
2022-07-20,18.98226
2022-07-21,18.55496
2022-07-22,17.13064
2022-07-23,4.73909
2022-07-24,1.502
