date,영진약품주가
2022-09-14,2.14184
2022-09-15,1.94877
2022-09-16,1.84064
2022-09-17,0.22911
2022-09-18,0.1802
2022-09-19,2.18303
2022-09-20,2.15471
2022-09-21,2.12382
2022-09-22,2.23967
2022-09-23,2.24224
2022-09-24,0.31406
2022-09-25,0.22654
2022-09-26,2.28343
2022-09-27,2.48165
2022-09-28,3.52426
2022-09-29,3.29514
2022-09-30,2.94503
2022-10-01,0.4711
2022-10-02,0.29347
2022-10-03,0.26773
2022-10-04,2.89097
2022-10-05,2.43789
2022-10-06,2.69532
2022-10-07,2.20877
2022-10-08,0.23169
2022-10-09,0.14931
2022-10-10,0.22654
2022-10-11,1.95906
2022-10-12,2.0157
2022-10-13,1.96936
2022-10-14,2.40442
2022-10-15,0.32951
2022-10-16,0.22396
2022-10-17,2.53057
2022-10-18,2.5872
2022-10-19,2.68245
2022-10-20,2.09035
2022-10-21,1.83035
2022-10-22,0.19822
2022-10-23,0.1905
2022-10-24,2.50482
2022-10-25,2.5769
2022-10-26,2.22679
2022-10-27,2.65413
2022-10-28,2.67988
2022-10-29,0.31149
2022-10-30,0.18792
2022-10-31,2.32977
2022-11-01,2.45848
2022-11-02,2.3066
2022-11-03,2.0054
2022-11-04,1.98481
2022-11-05,0.31921
2022-11-06,0.26258
2022-11-07,2.32977
2022-11-08,2.57175
2022-11-09,2.56403
2022-11-10,2.0955
2022-11-11,2.71334
2022-11-12,0.30119
2022-11-13,0.22654
2022-11-14,2.71592
2022-11-15,2.70305
2022-11-16,2.19848
2022-11-17,2.06204
2022-11-18,1.89985
2022-11-19,0.18277
2022-11-20,0.16733
2022-11-21,1.86381
2022-11-22,1.85866
2022-11-23,2.05174
2022-11-24,1.96421
2022-11-25,1.77886
2022-11-26,0.20337
2022-11-27,0.15188
2022-11-28,1.67846
2022-11-29,2.04659
2022-11-30,13.299
2022-12-01,4.90925
2022-12-02,3.42643
2022-12-03,0.32951
2022-12-04,0.2703
2022-12-05,3.01197
2022-12-06,2.788
2022-12-07,3.23336
2022-12-08,3.08147
2022-12-09,4.6132
2022-12-10,0.82121
2022-12-11,0.59724
2022-12-12,10.53159
2022-12-13,7.97271
2022-12-14,7.19783
2022-12-15,6.26078
2022-12-16,4.78568
2022-12-17,0.5715
2022-12-18,0.61269
2022-12-19,3.92328
2022-12-20,3.43416
2022-12-21,4.77281
2022-12-22,4.17814
2022-12-23,3.13811
2022-12-24,0.38872
2022-12-25,0.37842
2022-12-26,4.45359
2022-12-27,3.82288
2022-12-28,3.62208
2022-12-29,3.65812
2022-12-30,1.39271
2022-12-31,0.38872
2023-01-01,0.4505
2023-01-02,6.44355
2023-01-03,4.65954
2023-01-04,4.1524
2023-01-05,3.81516
2023-01-06,3.52941
2023-01-07,0.39644
2023-01-08,0.35268
2023-01-09,4.49993
2023-01-10,3.5397
2023-01-11,3.48307
2023-01-12,3.29514
2023-01-13,3.3492
2023-01-14,0.40931
2023-01-15,0.30634
2023-01-16,3.58347
2023-01-17,2.85236
2023-01-18,2.67473
2023-01-19,2.56661
2023-01-20,2.36323
2023-01-21,0.24198
2023-01-22,0.15188
2023-01-23,0.17762
2023-01-24,0.27545
2023-01-25,2.67988
2023-01-26,2.66958
2023-01-27,2.75453
2023-01-28,0.34753
2023-01-29,0.30119
2023-01-30,2.71849
2023-01-31,3.38782
