date,유한양행주가
2021-03-07,2.46996
2021-03-08,17.63712
2021-03-09,18.51994
2021-03-10,17.70707
2021-03-11,18.57542
2021-03-12,19.2098
2021-03-13,3.46857
2021-03-14,3.08022
2021-03-15,19.12296
2021-03-16,22.15736
2021-03-17,21.30831
2021-03-18,20.60398
2021-03-19,17.2536
2021-03-20,2.88967
2021-03-21,2.80283
2021-03-22,17.28978
2021-03-23,16.25741
2021-03-24,15.4566
2021-03-25,15.03208
2021-03-26,15.25881
2021-03-27,2.57851
2021-03-28,2.33489
2021-03-29,15.40836
2021-03-30,15.51208
2021-03-31,18.6719
2021-04-01,17.86627
2021-04-02,16.46003
2021-04-03,2.72323
2021-04-04,3.01509
2021-04-05,15.67128
2021-04-06,15.42766
2021-04-07,17.14747
2021-04-08,16.10304
2021-04-09,16.76636
2021-04-10,2.79801
2021-04-11,2.51097
2021-04-12,25.63317
2021-04-13,26.26272
2021-04-14,21.79314
2021-04-15,22.11394
2021-04-16,23.43094
2021-04-17,4.53953
2021-04-18,3.76766
2021-04-19,25.0205
2021-04-20,25.50291
2021-04-21,24.55497
2021-04-22,22.29967
2021-04-23,20.57503
2021-04-24,3.46615
2021-04-25,2.94032
2021-04-26,20.2084
2021-04-27,17.89763
2021-04-28,16.7543
2021-04-29,17.98205
2021-04-30,17.08717
2021-05-01,2.34936
2021-05-02,2.21428
2021-05-03,18.31974
2021-05-04,17.82526
2021-05-05,3.29972
2021-05-06,16.72536
2021-05-07,16.77842
2021-05-08,2.21428
2021-05-09,2.02373
2021-05-10,19.22186
2021-05-11,16.56857
2021-05-12,16.00897
2021-05-13,15.14786
2021-05-14,16.16093
2021-05-15,1.97066
2021-05-16,1.94896
2021-05-17,15.36977
2021-05-18,14.80052
2021-05-19,2.1974
2021-05-20,14.66785
2021-05-21,15.1575
2021-05-22,1.74875
2021-05-23,1.67157
2021-05-24,14.64855
2021-05-25,13.57036
2021-05-26,13.37256
2021-05-27,13.33638
2021-05-28,13.65478
2021-05-29,3.43238
2021-05-30,3.31178
2021-05-31,20.67393
2021-06-01,20.29041
2021-06-02,18.33904
2021-06-03,19.27975
2021-06-04,15.48555
2021-06-05,2.85831
2021-06-06,3.3359
2021-06-07,17.05581
2021-06-08,16.07168
2021-06-09,15.816
2021-06-10,16.8532
2021-06-11,16.46003
2021-06-12,2.53027
2021-06-13,2.65328
2021-06-14,16.18023
2021-06-15,13.24714
2021-06-16,13.64031
2021-06-17,13.16995
2021-06-18,14.34463
2021-06-19,2.80283
2021-06-20,1.90554
2021-06-21,13.06864
2021-06-22,12.69477
2021-06-23,13.11447
2021-06-24,14.06966
2021-06-25,13.56071
2021-06-26,2.20946
2021-06-27,1.59438
2021-06-28,12.36914
2021-06-29,12.39567
2021-06-30,11.47908
2021-07-01,17.88798
2021-07-02,14.89459
2021-07-03,1.94896
2021-07-04,1.61609
2021-07-05,13.48111
2021-07-06,14.08895
2021-07-07,14.51348
2021-07-08,14.1179
2021-07-09,13.93458
2021-07-10,2.08644
2021-07-11,1.74393
2021-07-12,13.06382
2021-07-13,12.28954
2021-07-14,12.73819
2021-07-15,13.80433
2021-07-16,12.19547
2021-07-17,1.85006
2021-07-18,1.44483
2021-07-19,12.4608
2021-07-20,12.38844
2021-07-21,11.61657
2021-07-22,12.3812
2021-07-23,11.0039
2021-07-24,1.5389
2021-07-25,1.73187
2021-07-26,12.96975
2021-07-27,12.33778
2021-07-28,11.48149
2021-07-29,11.86743
2021-07-30,11.00631
2021-07-31,1.43759
2021-08-01,1.44001
2021-08-02,11.14139
2021-08-03,10.36229
2021-08-04,11.40672
2021-08-05,11.23546
2021-08-06,10.6831
2021-08-07,1.53408
2021-08-08,1.34594
2021-08-09,11.56592
2021-08-10,11.30782
2021-08-11,12.35467
2021-08-12,12.08693
2021-08-13,12.04833
2021-08-14,1.81629
2021-08-15,1.30493
2021-08-16,2.45308
2021-08-17,11.37777
2021-08-18,10.83988
2021-08-19,12.04592
2021-08-20,12.42944
2021-08-21,1.9586
2021-08-22,1.31217
2021-08-23,15.57962
2021-08-24,14.62202
2021-08-25,12.79367
2021-08-26,12.26301
2021-08-27,12.32331
2021-08-28,1.81629
2021-08-29,1.37247
2021-08-30,11.62622
2021-08-31,15.1358
2021-09-01,20.45684
2021-09-02,16.60475
2021-09-03,15.44213
2021-09-04,2.50373
2021-09-05,2.05509
2021-09-06,14.30845
2021-09-07,13.47387
2021-09-08,13.16754
2021-09-09,13.16995
2021-09-10,12.32813
2021-09-11,1.838
2021-09-12,1.41347
2021-09-13,14.04554
2021-09-14,13.61136
2021-09-15,12.31125
2021-09-16,10.84953
2021-09-17,11.22581
2021-09-18,1.52202
2021-09-19,1.14332
2021-09-20,1.08061
2021-09-21,1.08543
2021-09-22,1.08302
2021-09-23,10.77717
2021-09-24,9.84369
2021-09-25,1.32664
2021-09-26,1.15056
2021-09-27,9.75927
2021-09-28,9.5253
2021-09-29,10.51425
2021-09-30,9.6459
2021-10-01,9.20208
2021-10-02,1.19156
2021-10-03,0.91659
2021-10-04,1.55337
2021-10-05,9.96912
2021-10-06,10.51425
2021-10-07,10.81335
2021-10-08,10.15244
2021-10-09,1.18674
2021-10-10,0.87558
2021-10-11,1.3797
2021-10-12,9.5663
2021-10-13,9.35645
2021-10-14,11.93497
2021-10-15,11.55144
2021-10-16,1.25186
2021-10-17,1.08302
2021-10-18,9.45535
2021-10-19,9.70138
2021-10-20,9.26238
2021-10-21,8.33614
2021-10-22,7.73071
2021-10-23,1.01066
2021-10-24,0.74292
2021-10-25,8.39162
2021-10-26,9.04529
2021-10-27,8.11664
2021-10-28,7.94297
2021-10-29,7.85131
2021-10-30,1.07819
2021-10-31,0.81769
2021-11-01,7.90438
2021-11-02,9.506
2021-11-03,8.02257
2021-11-04,8.14318
2021-11-05,7.31583
2021-11-06,0.97448
2021-11-07,1.16985
2021-11-08,8.03222
2021-11-09,7.65835
2021-11-10,7.61011
2021-11-11,7.47503
2021-11-12,7.85131
2021-11-13,1.06372
2021-11-14,0.89246
2021-11-15,8.65936
2021-11-16,7.79342
