date,주식초보
2021-03-27,10.02143
2021-03-28,11.3076
2021-03-29,18.59592
2021-03-30,21.43622
2021-03-31,16.02357
2021-04-01,14.57663
2021-04-02,15.16613
2021-04-03,11.78992
2021-04-04,11.41479
2021-04-05,21.75777
2021-04-06,16.39871
2021-04-07,14.79099
2021-04-08,15.43408
2021-04-09,14.1479
2021-04-10,8.89603
2021-04-11,8.78885
2021-04-12,17.79206
2021-04-13,17.25616
2021-04-14,17.63129
2021-04-15,21.22186
2021-04-16,17.52411
2021-04-17,12.43301
2021-04-18,9.48553
2021-04-19,17.73847
2021-04-20,16.02357
2021-04-21,15.16613
2021-04-22,13.55841
2021-04-23,15.80921
2021-04-24,9.48553
2021-04-25,8.68167
2021-04-26,11.62915
2021-04-27,13.29046
2021-04-28,13.18327
2021-04-29,13.39764
2021-04-30,9.21757
2021-05-01,7.71704
2021-05-02,7.3419
2021-05-03,9.91425
2021-05-04,11.09324
2021-05-05,10.45016
2021-05-06,12.75455
2021-05-07,12.16505
2021-05-08,8.25294
2021-05-09,8.36012
2021-05-10,12.16505
2021-05-11,13.29046
2021-05-12,12.32583
2021-05-13,12.91532
2021-05-14,10.1822
2021-05-15,5.25187
2021-05-16,7.44908
2021-05-17,8.25294
2021-05-18,9.32475
2021-05-19,8.03858
2021-05-20,10.55734
2021-05-21,7.23472
2021-05-22,5.73419
2021-05-23,5.73419
2021-05-24,7.9314
2021-05-25,8.36012
2021-05-26,9.00321
2021-05-27,9.27116
2021-05-28,9.37834
2021-05-29,7.87781
2021-05-30,5.25187
2021-05-31,9.00321
2021-06-01,7.39549
2021-06-02,8.84244
2021-06-03,9.86066
2021-06-04,8.5209
2021-06-05,4.60878
2021-06-06,6.10932
2021-06-07,9.86066
2021-06-08,9.53912
2021-06-09,7.87781
2021-06-10,8.5209
2021-06-11,12.16505
2021-06-12,7.44908
2021-06-13,9.96784
2021-06-14,11.3076
2021-06-15,13.77277
2021-06-16,13.45123
2021-06-17,12.91532
2021-06-18,13.29046
2021-06-19,8.68167
2021-06-20,9.96784
2021-06-21,12.4866
2021-06-22,12.59378
2021-06-23,17.5777
2021-06-24,20.418
2021-06-25,16.29153
2021-06-26,11.20042
2021-06-27,8.73526
2021-06-28,12.96891
2021-06-29,14.2015
2021-06-30,14.2015
2021-07-01,11.46838
2021-07-02,10.28938
2021-07-03,8.78885
2021-07-04,9.32475
2021-07-05,12.43301
2021-07-06,14.04072
2021-07-07,16.29153
2021-07-08,11.73633
2021-07-09,10.93247
2021-07-10,7.71704
2021-07-11,8.89603
2021-07-12,10.7717
2021-07-13,11.20042
2021-07-14,11.8971
2021-07-15,12.54019
2021-07-16,8.73526
2021-07-17,6.43086
2021-07-18,6.75241
2021-07-19,9.69989
2021-07-20,10.02143
2021-07-21,11.20042
2021-07-22,11.8971
2021-07-23,9.80707
2021-07-24,6.37727
2021-07-25,6.27009
2021-07-26,10.87888
2021-07-27,10.39657
2021-07-28,11.3076
2021-07-29,10.12861
2021-07-30,8.68167
2021-07-31,6.32368
2021-08-01,6.2165
2021-08-02,8.41371
2021-08-03,9.69989
2021-08-04,9.80707
2021-08-05,11.95069
2021-08-06,13.29046
2021-08-07,7.60986
2021-08-08,9.80707
2021-08-09,14.41586
2021-08-10,16.07717
2021-08-11,17.09539
2021-08-12,17.14898
2021-08-13,14.7374
2021-08-14,8.94962
2021-08-15,10.7717
2021-08-16,9.6463
2021-08-17,14.41586
2021-08-18,15.48767
2021-08-19,14.25509
2021-08-20,10.66452
2021-08-21,9.00321
2021-08-22,7.77063
2021-08-23,13.18327
2021-08-24,14.25509
2021-08-25,13.93354
2021-08-26,13.612
2021-08-27,11.73633
2021-08-28,7.82422
2021-08-29,8.14576
2021-08-30,10.93247
2021-08-31,11.73633
2021-09-01,12.37942
2021-09-02,10.34297
2021-09-03,10.82529
2021-09-04,8.57449
2021-09-05,8.94962
2021-09-06,10.66452
2021-09-07,10.39657
2021-09-08,10.28938
2021-09-09,9.48553
2021-09-10,10.82529
2021-09-11,6.2165
2021-09-12,6.48445
2021-09-13,7.66345
2021-09-14,8.57449
2021-09-15,9.86066
2021-09-16,8.89603
2021-09-17,9.53912
2021-09-18,6.85959
2021-09-19,5.94855
2021-09-20,5.41264
2021-09-21,7.12754
2021-09-22,7.77063
2021-09-23,12.11146
2021-09-24,10.82529
2021-09-25,7.23472
2021-09-26,7.3419
2021-09-27,11.52197
2021-09-28,10.71811
2021-09-29,10.28938
2021-09-30,10.55734
2021-10-01,6.2165
2021-10-02,6.53804
2021-10-03,5.25187
2021-10-04,6.69882
2021-10-05,9.48553
2021-10-06,8.94962
2021-10-07,8.41371
2021-10-08,8.78885
2021-10-09,4.12647
2021-10-10,4.55519
2021-10-11,6.806
2021-10-12,10.66452
2021-10-13,9.11039
2021-10-14,9.00321
2021-10-15,6.64523
2021-10-16,6.59163
2021-10-17,6.10932
2021-10-18,6.64523
2021-10-19,6.806
2021-10-20,7.23472
2021-10-21,6.806
2021-10-22,5.78778
2021-10-23,3.59056
2021-10-24,5.30546
2021-10-25,7.28831
2021-10-26,9.69989
2021-10-27,8.41371
2021-10-28,6.69882
2021-10-29,6.64523
2021-10-30,3.80493
2021-10-31,4.23365
2021-11-01,6.32368
2021-11-02,8.19935
2021-11-03,10.28938
2021-11-04,8.30653
2021-11-05,7.50267
2021-11-06,4.28724
2021-11-07,5.46623
2021-11-08,7.98499
2021-11-09,9.0568
2021-11-10,7.23472
2021-11-11,7.50267
2021-11-12,7.02036
2021-11-13,5.03751
2021-11-14,5.73419
2021-11-15,8.84244
2021-11-16,9.00321
2021-11-17,10.61093
2021-11-18,9.80707
2021-11-19,9.0568
2021-11-20,5.0911
2021-11-21,6.05573
2021-11-22,9.27116
2021-11-23,9.80707
2021-11-24,8.94962
2021-11-25,8.03858
2021-11-26,7.98499
2021-11-27,5.03751
2021-11-28,6.48445
2021-11-29,8.78885
2021-11-30,9.6463
2021-12-01,7.39549
2021-12-02,7.12754
2021-12-03,6.37727
2021-12-04,5.6806
