date,법인세
2021-11-21,4.13207
2021-11-22,9.35251
2021-11-23,10.34864
2021-11-24,10.45932
2021-11-25,11.28942
2021-11-26,9.26028
2021-11-27,3.94761
2021-11-28,4.64858
2021-11-29,9.66611
2021-11-30,10.42243
2021-12-01,9.37096
2021-12-02,9.77679
2021-12-03,9.16805
2021-12-04,4.24275
2021-12-05,4.72237
2021-12-06,10.10883
2021-12-07,10.47777
2021-12-08,10.20106
2021-12-09,10.60689
2021-12-10,10.33019
2021-12-11,4.16897
2021-12-12,4.16897
2021-12-13,10.38553
2021-12-14,9.77679
2021-12-15,10.69913
2021-12-16,10.62534
2021-12-17,9.55543
2021-12-18,3.81848
2021-12-19,3.9845
2021-12-20,11.47389
2021-12-21,11.17874
2021-12-22,10.93894
2021-12-23,9.77679
2021-12-24,7.87677
2021-12-25,3.20973
2021-12-26,3.46799
2021-12-27,10.86515
2021-12-28,10.8467
2021-12-29,11.63991
2021-12-30,12.61759
2021-12-31,8.79911
2022-01-01,3.08061
2022-01-02,3.76314
2022-01-03,11.1234
2022-01-04,11.75059
2022-01-05,10.68068
2022-01-06,12.61759
2022-01-07,12.06419
2022-01-08,5.60782
2022-01-09,4.51946
2022-01-10,14.8681
2022-01-11,12.19332
2022-01-12,11.95351
2022-01-13,11.1234
2022-01-14,9.72145
2022-01-15,4.5748
2022-01-16,4.48256
2022-01-17,11.1603
2022-01-18,11.76904
2022-01-19,11.06806
2022-01-20,12.11953
2022-01-21,11.93506
2022-01-22,4.66703
2022-01-23,4.83305
2022-01-24,12.39623
2022-01-25,13.7244
2022-01-26,11.10496
2022-01-27,10.95738
2022-01-28,7.82143
2022-01-29,3.50488
2022-01-30,3.1175
2022-01-31,3.09905
2022-02-01,3.06216
2022-02-02,5.79228
2022-02-03,9.99815
2022-02-04,10.8467
2022-02-05,4.75926
2022-02-06,5.73694
2022-02-07,10.95738
2022-02-08,12.45157
2022-02-09,10.82826
2022-02-10,11.45545
2022-02-11,11.1603
2022-02-12,4.86995
2022-02-13,4.48256
2022-02-14,11.51079
2022-02-15,12.11953
2022-02-16,12.41468
2022-02-17,12.8574
2022-02-18,11.04962
2022-02-19,4.8515
2022-02-20,4.31654
2022-02-21,17.32152
2022-02-22,14.62829
2022-02-23,13.1341
2022-02-24,12.67293
2022-02-25,11.1234
2022-02-26,4.70392
2022-02-27,4.79616
2022-02-28,10.92049
2022-03-01,8.30105
2022-03-02,17.24774
2022-03-03,18.44678
2022-03-04,15.97491
2022-03-05,5.93986
2022-03-06,5.88452
2022-03-07,17.87493
2022-03-08,16.43608
2022-03-09,7.23113
2022-03-10,20.38369
2022-03-11,17.72735
2022-03-12,7.23113
2022-03-13,6.06899
2022-03-14,20.66039
2022-03-15,21.74875
2022-03-16,20.80796
2022-03-17,20.73418
2022-03-18,20.23611
2022-03-19,6.99133
2022-03-20,6.64084
2022-03-21,22.85556
2022-03-22,23.72256
2022-03-23,24.38664
2022-03-24,25.43811
2022-03-25,25.97306
2022-03-26,7.7292
2022-03-27,6.76996
2022-03-28,30.3634
2022-03-29,30.27116
2022-03-30,30.08669
2022-03-31,32.0605
2022-04-01,12.48847
2022-04-02,5.16509
2022-04-03,4.90684
2022-04-04,11.52923
2022-04-05,10.38553
2022-04-06,10.8467
2022-04-07,10.86515
2022-04-08,9.75834
2022-04-09,4.50101
2022-04-10,3.76314
2022-04-11,11.1603
2022-04-12,11.69525
2022-04-13,11.51079
2022-04-14,13.35546
2022-04-15,11.04962
2022-04-16,5.03597
2022-04-17,4.2612
2022-04-18,11.60302
2022-04-19,10.8467
2022-04-20,10.66223
2022-04-21,11.65836
2022-04-22,10.0166
2022-04-23,4.72237
2022-04-24,4.72237
2022-04-25,12.56225
2022-04-26,13.04187
2022-04-27,10.86515
2022-04-28,10.40398
2022-04-29,9.81368
2022-04-30,4.20586
2022-05-01,4.29809
2022-05-02,10.58845
2022-05-03,9.40785
2022-05-04,7.83988
2022-05-05,3.65246
2022-05-06,6.23501
2022-05-07,3.32042
2022-05-08,3.80003
2022-05-09,9.51853
2022-05-10,9.53698
2022-05-11,8.89134
2022-05-12,11.38166
2022-05-13,8.94668
2022-05-14,3.78159
2022-05-15,4.07673
2022-05-16,11.75059
2022-05-17,10.07194
2022-05-18,18.28076
2022-05-19,16.69433
2022-05-20,10.97583
2022-05-21,5.34956
2022-05-22,4.8515
2022-05-23,10.47777
2022-05-24,10.99428
2022-05-25,9.48164
2022-05-26,14.16712
2022-05-27,11.93506
2022-05-28,5.34956
2022-05-29,4.8515
2022-05-30,12.54381
2022-05-31,10.53311
2022-06-01,5.60782
2022-06-02,9.59232
2022-06-03,9.33407
2022-06-04,4.68548
2022-06-05,4.5748
2022-06-06,5.29422
2022-06-07,9.35251
2022-06-08,10.62534
2022-06-09,9.68456
2022-06-10,10.40398
2022-06-11,5.29422
2022-06-12,5.42335
2022-06-13,12.74672
2022-06-14,14.37004
2022-06-15,23.61187
2022-06-16,79.87456
2022-06-17,53.38498
2022-06-18,14.55451
2022-06-19,10.68068
2022-06-20,16.73123
2022-06-21,14.97878
2022-06-22,12.2671
2022-06-23,11.08651
2022-06-24,10.93894
2022-06-25,5.25733
2022-06-26,7.65541
2022-06-27,14.60985
2022-06-28,14.2778
2022-06-29,12.41468
2022-06-30,12.24866
2022-07-01,10.23796
2022-07-02,5.33111
2022-07-03,5.81073
2022-07-04,11.437
2022-07-05,11.03117
2022-07-06,10.73602
2022-07-07,11.27098
2022-07-08,10.45932
2022-07-09,4.2612
2022-07-10,5.29422
2022-07-11,10.58845
2022-07-12,11.67681
2022-07-13,10.51466
2022-07-14,10.10883
2022-07-15,10.49621
2022-07-16,4.40878
2022-07-17,4.77771
2022-07-18,14.14868
2022-07-19,14.83121
2022-07-20,15.80889
2022-07-21,34.88286
2022-07-22,36.98579
2022-07-23,9.46319
2022-07-24,7.60007
2022-07-25,15.75355
2022-07-26,13.74285
2022-07-27,12.0273
2022-07-28,10.58845
2022-07-29,9.66611
2022-07-30,5.53403
2022-07-31,4.29809
2022-08-01,11.47389
2022-08-02,9.86902
2022-08-03,11.80593
2022-08-04,16.21472
2022-08-05,11.7137
2022-08-06,4.18741
2022-08-07,4.8146
2022-08-08,11.56613
2022-08-09,13.06032
2022-08-10,14.14868
2022-08-11,12.47002
2022-08-12,9.86902
2022-08-13,3.78159
2022-08-14,3.7078
2022-08-15,4.72237
