date,골절보험
2021-02-25,23.91304
2021-02-26,26.08695
2021-02-27,15.21739
2021-03-01,10.86956
2021-03-02,36.95652
2021-03-03,19.56521
2021-03-04,17.3913
2021-03-05,10.86956
2021-03-06,13.04347
2021-03-07,13.04347
2021-03-08,17.3913
2021-03-09,28.26086
2021-03-10,32.60869
2021-03-11,10.86956
2021-03-12,19.56521
2021-03-13,28.26086
2021-03-14,30.43478
2021-03-15,39.13043
2021-03-16,34.7826
2021-03-17,28.26086
2021-03-18,19.56521
2021-03-19,32.60869
2021-03-20,36.95652
2021-03-21,15.21739
2021-03-22,19.56521
2021-03-23,15.21739
2021-03-24,28.26086
2021-03-25,30.43478
2021-03-26,26.08695
2021-03-27,19.56521
2021-03-28,21.73913
2021-03-29,19.56521
2021-03-30,23.91304
2021-03-31,23.91304
2021-04-01,34.7826
2021-04-02,26.08695
2021-04-03,10.86956
2021-04-05,19.56521
2021-04-06,21.73913
2021-04-07,28.26086
2021-04-08,41.30434
2021-04-09,10.86956
2021-04-11,10.86956
2021-04-13,19.56521
2021-04-14,10.86956
2021-04-15,10.86956
2021-04-16,10.86956
2021-04-19,23.91304
2021-04-20,26.08695
2021-04-21,56.52173
2021-04-22,10.86956
2021-04-23,10.86956
2021-04-25,21.73913
2021-04-26,23.91304
2021-04-27,13.04347
2021-04-29,19.56521
2021-04-30,15.21739
2021-05-02,10.86956
2021-05-03,21.73913
2021-05-04,21.73913
2021-05-06,15.21739
2021-05-07,10.86956
2021-05-08,15.21739
2021-05-09,15.21739
2021-05-10,19.56521
2021-05-11,21.73913
2021-05-12,13.04347
2021-05-13,45.65217
2021-05-14,13.04347
2021-05-17,15.21739
2021-05-18,30.43478
2021-05-20,21.73913
2021-05-21,17.3913
2021-05-22,15.21739
2021-05-23,30.43478
2021-05-24,56.52173
2021-05-25,19.56521
2021-05-26,17.3913
2021-05-27,32.60869
2021-05-28,19.56521
2021-05-31,15.21739
2021-06-01,45.65217
2021-06-02,34.7826
2021-06-03,32.60869
2021-06-04,23.91304
2021-06-05,15.21739
2021-06-06,21.73913
2021-06-07,17.3913
2021-06-08,13.04347
2021-06-09,23.91304
2021-06-10,36.95652
2021-06-11,10.86956
2021-06-12,17.3913
2021-06-14,41.30434
2021-06-15,23.91304
2021-06-16,26.08695
2021-06-17,23.91304
2021-06-18,34.7826
2021-06-19,17.3913
2021-06-20,19.56521
2021-06-21,19.56521
2021-06-22,30.43478
2021-06-23,23.91304
2021-06-24,32.60869
2021-06-25,13.04347
2021-06-26,15.21739
2021-06-27,15.21739
2021-06-28,17.3913
2021-06-29,30.43478
2021-06-30,28.26086
2021-07-01,26.08695
2021-07-02,13.04347
2021-07-03,10.86956
2021-07-04,13.04347
2021-07-05,26.08695
2021-07-06,36.95652
2021-07-07,28.26086
2021-07-08,23.91304
2021-07-10,21.73913
2021-07-12,36.95652
2021-07-13,15.21739
2021-07-14,13.04347
2021-07-15,17.3913
2021-07-16,34.7826
2021-07-17,19.56521
2021-07-18,19.56521
2021-07-19,10.86956
2021-07-20,13.04347
2021-07-21,26.08695
2021-07-22,34.7826
2021-07-23,21.73913
2021-07-25,10.86956
2021-07-27,17.3913
2021-07-28,17.3913
2021-07-29,10.86956
2021-07-30,52.17391
2021-07-31,19.56521
2021-08-02,36.95652
2021-08-03,26.08695
2021-08-04,13.04347
2021-08-05,10.86956
2021-08-06,21.73913
2021-08-07,39.13043
2021-08-08,13.04347
2021-08-09,34.7826
2021-08-10,13.04347
2021-08-11,23.91304
2021-08-12,28.26086
2021-08-13,21.73913
2021-08-14,23.91304
2021-08-15,13.04347
2021-08-16,19.56521
2021-08-17,34.7826
2021-08-18,21.73913
2021-08-19,30.43478
2021-08-20,36.95652
2021-08-21,17.3913
2021-08-22,13.04347
2021-08-23,50.0
2021-08-24,34.7826
2021-08-25,19.56521
2021-08-26,13.04347
2021-08-27,19.56521
2021-08-28,13.04347
2021-08-29,15.21739
2021-08-30,21.73913
2021-08-31,26.08695
2021-09-01,32.60869
2021-09-02,23.91304
2021-09-03,21.73913
2021-09-05,17.3913
2021-09-06,10.86956
2021-09-07,23.91304
2021-09-08,23.91304
2021-09-09,17.3913
2021-09-10,13.04347
2021-09-11,15.21739
2021-09-12,19.56521
2021-09-13,36.95652
2021-09-14,23.91304
2021-09-15,15.21739
2021-09-16,17.3913
2021-09-17,30.43478
2021-09-18,13.04347
2021-09-19,26.08695
2021-09-20,23.91304
2021-09-22,15.21739
2021-09-23,15.21739
2021-09-24,50.0
2021-09-27,36.95652
2021-09-28,32.60869
2021-09-29,34.7826
2021-09-30,21.73913
2021-10-01,23.91304
2021-10-02,13.04347
2021-10-03,10.86956
2021-10-04,17.3913
2021-10-05,23.91304
2021-10-06,36.95652
2021-10-07,23.91304
2021-10-09,13.04347
2021-10-10,10.86956
2021-10-11,26.08695
2021-10-12,26.08695
2021-10-13,32.60869
2021-10-14,43.47826
2021-10-15,36.95652
2021-10-16,13.04347
2021-10-18,23.91304
