date,자동차보험
2021-04-22,54.58443
2021-04-23,52.40765
2021-04-24,31.99208
2021-04-25,34.37774
2021-04-26,65.98504
2021-04-27,61.12576
2021-04-28,56.61829
2021-04-29,56.26649
2021-04-30,53.25417
2021-05-01,35.30123
2021-05-02,35.94986
2021-05-03,68.5576
2021-05-04,60.44415
2021-05-05,38.51143
2021-05-06,65.01759
2021-05-07,56.58531
2021-05-08,37.8408
2021-05-09,36.35664
2021-05-10,73.81266
2021-05-11,67.3153
2021-05-12,60.41116
2021-05-13,59.49868
2021-05-14,55.02418
2021-05-15,34.78452
2021-05-16,38.24758
2021-05-17,67.64511
2021-05-18,59.96042
2021-05-19,36.66446
2021-05-20,66.22691
2021-05-21,58.5642
2021-05-22,33.67414
2021-05-23,35.87291
2021-05-24,72.47141
2021-05-25,64.59982
2021-05-26,60.64204
2021-05-27,60.51011
2021-05-28,56.99208
2021-05-29,31.71723
2021-05-30,34.26781
2021-05-31,67.68909
2021-06-01,64.76473
2021-06-02,61.38962
2021-06-03,59.75153
2021-06-04,55.93667
2021-06-05,33.54221
2021-06-06,35.72999
2021-06-07,71.19613
2021-06-08,63.17062
2021-06-09,63.03869
2021-06-10,58.28935
2021-06-11,55.96965
2021-06-12,33.53122
2021-06-13,35.76297
2021-06-14,68.84344
2021-06-15,62.04925
2021-06-16,61.10378
2021-06-17,56.87115
2021-06-18,55.09014
2021-06-19,32.77264
2021-06-20,36.32365
2021-06-21,67.43623
2021-06-22,64.02814
2021-06-23,62.58795
2021-06-24,57.78364
2021-06-25,54.70536
2021-06-26,34.46569
2021-06-27,35.51011
2021-06-28,66.01802
2021-06-29,60.51011
2021-06-30,61.48856
2021-07-01,62.68689
2021-07-02,56.48636
2021-07-03,35.01539
2021-07-04,37.35708
2021-07-05,66.88654
2021-07-06,60.91688
2021-07-07,58.17941
2021-07-08,56.86015
2021-07-09,51.09938
2021-07-10,32.6627
2021-07-11,36.35664
2021-07-12,67.32629
2021-07-13,61.48856
2021-07-14,58.61917
2021-07-15,60.85092
2021-07-16,55.03518
2021-07-17,33.09146
2021-07-18,36.99428
2021-07-19,68.48065
2021-07-20,65.25945
2021-07-21,61.63148
2021-07-22,55.78276
2021-07-23,53.13324
2021-07-24,31.80518
2021-07-25,31.86015
2021-07-26,61.29067
2021-07-27,60.76297
2021-07-28,53.7489
2021-07-29,55.78276
2021-07-30,50.98944
2021-07-31,33.13544
2021-08-01,36.74142
2021-08-02,64.46789
2021-08-03,58.88302
2021-08-04,57.83861
2021-08-05,57.59674
2021-08-06,50.21987
2021-08-07,32.6627
2021-08-08,34.17985
2021-08-09,65.00659
2021-08-10,61.11477
2021-08-11,63.09366
2021-08-12,61.43359
2021-08-13,55.72779
2021-08-14,33.59718
2021-08-15,33.95998
2021-08-16,43.3927
2021-08-17,69.07431
2021-08-18,65.84212
2021-08-19,63.30255
2021-08-20,55.60686
2021-08-21,35.45514
2021-08-22,36.48856
2021-08-23,69.68997
2021-08-24,60.72999
2021-08-25,60.23526
2021-08-26,58.64116
2021-08-27,52.95734
2021-08-28,31.12357
2021-08-29,32.75065
2021-08-30,65.05057
2021-08-31,60.75197
2021-09-01,60.26824
2021-09-02,57.14599
2021-09-03,53.48504
2021-09-04,33.44327
2021-09-05,37.87379
2021-09-06,62.89577
2021-09-07,59.68557
2021-09-08,56.55233
2021-09-09,54.73834
2021-09-10,51.26429
2021-09-11,33.93799
2021-09-12,35.15831
2021-09-13,63.2036
2021-09-14,62.14819
2021-09-15,58.57519
2021-09-16,57.04705
2021-09-17,53.36411
2021-09-18,29.03474
2021-09-19,25.10993
2021-09-20,27.83641
2021-09-21,28.13324
2021-09-22,33.79507
2021-09-23,71.25109
2021-09-24,58.08047
2021-09-25,32.97053
2021-09-26,35.21328
2021-09-27,66.62269
2021-09-28,59.43271
2021-09-29,59.13588
2021-09-30,68.22779
2021-10-01,62.75285
2021-10-02,35.32321
2021-10-03,34.94942
2021-10-04,41.79859
2021-10-05,73.5598
2021-10-06,68.89841
2021-10-07,65.24846
2021-10-08,58.60817
2021-10-09,33.916
2021-10-10,34.97141
2021-10-11,43.5686
2021-10-12,72.46042
2021-10-13,64.24802
2021-10-14,62.00527
2021-10-15,59.04793
2021-10-16,37.42304
2021-10-17,37.1372
2021-10-18,65.56728
2021-10-19,62.36807
2021-10-20,58.48724
2021-10-21,59.2788
2021-10-22,55.91468
2021-10-23,34.77352
2021-10-24,35.8839
2021-10-25,66.4138
2021-10-26,62.33509
2021-10-27,59.1029
2021-10-28,57.60773
2021-10-29,54.79331
2021-10-30,35.81794
2021-10-31,39.85268
2021-11-01,69.34916
2021-11-02,66.05101
2021-11-03,61.20272
2021-11-04,62.28012
2021-11-05,55.49692
2021-11-06,34.32277
2021-11-07,38.44547
2021-11-08,66.32585
2021-11-09,68.3817
2021-11-10,63.45646
2021-11-11,59.61961
