date,중소기업청년지원금
2021-02-22,19.12287
2021-02-23,17.18688
2021-02-24,14.34215
2021-02-25,13.70999
2021-02-26,10.90478
2021-02-27,6.16357
2021-02-28,7.11181
2021-03-01,8.81074
2021-03-02,15.17186
2021-03-03,15.05333
2021-03-04,15.29039
2021-03-05,14.81627
2021-03-06,7.74397
2021-03-07,9.16633
2021-03-08,17.54247
2021-03-09,17.81904
2021-03-10,17.50296
2021-03-11,16.83129
2021-03-12,14.57921
2021-03-13,8.69221
2021-03-14,7.54642
2021-03-15,15.725
2021-03-16,17.30541
2021-03-17,16.59423
2021-03-18,16.75227
2021-03-19,14.34215
2021-03-20,7.82299
2021-03-21,6.99328
2021-03-22,15.13235
2021-03-23,16.19913
2021-03-24,15.48794
2021-03-25,15.3299
2021-03-26,16.75227
2021-03-27,8.73172
2021-03-28,8.33662
2021-03-29,17.2659
2021-03-30,20.4267
2021-03-31,18.8463
2021-04-01,18.49071
2021-04-02,17.42394
2021-04-03,10.78625
2021-04-04,11.53694
2021-04-05,19.75503
2021-04-06,21.69103
2021-04-07,18.56973
2021-04-08,18.13512
2021-04-09,16.31766
2021-04-10,10.15408
2021-04-11,12.60371
2021-04-12,21.80956
2021-04-13,19.83405
2021-04-14,18.41169
2021-04-15,19.28091
2021-04-16,15.84354
2021-04-17,9.91702
2021-04-18,11.45792
2021-04-19,21.05887
2021-04-20,18.80679
2021-04-21,17.70051
2021-04-22,18.49071
2021-04-23,16.59423
2021-04-24,9.00829
2021-04-25,10.86527
2021-04-26,21.1774
2021-04-27,20.90082
2021-04-28,22.28368
2021-04-29,20.97984
2021-04-30,17.18688
2021-05-01,13.70999
2021-05-02,13.94705
2021-05-03,29.435
2021-05-04,26.70881
2021-05-05,18.72777
2021-05-06,29.86961
2021-05-07,24.37771
2021-05-08,15.17186
2021-05-09,16.12011
2021-05-10,32.67483
2021-05-11,28.6448
2021-05-12,26.11615
2021-05-13,24.06163
2021-05-14,21.21691
2021-05-15,11.22086
2021-05-16,14.77676
2021-05-17,25.83958
2021-05-18,27.41999
2021-05-19,15.76451
2021-05-20,28.05215
2021-05-21,19.6365
2021-05-22,12.24812
2021-05-23,12.05057
2021-05-24,24.18016
2021-05-25,23.1529
2021-05-26,22.67878
2021-05-27,20.70327
2021-05-28,19.20189
2021-05-29,12.1691
2021-05-30,13.82852
2021-05-31,27.93362
2021-06-01,25.56301
2021-06-02,25.9186
2021-06-03,24.61477
2021-06-04,28.52627
2021-06-05,12.28763
2021-06-06,12.09008
2021-06-07,23.66653
2021-06-08,23.50849
2021-06-09,20.50572
2021-06-10,21.09838
2021-06-11,19.28091
2021-06-12,11.10233
2021-06-13,14.73725
2021-06-14,28.52627
2021-06-15,26.27419
2021-06-16,23.03437
2021-06-17,20.8218
2021-06-18,19.32042
2021-06-19,11.33939
2021-06-20,11.89253
2021-06-21,24.18016
2021-06-22,22.24417
2021-06-23,21.88858
2021-06-24,21.69103
2021-06-25,19.08336
2021-06-26,11.97155
2021-06-27,12.48518
2021-06-28,27.65705
2021-06-29,28.36823
2021-06-30,27.81509
2021-07-01,27.18293
2021-07-02,20.70327
2021-07-03,13.78901
2021-07-04,14.26313
2021-07-05,27.93362
2021-07-06,26.62979
2021-07-07,22.20466
2021-07-08,23.86408
2021-07-09,27.38048
2021-07-10,14.38166
2021-07-11,12.1691
2021-07-12,21.21691
2021-07-13,23.03437
2021-07-14,28.2497
2021-07-15,24.57526
2021-07-16,20.66376
2021-07-17,13.07783
2021-07-18,11.41841
2021-07-19,21.80956
2021-07-20,22.3627
2021-07-21,20.30817
2021-07-22,21.41446
2021-07-23,19.28091
2021-07-24,14.69774
2021-07-25,11.57645
2021-07-26,22.04662
2021-07-27,17.97708
2021-07-28,18.13512
2021-07-29,18.53022
2021-07-30,15.01382
2021-07-31,9.71947
2021-08-01,10.39114
2021-08-02,20.70327
2021-08-03,18.76728
2021-08-04,16.67325
2021-08-05,18.21414
2021-08-06,16.00158
2021-08-07,10.94429
2021-08-08,9.67996
2021-08-09,18.88581
2021-08-10,20.58474
2021-08-11,18.96483
2021-08-12,17.02884
2021-08-13,15.48794
2021-08-14,9.64045
2021-08-15,8.53417
2021-08-16,10.90478
2021-08-17,18.09561
2021-08-18,19.12287
2021-08-19,18.13512
2021-08-20,16.15962
2021-08-21,8.41564
2021-08-22,9.75898
2021-08-23,16.23864
2021-08-24,21.41446
2021-08-25,19.08336
2021-08-26,25.68154
2021-08-27,20.26866
2021-08-28,10.5887
2021-08-29,12.36665
2021-08-30,22.12564
2021-08-31,21.88858
2021-09-01,20.74278
2021-09-02,19.20189
2021-09-03,16.43619
2021-09-04,9.16633
2021-09-05,11.02331
2021-09-06,21.73054
2021-09-07,19.79454
2021-09-08,19.95258
2021-09-09,17.74002
2021-09-10,13.23587
2021-09-11,8.92927
2021-09-12,10.15408
2021-09-13,16.59423
2021-09-14,17.46345
2021-09-15,17.34492
2021-09-16,14.5397
2021-09-17,11.22086
2021-09-18,5.4919
2021-09-19,5.37337
2021-09-20,5.53141
2021-09-21,7.15132
2021-09-22,8.88976
2021-09-23,16.19913
2021-09-24,15.64598
2021-09-25,8.88976
2021-09-26,10.94429
2021-09-27,23.86408
2021-09-28,21.73054
2021-09-29,21.21691
2021-09-30,26.82734
2021-10-01,32.12169
2021-10-02,11.93204
2021-10-03,10.82576
2021-10-04,17.58198
2021-10-05,29.8301
2021-10-06,29.71157
2021-10-07,27.38048
2021-10-08,19.47846
2021-10-09,10.90478
2021-10-10,11.3789
2021-10-11,15.64598
2021-10-12,25.00987
