date,재단법인
2021-10-04,27.36156
2021-10-05,75.57003
2021-10-06,58.95765
2021-10-07,52.11726
2021-10-08,49.18566
2021-10-09,24.7557
2021-10-10,29.96742
2021-10-11,36.80781
2021-10-12,63.51791
2021-10-13,64.49511
2021-10-14,59.60912
2021-10-15,52.11726
2021-10-16,31.27035
2021-10-17,27.03583
2021-10-18,56.35179
2021-10-19,66.44951
2021-10-20,71.00977
2021-10-21,61.56351
2021-10-22,45.92833
2021-10-23,27.68729
2021-10-24,23.12703
2021-10-25,61.23778
2021-10-26,56.67752
2021-10-27,60.91205
2021-10-28,59.93485
2021-10-29,45.92833
2021-10-30,29.96742
2021-10-31,30.29315
2021-11-01,64.16938
2021-11-02,46.90553
2021-11-03,49.18566
2021-11-04,61.56351
2021-11-05,43.97394
2021-11-06,24.7557
2021-11-07,26.71009
2021-11-08,57.65472
2021-11-09,57.98045
2021-11-10,51.14006
2021-11-11,58.30618
2021-11-12,48.20846
2021-11-13,29.96742
2021-11-14,18.8925
2021-11-15,55.04885
2021-11-16,55.04885
2021-11-17,56.67752
2021-11-18,46.90553
2021-11-19,48.5342
2021-11-20,32.57328
2021-11-21,24.7557
2021-11-22,59.93485
2021-11-23,59.28338
2021-11-24,57.32899
2021-11-25,63.51791
2021-11-26,51.79153
2021-11-27,22.8013
2021-11-28,32.89902
2021-11-29,56.67752
2021-11-30,51.14006
2021-12-01,58.95765
2021-12-02,48.5342
2021-12-03,56.35179
2021-12-04,29.64169
2021-12-05,26.71009
2021-12-06,58.30618
2021-12-07,52.76872
2021-12-08,68.72964
2021-12-09,62.54071
2021-12-10,49.83713
2021-12-11,30.29315
2021-12-12,27.36156
2021-12-13,57.32899
2021-12-14,56.67752
2021-12-15,57.00325
2021-12-16,61.56351
2021-12-17,45.6026
2021-12-18,26.05863
2021-12-19,29.31596
2021-12-20,50.81433
2021-12-21,57.98045
2021-12-22,51.14006
2021-12-23,54.07166
2021-12-24,39.73941
2021-12-25,20.52117
2021-12-26,19.8697
2021-12-27,47.557
2021-12-28,52.76872
2021-12-29,52.44299
2021-12-30,49.83713
2021-12-31,40.39087
2022-01-01,22.47557
2022-01-02,26.71009
2022-01-03,47.557
2022-01-04,64.16938
2022-01-05,63.84364
2022-01-06,61.88925
2022-01-07,61.88925
2022-01-08,29.64169
2022-01-09,30.61889
2022-01-10,54.72312
2022-01-11,68.07817
2022-01-12,67.10097
2022-01-13,64.16938
2022-01-14,51.79153
2022-01-15,30.29315
2022-01-16,25.08143
2022-01-17,61.88925
2022-01-18,64.49511
2022-01-19,56.67752
2022-01-20,64.16938
2022-01-21,56.67752
2022-01-22,31.59609
2022-01-23,30.29315
2022-01-24,59.60912
2022-01-25,59.28338
2022-01-26,59.93485
2022-01-27,64.16938
2022-01-28,52.11726
2022-01-29,23.45276
2022-01-30,24.10423
2022-01-31,18.24104
2022-02-01,21.17263
2022-02-02,29.64169
2022-02-03,54.72312
2022-02-04,65.47231
2022-02-05,35.83061
2022-02-06,32.57328
2022-02-07,66.44951
2022-02-08,69.70684
2022-02-09,62.54071
2022-02-10,66.44951
2022-02-11,53.09446
2022-02-12,32.57328
2022-02-13,25.40716
2022-02-14,58.63192
2022-02-15,62.54071
2022-02-16,56.35179
2022-02-17,58.30618
2022-02-18,63.19218
2022-02-19,26.38436
2022-02-20,27.68729
2022-02-21,56.67752
2022-02-22,59.60912
2022-02-23,63.19218
2022-02-24,59.28338
2022-02-25,50.16286
2022-02-26,25.40716
2022-02-27,25.73289
2022-02-28,40.39087
2022-03-01,29.64169
2022-03-02,53.74592
2022-03-03,57.00325
2022-03-04,50.48859
2022-03-05,25.40716
2022-03-06,32.57328
2022-03-07,55.04885
2022-03-08,51.79153
2022-03-09,21.17263
2022-03-10,55.70032
2022-03-11,59.28338
2022-03-12,25.73289
2022-03-13,30.94462
2022-03-14,61.56351
2022-03-15,66.12377
2022-03-16,57.65472
2022-03-17,57.98045
2022-03-18,62.21498
2022-03-19,27.68729
2022-03-20,19.54397
2022-03-21,54.07166
2022-03-22,56.35179
2022-03-23,57.98045
2022-03-24,53.74592
2022-03-25,59.60912
2022-03-26,29.64169
2022-03-27,30.94462
2022-03-28,56.02605
2022-03-29,57.32899
2022-03-30,70.68403
2022-03-31,58.63192
2022-04-01,47.88273
2022-04-02,28.33876
2022-04-03,27.03583
2022-04-04,64.16938
2022-04-05,68.4039
2022-04-06,57.00325
2022-04-07,67.10097
2022-04-08,50.16286
2022-04-09,22.14983
2022-04-10,23.12703
2022-04-11,56.35179
2022-04-12,76.54723
2022-04-13,57.32899
2022-04-14,61.56351
2022-04-15,63.19218
2022-04-16,26.05863
2022-04-17,33.87622
2022-04-18,65.14657
2022-04-19,60.26058
2022-04-20,57.98045
2022-04-21,66.12377
2022-04-22,58.63192
2022-04-23,26.71009
2022-04-24,32.57328
2022-04-25,59.60912
2022-04-26,65.14657
2022-04-27,54.07166
2022-04-28,69.3811
2022-04-29,52.44299
2022-04-30,28.66449
2022-05-01,23.7785
2022-05-02,59.28338
2022-05-03,56.67752
2022-05-04,54.72312
2022-05-05,23.12703
2022-05-06,40.71661
2022-05-07,27.68729
2022-05-08,28.01302
2022-05-09,62.86644
2022-05-10,62.86644
2022-05-11,57.00325
2022-05-12,59.28338
2022-05-13,45.92833
2022-05-14,28.66449
2022-05-15,24.7557
2022-05-16,59.93485
2022-05-17,65.47231
2022-05-18,61.23778
2022-05-19,61.88925
2022-05-20,50.48859
2022-05-21,27.03583
2022-05-22,34.52768
2022-05-23,64.82084
2022-05-24,73.2899
2022-05-25,67.75244
2022-05-26,63.19218
2022-05-27,57.65472
2022-05-28,25.40716
2022-05-29,27.36156
2022-05-30,61.56351
2022-05-31,57.32899
2022-06-01,33.87622
2022-06-02,47.88273
2022-06-03,43.6482
2022-06-04,28.99022
2022-06-05,24.7557
2022-06-06,23.45276
2022-06-07,51.14006
2022-06-08,54.39739
2022-06-09,68.4039
2022-06-10,49.18566
2022-06-11,24.7557
2022-06-12,23.7785
2022-06-13,62.86644
2022-06-14,64.49511
2022-06-15,56.35179
2022-06-16,55.04885
2022-06-17,54.72312
2022-06-18,23.45276
2022-06-19,30.29315
2022-06-20,62.86644
2022-06-21,62.21498
2022-06-22,54.72312
2022-06-23,58.30618
2022-06-24,55.70032
2022-06-25,20.8469
2022-06-26,21.17263
2022-06-27,53.74592
2022-06-28,48.85993
2022-06-29,51.14006
2022-06-30,48.5342
2022-07-01,43.32247
2022-07-02,22.14983
2022-07-03,28.33876
2022-07-04,59.93485
2022-07-05,63.19218
2022-07-06,52.76872
2022-07-07,64.16938
2022-07-08,48.20846
2022-07-09,22.47557
2022-07-10,24.7557
2022-07-11,54.72312
2022-07-12,61.23778
2022-07-13,51.79153
2022-07-14,50.16286
2022-07-15,64.16938
2022-07-16,25.73289
2022-07-17,21.8241
2022-07-18,48.85993
2022-07-19,57.98045
2022-07-20,47.23127
2022-07-21,54.39739
2022-07-22,51.46579
2022-07-23,22.8013
2022-07-24,22.47557
2022-07-25,54.72312
2022-07-26,54.72312
2022-07-27,54.07166
2022-07-28,50.48859
2022-07-29,49.83713
2022-07-30,23.12703
2022-07-31,23.7785
2022-08-01,51.79153
2022-08-02,50.48859
2022-08-03,54.07166
2022-08-04,58.63192
2022-08-05,46.90553
2022-08-06,22.8013
2022-08-07,27.68729
2022-08-08,67.75244
2022-08-09,55.04885
2022-08-10,60.91205
2022-08-11,58.63192
2022-08-12,46.25407
2022-08-13,29.96742
2022-08-14,23.45276
2022-08-15,30.61889
2022-08-16,50.81433
2022-08-17,58.30618
2022-08-18,62.86644
2022-08-19,62.86644
2022-08-20,28.66449
2022-08-21,25.40716
2022-08-22,61.56351
2022-08-23,52.76872
2022-08-24,64.16938
2022-08-25,58.95765
2022-08-26,41.04234
2022-08-27,23.12703
2022-08-28,19.8697
2022-08-29,46.5798
2022-08-30,58.95765
2022-08-31,59.60912
2022-09-01,50.16286
2022-09-02,43.32247
2022-09-03,29.31596
2022-09-04,27.03583
2022-09-05,53.42019
2022-09-06,52.11726
2022-09-07,52.11726
2022-09-08,36.80781
2022-09-09,20.8469
2022-09-10,13.68078
2022-09-11,22.47557
2022-09-12,28.33876
2022-09-13,57.32899
2022-09-14,64.82084
2022-09-15,60.26058
2022-09-16,56.02605
2022-09-17,25.40716
2022-09-18,30.29315
2022-09-19,61.56351
2022-09-20,63.19218
2022-09-21,55.70032
2022-09-22,63.19218
2022-09-23,45.92833
2022-09-24,26.71009
2022-09-25,25.40716
2022-09-26,57.32899
2022-09-27,62.21498
2022-09-28,68.07817
2022-09-29,57.32899
2022-09-30,45.6026
2022-10-01,32.57328
2022-10-02,23.45276
2022-10-03,25.40716
2022-10-04,53.09446
2022-10-05,49.83713
2022-10-06,55.37459
2022-10-07,42.99674
2022-10-08,34.20195
2022-10-09,23.45276
2022-10-10,29.31596
2022-10-11,64.16938
2022-10-12,59.28338
2022-10-13,63.51791
2022-10-14,54.39739
2022-10-15,25.73289
2022-10-16,37.13355
2022-10-17,61.56351
2022-10-18,60.91205
2022-10-19,53.42019
2022-10-20,63.51791
2022-10-21,52.44299
2022-10-22,28.01302
2022-10-23,27.36156
2022-10-24,53.74592
2022-10-25,58.63192
2022-10-26,53.42019
2022-10-27,53.09446
2022-10-28,51.14006
2022-10-29,22.8013
2022-10-30,23.12703
2022-10-31,50.48859
2022-11-01,50.81433
2022-11-02,57.32899
2022-11-03,58.95765
2022-11-04,51.46579
2022-11-05,18.24104
2022-11-06,25.73289
2022-11-07,56.35179
2022-11-08,51.14006
2022-11-09,52.44299
2022-11-10,48.85993
2022-11-11,43.97394
2022-11-12,20.19543
2022-11-13,22.47557
2022-11-14,54.72312
2022-11-15,58.63192
2022-11-16,56.35179
2022-11-17,48.85993
2022-11-18,46.5798
2022-11-19,17.58957
2022-11-20,19.8697
2022-11-21,50.81433
2022-11-22,56.02605
2022-11-23,56.67752
2022-11-24,57.00325
2022-11-25,51.79153
2022-11-26,21.8241
2022-11-27,27.36156
2022-11-28,52.76872
2022-11-29,54.72312
2022-11-30,57.32899
2022-12-01,44.95114
2022-12-02,52.44299
2022-12-03,21.8241
2022-12-04,19.8697
2022-12-05,51.14006
2022-12-06,66.77524
2022-12-07,52.76872
2022-12-08,57.00325
2022-12-09,49.83713
2022-12-10,26.71009
2022-12-11,22.8013
2022-12-12,47.23127
2022-12-13,57.32899
2022-12-14,61.23778
2022-12-15,48.20846
2022-12-16,40.39087
2022-12-17,20.19543
2022-12-18,22.47557
2022-12-19,46.90553
2022-12-20,50.16286
2022-12-21,58.30618
2022-12-22,47.23127
2022-12-23,45.6026
2022-12-24,20.19543
2022-12-25,17.26384
2022-12-26,41.04234
2022-12-27,33.55048
2022-12-28,46.25407
2022-12-29,52.44299
2022-12-30,40.06514
2022-12-31,24.42996
2023-01-01,18.24104
2023-01-02,47.23127
2023-01-03,68.07817
2023-01-04,57.65472
2023-01-05,56.35179
2023-01-06,59.28338
2023-01-07,26.05863
2023-01-08,28.33876
2023-01-09,63.84364
2023-01-10,66.77524
2023-01-11,62.21498
2023-01-12,57.98045
2023-01-13,52.44299
2023-01-14,23.7785
2023-01-15,29.96742
2023-01-16,57.98045
2023-01-17,57.98045
2023-01-18,60.26058
2023-01-19,62.54071
2023-01-20,36.80781
2023-01-21,20.8469
2023-01-22,27.36156
2023-01-23,23.45276
2023-01-24,24.42996
2023-01-25,56.02605
2023-01-26,57.32899
2023-01-27,52.76872
2023-01-28,27.68729
2023-01-29,21.49837
2023-01-30,59.28338
2023-01-31,70.03257
2023-02-01,70.3583
2023-02-02,61.23778
2023-02-03,56.67752
2023-02-04,29.31596
2023-02-05,27.36156
2023-02-06,58.95765
2023-02-07,63.84364
2023-02-08,58.63192
2023-02-09,65.14657
2023-02-10,52.76872
2023-02-11,33.55048
2023-02-12,27.03583
2023-02-13,65.79804
2023-02-14,66.44951
2023-02-15,65.79804
2023-02-16,64.16938
2023-02-17,54.72312
2023-02-18,28.01302
2023-02-19,22.47557
2023-02-20,63.19218
2023-02-21,62.54071
2023-02-22,61.88925
2023-02-23,63.51791
2023-02-24,58.63192
2023-02-25,26.38436
2023-02-26,25.40716
2023-02-27,52.76872
2023-02-28,54.07166
2023-03-01,23.45276
2023-03-02,47.557
2023-03-03,42.99674
2023-03-04,26.05863
2023-03-05,24.42996
2023-03-06,64.16938
2023-03-07,65.47231
2023-03-08,55.04885
2023-03-09,60.26058
2023-03-10,46.25407
2023-03-11,24.7557
2023-03-12,22.47557
2023-03-13,57.65472
2023-03-14,70.68403
2023-03-15,62.21498
2023-03-16,56.67752
2023-03-17,52.44299
2023-03-18,24.7557
2023-03-19,26.05863
2023-03-20,56.02605
2023-03-21,56.67752
2023-03-22,66.77524
2023-03-23,66.12377
2023-03-24,57.00325
2023-03-25,25.08143
2023-03-26,23.12703
2023-03-27,65.79804
