date,레버리지ETF교육
2022-05-26,0.26813
2022-05-27,0.51329
2022-05-28,0.16854
2022-05-29,0.09959
2022-05-30,0.43668
2022-05-31,0.30644
2022-06-01,0.16854
2022-06-02,0.26047
2022-06-03,0.27579
2022-06-04,0.06128
2022-06-05,0.08427
2022-06-06,0.05362
2022-06-07,0.80441
2022-06-08,0.55925
2022-06-09,0.79675
2022-06-10,0.81207
2022-06-11,0.58224
2022-06-12,0.47498
2022-06-13,2.58178
2022-06-14,2.735
2022-06-15,2.42089
2022-06-16,1.53987
2022-06-17,2.15276
2022-06-18,0.36773
2022-06-19,0.50563
2022-06-20,2.71968
2022-06-21,1.56285
2022-06-22,2.25235
2022-06-23,2.97249
2022-06-24,2.25235
2022-06-25,0.55925
2022-06-26,0.36773
2022-06-27,1.47092
2022-06-28,1.09553
2022-06-29,1.22577
2022-06-30,1.17214
2022-07-01,1.63946
2022-07-02,0.3524
2022-07-03,0.32942
2022-07-04,1.37133
2022-07-05,1.18746
2022-07-06,1.40963
2022-07-07,1.1415
2022-07-08,0.88868
2022-07-09,0.23749
2022-07-10,0.24515
2022-07-11,1.02658
2022-07-12,1.12617
2022-07-13,1.07255
2022-07-14,0.78909
2022-07-15,0.79675
2022-07-16,0.24515
2022-07-17,0.14556
2022-07-18,1.01126
2022-07-19,0.78142
2022-07-20,0.83505
2022-07-21,0.904
2022-07-22,0.83505
2022-07-23,0.20684
2022-07-24,0.22217
2022-07-25,0.66651
2022-07-26,0.61288
2022-07-27,0.56691
2022-07-28,0.75078
2022-07-29,0.7278
2022-07-30,0.19918
2022-07-31,0.24515
2022-08-01,0.55159
2022-08-02,0.72014
2022-08-03,0.72014
2022-08-04,0.65119
2022-08-05,0.88868
2022-08-06,0.21451
2022-08-07,0.1762
2022-08-08,0.67417
2022-08-09,0.67417
2022-08-10,0.8657
2022-08-11,0.67417
2022-08-12,0.48264
2022-08-13,0.16854
2022-08-14,0.21451
2022-08-15,0.16088
2022-08-16,0.80441
2022-08-17,0.66651
