date,건강보험다이렉트
2023-09-04,7.33333
2023-09-05,6.66666
2023-09-06,9.33333
2023-09-14,5.33333
2023-09-15,7.33333
2023-09-18,4.0
2023-09-21,3.33333
2023-09-25,10.0
2023-09-26,3.33333
2023-09-27,4.0
2023-09-28,5.33333
2023-09-29,3.33333
2023-09-30,6.0
2023-10-01,5.33333
2023-10-02,5.33333
2023-10-03,9.33333
2023-10-04,4.0
2023-10-05,7.33333
2023-10-06,4.66666
2023-10-07,4.0
2023-10-09,3.33333
2023-10-10,5.33333
2023-10-11,4.0
2023-10-12,3.33333
2023-10-13,5.33333
2023-10-16,8.66666
2023-10-17,3.33333
2023-10-18,8.66666
2023-10-19,5.33333
2023-10-20,4.0
2023-10-23,12.66666
2023-10-24,6.0
2023-10-25,11.33333
2023-10-26,7.33333
2023-10-27,8.0
2023-10-28,8.66666
2023-10-29,6.66666
2023-10-30,10.0
2023-10-31,9.33333
2023-11-01,5.33333
2023-11-02,6.0
2023-11-03,11.33333
2023-11-05,4.0
2023-11-06,14.66666
2023-11-07,7.33333
2023-11-08,12.66666
2023-11-09,4.66666
2023-11-10,11.33333
2023-11-11,3.33333
2023-11-13,8.66666
2023-11-14,6.0
2023-11-17,3.33333
2023-11-20,6.0
2023-11-24,3.33333
2023-11-27,6.66666
2023-11-28,8.0
2023-11-29,6.66666
2023-11-30,8.0
2023-12-01,6.66666
2023-12-02,6.66666
2023-12-03,8.66666
2023-12-04,8.66666
2023-12-05,7.33333
2023-12-06,12.0
2023-12-07,10.0
2023-12-08,7.33333
2023-12-09,10.0
2023-12-10,13.33333
2023-12-11,20.66666
2023-12-12,16.0
2023-12-13,14.0
2023-12-14,7.33333
2023-12-15,9.33333
2023-12-16,7.33333
2023-12-17,6.66666
2023-12-18,15.33333
2023-12-19,9.33333
2023-12-20,12.66666
2023-12-21,4.66666
2023-12-22,13.33333
2023-12-23,8.66666
2023-12-24,11.33333
2023-12-25,12.0
2023-12-26,10.66666
2023-12-27,6.0
2023-12-28,18.0
2023-12-29,18.0
2023-12-30,6.66666
2023-12-31,9.33333
2024-01-01,8.0
2024-01-02,11.33333
2024-01-04,10.0
2024-01-06,7.33333
2024-01-07,12.0
2024-01-08,8.0
2024-01-09,8.66666
2024-01-10,8.0
2024-01-11,14.66666
2024-01-12,4.0
2024-01-13,6.0
2024-01-14,4.66666
2024-01-15,8.66666
2024-01-16,5.33333
2024-01-17,5.33333
2024-01-18,12.66666
2024-01-19,16.0
2024-01-20,8.0
2024-01-21,7.33333
2024-01-22,21.33333
2024-01-23,14.66666
2024-01-24,19.33333
2024-01-25,14.66666
2024-01-26,11.33333
2024-01-27,21.33333
2024-01-28,14.0
2024-01-29,17.33333
2024-01-30,18.0
2024-01-31,18.66666
2024-02-01,22.0
2024-02-02,11.33333
2024-02-03,13.33333
2024-02-04,22.66666
2024-02-05,14.66666
2024-02-06,34.66666
2024-02-07,43.33333
2024-02-08,32.66666
2024-02-09,14.0
2024-02-10,10.0
2024-02-11,12.66666
2024-02-12,9.33333
2024-02-13,19.33333
2024-02-14,16.66666
2024-02-15,20.0
2024-02-16,13.33333
2024-02-17,14.0
2024-02-18,7.33333
2024-02-19,14.0
2024-02-20,18.66666
2024-02-21,18.66666
2024-02-22,10.0
2024-02-23,12.0
2024-02-24,11.33333
2024-02-25,11.33333
2024-02-26,15.33333
2024-02-27,23.33333
2024-02-28,21.33333
2024-02-29,18.66666
2024-03-01,11.33333
2024-03-02,13.33333
2024-03-03,12.66666
2024-03-04,19.33333
2024-03-05,19.33333
2024-03-06,12.66666
2024-03-07,11.33333
2024-03-08,10.66666
2024-03-09,100.0
2024-03-10,54.0
2024-03-11,23.33333
2024-03-12,22.0
2024-03-13,24.0
2024-03-14,18.66666
2024-03-15,30.0
2024-03-16,38.66666
2024-03-17,6.66666
2024-03-18,16.66666
2024-03-19,15.33333
2024-03-20,24.66666
