date,가맹점
2022-01-20,13.89776
2022-01-21,14.96272
2022-01-22,9.21192
2022-01-23,7.72097
2022-01-24,12.7263
2022-01-25,13.09904
2022-01-26,12.93929
2022-01-27,12.67305
2022-01-28,11.07561
2022-01-29,7.082
2022-01-30,7.66773
2022-01-31,5.80404
2022-02-01,7.56123
2022-02-02,7.61448
2022-02-03,13.20553
2022-02-04,11.60809
2022-02-05,7.50798
2022-02-06,6.81576
2022-02-07,11.92758
2022-02-08,11.44834
2022-02-09,14.00425
2022-02-10,10.80937
2022-02-11,10.80937
2022-02-12,6.44302
2022-02-13,7.13525
2022-02-14,11.66134
2022-02-15,10.96911
2022-02-16,11.60809
2022-02-17,12.24707
2022-02-18,11.07561
2022-02-19,5.80404
2022-02-20,6.92225
2022-02-21,12.30031
2022-02-22,11.98083
2022-02-23,12.93929
2022-02-24,12.77955
2022-02-25,8.94568
2022-02-26,8.67944
2022-02-27,7.56123
2022-02-28,8.94568
2022-03-01,7.66773
2022-03-02,11.07561
2022-03-03,10.48988
2022-03-04,9.47816
2022-03-05,6.65601
2022-03-06,6.07028
2022-03-07,9.9574
2022-03-08,11.12886
2022-03-09,6.60276
2022-03-10,11.44834
2022-03-11,10.80937
2022-03-12,6.9755
2022-03-13,6.49627
2022-03-14,10.43663
2022-03-15,12.88604
2022-03-16,13.52502
2022-03-17,10.01064
2022-03-18,9.53141
2022-03-19,7.88072
2022-03-20,7.77422
2022-03-21,10.43663
2022-03-22,14.0575
2022-03-23,10.43663
2022-03-24,12.19382
2022-03-25,10.91586
2022-03-26,8.14696
2022-03-27,9.9574
2022-03-28,11.76783
2022-03-29,11.2886
2022-03-30,11.44834
2022-03-31,12.40681
2022-04-01,10.80937
2022-04-02,9.42492
2022-04-03,8.14696
2022-04-04,11.66134
2022-04-05,12.35356
2022-04-06,10.80937
2022-04-07,11.71458
2022-04-08,11.07561
2022-04-09,6.81576
2022-04-10,7.24174
2022-04-11,10.64962
2022-04-12,10.75612
2022-04-13,10.80937
2022-04-14,11.07561
2022-04-15,10.54313
2022-04-16,6.33652
2022-04-17,7.34824
2022-04-18,11.55484
2022-04-19,12.03407
2022-04-20,10.59637
2022-04-21,11.23535
2022-04-22,9.7444
2022-04-23,6.65601
2022-04-24,8.14696
2022-04-25,12.30031
2022-04-26,12.7263
2022-04-27,9.47816
2022-04-28,9.69116
2022-04-29,10.01064
2022-04-30,8.99893
2022-05-01,8.46645
2022-05-02,11.82108
2022-05-03,12.19382
2022-05-04,11.60809
2022-05-05,8.04046
2022-05-06,8.78594
2022-05-07,7.082
2022-05-08,6.38977
2022-05-09,12.93929
2022-05-10,11.98083
2022-05-11,12.03407
2022-05-12,11.23535
2022-05-13,11.82108
2022-05-14,6.49627
2022-05-15,7.13525
2022-05-16,11.50159
2022-05-17,13.52502
2022-05-18,12.35356
2022-05-19,12.77955
2022-05-20,10.06389
2022-05-21,7.45473
2022-05-22,7.50798
2022-05-23,12.08732
2022-05-24,9.69116
2022-05-25,11.55484
2022-05-26,10.75612
2022-05-27,11.71458
2022-05-28,6.76251
2022-05-29,7.77422
2022-05-30,13.95101
2022-05-31,13.04579
2022-06-01,9.21192
2022-06-02,10.54313
2022-06-03,10.75612
2022-06-04,6.65601
2022-06-05,7.24174
2022-06-06,8.57294
2022-06-07,11.92758
2022-06-08,12.14057
2022-06-09,12.08732
2022-06-10,11.02236
2022-06-11,6.9755
2022-06-12,7.13525
2022-06-13,12.40681
2022-06-14,12.99254
2022-06-15,11.2886
2022-06-16,12.24707
2022-06-17,10.70287
2022-06-18,6.49627
2022-06-19,7.72097
2022-06-20,12.14057
2022-06-21,13.41853
2022-06-22,12.88604
2022-06-23,10.75612
2022-06-24,11.1821
2022-06-25,6.81576
2022-06-26,7.24174
2022-06-27,12.88604
2022-06-28,13.15228
2022-06-29,12.88604
2022-06-30,13.73801
2022-07-01,16.82641
2022-07-02,10.70287
2022-07-03,8.5197
2022-07-04,15.01597
2022-07-05,14.58998
2022-07-06,11.55484
2022-07-07,11.87433
2022-07-08,12.03407
