date,비과세종합저축
2021-08-19,3.57142
2021-08-20,4.07873
2021-08-21,2.51623
2021-08-22,2.31331
2021-08-23,4.34253
2021-08-24,4.97159
2021-08-25,6.37175
2021-08-26,5.11363
2021-08-27,4.38311
2021-08-28,2.15097
2021-08-29,2.98295
2021-08-30,4.87012
2021-08-31,4.95129
2021-09-01,6.20941
2021-09-02,5.13392
2021-09-03,5.25568
2021-09-04,2.63798
2021-09-05,26.23782
2021-09-06,8.56331
2021-09-07,6.43262
2021-09-08,5.76298
2021-09-09,5.03246
2021-09-10,5.78327
2021-09-11,3.69318
2021-09-12,3.3685
2021-09-13,5.4586
2021-09-14,4.97159
2021-09-15,4.58603
2021-09-16,3.87581
2021-09-17,4.70779
2021-09-18,2.61769
2021-09-19,2.53652
2021-09-20,3.24675
2021-09-21,2.98295
2021-09-22,3.93668
2021-09-23,7.12256
2021-09-24,6.71672
2021-09-25,3.99756
2021-09-26,4.09902
2021-09-27,6.06737
2021-09-28,5.86444
2021-09-29,5.86444
2021-09-30,5.90503
2021-10-01,4.64691
2021-10-02,2.8409
2021-10-03,3.00324
2021-10-04,3.14529
2021-10-05,6.63555
2021-10-06,5.51948
2021-10-07,4.05844
2021-10-08,5.05275
2021-10-09,3.06412
2021-10-10,2.45535
2021-10-11,3.3685
2021-10-12,5.62094
2021-10-13,4.62662
2021-10-14,4.24107
2021-10-15,5.1948
2021-10-16,3.34821
2021-10-17,2.96266
2021-10-18,4.70779
2021-10-19,5.11363
2021-10-20,4.1599
2021-10-21,4.58603
2021-10-22,4.11931
2021-10-23,2.51623
2021-10-24,2.43506
2021-10-25,5.62094
2021-10-26,4.36282
2021-10-27,4.09902
2021-10-28,3.71347
2021-10-29,3.83522
2021-10-30,1.92775
2021-10-31,2.49594
2021-11-01,4.78896
2021-11-02,4.95129
2021-11-03,4.4237
2021-11-04,4.34253
2021-11-05,4.26136
2021-11-06,2.47564
2021-11-07,3.16558
2021-11-08,4.87012
2021-11-09,4.56574
2021-11-10,6.18912
2021-11-11,4.50487
2021-11-12,4.74837
2021-11-13,2.37418
2021-11-14,2.47564
2021-11-15,4.89042
2021-11-16,5.23538
2021-11-17,4.82954
2021-11-18,4.70779
2021-11-19,4.44399
2021-11-20,2.47564
2021-11-21,2.80032
2021-11-22,4.74837
2021-11-23,4.4237
2021-11-24,4.6672
2021-11-25,5.90503
2021-11-26,5.25568
2021-11-27,2.8612
2021-11-28,3.34821
2021-11-29,4.76866
2021-11-30,4.82954
2021-12-01,4.18019
2021-12-02,4.18019
2021-12-03,3.87581
2021-12-04,2.67857
2021-12-05,2.49594
2021-12-06,4.26136
2021-12-07,4.48457
2021-12-08,4.72808
2021-12-09,4.56574
2021-12-10,5.56006
2021-12-11,3.20616
2021-12-12,3.24675
2021-12-13,5.21509
2021-12-14,4.87012
2021-12-15,5.88474
2021-12-16,4.34253
2021-12-17,7.89366
2021-12-18,3.59172
2021-12-19,3.40909
2021-12-20,5.1948
2021-12-21,5.51948
2021-12-22,5.25568
2021-12-23,4.95129
2021-12-24,5.92532
2021-12-25,3.57142
2021-12-26,3.69318
2021-12-27,6.16883
2021-12-28,6.51379
2021-12-29,6.4935
2021-12-30,6.25
2021-12-31,6.33116
2022-01-01,4.64691
2022-01-02,5.03246
2022-01-03,8.01542
2022-01-04,8.40097
2022-01-05,8.46185
2022-01-06,7.65016
2022-01-07,7.10227
2022-01-08,3.69318
2022-01-09,4.46428
2022-01-10,7.83279
2022-01-11,7.18344
2022-01-12,6.12824
2022-01-13,6.2297
2022-01-14,5.88474
2022-01-15,4.24107
2022-01-16,3.8961
2022-01-17,8.13717
2022-01-18,8.23863
2022-01-19,7.69074
2022-01-20,8.98944
2022-01-21,14.16396
2022-01-22,5.90503
2022-01-23,5.31655
2022-01-24,8.66477
2022-01-25,11.46509
2022-01-26,9.71996
2022-01-27,8.70535
2022-01-28,9.67938
2022-01-29,5.62094
2022-01-30,5.03246
2022-01-31,4.56574
2022-02-01,6.20941
2022-02-02,7.24431
2022-02-03,12.39853
2022-02-04,10.95779
2022-02-05,6.02678
2022-02-06,6.57467
2022-02-07,10.34902
2022-02-08,10.32873
2022-02-09,9.29383
2022-02-10,10.63311
2022-02-11,8.50243
2022-02-12,4.931
2022-02-13,4.97159
2022-02-14,8.94886
2022-02-15,8.76623
2022-02-16,8.88798
2022-02-17,7.75162
2022-02-18,9.07061
2022-02-19,5.35714
2022-02-20,6.2297
2022-02-21,87.4797
2022-02-22,63.47402
2022-02-23,92.08603
2022-02-24,84.17207
2022-02-25,96.18506
2022-02-26,6.81818
2022-02-27,6.53409
2022-02-28,100.0
2022-03-01,10.08522
2022-03-02,81.00649
2022-03-03,53.24675
2022-03-04,45.67775
2022-03-05,6.73701
2022-03-06,6.79788
2022-03-07,8.23863
2022-03-08,7.99512
2022-03-09,5.01217
2022-03-10,9.29383
2022-03-11,8.56331
2022-03-12,5.39772
2022-03-13,5.49918
2022-03-14,8.44155
2022-03-15,8.98944
2022-03-16,7.26461
2022-03-17,8.13717
2022-03-18,7.48782
2022-03-19,5.43831
2022-03-20,4.24107
2022-03-21,7.18344
2022-03-22,7.0211
2022-03-23,7.22402
2022-03-24,7.97483
2022-03-25,8.36038
2022-03-26,4.6875
2022-03-27,4.74837
2022-03-28,8.15746
2022-03-29,6.77759
2022-03-30,7.08198
