date,집값
2021-02-20,36.19316
2021-02-21,39.86642
2021-02-22,45.87721
2021-02-23,48.75417
2021-02-24,44.41304
2021-02-25,43.84793
2021-02-26,39.58386
2021-02-27,33.3162
2021-02-28,36.93809
2021-03-01,38.86462
2021-03-02,40.58566
2021-03-03,37.29771
2021-03-04,37.19496
2021-03-05,34.5235
2021-03-06,31.28692
2021-03-07,33.62445
2021-03-08,38.42794
2021-03-09,37.81145
2021-03-10,35.83354
2021-03-11,36.27022
2021-03-12,32.7254
2021-03-13,29.89982
2021-03-14,32.39147
2021-03-15,40.12329
2021-03-16,39.5068
2021-03-17,35.73079
2021-03-18,37.86283
2021-03-19,34.78037
2021-03-20,29.38607
2021-03-21,45.36347
2021-03-22,52.73567
2021-03-23,46.23683
2021-03-24,44.41304
2021-03-25,42.84613
2021-03-26,40.27742
2021-03-27,37.50321
2021-03-28,41.17647
2021-03-29,46.85332
2021-03-30,40.7141
2021-03-31,38.81325
2021-04-01,37.9142
2021-04-02,32.75109
2021-04-03,30.82455
2021-04-04,35.85923
2021-04-05,43.15437
2021-04-06,38.73619
2021-04-07,41.22784
2021-04-08,42.76907
2021-04-09,37.7087
2021-04-10,36.09041
2021-04-11,38.53069
2021-04-12,40.12329
2021-04-13,38.06832
2021-04-14,35.37117
2021-04-15,34.06113
2021-04-16,33.08502
2021-04-17,28.94939
2021-04-18,31.56948
2021-04-19,33.47033
2021-04-20,31.26123
2021-04-21,31.36398
2021-04-22,28.30721
2021-04-23,28.02465
2021-04-24,25.71281
2021-04-25,26.56049
2021-04-26,29.10351
2021-04-27,32.54559
2021-04-28,30.59337
2021-04-29,27.35679
2021-04-30,25.32751
2021-05-01,22.88723
2021-05-02,25.32751
2021-05-03,26.30362
2021-05-04,24.37708
2021-05-05,21.5515
2021-05-06,26.25224
2021-05-07,23.63216
2021-05-08,20.96069
2021-05-09,25.19907
2021-05-10,28.89802
2021-05-11,26.84305
2021-05-12,25.25044
2021-05-13,28.82096
2021-05-14,28.30721
2021-05-15,28.9237
2021-05-16,32.18597
2021-05-17,34.03544
2021-05-18,31.31261
2021-05-19,28.97508
2021-05-20,30.95299
2021-05-21,28.9237
2021-05-22,24.5312
2021-05-23,27.38248
2021-05-24,34.1125
2021-05-25,32.7254
2021-05-26,32.31441
2021-05-27,31.18417
2021-05-28,26.14949
2021-05-29,24.68533
2021-05-30,26.86873
2021-05-31,34.90881
2021-06-01,36.83534
2021-06-02,34.34369
2021-06-03,36.96378
2021-06-04,32.87952
2021-06-05,24.89082
2021-06-06,29.51451
2021-06-07,32.85384
2021-06-08,30.95299
2021-06-09,30.56768
2021-06-10,33.16208
2021-06-11,30.02825
2021-06-12,24.60827
2021-06-13,26.14949
2021-06-14,31.85204
2021-06-15,30.25944
2021-06-16,31.90341
2021-06-17,29.69432
2021-06-18,28.43565
2021-06-19,25.09632
2021-06-20,27.09992
2021-06-21,30.69612
2021-06-22,41.3049
2021-06-23,39.94348
2021-06-24,36.03904
2021-06-25,30.23375
2021-06-26,27.56229
2021-06-27,25.04495
2021-06-28,32.75109
2021-06-29,30.49062
2021-06-30,30.51631
2021-07-01,31.5181
2021-07-02,30.18237
2021-07-03,27.5366
2021-07-04,31.33829
2021-07-05,37.81145
2021-07-06,34.96018
2021-07-07,33.39326
2021-07-08,33.67582
2021-07-09,30.15669
2021-07-10,25.40457
2021-07-11,32.41715
2021-07-12,36.93809
2021-07-13,33.93269
2021-07-14,29.97688
2021-07-15,32.75109
2021-07-16,29.38607
2021-07-17,28.20446
2021-07-18,31.23555
2021-07-19,33.65014
2021-07-20,41.25353
2021-07-21,34.21525
2021-07-22,36.83534
2021-07-23,31.67223
2021-07-24,28.35859
2021-07-25,26.5348
2021-07-26,31.54379
2021-07-27,35.9106
2021-07-28,48.21474
2021-07-29,44.92679
2021-07-30,33.70151
2021-07-31,29.64294
2021-08-01,32.69971
2021-08-02,35.08862
2021-08-03,33.98407
2021-08-04,33.26483
2021-08-05,34.29231
2021-08-06,35.34549
2021-08-07,28.28153
2021-08-08,30.54199
2021-08-09,34.90881
2021-08-10,34.26663
2021-08-11,34.49781
2021-08-12,36.01335
2021-08-13,33.80426
2021-08-14,30.56768
2021-08-15,33.29052
2021-08-16,37.3234
2021-08-17,37.37477
2021-08-18,42.3067
2021-08-19,45.51759
2021-08-20,45.18366
2021-08-21,40.7141
2021-08-22,41.94708
2021-08-23,48.03493
2021-08-24,43.41125
2021-08-25,44.87541
2021-08-26,52.42743
2021-08-27,45.95427
2021-08-28,35.73079
2021-08-29,41.35628
2021-08-30,49.75597
2021-08-31,42.58926
2021-09-01,41.15078
2021-09-02,47.67531
2021-09-03,41.53609
2021-09-04,36.37297
2021-09-05,43.00025
2021-09-06,47.16157
2021-09-07,42.84613
2021-09-08,38.94169
2021-09-09,40.7141
2021-09-10,41.48471
2021-09-11,34.34369
2021-09-12,38.35088
2021-09-13,41.25353
2021-09-14,38.60775
2021-09-15,37.29771
2021-09-16,43.28281
2021-09-17,34.39506
2021-09-18,27.30541
2021-09-19,29.41176
2021-09-20,32.57128
2021-09-21,35.42255
2021-09-22,36.1161
2021-09-23,43.35987
2021-09-24,37.19496
2021-09-25,35.13999
2021-09-26,38.94169
2021-09-27,46.80195
2021-09-28,42.56357
2021-09-29,42.64063
2021-09-30,44.41304
2021-10-01,48.06062
2021-10-02,41.66452
2021-10-03,38.22245
2021-10-04,42.58926
2021-10-05,48.77986
2021-10-06,45.95427
2021-10-07,46.21114
2021-10-08,38.42794
2021-10-09,34.729
2021-10-10,37.65733
2021-10-11,38.94169
2021-10-12,43.95068
2021-10-13,50.24402
2021-10-14,61.98304
2021-10-15,53.09529
2021-10-16,38.73619
2021-10-17,35.83354
2021-10-18,54.43103
2021-10-19,51.93937
2021-10-20,48.42024
2021-10-21,50.06421
2021-10-22,41.61315
2021-10-23,40.43154
2021-10-24,43.41125
2021-10-25,46.23683
2021-10-26,55.74107
2021-10-27,47.77806
2021-10-28,44.28461
2021-10-29,44.79835
2021-10-30,39.48111
2021-10-31,42.69201
2021-11-01,52.55586
2021-11-02,58.61803
2021-11-03,46.26252
2021-11-04,49.31929
2021-11-05,45.56896
2021-11-06,38.58207
2021-11-07,43.46262
2021-11-08,47.31569
2021-11-09,46.21114
2021-11-10,58.02722
2021-11-11,55.84382
2021-11-12,42.35807
2021-11-13,36.24454
2021-11-14,39.7123
2021-11-15,50.06421
2021-11-16,48.2918
2021-11-17,44.72129
2021-11-18,41.40765
2021-11-19,40.86822
2021-11-20,34.44644
2021-11-21,39.07012
2021-11-22,45.77446
2021-11-23,38.99306
2021-11-24,43.97636
2021-11-25,45.87721
2021-11-26,44.54148
2021-11-27,35.03724
2021-11-28,36.80965
2021-11-29,47.29
2021-11-30,41.58746
2021-12-01,38.35088
2021-12-02,41.33059
2021-12-03,42.38376
2021-12-04,35.9106
2021-12-05,40.63704
2021-12-06,54.94477
2021-12-07,54.58515
2021-12-08,70.33136
2021-12-09,55.84382
2021-12-10,57.43642
2021-12-11,50.42383
2021-12-12,52.04212
2021-12-13,56.74287
2021-12-14,52.55586
2021-12-15,63.39583
2021-12-16,54.58515
2021-12-17,84.2281
2021-12-18,58.51528
2021-12-19,64.60313
2021-12-20,85.25558
2021-12-21,62.65091
2021-12-22,54.02003
2021-12-23,61.52067
2021-12-24,57.77035
2021-12-25,43.25712
2021-12-26,45.95427
2021-12-27,62.44541
2021-12-28,58.05291
2021-12-29,55.38145
2021-12-30,46.9047
2021-12-31,41.22784
2022-01-01,38.81325
2022-01-02,46.46801
2022-01-03,52.63293
2022-01-04,65.01412
2022-01-05,59.92807
2022-01-06,55.38145
2022-01-07,50.06421
2022-01-08,39.55818
2022-01-09,48.70279
2022-01-10,51.70819
2022-01-11,50.52658
2022-01-12,49.60184
2022-01-13,52.45312
2022-01-14,52.99255
2022-01-15,43.61674
2022-01-16,44.66992
2022-01-17,48.52298
2022-01-18,50.55227
2022-01-19,49.85872
2022-01-20,46.46801
2022-01-21,43.38556
2022-01-22,44.25892
2022-01-23,46.03133
2022-01-24,59.26021
2022-01-25,63.21602
2022-01-26,52.0935
2022-01-27,53.66041
2022-01-28,47.34138
2022-01-29,40.91959
2022-01-30,37.01515
2022-01-31,36.73259
2022-02-01,40.81685
2022-02-02,42.84613
2022-02-03,51.60544
2022-02-04,47.05882
2022-02-05,43.3085
2022-02-06,47.72668
2022-02-07,50.80914
2022-02-08,46.62214
2022-02-09,44.05342
2022-02-10,51.73388
2022-02-11,51.73388
2022-02-12,39.09581
2022-02-13,43.92499
2022-02-14,51.6825
2022-02-15,46.05702
2022-02-16,42.84613
2022-02-17,43.28281
2022-02-18,42.5122
2022-02-19,43.56537
2022-02-20,38.96737
2022-02-21,44.84973
2022-02-22,48.42024
2022-02-23,43.61674
2022-02-24,44.97816
2022-02-25,36.88671
2022-02-26,35.01155
2022-02-27,34.729
2022-02-28,37.06652
2022-03-01,35.98767
2022-03-02,39.86642
2022-03-03,41.04803
2022-03-04,34.47212
2022-03-05,32.67403
2022-03-06,34.21525
2022-03-07,39.68661
2022-03-08,32.69971
2022-03-09,33.03365
2022-03-10,100.0
2022-03-11,59.72257
2022-03-12,44.64423
2022-03-13,46.41664
2022-03-14,59.38864
2022-03-15,52.4788
2022-03-16,50.47521
2022-03-17,53.09529
2022-03-18,42.12689
2022-03-19,37.65733
2022-03-20,37.58027
2022-03-21,41.63883
2022-03-22,39.68661
2022-03-23,44.1048
2022-03-24,38.19676
2022-03-25,37.22065
2022-03-26,33.95838
2022-03-27,35.88492
2022-03-28,41.04803
2022-03-29,37.93989
2022-03-30,37.83714
2022-03-31,35.96198
2022-04-01,31.67223
2022-04-02,31.28692
2022-04-03,31.77498
2022-04-04,39.9178
2022-04-05,38.19676
2022-04-06,38.40226
2022-04-07,37.37477
2022-04-08,33.59876
2022-04-09,31.38967
2022-04-10,32.64834
2022-04-11,39.48111
2022-04-12,37.14359
2022-04-13,35.73079
2022-04-14,36.62984
2022-04-15,35.93629
2022-04-16,29.59157
2022-04-17,34.60056
2022-04-18,36.88671
2022-04-19,33.41895
2022-04-20,36.27022
2022-04-21,34.21525
2022-04-22,30.77318
2022-04-23,29.05214
2022-04-24,33.93269
2022-04-25,39.96917
2022-04-26,48.36886
2022-04-27,48.16337
2022-04-28,42.04983
2022-04-29,33.70151
2022-04-30,31.05574
2022-05-01,33.47033
2022-05-02,38.83894
2022-05-03,39.48111
2022-05-04,34.75468
2022-05-05,36.60416
2022-05-06,40.40585
2022-05-07,32.77677
2022-05-08,36.47572
2022-05-09,45.08091
2022-05-10,47.13588
2022-05-11,46.05702
2022-05-12,51.888
2022-05-13,38.47932
2022-05-14,29.72001
2022-05-15,36.93809
2022-05-16,47.67531
2022-05-17,43.56537
2022-05-18,39.32699
2022-05-19,40.38016
2022-05-20,38.04264
2022-05-21,30.25944
2022-05-22,30.49062
2022-05-23,36.75828
2022-05-24,39.17287
2022-05-25,36.78397
2022-05-26,43.74518
2022-05-27,44.46442
2022-05-28,36.73259
2022-05-29,50.83483
2022-05-30,53.35217
2022-05-31,45.9029
2022-06-01,39.48111
2022-06-02,44.56717
2022-06-03,39.07012
2022-06-04,37.40046
2022-06-05,35.62805
2022-06-06,45.08091
2022-06-07,49.91009
2022-06-08,44.56717
2022-06-09,48.83123
2022-06-10,52.01643
2022-06-11,40.89391
2022-06-12,58.38684
2022-06-13,71.02491
2022-06-14,69.8433
2022-06-15,64.03801
2022-06-16,73.67069
2022-06-17,64.42332
2022-06-18,47.62394
2022-06-19,51.73388
2022-06-20,66.96634
2022-06-21,61.03262
2022-06-22,55.61263
2022-06-23,53.73747
2022-06-24,42.61494
2022-06-25,37.7087
2022-06-26,41.74158
2022-06-27,49.62753
2022-06-28,44.07911
2022-06-29,43.48831
2022-06-30,42.71769
2022-07-01,40.12329
2022-07-02,34.21525
2022-07-03,37.65733
2022-07-04,48.36886
