date,P2P대출
2022-04-08,8.87624
2022-04-09,5.80369
2022-04-10,5.5761
2022-04-11,10.12802
2022-04-12,12.14793
2022-04-13,9.98577
2022-04-14,10.15647
2022-04-15,8.3926
2022-04-16,5.66145
2022-04-17,6.34423
2022-04-18,11.00995
2022-04-19,11.00995
2022-04-20,12.11948
2022-04-21,11.77809
2022-04-22,14.90753
2022-04-23,6.54338
2022-04-24,7.39687
2022-04-25,11.97724
2022-04-26,12.60312
2022-04-27,12.60312
2022-04-28,10.04267
2022-04-29,8.4495
2022-04-30,4.60881
2022-05-01,5.03556
2022-05-02,11.29445
2022-05-03,10.72546
2022-05-04,9.55903
2022-05-05,4.32432
2022-05-06,9.98577
2022-05-07,5.03556
2022-05-08,4.80796
2022-05-09,12.71692
2022-05-10,10.81081
2022-05-11,10.78236
2022-05-12,11.83499
2022-05-13,9.81507
2022-05-14,4.89331
2022-05-15,4.97866
2022-05-16,11.80654
2022-05-17,13.68421
2022-05-18,10.81081
2022-05-19,10.52631
2022-05-20,9.84352
2022-05-21,6.08819
2022-05-22,5.1778
2022-05-23,10.9815
2022-05-24,12.66002
2022-05-25,10.61166
2022-05-26,10.38406
2022-05-27,10.04267
2022-05-28,4.72261
2022-05-29,6.94167
2022-05-30,9.70128
2022-05-31,8.93314
2022-06-01,4.69416
2022-06-02,10.07112
2022-06-03,8.73399
2022-06-04,5.83214
2022-06-05,4.40967
2022-06-06,5.80369
2022-06-07,11.12375
2022-06-08,10.27027
2022-06-09,10.15647
2022-06-10,9.16073
2022-06-11,4.32432
2022-06-12,5.12091
2022-06-13,9.87197
2022-06-14,10.9815
2022-06-15,10.46941
2022-06-16,8.70554
2022-06-17,9.10384
2022-06-18,5.26315
2022-06-19,6.42958
2022-06-20,9.10384
2022-06-21,9.75817
2022-06-22,11.40825
2022-06-23,10.21337
2022-06-24,7.11237
2022-06-25,4.03982
2022-06-26,4.97866
2022-06-27,8.62019
2022-06-28,9.72972
2022-06-29,8.79089
2022-06-30,9.55903
2022-07-01,7.53911
2022-07-02,4.58036
2022-07-03,4.86486
2022-07-04,11.06685
2022-07-05,9.18918
2022-07-06,8.76244
2022-07-07,11.3798
2022-07-08,8.3926
2022-07-09,4.06827
2022-07-10,4.60881
2022-07-11,7.93741
2022-07-12,9.30298
2022-07-13,9.24608
2022-07-14,9.27453
2022-07-15,8.67709
2022-07-16,3.86913
2022-07-17,4.40967
2022-07-18,9.35988
2022-07-19,9.13229
2022-07-20,9.44523
2022-07-21,9.24608
2022-07-22,6.79943
2022-07-23,4.18207
2022-07-24,4.58036
2022-07-25,9.98577
2022-07-26,8.81934
2022-07-27,9.50213
2022-07-28,8.5064
2022-07-29,7.16927
2022-07-30,3.89758
2022-07-31,4.09672
2022-08-01,7.05547
2022-08-02,7.96586
2022-08-03,8.96159
2022-08-04,7.90896
2022-08-05,6.68563
2022-08-06,4.66571
2022-08-07,4.15362
2022-08-08,9.53058
2022-08-09,8.87624
2022-08-10,8.30725
2022-08-11,7.62446
2022-08-12,7.70981
2022-08-13,4.15362
2022-08-14,3.75533
2022-08-15,4.83641
2022-08-16,8.1081
2022-08-17,7.76671
2022-08-18,8.19345
2022-08-19,8.165
2022-08-20,3.35704
2022-08-21,4.60881
2022-08-22,9.75817
2022-08-23,9.16073
2022-08-24,8.25035
2022-08-25,9.21763
2022-08-26,6.91322
2022-08-27,4.66571
2022-08-28,4.38122
2022-08-29,8.5633
2022-08-30,7.88051
2022-08-31,9.30298
2022-09-01,6.54338
2022-09-02,7.19772
2022-09-03,3.30014
2022-09-04,3.89758
2022-09-05,8.5064
2022-09-06,8.13655
2022-09-07,7.65291
2022-09-08,4.60881
2022-09-09,3.01564
2022-09-10,2.78805
2022-09-11,2.90184
2022-09-12,4.29587
2022-09-13,8.70554
2022-09-14,8.79089
2022-09-15,9.70128
2022-09-16,7.25462
