date,법정상속인
2021-02-11,29.10447
2021-02-12,33.58208
2021-02-13,26.1194
2021-02-14,38.80597
2021-02-15,73.88059
2021-02-16,71.64179
2021-02-17,60.44776
2021-02-18,54.47761
2021-02-19,48.50746
2021-02-20,20.14925
2021-02-21,24.62686
2021-02-22,71.64179
2021-02-23,68.65671
2021-02-24,67.91044
2021-02-25,67.91044
2021-02-26,62.68656
2021-02-27,35.07462
2021-02-28,29.85074
2021-03-01,25.37313
2021-03-02,46.26865
2021-03-03,61.94029
2021-03-04,48.50746
2021-03-05,46.26865
2021-03-06,24.62686
2021-03-07,23.13432
2021-03-08,44.02985
2021-03-09,45.52238
2021-03-10,40.2985
2021-03-11,47.01492
2021-03-12,50.74626
2021-03-13,23.88059
2021-03-14,29.10447
2021-03-15,50.74626
2021-03-16,54.47761
2021-03-17,59.70149
2021-03-18,55.97014
2021-03-19,53.73134
2021-03-20,20.14925
2021-03-21,25.37313
2021-03-22,61.94029
2021-03-23,54.47761
2021-03-24,52.2388
2021-03-25,51.49253
2021-03-26,38.80597
2021-03-27,20.89552
2021-03-28,17.91044
2021-03-29,42.53731
2021-03-30,53.73134
2021-03-31,53.73134
2021-04-01,39.55223
2021-04-02,47.01492
2021-04-03,19.40298
2021-04-04,22.38805
2021-04-05,51.49253
2021-04-06,42.53731
2021-04-07,47.01492
2021-04-08,48.50746
2021-04-09,50.74626
2021-04-10,17.16417
2021-04-11,20.89552
2021-04-12,49.25373
2021-04-13,52.98507
2021-04-14,49.25373
2021-04-15,62.68656
2021-04-16,35.07462
2021-04-17,17.91044
2021-04-18,9.70149
2021-04-19,44.02985
2021-04-20,49.25373
2021-04-21,47.76119
2021-04-22,47.01492
2021-04-23,47.01492
2021-04-24,26.86567
2021-04-25,24.62686
2021-04-26,67.91044
2021-04-27,38.0597
2021-04-28,43.28358
2021-04-29,49.25373
2021-04-30,41.04477
2021-05-01,16.41791
2021-05-02,23.13432
2021-05-03,48.50746
2021-05-04,34.32835
2021-05-05,24.62686
2021-05-06,45.52238
2021-05-07,43.28358
2021-05-08,28.3582
2021-05-09,11.94029
2021-05-10,45.52238
2021-05-11,42.53731
2021-05-12,38.0597
2021-05-13,49.25373
2021-05-14,39.55223
2021-05-15,20.89552
2021-05-16,20.89552
2021-05-17,48.50746
2021-05-18,55.97014
2021-05-19,21.64179
2021-05-20,57.46268
2021-05-21,29.10447
2021-05-22,19.40298
2021-05-23,17.91044
2021-05-24,45.52238
2021-05-25,55.97014
2021-05-26,41.79104
2021-05-27,54.47761
2021-05-28,42.53731
2021-05-29,17.91044
2021-05-30,17.16417
2021-05-31,38.80597
2021-06-01,41.79104
2021-06-02,50.74626
2021-06-03,43.28358
2021-06-04,24.62686
2021-06-05,30.59701
2021-06-06,21.64179
2021-06-07,50.0
2021-06-08,44.77611
2021-06-09,46.26865
2021-06-10,35.07462
2021-06-11,36.56716
2021-06-12,11.94029
2021-06-13,12.68656
2021-06-14,53.73134
2021-06-15,40.2985
2021-06-16,44.77611
2021-06-17,41.79104
2021-06-18,38.0597
2021-06-19,18.65671
2021-06-20,19.40298
2021-06-21,51.49253
2021-06-22,52.2388
2021-06-23,44.02985
2021-06-24,51.49253
2021-06-25,36.56716
2021-06-26,21.64179
2021-06-27,20.89552
2021-06-28,53.73134
2021-06-29,41.79104
2021-06-30,55.22388
2021-07-01,39.55223
2021-07-02,41.04477
2021-07-03,20.89552
2021-07-04,32.08955
2021-07-05,50.0
2021-07-06,54.47761
2021-07-07,26.1194
2021-07-08,42.53731
2021-07-09,48.50746
2021-07-10,20.14925
2021-07-11,26.86567
2021-07-12,57.46268
2021-07-13,38.80597
2021-07-14,39.55223
2021-07-15,34.32835
2021-07-16,38.0597
