date,아트포스터
2022-01-09,39.30348
2022-01-10,46.26865
2022-01-11,45.27363
2022-01-12,28.85572
2022-01-13,41.29353
2022-01-14,50.24875
2022-01-15,42.78606
2022-01-16,51.74129
2022-01-17,43.28358
2022-01-18,54.22885
2022-01-19,31.34328
2022-01-20,39.80099
2022-01-21,31.34328
2022-01-22,39.30348
2022-01-23,53.23383
2022-01-24,43.78109
2022-01-25,47.26368
2022-01-26,44.77611
2022-01-27,38.80597
2022-01-28,36.81592
2022-01-29,39.30348
2022-01-30,34.82587
2022-01-31,36.81592
2022-02-01,32.3383
2022-02-02,52.2388
2022-02-03,37.81094
2022-02-04,34.82587
2022-02-05,42.28855
2022-02-06,67.16417
2022-02-07,52.2388
2022-02-08,44.2786
2022-02-09,39.80099
2022-02-10,25.87064
2022-02-11,41.29353
2022-02-12,42.28855
2022-02-13,45.77114
2022-02-14,39.30348
2022-02-15,47.76119
2022-02-16,42.78606
2022-02-17,39.80099
2022-02-18,33.83084
2022-02-19,43.78109
2022-02-20,48.2587
2022-02-21,49.25373
2022-02-22,34.82587
2022-02-23,28.85572
2022-02-24,38.30845
2022-02-25,37.31343
2022-02-26,37.31343
2022-02-27,38.30845
2022-02-28,41.29353
2022-03-01,45.27363
2022-03-02,37.31343
2022-03-03,38.30845
2022-03-04,34.82587
2022-03-05,33.83084
2022-03-06,49.75124
2022-03-07,32.83582
2022-03-08,42.28855
2022-03-09,43.28358
2022-03-10,58.20895
2022-03-11,46.26865
2022-03-12,38.30845
2022-03-13,39.30348
2022-03-14,32.83582
2022-03-15,39.30348
2022-03-16,43.28358
2022-03-17,39.80099
2022-03-18,38.30845
2022-03-19,35.32338
2022-03-20,35.82089
2022-03-21,40.79601
2022-03-22,29.35323
2022-03-23,37.31343
2022-03-24,35.82089
2022-03-25,30.34825
2022-03-26,40.2985
2022-03-27,34.32835
2022-03-28,42.78606
2022-03-29,33.33333
2022-03-30,40.2985
2022-03-31,36.81592
2022-04-01,31.84079
2022-04-02,26.36815
2022-04-03,35.32338
2022-04-04,32.3383
2022-04-05,23.88059
2022-04-06,25.87064
2022-04-07,24.3781
2022-04-08,24.87562
2022-04-09,25.37313
2022-04-10,32.83582
2022-04-11,30.34825
2022-04-12,29.35323
2022-04-13,34.82587
2022-04-14,22.38805
2022-04-15,31.34328
2022-04-16,36.3184
2022-04-17,29.35323
2022-04-18,31.34328
2022-04-19,36.3184
2022-04-20,34.82587
2022-04-21,32.83582
2022-04-22,23.38308
2022-04-23,28.85572
2022-04-24,34.82587
2022-04-25,38.30845
2022-04-26,31.84079
2022-04-27,32.3383
2022-04-28,44.2786
2022-04-29,34.82587
2022-04-30,24.3781
2022-05-01,30.84577
2022-05-02,26.86567
2022-05-03,26.36815
2022-05-04,32.83582
2022-05-05,28.3582
2022-05-06,26.36815
2022-05-07,14.42786
2022-05-08,25.87064
2022-05-09,43.28358
2022-05-10,32.83582
2022-05-11,25.87064
2022-05-12,33.33333
2022-05-13,23.38308
2022-05-14,24.87562
2022-05-15,26.86567
2022-05-16,35.82089
2022-05-17,27.86069
2022-05-18,23.88059
2022-05-19,25.37313
2022-05-20,25.87064
2022-05-21,29.35323
2022-05-22,28.85572
2022-05-23,28.85572
2022-05-24,22.38805
2022-05-25,16.91542
2022-05-26,22.88557
2022-05-27,18.40796
2022-05-28,17.91044
2022-05-29,22.38805
2022-05-30,21.39303
2022-05-31,24.3781
2022-06-01,33.83084
2022-06-02,20.398
2022-06-03,25.87064
2022-06-04,22.38805
2022-06-05,22.88557
2022-06-06,33.33333
2022-06-07,33.33333
2022-06-08,35.82089
2022-06-09,34.32835
2022-06-10,23.88059
2022-06-11,19.90049
2022-06-12,29.85074
2022-06-13,22.88557
2022-06-14,17.41293
2022-06-15,22.38805
2022-06-16,29.35323
2022-06-17,19.90049
2022-06-18,16.41791
2022-06-19,34.82587
2022-06-20,30.34825
2022-06-21,31.34328
2022-06-22,31.84079
2022-06-23,23.88059
2022-06-24,16.41791
2022-06-25,29.85074
2022-06-26,43.78109
2022-06-27,31.84079
2022-06-28,28.85572
2022-06-29,24.3781
