date,코인만들기
2021-10-21,21.02803
2021-10-22,6.54205
2021-10-23,7.47663
2021-10-24,7.00934
2021-10-25,18.22429
2021-10-26,15.42056
2021-10-27,19.15887
2021-10-28,28.50467
2021-10-29,71.49532
2021-10-30,43.45794
2021-10-31,35.51401
2021-11-01,48.59813
2021-11-02,91.12149
2021-11-03,50.93457
2021-11-04,48.59813
2021-11-05,39.71962
2021-11-06,34.11214
2021-11-07,28.50467
2021-11-08,37.85046
2021-11-09,47.66355
2021-11-10,36.44859
2021-11-11,40.18691
2021-11-12,34.11214
2021-11-13,29.43925
2021-11-14,53.27102
2021-11-15,38.78504
2021-11-16,40.18691
2021-11-17,49.53271
2021-11-18,51.40186
2021-11-19,36.91588
2021-11-20,23.83177
2021-11-21,27.57009
2021-11-22,42.99065
2021-11-23,36.91588
2021-11-24,42.05607
2021-11-25,40.6542
2021-11-26,43.92523
2021-11-27,35.51401
2021-11-28,27.1028
2021-11-29,36.44859
2021-11-30,37.38317
2021-12-01,38.78504
2021-12-02,28.50467
2021-12-03,30.37383
2021-12-04,24.29906
2021-12-05,22.4299
2021-12-06,34.57943
2021-12-07,38.78504
2021-12-08,34.57943
2021-12-09,36.44859
2021-12-10,28.03738
2021-12-11,28.03738
2021-12-12,26.16822
2021-12-13,26.16822
2021-12-14,23.36448
2021-12-15,33.64485
2021-12-16,36.44859
2021-12-17,36.91588
2021-12-18,22.89719
2021-12-19,16.35514
2021-12-20,25.23364
2021-12-21,15.88785
2021-12-22,28.97196
2021-12-23,24.29906
2021-12-24,26.16822
2021-12-25,16.82242
2021-12-26,18.69158
2021-12-27,21.49532
2021-12-28,25.23364
2021-12-29,26.16822
2021-12-30,23.36448
2021-12-31,17.757
2022-01-01,10.28037
2022-01-02,14.01869
2022-01-03,27.57009
2022-01-04,25.23364
2022-01-05,25.23364
2022-01-06,18.69158
2022-01-07,18.69158
2022-01-08,15.42056
2022-01-09,16.35514
2022-01-10,19.15887
2022-01-11,35.9813
2022-01-12,24.76635
2022-01-13,17.28971
2022-01-14,21.02803
2022-01-15,13.08411
2022-01-16,14.48598
2022-01-17,16.35514
2022-01-18,26.63551
2022-01-19,23.83177
2022-01-20,20.56074
2022-01-21,18.22429
2022-01-22,14.48598
2022-01-23,17.757
2022-01-24,12.14953
2022-01-25,21.96261
2022-01-26,20.09345
2022-01-27,18.22429
2022-01-28,15.42056
2022-01-29,7.47663
2022-01-30,12.61682
2022-01-31,13.5514
2022-02-01,7.94392
2022-02-02,14.48598
2022-02-03,15.42056
2022-02-04,17.28971
2022-02-05,14.01869
2022-02-06,10.28037
2022-02-07,14.48598
2022-02-08,19.62616
2022-02-09,13.08411
2022-02-10,19.15887
2022-02-11,21.49532
2022-02-12,15.42056
2022-02-13,14.48598
2022-02-14,15.42056
2022-02-15,17.757
2022-02-16,13.5514
2022-02-17,9.34579
2022-02-18,11.68224
2022-02-19,8.8785
2022-02-20,12.14953
2022-02-21,7.00934
2022-02-22,15.88785
2022-02-23,10.28037
2022-02-24,14.48598
2022-02-25,7.00934
2022-02-26,9.34579
2022-02-27,11.68224
2022-02-28,6.54205
2022-03-01,6.07476
2022-03-02,19.62616
2022-03-03,12.61682
2022-03-04,10.28037
2022-03-05,5.60747
2022-03-06,12.14953
2022-03-07,14.01869
2022-03-08,7.47663
2022-03-09,6.54205
2022-03-10,7.00934
2022-03-11,13.08411
2022-03-12,8.8785
2022-03-13,10.28037
2022-03-14,8.8785
2022-03-15,9.34579
2022-03-16,13.5514
2022-03-17,10.28037
2022-03-18,11.21495
2022-03-19,10.74766
2022-03-20,8.41121
2022-03-21,5.60747
2022-03-22,11.21495
2022-03-23,12.14953
2022-03-24,9.81308
2022-03-25,12.14953
2022-03-26,10.28037
2022-03-27,9.34579
2022-03-28,9.34579
2022-03-29,13.08411
2022-03-30,16.35514
2022-03-31,14.48598
2022-04-01,12.61682
2022-04-02,14.01869
2022-04-03,14.48598
2022-04-04,14.48598
2022-04-05,14.01869
2022-04-06,12.14953
2022-04-07,8.41121
2022-04-08,8.41121
2022-04-09,13.5514
2022-04-10,10.28037
2022-04-11,13.5514
2022-04-12,9.81308
2022-04-13,12.61682
2022-04-14,9.34579
2022-04-15,13.08411
2022-04-16,5.14018
2022-04-17,6.07476
2022-04-18,9.81308
2022-04-19,8.8785
2022-04-20,10.74766
2022-04-21,10.74766
2022-04-22,12.61682
2022-04-23,5.60747
2022-04-24,6.54205
2022-04-25,6.54205
2022-04-26,11.21495
2022-04-27,10.28037
2022-04-28,7.94392
2022-04-29,11.68224
2022-04-30,7.47663
2022-05-01,7.94392
2022-05-02,12.14953
2022-05-03,23.36448
2022-05-04,12.61682
2022-05-05,6.54205
2022-05-06,5.60747
2022-05-07,5.14018
2022-05-08,7.94392
2022-05-09,15.88785
2022-05-10,12.14953
2022-05-11,13.08411
2022-05-12,32.24299
2022-05-13,68.22429
2022-05-14,49.53271
2022-05-15,45.3271
2022-05-16,50.46728
2022-05-17,67.28971
2022-05-18,47.66355
2022-05-19,34.57943
2022-05-20,30.37383
2022-05-21,18.69158
2022-05-22,19.15887
2022-05-23,19.15887
2022-05-24,26.16822
2022-05-25,13.08411
2022-05-26,21.96261
2022-05-27,23.83177
2022-05-28,20.56074
2022-05-29,12.61682
2022-05-30,18.22429
2022-05-31,18.69158
2022-06-01,14.01869
2022-06-02,13.08411
2022-06-03,14.95327
2022-06-04,5.14018
2022-06-05,18.69158
2022-06-06,7.94392
2022-06-07,12.61682
2022-06-08,12.14953
2022-06-09,21.02803
2022-06-10,15.88785
2022-06-11,13.08411
2022-06-12,18.22429
2022-06-13,17.757
2022-06-14,11.68224
2022-06-15,11.21495
2022-06-16,9.81308
2022-06-17,14.01869
2022-06-18,12.14953
2022-06-19,7.94392
2022-06-20,11.21495
2022-06-21,7.94392
2022-06-22,7.47663
2022-06-23,7.94392
2022-06-24,7.00934
2022-06-25,7.94392
2022-06-26,11.68224
2022-06-27,4.2056
2022-06-28,14.01869
2022-06-29,5.60747
2022-06-30,10.74766
2022-07-01,11.21495
2022-07-02,3.73831
2022-07-03,4.2056
2022-07-04,7.00934
2022-07-05,5.60747
2022-07-06,3.73831
2022-07-07,4.2056
2022-07-08,2.33644
2022-07-09,2.33644
2022-07-10,5.60747
2022-07-11,11.68224
2022-07-12,6.07476
2022-07-13,6.54205
2022-07-14,6.54205
2022-07-15,5.14018
2022-07-16,3.73831
2022-07-17,6.07476
2022-07-18,5.14018
2022-07-19,10.74766
2022-07-20,6.07476
2022-07-21,5.60747
2022-07-22,7.00934
2022-07-24,2.80373
2022-07-25,5.14018
2022-07-26,3.73831
2022-07-27,7.00934
2022-07-28,3.73831
2022-07-29,7.47663
2022-07-30,2.33644
2022-07-31,4.67289
2022-08-01,6.54205
2022-08-02,5.14018
2022-08-03,3.73831
2022-08-04,6.54205
2022-08-06,7.00934
2022-08-07,3.27102
2022-08-08,2.33644
2022-08-09,3.27102
2022-08-10,9.34579
2022-08-11,3.73831
2022-08-12,4.67289
2022-08-13,3.73831
2022-08-14,2.80373
2022-08-15,3.27102
2022-08-16,5.60747
2022-08-17,3.27102
