date,5월행사
2023-02-15,2.41125
2023-02-16,1.54052
2023-02-17,2.27729
2023-02-18,1.33958
2023-02-19,0.9377
2023-02-20,1.94239
2023-02-21,2.27729
2023-02-22,2.74614
2023-02-23,3.61687
2023-02-24,2.74614
2023-02-25,0.73677
2023-02-26,1.40656
2023-02-27,3.54989
2023-02-28,3.08104
2023-03-01,2.14333
2023-03-02,3.68385
2023-03-03,4.15271
2023-03-04,1.33958
2023-03-05,2.81312
2023-03-06,5.02344
2023-03-07,4.4876
2023-03-08,3.28198
2023-03-09,3.34896
2023-03-10,6.89886
2023-03-11,5.1574
2023-03-12,8.3724
2023-03-13,14.80241
2023-03-14,7.16677
2023-03-15,6.49698
2023-03-16,6.36302
2023-03-17,6.43
2023-03-18,3.14802
2023-03-19,3.81781
2023-03-20,10.91761
2023-03-21,9.64501
2023-03-22,7.76959
2023-03-23,6.7649
2023-03-24,7.23375
2023-03-25,3.88479
2023-03-26,5.42531
2023-03-27,9.31011
2023-03-28,9.64501
2023-03-29,9.84594
2023-03-30,9.24313
2023-03-31,8.90823
2023-04-01,7.03281
2023-04-02,8.97521
2023-04-03,17.14668
2023-04-04,16.61085
2023-04-05,19.22304
2023-04-06,21.09845
2023-04-07,15.33824
2023-04-08,10.98459
2023-04-09,12.39115
2023-04-10,22.63898
2023-04-11,24.58137
2023-04-12,25.58606
2023-04-13,26.25586
2023-04-14,24.64835
2023-04-15,12.92699
2023-04-16,18.28533
2023-04-17,31.94909
2023-04-18,30.47555
2023-04-19,33.95847
2023-04-20,34.42732
2023-04-21,27.52846
2023-04-22,19.62491
2023-04-23,27.66242
2023-04-24,53.11453
2023-04-25,42.53181
2023-04-26,51.17213
2023-04-27,54.58807
2023-04-28,53.71734
2023-04-29,36.70462
2023-04-30,67.91694
2023-05-01,100.0
2023-05-02,81.04487
2023-05-03,63.76423
2023-05-04,53.5164
2023-05-05,43.26858
2023-05-06,42.12993
2023-05-07,43.40254
2023-05-08,46.14869
2023-05-09,47.15338
2023-05-10,41.46014
2023-05-11,36.36972
2023-05-12,46.34963
2023-05-13,58.67381
2023-05-14,58.33891
2023-05-15,45.74681
2023-05-16,37.37441
2023-05-17,29.20294
2023-05-18,26.38981
2023-05-19,40.52243
2023-05-20,57.66912
2023-05-21,43.5365
2023-05-22,29.26992
2023-05-23,28.13127
2023-05-24,25.787
2023-05-25,25.58606
2023-05-26,31.61419
2023-05-27,34.15941
2023-05-28,22.63898
2023-05-29,14.53449
2023-05-30,6.56396
2023-05-31,6.22906
2023-06-01,2.81312
2023-06-02,3.215
2023-06-03,5.82719
2023-06-04,4.15271
2023-06-05,2.54521
2023-06-06,2.54521
2023-06-07,1.07166
2023-06-08,0.73677
2023-06-09,0.73677
2023-06-10,1.74146
2023-06-11,1.40656
2023-06-12,0.80375
2023-06-15,0.60281
2023-06-16,0.66979
2023-06-17,1.2726
2023-06-19,0.40187
2023-07-16,0.40187
2023-10-17,0.33489
2023-10-24,0.33489
2023-11-01,0.46885
2023-11-03,0.46885
2023-11-07,0.40187
2023-11-21,0.33489
2023-11-24,0.33489
2023-12-04,0.33489
2023-12-05,0.40187
2023-12-07,0.80375
2023-12-12,0.40187
2023-12-13,0.33489
2023-12-14,0.33489
2023-12-15,0.40187
2023-12-18,0.33489
2023-12-19,0.40187
2023-12-20,0.46885
2023-12-21,0.60281
2023-12-22,0.40187
2023-12-26,0.46885
2023-12-27,0.40187
2023-12-29,0.33489
2024-01-01,0.40187
2024-01-02,1.20562
2024-01-03,1.20562
2024-01-04,0.9377
2024-01-05,0.66979
2024-01-08,1.47354
2024-01-09,1.07166
2024-01-10,0.53583
2024-01-11,0.73677
2024-01-12,1.07166
2024-01-13,0.40187
2024-01-14,0.66979
2024-01-15,1.67448
2024-01-16,1.33958
2024-01-17,1.20562
2024-01-21,0.33489
2024-01-22,1.13864
2024-01-23,1.54052
2024-01-24,1.67448
2024-01-25,1.2726
2024-01-26,0.87073
2024-01-27,0.87073
2024-01-28,0.33489
2024-01-29,1.20562
2024-01-30,1.2726
2024-01-31,0.40187
2024-02-01,1.80843
2024-02-02,1.07166
2024-02-03,0.53583
2024-02-04,0.33489
2024-02-05,1.2726
2024-02-06,1.6075
2024-02-07,0.46885
2024-02-08,1.13864
2024-02-09,0.53583
2024-02-10,0.60281
2024-02-11,0.80375
2024-02-12,0.87073
2024-02-13,1.54052
2024-02-14,1.80843
2024-02-15,2.34427
2024-02-16,1.47354
2024-02-17,1.00468
2024-02-18,0.87073
2024-02-19,1.80843
2024-02-20,2.8801
2024-02-21,2.00937
2024-02-22,2.74614
2024-02-23,1.67448
2024-02-24,1.6075
2024-02-25,1.40656
2024-02-26,2.81312
2024-02-27,2.41125
2024-02-28,2.14333
2024-02-29,2.21031
2024-03-01,1.33958
2024-03-02,1.20562
2024-03-03,2.41125
2024-03-04,3.88479
2024-03-05,4.08573
2024-03-06,4.28667
2024-03-07,3.08104
2024-03-08,2.8801
2024-03-09,2.8801
2024-03-10,3.28198
2024-03-11,5.09042
2024-03-12,4.42062
2024-03-13,5.62625
2024-03-14,4.88948
2024-03-15,4.21969
2024-03-16,3.14802
2024-03-17,3.48292
2024-03-18,6.83188
2024-03-19,7.16677
2024-03-20,7.09979
