date,퇴직금IRP
2022-08-28,8.30721
2022-08-29,37.93103
2022-08-30,34.48275
2022-08-31,43.26018
2022-09-01,40.75235
2022-09-02,28.21316
2022-09-03,9.40438
2022-09-04,8.30721
2022-09-05,35.73667
2022-09-06,38.08777
2022-09-07,42.00626
2022-09-08,29.62382
2022-09-09,11.12852
2022-09-10,6.89655
2022-09-11,7.36677
2022-09-12,8.93416
2022-09-13,38.71473
2022-09-14,40.28213
2022-09-15,42.9467
2022-09-16,33.69905
2022-09-17,9.24764
2022-09-18,10.81504
2022-09-19,33.69905
2022-09-20,33.38557
2022-09-21,28.99686
2022-09-22,30.56426
2022-09-23,30.56426
2022-09-24,10.97178
2022-09-25,8.93416
2022-09-26,37.93103
2022-09-27,39.18495
2022-09-28,35.26645
2022-09-29,40.12539
2022-09-30,30.721
2022-10-01,8.30721
2022-10-02,6.89655
2022-10-03,11.91222
2022-10-04,36.99059
2022-10-05,38.24451
2022-10-06,36.20689
2022-10-07,33.54231
2022-10-08,9.24764
2022-10-09,6.73981
2022-10-10,11.28526
2022-10-11,39.02821
2022-10-12,32.44514
2022-10-13,34.63949
2022-10-14,32.91536
2022-10-15,12.2257
2022-10-16,8.62068
2022-10-17,33.38557
2022-10-18,36.20689
2022-10-19,30.87774
2022-10-20,29.78056
2022-10-21,25.54858
2022-10-22,7.68025
2022-10-23,9.0909
2022-10-24,29.31034
2022-10-25,35.73667
2022-10-26,33.54231
2022-10-27,36.99059
2022-10-28,24.76489
2022-10-29,6.73981
2022-10-30,7.68025
2022-10-31,29.78056
2022-11-01,32.75862
2022-11-02,32.91536
2022-11-03,26.0188
2022-11-04,30.09404
2022-11-05,7.05329
2022-11-06,8.93416
2022-11-07,31.03448
2022-11-08,32.91536
2022-11-09,31.19122
2022-11-10,34.63949
2022-11-11,25.2351
2022-11-12,11.12852
2022-11-13,8.62068
2022-11-14,31.5047
2022-11-15,34.95297
2022-11-16,32.44514
2022-11-17,29.46708
2022-11-18,22.25705
2022-11-19,8.46394
2022-11-20,5.64263
2022-11-21,26.64576
2022-11-22,28.68338
2022-11-23,28.84012
2022-11-24,24.92163
2022-11-25,22.41379
2022-11-26,7.21003
2022-11-27,7.99373
2022-11-28,23.04075
2022-11-29,29.1536
2022-11-30,29.78056
2022-12-01,29.46708
2022-12-02,28.99686
2022-12-03,7.05329
2022-12-04,8.77742
2022-12-05,33.0721
2022-12-06,30.721
2022-12-07,28.84012
2022-12-08,30.40752
2022-12-09,32.2884
2022-12-10,10.6583
2022-12-11,11.59874
2022-12-12,30.25078
2022-12-13,31.66144
2022-12-14,34.16927
2022-12-15,28.84012
2022-12-16,29.46708
2022-12-17,8.62068
2022-12-18,8.46394
2022-12-19,28.21316
2022-12-20,37.46081
2022-12-21,31.19122
2022-12-22,31.5047
2022-12-23,23.98119
2022-12-24,7.05329
2022-12-25,8.46394
2022-12-26,31.97492
2022-12-27,35.73667
2022-12-28,35.10971
2022-12-29,32.13166
2022-12-30,30.721
2022-12-31,9.8746
2023-01-01,9.56112
2023-01-02,40.75235
2023-01-03,39.65517
2023-01-04,35.42319
2023-01-05,37.77429
2023-01-06,28.21316
2023-01-07,11.12852
2023-01-08,9.56112
2023-01-09,35.73667
2023-01-10,38.55799
2023-01-11,34.63949
2023-01-12,34.16927
