date,유럽증시
2021-10-25,14.76359
2021-10-26,20.3498
2021-10-27,22.5758
2021-10-28,22.17609
2021-10-29,19.60691
2021-10-30,6.99865
2021-10-31,1.37976
2021-11-01,14.19208
2021-11-02,20.38734
2021-11-03,21.63681
2021-11-04,20.10909
2021-11-05,16.56074
2021-11-06,6.03935
2021-11-07,1.20707
2021-11-08,14.43985
2021-11-09,18.61802
2021-11-10,22.75732
2021-11-11,22.10851
2021-11-12,16.44944
2021-11-13,6.21292
2021-11-14,1.18764
2021-11-15,12.63476
2021-11-16,18.81147
2021-11-17,17.75898
2021-11-18,18.47889
2021-11-19,16.13629
2021-11-20,6.20188
2021-11-21,1.1077
2021-11-22,12.24168
2021-11-23,20.8003
2021-11-24,20.60464
2021-11-25,19.07868
2021-11-26,34.45354
2021-11-27,16.5466
2021-11-28,3.4313
2021-11-29,28.15626
2021-11-30,41.37402
2021-12-01,35.20923
2021-12-02,36.14469
2021-12-03,26.24826
2021-12-04,12.88607
2021-12-05,2.18934
2021-12-06,20.6996
2021-12-07,27.01587
2021-12-08,27.80027
2021-12-09,26.2858
2021-12-10,23.23874
2021-12-11,9.19241
2021-12-12,1.54627
2021-12-13,16.07976
2021-12-14,29.29841
2021-12-15,27.97959
2021-12-16,26.28668
2021-12-17,24.69624
2021-12-18,10.12653
2021-12-19,1.62445
2021-12-20,25.90066
2021-12-21,30.49267
2021-12-22,25.97575
2021-12-23,23.55409
2021-12-24,18.20153
2021-12-25,7.66159
2021-12-26,1.59265
2021-12-27,13.67577
2021-12-28,19.50577
2021-12-29,20.53176
2021-12-30,16.43442
2021-12-31,9.47287
2022-01-01,3.44588
2022-01-02,1.15672
2022-01-03,12.49431
2022-01-04,18.87993
2022-01-05,22.20391
2022-01-06,28.67875
2022-01-07,23.2754
2022-01-08,9.2379
2022-01-09,1.55687
2022-01-10,19.1383
2022-01-11,28.8245
2022-01-12,24.83271
2022-01-13,23.75372
2022-01-14,23.0263
2022-01-15,8.77503
2022-01-16,1.36077
2022-01-17,15.93313
2022-01-18,31.04697
2022-01-19,31.6918
2022-01-20,28.71541
2022-01-21,27.9871
2022-01-22,13.51279
2022-01-23,1.93847
2022-01-24,35.25428
2022-01-25,64.0492
2022-01-26,54.19914
2022-01-27,56.32224
2022-01-28,41.8095
2022-01-29,14.53481
2022-01-30,2.33862
2022-01-31,13.96153
2022-02-01,24.93209
2022-02-02,30.82569
2022-02-03,37.44186
2022-02-04,34.21946
2022-02-05,12.98279
2022-02-06,2.19243
