date,한국조선해양주가
2021-02-27,4.41598
2021-02-28,4.63938
2021-03-01,4.97048
2021-03-02,37.09909
2021-03-03,31.71373
2021-03-04,29.53167
2021-03-05,28.58624
2021-03-06,3.58225
2021-03-07,3.4546
2021-03-08,40.45795
2021-03-09,45.82734
2021-03-10,37.45013
2021-03-11,37.08313
2021-03-12,40.07499
2021-03-13,4.69522
2021-03-14,3.83357
2021-03-15,50.89356
2021-03-16,46.56534
2021-03-17,38.16818
2021-03-18,38.72267
2021-03-19,30.2178
2021-03-20,4.72315
2021-03-21,4.75506
2021-03-22,33.74421
2021-03-23,31.36269
2021-03-24,36.5047
2021-03-25,33.83197
2021-03-26,75.32312
2021-03-27,15.77309
2021-03-28,13.02856
2021-03-29,85.33189
2021-03-30,63.46736
2021-03-31,59.45029
2021-04-01,54.63938
2021-04-02,53.13547
2021-04-03,8.83596
2021-04-04,10.62709
2021-04-05,57.20839
2021-04-06,48.00542
2021-04-07,44.61863
2021-04-08,43.47375
2021-04-09,41.25578
2021-04-10,8.05409
2021-04-11,7.74692
2021-04-12,59.24285
2021-04-13,67.68788
2021-04-14,58.87585
2021-04-15,53.50247
2021-04-16,54.37609
2021-04-17,8.76815
2021-04-18,7.2044
2021-04-19,62.99664
2021-04-20,62.71341
2021-04-21,52.03446
2021-04-22,60.08855
2021-04-23,55.69251
2021-04-24,8.18174
2021-04-25,7.17647
2021-04-26,90.3303
2021-04-27,86.18158
2021-04-28,82.62725
2021-04-29,83.14584
2021-04-30,100.0
2021-05-01,13.14424
2021-05-02,12.72538
2021-05-03,92.68389
2021-05-04,79.52768
2021-05-05,13.1243
2021-05-06,82.62725
2021-05-07,75.5864
2021-05-08,12.76527
2021-05-09,9.79336
2021-05-10,91.19195
2021-05-11,93.18653
2021-05-12,83.76416
2021-05-13,74.40561
2021-05-14,68.382
2021-05-15,9.00749
2021-05-16,7.33205
2021-05-17,66.90202
2021-05-18,59.93697
2021-05-19,8.3054
2021-05-20,63.88224
2021-05-21,62.55385
2021-05-22,9.42636
2021-05-23,7.61528
2021-05-24,69.48699
2021-05-25,61.85575
2021-05-26,56.9451
2021-05-27,58.69235
2021-05-28,56.23902
2021-05-29,7.55943
2021-05-30,6.62597
2021-05-31,54.87872
2021-06-01,82.98228
2021-06-02,69.84601
2021-06-03,62.88096
2021-06-04,57.55943
2021-06-05,7.77884
2021-06-06,6.03957
2021-06-07,55.2936
2021-06-08,53.76176
2021-06-09,51.101
2021-06-10,48.93489
2021-06-11,49.54922
2021-06-12,5.79224
2021-06-13,4.87872
2021-06-14,45.6957
2021-06-15,47.21956
2021-06-16,48.7474
2021-06-17,47.60651
2021-06-18,47.02409
2021-06-19,6.74166
2021-06-20,8.67241
2021-06-21,69.80612
2021-06-22,57.16451
2021-06-23,49.94016
2021-06-24,51.06909
2021-06-25,51.35232
2021-06-26,7.92245
2021-06-27,4.87075
2021-06-28,46.6531
2021-06-29,43.94846
2021-06-30,42.28498
2021-07-01,39.50853
2021-07-02,47.96553
2021-07-03,6.66187
2021-07-04,5.97175
2021-07-05,45.02154
2021-07-06,49.80453
2021-07-07,49.69283
2021-07-08,48.99473
2021-07-09,45.41247
2021-07-10,6.85335
2021-07-11,5.74836
2021-07-12,48.85511
2021-07-13,44.5189
2021-07-14,42.01372
2021-07-15,47.72618
2021-07-16,39.78378
2021-07-17,6.4704
2021-07-18,5.18988
2021-07-19,38.49529
2021-07-20,36.69618
2021-07-21,55.00638
2021-07-22,56.09143
2021-07-23,51.88686
2021-07-24,8.99553
2021-07-25,6.88527
2021-07-26,44.23168
2021-07-27,42.96712
2021-07-28,46.75682
2021-07-29,47.04005
2021-07-30,40.1827
2021-07-31,4.10483
2021-08-01,3.68198
2021-08-02,36.90362
2021-08-03,35.98212
2021-08-04,42.28498
2021-08-05,38.15621
2021-08-06,37.78921
2021-08-07,4.40402
2021-08-08,3.50646
2021-08-09,42.33285
2021-08-10,37.27461
2021-08-11,42.52832
2021-08-12,42.91925
2021-08-13,38.23599
2021-08-14,4.34019
2021-08-15,4.57954
2021-08-16,8.40513
2021-08-17,40.21461
2021-08-18,40.90473
2021-08-19,41.04834
2021-08-20,37.57379
2021-08-21,4.67129
2021-08-22,3.28705
2021-08-23,46.75682
2021-08-24,47.87378
2021-08-25,45.955
2021-08-26,37.84506
2021-08-27,35.57922
2021-08-28,3.71389
2021-08-29,3.07164
2021-08-30,38.45141
2021-08-31,37.04723
2021-09-01,41.52305
2021-09-02,36.70416
2021-09-03,36.89165
2021-09-04,4.62741
2021-09-05,3.67799
2021-09-06,38.3437
2021-09-07,45.46433
2021-09-08,39.15749
2021-09-09,41.48316
2021-09-10,44.95372
2021-09-11,5.4013
2021-09-12,4.21254
2021-09-13,38.54715
2021-09-14,46.38981
2021-09-15,38.93409
2021-09-16,40.70129
2021-09-17,84.21892
2021-09-18,8.11791
2021-09-19,4.80692
2021-09-20,4.07292
2021-09-21,3.88543
2021-09-22,4.74309
2021-09-23,55.56885
2021-09-24,51.88686
2021-09-25,5.72841
2021-09-26,3.96122
2021-09-27,45.36859
2021-09-28,42.64001
2021-09-29,43.99632
2021-09-30,44.06414
2021-10-01,44.62262
2021-10-02,4.77501
2021-10-03,3.15142
2021-10-04,7.34003
2021-10-05,44.21174
2021-10-06,41.85415
2021-10-07,42.85543
2021-10-08,38.07643
2021-10-09,4.28035
2021-10-10,3.00781
2021-10-11,5.48109
2021-10-12,37.50199
2021-10-13,37.7932
2021-10-14,37.96074
2021-10-15,38.6748
2021-10-16,4.34019
2021-10-17,2.97989
2021-10-18,33.50885
2021-10-19,34.03542
2021-10-20,31.70576
2021-10-21,35.44359
2021-10-22,30.63267
2021-10-23,3.96122
2021-10-24,3.30301
2021-10-25,52.17807
2021-10-26,50.41487
2021-10-27,51.6515
2021-10-28,45.77549
2021-10-29,42.65198
2021-10-30,4.93058
2021-10-31,4.14073
2021-11-01,45.35264
2021-11-02,44.34338
2021-11-03,37.98069
2021-11-04,38.87825
2021-11-05,36.22147
2021-11-06,5.05824
2021-11-07,3.63012
2021-11-08,36.86373
2021-11-09,36.15765
2021-11-10,33.27349
2021-11-11,33.48492
2021-11-12,38.26392
2021-11-13,4.34418
2021-11-14,3.57427
2021-11-15,36.89963
2021-11-16,32.50757
2021-11-17,30.85208
2021-11-18,31.985
2021-11-19,32.27221
2021-11-20,3.78969
2021-11-21,3.0876
2021-11-22,35.51539
2021-11-23,33.99154
2021-11-24,33.22961
2021-11-25,32.37992
2021-11-26,30.10611
2021-11-27,3.80165
2021-11-28,2.77245
2021-11-29,31.29886
2021-11-30,34.53406
2021-12-01,38.67879
2021-12-02,42.74373
2021-12-03,36.16562
2021-12-04,3.75777
2021-12-05,3.03973
2021-12-06,36.83181
2021-12-07,40.81697
2021-12-08,39.36492
2021-12-09,39.54044
2021-12-10,35.63108
2021-12-11,4.68326
2021-12-12,3.74581
2021-12-13,39.13754
2021-12-14,32.67911
2021-12-15,33.95962
2021-12-16,35.38375
2021-12-17,39.03781
2021-12-18,5.3295
