date,채권투자
2021-03-04,52.46826
2021-03-05,41.81946
2021-03-06,29.26657
2021-03-07,45.83921
2021-03-08,89.28067
2021-03-09,61.35401
2021-03-10,52.67983
2021-03-11,55.5007
2021-03-12,41.53737
2021-03-13,32.44005
2021-03-14,43.65303
2021-03-15,42.94781
2021-03-16,41.74894
2021-03-17,39.63328
2021-03-18,41.32581
2021-03-19,40.19746
2021-03-20,28.27926
2021-03-21,30.60648
2021-03-22,38.01128
2021-03-23,36.4598
2021-03-24,34.97884
2021-03-25,33.28631
2021-03-26,30.53596
2021-03-27,21.01551
2021-03-28,32.65162
2021-03-29,35.47249
2021-03-30,31.87588
2021-03-31,28.34978
2021-04-01,26.02256
2021-04-02,26.65726
2021-04-03,23.27221
2021-04-04,28.49083
2021-04-05,31.24118
2021-04-06,32.15796
2021-04-07,30.46544
2021-04-08,30.39492
2021-04-09,25.52891
2021-04-10,19.39351
2021-04-11,23.06064
2021-04-12,35.89562
2021-04-13,31.24118
2021-04-14,26.23413
2021-04-15,28.34978
2021-04-16,30.11283
2021-04-17,61.35401
2021-04-18,45.62764
2021-04-19,39.06911
2021-04-20,34.76727
2021-04-21,31.3117
2021-04-22,30.11283
2021-04-23,28.27926
2021-04-24,22.2849
2021-04-25,19.53455
2021-04-26,22.00282
2021-04-27,19.39351
2021-04-28,15.37376
2021-04-29,13.32863
2021-04-30,12.20028
2021-05-01,10.6488
2021-05-02,11.70662
2021-05-03,11.14245
2021-05-04,8.74471
2021-05-05,8.03949
2021-05-06,11.77715
2021-05-07,11.49506
2021-05-08,9.73201
2021-05-09,6.62905
2021-05-10,9.23836
2021-05-11,14.10437
2021-05-12,11.84767
2021-05-13,14.5275
2021-05-14,13.61071
2021-05-15,7.1227
2021-05-16,10.22566
2021-05-17,8.74471
2021-05-18,9.52045
2021-05-19,7.7574
2021-05-20,12.12976
2021-05-21,9.3794
2021-05-22,6.1354
2021-05-23,8.3921
2021-05-24,12.55289
2021-05-25,10.71932
2021-05-26,8.74471
2021-05-27,7.96897
2021-05-28,7.96897
2021-05-29,5.35966
2021-05-30,4.72496
2021-05-31,6.77009
2021-06-01,5.99435
2021-06-02,7.05218
2021-06-03,8.11001
2021-06-04,7.26375
2021-06-05,5.92383
2021-06-06,6.06488
2021-06-07,6.48801
2021-06-08,7.54583
2021-06-09,8.3921
2021-06-10,7.7574
2021-06-11,8.03949
2021-06-12,4.37235
2021-06-13,5.64174
2021-06-14,5.64174
2021-06-15,7.68688
2021-06-16,8.03949
2021-06-17,6.84062
2021-06-18,6.84062
2021-06-19,5.43018
2021-06-20,5.71227
2021-06-21,5.85331
2021-06-22,6.77009
2021-06-23,6.91114
2021-06-24,6.69957
2021-06-25,7.40479
2021-06-26,4.16078
2021-06-27,5.78279
2021-06-28,6.62905
2021-06-29,7.05218
2021-06-30,4.72496
2021-07-01,5.35966
2021-07-02,4.65444
2021-07-03,3.73765
2021-07-04,4.866
2021-07-05,4.01974
2021-07-06,6.48801
2021-07-07,6.77009
2021-07-08,4.866
2021-07-09,6.1354
2021-07-10,4.866
2021-07-11,4.72496
2021-07-12,9.87306
2021-07-13,6.48801
2021-07-14,5.35966
2021-07-15,6.20592
2021-07-16,4.79548
2021-07-17,4.09026
2021-07-18,4.44287
2021-07-19,5.21861
