date,환율계산기
2021-03-03,52.65334
2021-03-04,52.97199
2021-03-05,50.61125
2021-03-06,33.32005
2021-03-07,32.38249
2021-03-08,54.78583
2021-03-09,57.35645
2021-03-10,57.56633
2021-03-11,56.18297
2021-03-12,57.07917
2021-03-13,35.64709
2021-03-14,33.58814
2021-03-15,56.48783
2021-03-16,55.16422
2021-03-17,52.23818
2021-03-18,51.60855
2021-03-19,47.69287
2021-03-20,34.66205
2021-03-21,34.52723
2021-03-22,53.81763
2021-03-23,53.58018
2021-03-24,51.59783
2021-03-25,55.30516
2021-03-26,48.5523
2021-03-27,34.06918
2021-03-28,33.41963
2021-03-29,53.80997
2021-03-30,52.68092
2021-03-31,54.77357
2021-04-01,55.33733
2021-04-02,51.3328
2021-04-03,35.07414
2021-04-04,34.46442
2021-04-05,56.7452
2021-04-06,56.9995
2021-04-07,59.19173
2021-04-08,55.08762
2021-04-09,52.37146
2021-04-10,35.61799
2021-04-11,32.56173
2021-04-12,55.03094
2021-04-13,55.30822
2021-04-14,58.09026
2021-04-15,53.98921
2021-04-16,52.57062
2021-04-17,35.55364
2021-04-18,34.70647
2021-04-19,55.14124
2021-04-20,55.60083
2021-04-21,59.2622
2021-04-22,52.38525
2021-04-23,53.89729
2021-04-24,34.33727
2021-04-25,29.72915
2021-04-26,49.97548
2021-04-27,50.40443
2021-04-28,47.97934
2021-04-29,49.24474
2021-04-30,46.11802
2021-05-01,32.24921
2021-05-02,30.58244
2021-05-03,48.27961
2021-05-04,49.68594
2021-05-05,37.7137
2021-05-06,51.22556
2021-05-07,49.11299
2021-05-08,33.98032
2021-05-09,31.81414
2021-05-10,53.79618
2021-05-11,54.1516
2021-05-12,51.47221
2021-05-13,52.12941
2021-05-14,49.09461
2021-05-15,30.15809
2021-05-16,30.23163
2021-05-17,53.53115
2021-05-18,51.64225
2021-05-19,43.15828
2021-05-20,56.11557
2021-05-21,49.55266
2021-05-22,33.67853
2021-05-23,31.5629
2021-05-24,52.41436
2021-05-25,53.05931
2021-05-26,49.18346
2021-05-27,49.17274
2021-05-28,48.8786
2021-05-29,31.16306
2021-05-30,28.95857
2021-05-31,53.26613
2021-06-01,52.39291
2021-06-02,50.55763
2021-06-03,50.98811
2021-06-04,45.71358
2021-06-05,28.10221
2021-06-06,26.16122
2021-06-07,50.25277
2021-06-08,57.24002
2021-06-09,52.70849
2021-06-10,52.93063
2021-06-11,49.42704
2021-06-12,29.28794
2021-06-13,27.43581
2021-06-14,50.83338
2021-06-15,52.54917
2021-06-16,50.93908
2021-06-17,53.44996
2021-06-18,51.41246
2021-06-19,30.09988
2021-06-20,28.64758
2021-06-21,55.14737
2021-06-22,56.35149
2021-06-23,54.85323
2021-06-24,53.12212
2021-06-25,50.47797
2021-06-26,30.96543
2021-06-27,27.15852
2021-06-28,50.76291
2021-06-29,51.52276
2021-06-30,55.19639
2021-07-01,49.90961
2021-07-02,46.56688
2021-07-03,28.69967
2021-07-04,27.41742
2021-07-05,50.33549
2021-07-06,49.10686
2021-07-07,49.16814
2021-07-08,53.04246
2021-07-09,49.23095
2021-07-10,29.53918
2021-07-11,27.33163
2021-07-12,49.65837
2021-07-13,50.18077
2021-07-14,50.76138
2021-07-15,49.91727
2021-07-16,45.16667
2021-07-17,27.73147
2021-07-18,26.81843
2021-07-19,49.87897
2021-07-20,52.38219
2021-07-21,50.59133
2021-07-22,47.28537
2021-07-23,45.08548
2021-07-24,28.01029
2021-07-25,28.5955
2021-07-26,48.87094
2021-07-27,49.04865
2021-07-28,47.49678
2021-07-29,44.84649
2021-07-30,42.70022
2021-07-31,27.49096
2021-08-01,26.34505
2021-08-02,43.28083
2021-08-03,43.81242
2021-08-04,43.88596
2021-08-05,44.45125
2021-08-06,42.07672
2021-08-07,30.47827
2021-08-08,28.1834
2021-08-09,46.67565
2021-08-10,49.52815
2021-08-11,56.15386
2021-08-12,55.14277
2021-08-13,56.94589
2021-08-14,37.14994
2021-08-15,32.0041
2021-08-16,43.38807
2021-08-17,62.18365
2021-08-18,57.67357
2021-08-19,56.71456
2021-08-20,56.65175
2021-08-21,35.58888
2021-08-22,31.53992
2021-08-23,58.13009
2021-08-24,55.67743
2021-08-25,54.60506
2021-08-26,54.49782
2021-08-27,49.53122
2021-08-28,32.73331
2021-08-29,29.44573
2021-08-30,51.16735
2021-08-31,54.56369
2021-09-01,54.56063
2021-09-02,54.92217
2021-09-03,50.22366
2021-09-04,32.2676
2021-09-05,30.39095
2021-09-06,53.3657
2021-09-07,52.74986
2021-09-08,52.00073
2021-09-09,48.6626
2021-09-10,46.71395
2021-09-11,29.2619
2021-09-12,27.75139
2021-09-13,49.52815
2021-09-14,48.12794
2021-09-15,53.10374
2021-09-16,48.22752
2021-09-17,45.03646
2021-09-18,29.01219
2021-09-19,24.86365
2021-09-20,31.38213
2021-09-21,32.23849
2021-09-22,38.22844
2021-09-23,57.73025
2021-09-24,53.32894
2021-09-25,32.73331
2021-09-26,31.25191
2021-09-27,51.53348
2021-09-28,52.55683
2021-09-29,54.41203
2021-09-30,50.76904
2021-10-01,48.04062
2021-10-02,30.95931
2021-10-03,28.54341
2021-10-04,36.13732
2021-10-05,53.64452
2021-10-06,56.04969
2021-10-07,54.7414
2021-10-08,50.28341
2021-10-09,32.34113
2021-10-10,32.80378
2021-10-11,40.95379
2021-10-12,60.97646
2021-10-13,55.27299
2021-10-14,53.2937
2021-10-15,51.49365
2021-10-16,33.98492
2021-10-17,29.7843
2021-10-18,51.60702
2021-10-19,52.02524
2021-10-20,52.03597
2021-10-21,53.26919
2021-10-22,47.79857
2021-10-23,30.42312
2021-10-24,31.11557
2021-10-25,53.47754
2021-10-26,57.11134
2021-10-27,54.23892
2021-10-28,52.59513
2021-10-29,50.47643
2021-10-30,32.5265
2021-10-31,31.39285
