date,천보주가
2022-01-19,18.5836
2022-01-20,23.08423
2022-01-21,21.22834
2022-01-22,3.2751
2022-01-23,2.34187
2022-01-24,21.57346
2022-01-25,21.29173
2022-01-26,23.59839
2022-01-27,24.55627
2022-01-28,27.444
2022-01-29,3.09198
2022-01-30,2.59543
2022-01-31,2.05662
2022-02-01,1.90519
2022-02-02,2.31018
2022-02-03,25.47894
2022-02-04,25.68319
2022-02-05,3.50753
2022-02-06,2.81729
2022-02-07,29.04986
2022-02-08,27.68347
2022-02-09,25.28172
2022-02-10,22.47147
2022-02-11,21.5488
2022-02-12,3.81039
2022-02-13,3.39836
2022-02-14,20.79166
2022-02-15,20.7987
2022-02-16,25.73954
2022-02-17,24.76405
2022-02-18,21.28468
2022-02-19,3.71179
2022-02-20,2.78912
2022-02-21,19.50274
2022-02-22,20.24933
2022-02-23,20.59092
2022-02-24,21.11212
2022-02-25,21.68615
2022-02-26,2.48978
2022-02-27,2.02493
2022-02-28,19.68587
2022-03-01,2.97224
2022-03-02,23.11241
2022-03-03,20.60149
2022-03-04,17.06578
2022-03-05,1.8242
2022-03-06,1.45443
2022-03-07,16.13959
2022-03-08,16.03042
2022-03-09,2.31722
2022-03-10,20.8973
2022-03-11,17.25947
2022-03-12,2.16931
2022-03-13,1.94745
2022-03-14,26.08465
2022-03-15,21.60515
2022-03-16,20.6367
2022-03-17,33.27229
2022-03-18,30.7825
2022-03-19,4.69432
2022-03-20,3.15537
2022-03-21,24.48936
2022-03-22,21.5312
2022-03-23,23.46105
2022-03-24,21.34807
2022-03-25,20.45358
2022-03-26,3.75757
2022-03-27,2.55669
2022-03-28,19.95351
2022-03-29,30.47612
2022-03-30,25.9121
2022-03-31,27.94759
2022-04-01,23.35892
2022-04-02,3.747
2022-04-03,3.10254
2022-04-04,22.74263
2022-04-05,24.28863
2022-04-06,23.78151
2022-04-07,22.66164
2022-04-08,25.94379
2022-04-09,3.90547
2022-04-10,3.09198
2022-04-11,25.07395
2022-04-12,21.75658
2022-04-13,23.08071
2022-04-14,21.7918
2022-04-15,21.82349
2022-04-16,2.7856
2022-04-17,2.40878
2022-04-18,24.82391
2022-04-19,39.38582
2022-04-20,29.96548
2022-04-21,29.41259
2022-04-22,24.68305
2022-04-23,3.86674
2022-04-24,3.84209
2022-04-25,28.77517
2022-04-26,26.63403
2022-04-27,23.31314
2022-04-28,22.20383
2022-04-29,25.89449
2022-04-30,3.02155
2022-05-01,2.70108
2022-05-02,22.71094
2022-05-03,22.8835
2022-05-04,23.53148
2022-05-05,3.66248
2022-05-06,20.52753
2022-05-07,2.22566
2022-05-08,2.0531
2022-05-09,20.56275
2022-05-10,22.85533
2022-05-11,21.2882
2022-05-12,26.00366
2022-05-13,23.42935
2022-05-14,2.96168
2022-05-15,2.22918
2022-05-16,23.75686
2022-05-17,29.00408
2022-05-18,33.66319
2022-05-19,35.52613
2022-05-20,31.96576
2022-05-21,3.56036
2022-05-22,3.40188
2022-05-23,26.52134
2022-05-24,22.96802
2022-05-25,22.65459
2022-05-26,20.66136
2022-05-27,19.58726
2022-05-28,2.39118
2022-05-29,1.74672
2022-05-30,20.45006
2022-05-31,20.59444
2022-06-01,2.8666
2022-06-02,19.35836
2022-06-03,18.27017
2022-06-04,2.53909
2022-06-05,2.13058
2022-06-06,1.98971
2022-06-07,16.68897
2022-06-08,18.17861
2022-06-09,17.63276
2022-06-10,17.56937
2022-06-11,2.01084
2022-06-12,1.72559
2022-06-13,19.58726
2022-06-14,21.01704
2022-06-15,19.41118
2022-06-16,25.21129
2022-06-17,21.74249
2022-06-18,2.67643
2022-06-19,2.40526
2022-06-20,21.90449
2022-06-21,21.92914
2022-06-22,20.2775
2022-06-23,21.84462
2022-06-24,25.1303
2022-06-25,3.68713
2022-06-26,2.69404
2022-06-27,22.1827
2022-06-28,19.11184
2022-06-29,18.55543
