date,임대인배상책임보험
2023-01-10,48.4375
2023-01-11,37.5
2023-01-12,43.35937
2023-01-13,45.70312
2023-01-14,17.96875
2023-01-15,24.60937
2023-01-16,33.20312
2023-01-17,41.01562
2023-01-18,41.79687
2023-01-19,35.9375
2023-01-20,18.75
2023-01-21,18.35937
2023-01-22,7.8125
2023-01-23,7.03125
2023-01-24,14.0625
2023-01-25,50.39062
2023-01-26,57.8125
2023-01-27,72.65625
2023-01-28,27.34375
2023-01-29,24.21875
2023-01-30,69.14062
2023-01-31,48.82812
2023-02-01,64.0625
2023-02-02,46.875
2023-02-03,30.07812
2023-02-04,45.70312
2023-02-05,17.1875
2023-02-06,67.96875
2023-02-07,48.4375
2023-02-08,63.67187
2023-02-09,43.35937
2023-02-10,41.01562
2023-02-11,23.04687
2023-02-12,23.4375
2023-02-13,58.98437
2023-02-14,44.14062
2023-02-15,47.65625
2023-02-16,45.70312
2023-02-17,35.54687
2023-02-18,23.82812
2023-02-19,24.60937
2023-02-20,42.57812
2023-02-21,57.42187
2023-02-22,51.95312
2023-02-23,39.0625
2023-02-24,41.79687
2023-02-25,15.625
2023-02-26,8.98437
2023-02-27,53.90625
2023-02-28,29.29687
2023-03-01,21.09375
2023-03-02,35.9375
2023-03-03,48.4375
2023-03-04,14.45312
2023-03-05,13.28125
2023-03-06,44.53125
2023-03-07,37.5
2023-03-08,28.125
2023-03-09,33.98437
2023-03-10,25.78125
2023-03-11,20.70312
2023-03-12,14.0625
2023-03-13,37.89062
2023-03-14,46.875
2023-03-15,42.96875
2023-03-16,32.8125
2023-03-17,28.125
2023-03-18,19.53125
2023-03-19,8.98437
2023-03-20,37.5
2023-03-21,38.67187
2023-03-22,35.54687
2023-03-23,44.92187
2023-03-24,32.03125
2023-03-25,15.625
2023-03-26,9.375
2023-03-27,35.54687
2023-03-28,40.23437
2023-03-29,39.0625
2023-03-30,30.46875
2023-03-31,30.46875
2023-04-01,17.96875
2023-04-02,13.28125
2023-04-03,36.71875
2023-04-04,30.85937
2023-04-05,40.23437
2023-04-06,42.1875
