date,미국ETF
2021-07-31,22.95918
2021-08-01,23.21428
2021-08-02,38.0102
2021-08-03,45.91836
2021-08-04,39.71088
2021-08-05,43.11224
2021-08-06,50.17006
2021-08-07,34.60884
2021-08-08,30.2721
2021-08-09,41.58163
2021-08-10,48.38435
2021-08-11,51.19047
2021-08-12,47.0238
2021-08-13,49.23469
2021-08-14,30.52721
2021-08-15,28.82653
2021-08-16,34.18367
2021-08-17,50.0
2021-08-18,42.60204
2021-08-19,44.38775
2021-08-20,39.71088
2021-08-21,32.65306
2021-08-22,29.67687
2021-08-23,44.30272
2021-08-24,66.32653
2021-08-25,65.90136
2021-08-26,59.43877
2021-08-27,54.16666
2021-08-28,44.47278
2021-08-29,38.18027
2021-08-30,55.017
2021-08-31,64.96598
2021-09-01,58.58843
2021-09-02,56.46258
2021-09-03,59.09863
2021-09-04,43.45238
2021-09-05,43.36734
2021-09-06,46.17346
2021-09-07,50.34013
2021-09-08,52.97619
2021-09-09,50.17006
2021-09-10,48.55442
2021-09-11,33.84353
2021-09-12,32.56802
2021-09-13,47.0238
2021-09-14,48.89455
2021-09-15,48.21428
2021-09-16,47.44897
2021-09-17,43.79251
2021-09-18,28.40136
2021-09-19,25.17006
2021-09-20,31.88775
2021-09-21,42.0068
2021-09-22,47.78911
2021-09-23,63.86054
2021-09-24,57.56802
2021-09-25,39.20068
2021-09-26,36.64965
2021-09-27,50.93537
2021-09-28,60.88435
2021-09-29,52.46598
2021-09-30,43.11224
2021-10-01,52.80612
2021-10-02,31.54761
2021-10-03,27.38095
2021-10-04,38.77551
2021-10-05,49.91496
2021-10-06,50.85034
2021-10-07,51.36054
2021-10-08,53.40136
2021-10-09,24.82993
2021-10-10,26.70068
2021-10-11,38.2653
2021-10-12,50.34013
2021-10-13,44.21768
2021-10-14,49.65986
2021-10-15,48.29931
2021-10-16,40.30612
2021-10-17,29.42176
2021-10-18,50.42517
2021-10-19,61.30952
2021-10-20,51.61564
2021-10-21,47.19387
2021-10-22,46.42857
2021-10-23,28.99659
2021-10-24,26.44557
2021-10-25,43.53741
2021-10-26,65.64625
2021-10-27,56.03741
2021-10-28,55.017
2021-10-29,53.14625
2021-10-30,39.71088
2021-10-31,32.90816
2021-11-01,57.31292
2021-11-02,62.84013
2021-11-03,58.41836
2021-11-04,67.60204
2021-11-05,71.5136
2021-11-06,48.97959
2021-11-07,43.53741
2021-11-08,71.17346
2021-11-09,74.14965
2021-11-10,64.45578
2021-11-11,57.56802
2021-11-12,58.33333
2021-11-13,37.41496
2021-11-14,35.45918
2021-11-15,55.69727
2021-11-16,61.90476
2021-11-17,68.79251
2021-11-18,65.98639
2021-11-19,60.88435
2021-11-20,42.60204
2021-11-21,45.74829
2021-11-22,64.88095
2021-11-23,74.65986
2021-11-24,58.7585
2021-11-25,53.99659
2021-11-26,50.34013
2021-11-27,33.24829
2021-11-28,33.41836
2021-11-29,55.61224
2021-11-30,62.5
2021-12-01,52.97619
2021-12-02,49.06462
2021-12-03,41.92176
2021-12-04,36.81972
2021-12-05,28.48639
2021-12-06,40.30612
2021-12-07,48.89455
2021-12-08,52.89115
2021-12-09,45.83333
2021-12-10,41.24149
2021-12-11,34.2687
2021-12-12,30.95238
2021-12-13,50.93537
2021-12-14,50.08503
2021-12-15,44.04761
2021-12-16,47.36394
2021-12-17,43.45238
2021-12-18,27.97619
2021-12-19,27.72108
2021-12-20,42.2619
2021-12-21,48.63945
2021-12-22,46.2585
2021-12-23,49.74489
2021-12-24,37.84013
2021-12-25,26.61564
2021-12-26,31.29251
2021-12-27,42.43197
2021-12-28,63.18027
2021-12-29,56.63265
2021-12-30,56.63265
2021-12-31,38.2653
2022-01-01,30.86734
2022-01-02,38.0102
2022-01-03,54.93197
2022-01-04,78.40136
2022-01-05,71.08843
2022-01-06,59.94897
2022-01-07,51.27551
2022-01-08,38.2653
2022-01-09,41.32653
2022-01-10,50.08503
2022-01-11,53.06122
2022-01-12,51.36054
2022-01-13,49.65986
2022-01-14,49.82993
2022-01-15,35.03401
2022-01-16,35.20408
2022-01-17,46.34353
2022-01-18,49.74489
2022-01-19,50.59523
2022-01-20,55.86734
2022-01-21,59.60884
2022-01-22,45.06802
2022-01-23,37.7551
2022-01-24,49.57482
2022-01-25,64.28571
2022-01-26,65.39115
2022-01-27,57.65306
2022-01-28,51.95578
2022-01-29,36.05442
2022-01-30,28.14625
2022-01-31,35.28911
2022-02-01,58.5034
2022-02-02,63.18027
2022-02-03,71.0034
2022-02-04,55.61224
2022-02-05,41.49659
2022-02-06,36.90476
2022-02-07,49.91496
2022-02-08,52.12585
2022-02-09,46.42857
2022-02-10,48.38435
2022-02-11,44.30272
2022-02-12,31.97278
2022-02-13,26.44557
2022-02-14,39.11564
2022-02-15,40.47619
2022-02-16,38.09523
2022-02-17,36.81972
2022-02-18,32.82312
2022-02-19,28.31632
2022-02-20,22.27891
2022-02-21,32.39795
2022-02-22,39.28571
2022-02-23,38.86054
2022-02-24,57.73809
2022-02-25,42.517
2022-02-26,27.72108
2022-02-27,28.14625
2022-02-28,33.67346
2022-03-01,40.47619
2022-03-02,32.99319
2022-03-03,29.93197
2022-03-04,29.16666
2022-03-05,20.83333
2022-03-06,20.49319
2022-03-07,32.56802
2022-03-08,35.54421
2022-03-09,27.89115
2022-03-10,29.59183
2022-03-11,29.08163
2022-03-12,20.15306
2022-03-13,24.23469
2022-03-14,28.06122
2022-03-15,37.58503
2022-03-16,31.03741
2022-03-17,35.62925
2022-03-18,32.90816
2022-03-19,26.87074
2022-03-20,23.12925
2022-03-21,37.15986
2022-03-22,36.05442
2022-03-23,39.54081
2022-03-24,34.18367
2022-03-25,39.28571
2022-03-26,23.55442
2022-03-27,21.59863
2022-03-28,30.78231
2022-03-29,37.41496
2022-03-30,41.58163
2022-03-31,37.84013
2022-04-01,26.70068
2022-04-02,22.0238
2022-04-03,19.30272
2022-04-04,29.93197
2022-04-05,37.84013
2022-04-06,35.54421
2022-04-07,34.35374
2022-04-08,28.99659
2022-04-09,18.79251
2022-04-10,17.60204
2022-04-11,24.82993
2022-04-12,30.18707
2022-04-13,26.36054
2022-04-14,27.21088
2022-04-15,22.27891
2022-04-16,10.28911
2022-04-17,11.22448
2022-04-18,22.78911
2022-04-19,24.91496
2022-04-20,23.46938
2022-04-21,24.57482
2022-04-22,25.0
2022-04-23,22.70408
2022-04-24,15.73129
2022-04-25,27.89115
2022-04-26,28.57142
2022-04-27,32.31292
2022-04-28,25.68027
2022-04-29,22.53401
2022-04-30,17.7721
2022-05-01,14.71088
2022-05-02,21.59863
2022-05-03,26.19047
2022-05-04,21.42857
2022-05-05,18.02721
2022-05-06,26.44557
2022-05-07,17.60204
2022-05-08,11.56462
2022-05-09,28.06122
2022-05-10,32.73809
2022-05-11,24.23469
2022-05-12,26.87074
2022-05-13,21.93877
2022-05-14,15.13605
2022-05-15,12.84013
2022-05-16,20.06802
2022-05-17,17.85714
2022-05-18,19.38775
2022-05-19,22.61904
2022-05-20,17.68707
2022-05-21,13.94557
2022-05-22,10.03401
