date,배당
2021-08-05,7.17808
2021-08-06,7.01369
2021-08-07,4.27397
2021-08-08,4.41095
2021-08-09,6.38356
2021-08-10,8.13698
2021-08-11,6.43835
2021-08-12,6.76712
2021-08-13,7.04109
2021-08-14,4.19178
2021-08-15,3.9178
2021-08-16,3.9726
2021-08-17,7.78082
2021-08-18,8.9041
2021-08-19,7.50684
2021-08-20,6.54794
2021-08-21,3.86301
2021-08-22,4.54794
2021-08-23,6.21917
2021-08-24,6.57534
2021-08-25,6.82191
2021-08-26,7.23287
2021-08-27,6.02739
2021-08-28,3.9726
2021-08-29,4.19178
2021-08-30,7.28767
2021-08-31,6.30136
2021-09-01,5.86301
2021-09-02,8.52054
2021-09-03,6.05479
2021-09-04,4.57534
2021-09-05,4.73972
2021-09-06,6.9315
2021-09-07,7.31506
2021-09-08,7.9178
2021-09-09,7.89041
2021-09-10,7.69863
2021-09-11,4.43835
2021-09-12,5.01369
2021-09-13,7.9178
2021-09-14,8.65753
2021-09-15,8.19178
2021-09-16,7.06849
2021-09-17,7.58904
2021-09-18,4.9315
2021-09-19,4.52054
2021-09-20,4.46575
2021-09-21,4.43835
2021-09-22,5.23287
2021-09-23,9.78082
2021-09-24,8.9041
2021-09-25,6.13698
2021-09-26,6.52054
2021-09-27,11.06849
2021-09-28,10.87671
2021-09-29,9.06849
2021-09-30,8.9041
2021-10-01,7.01369
2021-10-02,5.42465
2021-10-03,6.32876
2021-10-04,5.47945
2021-10-05,7.9452
2021-10-06,7.69863
2021-10-07,8.65753
2021-10-08,7.36986
2021-10-09,5.12328
2021-10-10,5.36986
2021-10-11,6.32876
2021-10-12,7.89041
2021-10-13,8.05479
2021-10-14,8.9041
2021-10-15,7.9726
2021-10-16,5.75342
2021-10-17,6.10958
2021-10-18,9.80821
2021-10-19,8.82191
2021-10-20,8.9041
2021-10-21,8.41095
2021-10-22,7.01369
2021-10-23,5.9178
2021-10-24,4.54794
2021-10-25,8.10958
2021-10-26,8.87671
2021-10-27,7.61643
2021-10-28,10.43835
2021-10-29,8.46575
2021-10-30,4.46575
2021-10-31,5.20547
2021-11-01,11.61643
2021-11-02,10.9041
2021-11-03,9.28767
2021-11-04,8.05479
2021-11-05,8.46575
2021-11-06,5.12328
2021-11-07,4.9863
2021-11-08,7.72602
2021-11-09,7.9726
2021-11-10,8.57534
2021-11-11,6.82191
2021-11-12,7.53424
2021-11-13,4.21917
2021-11-14,4.65753
2021-11-15,8.30136
2021-11-16,7.80821
2021-11-17,10.0
2021-11-18,8.19178
2021-11-19,6.87671
2021-11-20,3.80821
2021-11-21,4.76712
2021-11-22,6.08219
2021-11-23,7.83561
2021-11-24,8.63013
2021-11-25,8.08219
2021-11-26,6.65753
2021-11-27,4.32876
2021-11-28,6.52054
2021-11-29,10.02739
2021-11-30,9.50684
2021-12-01,9.01369
2021-12-02,11.17808
2021-12-03,12.24657
2021-12-04,8.9863
2021-12-05,8.60273
2021-12-06,11.42465
2021-12-07,11.31506
2021-12-08,11.61643
2021-12-09,11.56164
2021-12-10,9.15068
2021-12-11,5.72602
2021-12-12,7.58904
2021-12-13,18.41095
2021-12-14,18.68493
2021-12-15,17.31506
2021-12-16,17.45205
2021-12-17,19.83561
2021-12-18,9.50684
2021-12-19,9.9452
2021-12-20,17.86301
2021-12-21,19.04109
2021-12-22,19.39726
2021-12-23,22.32876
2021-12-24,26.27397
2021-12-25,11.53424
2021-12-26,12.9041
2021-12-27,44.43835
2021-12-28,70.0
2021-12-29,46.60273
2021-12-30,18.60273
2021-12-31,11.09589
2022-01-01,6.10958
2022-01-02,6.68493
2022-01-03,12.79452
2022-01-04,10.9589
2022-01-05,11.61643
2022-01-06,9.45205
2022-01-07,8.68493
2022-01-08,5.31506
2022-01-09,6.16438
2022-01-10,9.26027
2022-01-11,9.42465
2022-01-12,9.64383
2022-01-13,8.71232
2022-01-14,8.0
2022-01-15,4.57534
2022-01-16,5.31506
2022-01-17,8.46575
2022-01-18,8.60273
2022-01-19,9.45205
2022-01-20,11.26027
2022-01-21,8.57534
2022-01-22,5.39726
2022-01-23,4.63013
2022-01-24,9.04109
2022-01-25,10.73972
2022-01-26,13.23287
2022-01-27,18.27397
2022-01-28,17.26027
2022-01-29,6.41095
2022-01-30,4.9315
2022-01-31,5.50684
2022-02-01,5.34246
2022-02-02,6.13698
2022-02-03,13.15068
2022-02-04,14.49315
2022-02-05,8.38356
2022-02-06,7.78082
2022-02-07,14.68493
2022-02-08,17.61643
2022-02-09,20.49315
2022-02-10,17.34246
2022-02-11,15.64383
2022-02-12,6.13698
2022-02-13,6.32876
2022-02-14,14.76712
2022-02-15,14.9589
2022-02-16,13.28767
2022-02-17,14.19178
2022-02-18,12.49315
2022-02-19,6.60273
2022-02-20,6.08219
2022-02-21,15.36986
2022-02-22,13.42465
2022-02-23,13.31506
2022-02-24,13.06849
2022-02-25,22.10958
2022-02-26,7.34246
2022-02-27,6.73972
2022-02-28,12.63013
2022-03-01,8.41095
2022-03-02,12.49315
2022-03-03,12.13698
2022-03-04,11.9178
2022-03-05,6.9863
2022-03-06,6.84931
2022-03-07,11.28767
2022-03-08,12.68493
2022-03-09,7.78082
2022-03-10,10.9589
2022-03-11,10.87671
2022-03-12,5.67123
2022-03-13,6.65753
2022-03-14,11.23287
2022-03-15,11.04109
2022-03-16,11.34246
2022-03-17,11.86301
2022-03-18,9.9726
2022-03-19,7.53424
2022-03-20,6.13698
2022-03-21,9.31506
2022-03-22,10.9315
2022-03-23,9.75342
2022-03-24,10.49315
2022-03-25,9.26027
2022-03-26,6.71232
2022-03-27,6.21917
2022-03-28,10.35616
2022-03-29,12.08219
2022-03-30,10.71232
2022-03-31,11.75342
2022-04-01,9.31506
2022-04-02,5.9452
2022-04-03,5.64383
2022-04-04,9.28767
2022-04-05,10.9041
2022-04-06,9.50684
2022-04-07,10.16438
2022-04-08,9.86301
2022-04-09,6.9863
2022-04-10,7.17808
2022-04-11,9.64383
2022-04-12,9.04109
2022-04-13,10.08219
2022-04-14,9.61643
2022-04-15,11.15068
2022-04-16,6.13698
2022-04-17,5.67123
2022-04-18,8.60273
2022-04-19,10.19178
2022-04-20,9.53424
2022-04-21,10.63013
2022-04-22,10.49315
2022-04-23,5.34246
2022-04-24,6.16438
2022-04-25,8.0
2022-04-26,8.57534
2022-04-27,8.9315
2022-04-28,7.26027
2022-04-29,6.84931
2022-04-30,3.9726
2022-05-01,3.61643
2022-05-02,6.32876
2022-05-03,7.75342
2022-05-04,5.9452
2022-05-05,3.86301
2022-05-06,4.76712
2022-05-07,3.20547
2022-05-08,3.56164
2022-05-09,6.65753
2022-05-10,5.80821
2022-05-11,6.41095
2022-05-12,5.67123
2022-05-13,5.58904
2022-05-14,4.16438
2022-05-15,4.02739
2022-05-16,6.38356
2022-05-17,7.67123
2022-05-18,6.10958
2022-05-19,4.71232
2022-05-20,5.06849
2022-05-21,2.9863
2022-05-22,3.53424
2022-05-23,6.02739
2022-05-24,5.56164
2022-05-25,6.13698
2022-05-26,5.83561
2022-05-27,5.9178
2022-05-28,3.89041
2022-05-29,3.80821
2022-05-30,5.20547
2022-05-31,6.54794
2022-06-01,4.13698
2022-06-02,6.35616
2022-06-03,5.53424
2022-06-04,4.21917
2022-06-05,4.08219
2022-06-06,4.57534
2022-06-07,5.42465
2022-06-08,5.9452
2022-06-09,6.02739
2022-06-10,5.72602
2022-06-11,4.41095
2022-06-12,4.16438
2022-06-13,6.43835
2022-06-14,7.04109
2022-06-15,6.84931
2022-06-16,7.01369
2022-06-17,6.79452
2022-06-18,3.42465
2022-06-19,4.02739
2022-06-20,7.45205
2022-06-21,6.71232
2022-06-22,5.39726
2022-06-23,7.17808
2022-06-24,6.02739
2022-06-25,3.67123
2022-06-26,3.42465
2022-06-27,7.01369
2022-06-28,7.01369
2022-06-29,7.39726
2022-06-30,6.13698
2022-07-01,4.38356
2022-07-02,3.26027
2022-07-03,3.06849
