date,이수화학주가
2021-05-09,0.47618
2021-05-10,4.48739
2021-05-11,3.29694
2021-05-12,3.0528
2021-05-13,3.16176
2021-05-14,3.35142
2021-05-15,0.61136
2021-05-16,0.54881
2021-05-17,3.48257
2021-05-18,3.36554
2021-05-19,0.6275
2021-05-20,3.04069
2021-05-21,3.16781
2021-05-22,0.47819
2021-05-23,0.37731
2021-05-24,3.0185
2021-05-25,3.78119
2021-05-26,3.26062
2021-05-27,3.39581
2021-05-28,3.5996
2021-05-29,0.51855
2021-05-30,0.3531
2021-05-31,3.27878
2021-06-01,3.30905
2021-06-02,4.27553
2021-06-03,4.51362
2021-06-04,3.52293
2021-06-05,0.65777
2021-06-06,0.68198
2021-06-07,3.69443
2021-06-08,3.54512
2021-06-09,3.65408
2021-06-10,3.58548
2021-06-11,3.74689
2021-06-12,0.456
2021-06-13,0.39748
2021-06-14,2.94384
2021-06-15,2.86515
2021-06-16,2.97007
2021-06-17,2.70172
2021-06-18,2.68557
2021-06-19,0.29862
2021-06-20,0.28651
2021-06-21,2.31028
2021-06-22,2.49793
2021-06-23,2.46564
2021-06-24,2.44345
2021-06-25,2.15895
2021-06-26,0.24414
2021-06-27,0.21186
2021-06-28,2.60487
2021-06-29,2.73803
2021-06-30,2.54837
2021-07-01,2.08631
2021-07-02,2.12465
2021-07-03,0.37933
2021-07-04,0.36318
2021-07-05,3.00034
2021-07-06,2.81874
2021-07-07,2.22554
2021-07-08,1.98341
2021-07-09,1.95516
2021-07-10,0.34099
2021-07-11,0.228
2021-07-12,2.29616
2021-07-13,2.15492
2021-07-14,1.83208
2021-07-15,2.10044
2021-07-16,1.77962
2021-07-17,0.2623
2021-07-18,0.22598
2021-07-19,1.78769
2021-07-20,2.05605
2021-07-21,1.81997
2021-07-22,1.94911
2021-07-23,1.66057
2021-07-24,0.23607
2021-07-25,0.20782
2021-07-26,1.82603
2021-07-27,1.75339
2021-07-28,2.45959
2021-07-29,2.77435
2021-07-30,1.67066
2021-07-31,0.2058
2021-08-01,0.19975
2021-08-02,1.72716
2021-08-03,1.93095
2021-08-04,2.39704
2021-08-05,4.24325
2021-08-06,5.45388
2021-08-07,0.53671
2021-08-08,0.4338
2021-08-09,4.60039
2021-08-10,3.50678
2021-08-11,3.37765
2021-08-12,3.19
2021-08-13,3.22027
2021-08-14,0.46811
2021-08-15,0.30467
2021-08-16,0.44793
2021-08-17,2.80462
2021-08-18,2.51407
2021-08-19,2.28405
2021-08-20,2.18518
2021-08-21,0.22194
2021-08-22,0.24817
2021-08-23,2.59478
2021-08-24,3.95068
2021-08-25,3.35546
2021-08-26,2.71988
2021-08-27,3.22229
2021-08-28,0.31879
2021-08-29,0.32686
2021-08-30,3.22027
2021-08-31,2.65127
2021-09-01,2.69566
2021-09-02,2.78242
2021-09-03,2.59478
2021-09-04,0.28651
2021-09-05,0.23607
2021-09-06,2.50802
2021-09-07,3.41599
2021-09-08,7.13464
2021-09-09,8.2807
2021-09-10,7.21736
2021-09-11,1.13193
2021-09-12,0.89183
2021-09-13,6.88242
2021-09-14,7.72785
2021-09-15,6.5273
2021-09-16,6.59591
2021-09-17,13.26849
2021-09-18,2.1872
2021-09-19,1.53346
2021-09-20,1.21264
2021-09-21,1.20255
2021-09-22,1.58794
2021-09-23,9.73749
2021-09-24,8.4058
2021-09-25,1.11176
2021-09-26,0.95034
2021-09-27,6.9026
2021-09-28,6.65442
2021-09-29,6.48897
2021-09-30,9.76977
2021-10-01,8.08296
2021-10-02,1.09158
2021-10-03,0.68804
2021-10-04,1.06737
2021-10-05,7.33237
2021-10-06,6.70083
2021-10-07,6.08946
2021-10-08,6.12981
2021-10-09,0.74251
2021-10-10,0.62347
2021-10-11,0.77682
2021-10-12,5.66574
2021-10-13,6.21658
2021-10-14,6.09955
2021-10-15,5.40344
2021-10-16,0.67189
2021-10-17,0.5811
2021-10-18,5.18149
2021-10-19,4.85664
2021-10-20,4.91717
2021-10-21,4.41879
2021-10-22,4.15245
2021-10-23,0.40556
2021-10-24,0.31072
2021-10-25,3.90226
2021-10-26,4.50555
2021-10-27,4.06771
2021-10-28,3.58749
2021-10-29,3.64399
2021-10-30,0.36318
2021-10-31,0.32081
2021-11-01,3.86796
2021-11-02,3.87199
2021-11-03,3.43415
2021-11-04,3.74286
2021-11-05,3.34335
2021-11-06,0.41363
2021-11-07,0.34502
2021-11-08,3.58548
2021-11-09,3.45029
2021-11-10,3.11938
2021-11-11,3.22632
2021-11-12,3.78926
2021-11-13,0.48626
2021-11-14,0.44389
2021-11-15,3.96077
2021-11-16,3.3716
2021-11-17,3.02455
2021-11-18,2.64118
2021-11-19,8.96269
2021-11-20,1.62627
2021-11-21,1.45477
2021-11-22,6.47686
2021-11-23,6.2872
2021-11-24,7.96997
2021-11-25,7.96392
2021-11-26,6.80777
2021-11-27,0.7748
2021-11-28,0.72032
2021-11-29,5.97647
2021-11-30,6.38001
2021-12-01,8.00427
2021-12-02,7.36869
2021-12-03,6.85014
2021-12-04,0.79901
2021-12-05,0.79699
2021-12-06,5.57898
2021-12-07,5.64153
2021-12-08,6.73311
2021-12-09,6.39615
2021-12-10,4.81628
2021-12-11,0.69812
2021-12-12,0.6497
2021-12-13,4.61249
2021-12-14,4.33808
2021-12-15,4.10605
2021-12-16,4.20895
2021-12-17,4.08789
2021-12-18,0.5589
2021-12-19,0.57101
2021-12-20,3.99911
2021-12-21,3.89419
2021-12-22,4.01928
2021-12-23,4.09394
2021-12-24,3.47854
2021-12-25,0.51249
2021-12-26,0.45802
2021-12-27,3.12745
2021-12-28,3.39581
2021-12-29,3.60767
2021-12-30,3.35546
2021-12-31,0.83936
2022-01-01,0.39143
2022-01-02,0.47618
2022-01-03,3.48055
2022-01-04,3.99104
2022-01-05,3.43213
2022-01-06,4.72952
2022-01-07,4.99989
2022-01-08,0.62952
2022-01-09,0.61338
2022-01-10,4.09192
2022-01-11,3.59758
2022-01-12,3.90831
2022-01-13,3.91235
2022-01-14,3.24246
2022-01-15,0.38538
2022-01-16,0.40354
2022-01-17,2.94788
2022-01-18,3.07096
2022-01-19,2.96805
2022-01-20,3.26466
2022-01-21,2.70979
2022-01-22,0.28853
2022-01-23,0.27239
2022-01-24,2.57662
2022-01-25,2.96402
2022-01-26,3.28484
2022-01-27,3.01043
2022-01-28,2.95797
2022-01-29,0.3309
2022-01-30,0.20984
2022-01-31,0.1715
2022-02-01,0.228
2022-02-02,0.23809
2022-02-03,2.84296
2022-02-04,2.6775
2022-02-05,0.30063
2022-02-06,0.19571
2022-02-07,2.62504
2022-02-08,2.43336
2022-02-09,2.9277
2022-02-10,2.6311
2022-02-11,2.19527
2022-02-12,0.20378
2022-02-13,0.14527
2022-02-14,2.165
2022-02-15,1.95516
2022-02-16,2.29817
2022-02-17,2.43336
2022-02-18,2.23361
2022-02-19,0.30669
2022-02-20,0.21589
2022-02-21,2.51609
2022-02-22,2.1307
2022-02-23,2.11456
2022-02-24,1.98341
2022-02-25,2.15088
2022-02-26,0.21791
2022-02-27,0.18764
2022-02-28,2.03789
2022-03-01,0.24817
2022-03-02,2.36274
2022-03-03,2.36879
2022-03-04,1.96727
2022-03-05,0.18764
2022-03-06,0.19773
2022-03-07,1.84217
2022-03-08,1.75137
2022-03-09,0.1715
2022-03-10,1.93297
2022-03-11,1.8684
2022-03-12,0.23607
2022-03-13,0.14729
2022-03-14,1.9027
2022-03-15,2.07219
2022-03-16,2.3587
2022-03-17,2.3123
2022-03-18,1.99148
2022-03-19,0.228
2022-03-20,0.14931
2022-03-21,2.51407
2022-03-22,2.3809
2022-03-23,2.39704
2022-03-24,3.49871
2022-03-25,2.74409
2022-03-26,0.73444
2022-03-27,0.67189
2022-03-28,3.60565
2022-03-29,3.24045
2022-03-30,2.88331
2022-03-31,3.04876
2022-04-01,2.38897
2022-04-02,0.37933
2022-04-03,0.25826
2022-04-04,3.61574
2022-04-05,5.32878
2022-04-06,4.22711
2022-04-07,3.76505
2022-04-08,4.32598
2022-04-09,2.3809
2022-04-10,1.20861
2022-04-11,6.16815
2022-04-12,4.03946
2022-04-13,4.9777
2022-04-14,4.53178
2022-04-15,3.8155
2022-04-16,0.62952
2022-04-17,0.56294
2022-04-18,4.42283
2022-04-19,4.17061
2022-04-20,4.47125
2022-04-21,4.28159
2022-04-22,3.30905
2022-04-23,0.4903
2022-04-24,0.30265
2022-04-25,3.32923
2022-04-26,3.13956
2022-04-27,3.26869
2022-04-28,6.75329
2022-04-29,5.66776
2022-04-30,0.67795
2022-05-01,0.67593
2022-05-02,5.10683
2022-05-03,4.88287
2022-05-04,4.1121
2022-05-05,0.71427
2022-05-06,3.97086
2022-05-07,0.70418
2022-05-08,1.38213
2022-05-09,4.58021
2022-05-10,4.32598
2022-05-11,3.47047
2022-05-12,3.2243
2022-05-13,3.51889
2022-05-14,0.62952
2022-05-15,0.56092
2022-05-16,3.58749
2022-05-17,5.64758
2022-05-18,4.31992
2022-05-19,4.80216
2022-05-20,4.47932
2022-05-21,0.85349
2022-05-22,0.68804
2022-05-23,4.21904
2022-05-24,4.04551
2022-05-25,3.94261
2022-05-26,3.86392
2022-05-27,3.52091
2022-05-28,0.47214
2022-05-29,0.36318
2022-05-30,3.78926
2022-05-31,3.73882
2022-06-01,0.57706
2022-06-02,3.23439
2022-06-03,3.26668
2022-06-04,0.37933
2022-06-05,0.2966
2022-06-06,0.41363
2022-06-07,3.10728
2022-06-08,3.02859
2022-06-09,2.52416
2022-06-10,3.10324
2022-06-11,0.40354
2022-06-12,0.29458
2022-06-13,3.34335
2022-06-14,3.75496
2022-06-15,3.09114
2022-06-16,7.23754
2022-06-17,5.98252
2022-06-18,0.90393
2022-06-19,0.75866
2022-06-20,4.37037
2022-06-21,3.7933
2022-06-22,3.67022
2022-06-23,3.88813
2022-06-24,4.0899
2022-06-25,0.56092
2022-06-26,0.46407
2022-06-27,3.87804
2022-06-28,3.34739
2022-06-29,3.94261
2022-06-30,3.34335
2022-07-01,3.06289
2022-07-02,0.39547
2022-07-03,0.28046
2022-07-04,3.3494
2022-07-05,3.19202
2022-07-06,3.12947
2022-07-07,2.962
2022-07-08,2.72189
2022-07-09,0.28248
2022-07-10,0.2623
2022-07-11,2.72593
2022-07-12,2.62504
2022-07-13,2.95393
2022-07-14,2.62504
2022-07-15,2.94182
2022-07-16,0.33695
2022-07-17,0.28248
2022-07-18,2.49591
2022-07-19,2.60487
2022-07-20,2.75014
2022-07-21,2.80058
2022-07-22,2.96604
2022-07-23,0.38336
2022-07-24,0.3652
2022-07-25,3.10728
2022-07-26,2.7118
2022-07-27,2.42932
2022-07-28,2.68356
2022-07-29,2.70575
2022-07-30,0.33897
2022-07-31,0.39345
2022-08-01,3.64601
2022-08-02,4.11815
2022-08-03,3.55723
2022-08-04,2.89945
2022-08-05,2.82076
2022-08-06,0.37125
2022-08-07,0.30871
2022-08-08,2.53223
2022-08-09,3.00639
2022-08-10,4.09596
2022-08-11,3.50477
2022-08-12,2.92165
2022-08-13,0.43179
2022-08-14,0.31072
2022-08-15,0.4217
2022-08-16,2.81874
2022-08-17,3.14763
2022-08-18,7.04788
2022-08-19,5.01604
2022-08-20,1.25098
2022-08-21,0.87165
2022-08-22,4.85058
2022-08-23,4.86067
2022-08-24,6.60398
2022-08-25,11.35973
2022-08-26,8.42598
2022-08-27,1.16018
2022-08-28,1.07746
2022-08-29,16.14172
2022-08-30,13.56308
2022-08-31,16.96091
2022-09-01,15.59694
2022-09-02,11.0026
2022-09-03,1.39222
2022-09-04,1.31555
2022-09-05,10.34079
2022-09-06,11.38798
2022-09-07,13.03242
2022-09-08,22.99792
2022-09-09,4.4652
2022-09-10,2.70777
2022-09-11,1.94507
2022-09-12,2.65127
2022-09-13,28.84324
2022-09-14,20.84501
2022-09-15,17.97582
2022-09-16,18.39753
2022-09-17,3.88006
2022-09-18,3.1214
2022-09-19,16.5271
2022-09-20,13.82538
2022-09-21,12.56027
2022-09-22,13.64379
2022-09-23,12.81451
2022-09-24,1.68882
2022-09-25,1.3902
2022-09-26,10.69994
2022-09-27,10.43764
2022-09-28,9.90093
2022-09-29,9.76977
2022-09-30,8.33316
2022-10-01,1.13395
2022-10-02,1.04114
2022-10-03,1.06737
2022-10-04,9.28956
2022-10-05,8.95865
2022-10-06,12.81854
2022-10-07,9.70521
2022-10-08,1.13597
2022-10-09,1.03105
2022-10-10,1.18641
2022-10-11,8.60353
2022-10-12,8.2464
2022-10-13,7.78636
2022-10-14,8.24842
2022-10-15,1.25905
2022-10-16,0.97253
2022-10-17,8.47642
2022-10-18,8.48247
2022-10-19,11.10752
2022-10-20,8.22622
2022-10-21,7.84286
2022-10-22,0.96648
2022-10-23,0.82524
2022-10-24,11.14787
2022-10-25,9.09384
2022-10-26,7.95988
2022-10-27,7.98611
2022-10-28,8.52283
2022-10-29,1.23685
2022-10-30,0.86156
2022-10-31,36.01218
2022-11-01,23.93212
2022-11-02,14.86451
2022-11-03,25.87316
2022-11-04,17.2212
2022-11-05,2.28808
2022-11-06,2.08228
2022-11-07,14.76362
2022-11-08,14.17646
2022-11-09,30.29398
2022-11-10,22.36637
2022-11-11,18.48025
2022-11-12,2.67952
2022-11-13,2.36678
2022-11-14,16.09935
2022-11-15,16.34753
2022-11-16,14.71923
2022-11-17,12.10629
2022-11-18,11.67651
2022-11-19,1.56171
2022-11-20,1.37809
2022-11-21,14.05137
2022-11-22,11.58572
2022-11-23,11.06716
2022-11-24,10.11884
2022-11-25,9.02927
2022-11-26,1.26712
2022-11-27,1.11781
2022-11-28,9.80609
2022-11-29,10.37105
2022-11-30,17.6086
2022-12-01,14.64457
2022-12-02,11.36175
2022-12-03,1.07947
2022-12-04,0.98868
2022-12-05,10.98847
2022-12-06,9.0898
2022-12-07,8.78311
2022-12-08,7.73188
2022-12-09,8.23429
2022-12-10,1.05728
2022-12-11,0.84945
2022-12-12,7.55432
2022-12-13,7.19113
2022-12-14,8.087
2022-12-15,7.03577
2022-12-16,6.25693
2022-12-17,0.80506
2022-12-18,0.72435
2022-12-19,7.85294
2022-12-20,6.96717
2022-12-21,6.98331
2022-12-22,6.77347
2022-12-23,6.1964
2022-12-24,0.8091
2022-12-25,0.55487
2022-12-26,6.55959
2022-12-27,6.43247
2022-12-28,5.67179
2022-12-29,5.41756
2022-12-30,1.69488
2022-12-31,0.47618
2023-01-01,0.45398
2023-01-02,6.08139
2023-01-03,6.65442
2023-01-04,6.40019
2023-01-05,5.73434
2023-01-06,7.09025
2023-01-07,1.07947
2023-01-08,0.70014
2023-01-09,6.80777
2023-01-10,8.4179
2023-01-11,6.91067
2023-01-12,6.4809
2023-01-13,5.81707
2023-01-14,1.01289
2023-01-15,0.73848
2023-01-16,5.5931
2023-01-17,5.17745
2023-01-18,4.73759
2023-01-19,4.50354
2023-01-20,4.41677
2023-01-21,0.51855
