date,압류
2021-07-24,2.77324
2021-07-25,2.82762
2021-07-26,5.00271
2021-07-27,5.38336
2021-07-28,4.67645
2021-07-29,5.0299
2021-07-30,5.05709
2021-07-31,2.55573
2021-08-01,3.69766
2021-08-02,4.67645
2021-08-03,4.89396
2021-08-04,5.73681
2021-08-05,5.95432
2021-08-06,5.13866
2021-08-07,2.93637
2021-08-08,2.31103
2021-08-09,5.16585
2021-08-10,5.54649
2021-08-11,5.81837
2021-08-12,6.2262
2021-08-13,5.22022
2021-08-14,3.04513
2021-08-15,2.6373
2021-08-16,2.85481
2021-08-17,5.22022
2021-08-18,5.22022
2021-08-19,7.28656
2021-08-20,6.52528
2021-08-21,3.94235
2021-08-22,3.75203
2021-08-23,5.08428
2021-08-24,5.35617
2021-08-25,5.89994
2021-08-26,6.36215
2021-08-27,5.2746
2021-08-28,3.45296
2021-08-29,2.85481
2021-08-30,4.97553
2021-08-31,6.09026
2021-09-01,5.62805
2021-09-02,6.0087
2021-09-03,5.08428
2021-09-04,2.61011
2021-09-05,3.50734
2021-09-06,5.24741
2021-09-07,5.73681
2021-09-08,6.0087
2021-09-09,5.30179
2021-09-10,4.7852
2021-09-11,2.882
2021-09-12,3.20826
2021-09-13,5.60087
2021-09-14,5.24741
2021-09-15,5.79119
2021-09-16,5.84556
2021-09-17,4.92115
2021-09-18,2.77324
2021-09-19,3.86079
2021-09-20,3.39858
2021-09-21,3.15388
2021-09-22,2.882
2021-09-23,5.764
2021-09-24,5.43773
2021-09-25,2.58292
2021-09-26,3.53452
2021-09-27,5.11147
2021-09-28,5.38336
2021-09-29,6.19902
2021-09-30,5.81837
2021-10-01,4.97553
2021-10-02,3.09951
2021-10-03,3.42577
2021-10-04,3.18107
2021-10-05,5.65524
2021-10-06,7.31375
2021-10-07,5.57368
2021-10-08,5.68243
2021-10-09,3.45296
2021-10-10,2.99075
2021-10-11,4.24143
2021-10-12,5.95432
2021-10-13,6.11745
2021-10-14,5.62805
2021-10-15,5.35617
2021-10-16,3.53452
2021-10-17,3.86079
2021-10-18,5.2746
2021-10-19,6.19902
2021-10-20,6.03588
2021-10-21,6.25339
2021-10-22,5.41054
2021-10-23,3.69766
2021-10-24,3.28983
2021-10-25,6.41653
2021-10-26,6.68841
2021-10-27,5.87275
2021-10-28,5.79119
2021-10-29,5.60087
2021-10-30,3.23545
2021-10-31,2.93637
2021-11-01,5.11147
2021-11-02,5.84556
2021-11-03,5.30179
