date,애플주가
2021-03-01,5.06745
2021-03-02,11.47048
2021-03-03,10.20599
2021-03-04,10.91542
2021-03-05,11.94223
2021-03-06,10.28341
2021-03-07,4.02118
2021-03-08,6.51394
2021-03-09,15.03531
2021-03-10,13.00298
2021-03-11,11.51258
2021-03-12,10.6216
2021-03-13,7.55795
2021-03-14,3.16461
2021-03-15,5.54554
2021-03-16,9.78947
2021-03-17,9.38247
2021-03-18,9.70979
2021-03-19,9.76457
2021-03-20,6.71631
2021-03-21,2.59009
2021-03-22,4.92394
2021-03-23,8.07316
2021-03-24,7.5009
2021-03-25,7.95997
2021-03-26,7.3112
2021-03-27,5.63609
2021-03-28,2.10295
2021-03-29,4.53639
2021-03-30,7.89387
2021-03-31,7.54934
2021-04-01,7.69331
2021-04-02,7.09299
2021-04-03,3.81383
2021-04-04,1.99882
2021-04-05,4.38156
2021-04-06,8.3611
2021-04-07,7.46785
2021-04-08,7.5344
2021-04-09,7.90519
2021-04-10,6.09652
2021-04-11,2.58194
2021-04-12,4.88183
2021-04-13,7.70327
2021-04-14,9.19549
2021-04-15,8.2547
2021-04-16,8.10077
2021-04-17,5.36852
2021-04-18,2.11472
2021-04-19,4.2883
2021-04-20,7.21522
2021-04-21,8.61191
2021-04-22,7.43344
2021-04-23,6.4415
2021-04-24,4.71024
2021-04-25,1.90465
2021-04-26,3.79798
2021-04-27,6.47138
2021-04-28,6.09788
2021-04-29,7.69331
2021-04-30,6.65248
2021-05-01,3.90936
2021-05-02,2.11019
2021-05-03,3.83466
2021-05-04,6.21378
2021-05-05,7.07986
2021-05-06,6.23732
2021-05-07,5.72528
2021-05-08,3.7174
2021-05-09,1.59543
2021-05-10,3.62413
2021-05-11,7.39406
2021-05-12,6.94449
2021-05-13,7.93371
2021-05-14,6.81908
2021-05-15,4.06963
2021-05-16,1.55876
2021-05-17,3.6015
2021-05-18,5.43417
2021-05-19,4.97057
2021-05-20,5.62069
2021-05-21,5.26575
2021-05-22,3.41542
2021-05-23,1.42701
2021-05-24,3.05459
2021-05-25,5.21052
2021-05-26,4.73424
2021-05-27,4.77136
2021-05-28,4.8927
2021-05-29,3.52408
2021-05-30,1.30342
2021-05-31,2.57017
2021-06-01,4.03386
2021-06-02,4.8112
2021-06-03,5.26258
2021-06-04,4.92846
2021-06-05,3.19358
2021-06-06,1.23732
2021-06-07,2.76666
2021-06-08,4.9339
2021-06-09,4.63917
2021-06-10,4.47346
2021-06-11,4.46124
2021-06-12,2.76213
2021-06-13,1.08746
2021-06-14,2.74583
2021-06-15,5.50706
2021-06-16,4.57986
2021-06-17,4.80758
2021-06-18,5.14668
2021-06-19,3.32895
2021-06-20,1.30795
2021-06-21,2.76937
2021-06-22,5.16524
2021-06-23,5.94259
2021-06-24,5.64107
2021-06-25,5.36082
2021-06-26,3.295
2021-06-27,1.27127
2021-06-28,2.907
2021-06-29,5.15121
2021-06-30,5.5469
2021-07-01,5.1254
2021-07-02,4.95201
2021-07-03,4.17104
2021-07-04,1.48587
2021-07-05,2.99755
2021-07-06,5.20916
2021-07-07,7.54617
2021-07-08,8.05143
2021-07-09,6.30206
2021-07-10,4.82796
2021-07-11,1.68598
2021-07-12,3.71695
2021-07-13,5.886
2021-07-14,7.18851
2021-07-15,9.20228
2021-07-16,6.49538
2021-07-17,3.88944
2021-07-18,1.54925
2021-07-19,3.62459
2021-07-20,6.16262
2021-07-21,5.75833
2021-07-22,5.32596
2021-07-23,5.1005
2021-07-24,3.64089
2021-07-25,1.35684
2021-07-26,3.01204
2021-07-27,5.25579
2021-07-28,6.03495
2021-07-29,5.21187
2021-07-30,4.7279
2021-07-31,3.02969
2021-08-01,1.19884
2021-08-02,2.61499
2021-08-03,4.59797
2021-08-04,4.9425
2021-08-05,4.80441
2021-08-06,4.57533
2021-08-07,2.93643
2021-08-08,1.25407
2021-08-09,2.86354
2021-08-10,4.49746
2021-08-11,4.71432
2021-08-12,4.8438
2021-08-13,5.83801
2021-08-14,3.43127
2021-08-15,1.50715
2021-08-16,2.56293
2021-08-17,6.25316
2021-08-18,5.53286
2021-08-19,5.88962
2021-08-20,5.34498
2021-08-21,3.51774
2021-08-22,1.45508
2021-08-23,3.24791
2021-08-24,5.73659
2021-08-25,5.45409
2021-08-26,5.10095
2021-08-27,4.94476
2021-08-28,3.6839
2021-08-29,1.47591
2021-08-30,3.31944
2021-08-31,7.71821
2021-09-01,6.46323
2021-09-02,6.35503
2021-09-03,6.10059
2021-09-04,3.90845
2021-09-05,1.8888
2021-09-06,3.18679
2021-09-07,4.72745
2021-09-08,6.54518
2021-09-09,5.88328
2021-09-10,5.32551
2021-09-11,6.90963
2021-09-12,2.27499
2021-09-13,4.44223
2021-09-14,6.1599
2021-09-15,7.66479
2021-09-16,5.97881
2021-09-17,5.15121
2021-09-18,3.75181
2021-09-19,1.54156
2021-09-20,2.67792
2021-09-21,5.75244
2021-09-22,5.11635
2021-09-23,5.72618
2021-09-24,5.18064
2021-09-25,3.50325
2021-09-26,1.53839
2021-09-27,3.24972
2021-09-28,5.19195
2021-09-29,6.34643
2021-09-30,5.17385
2021-10-01,5.2662
2021-10-02,3.362
2021-10-03,1.384
2021-10-04,2.69558
2021-10-05,6.32198
2021-10-06,5.70128
2021-10-07,5.10503
2021-10-08,4.6206
2021-10-09,2.59869
2021-10-10,1.17122
2021-10-11,2.03232
2021-10-12,4.74873
2021-10-13,4.94386
2021-10-14,4.86327
2021-10-15,4.63056
2021-10-16,3.13428
2021-10-17,1.18752
2021-10-18,2.42529
2021-10-19,4.98143
2021-10-20,4.59299
2021-10-21,4.40239
2021-10-22,4.25434
2021-10-23,3.113
2021-10-24,1.22011
2021-10-25,2.71369
2021-10-26,5.73026
2021-10-27,4.83294
2021-10-28,4.92575
2021-10-29,7.17131
2021-10-30,4.19322
2021-10-31,1.56012
2021-11-01,3.17185
2021-11-02,5.96522
2021-11-03,5.80677
2021-11-04,6.04491
2021-11-05,5.80677
2021-11-06,3.68706
2021-11-07,1.61354
2021-11-08,3.3362
2021-11-09,5.61481
2021-11-10,5.45182
2021-11-11,5.134
2021-11-12,4.77408
2021-11-13,3.64904
2021-11-14,1.78649
2021-11-15,3.34389
2021-11-16,5.06293
2021-11-17,5.02942
2021-11-18,5.38527
2021-11-19,7.74538
2021-11-20,6.06709
2021-11-21,2.50181
2021-11-22,4.85738
2021-11-23,8.37785
2021-11-24,6.66515
2021-11-25,6.16986
2021-11-26,4.64641
2021-11-27,5.01946
2021-11-28,2.12513
2021-11-29,3.84009
2021-11-30,6.95219
2021-12-01,8.95825
2021-12-02,8.45798
2021-12-03,6.98161
2021-12-04,5.1254
2021-12-05,2.04907
2021-12-06,3.69567
2021-12-07,7.59462
2021-12-08,9.53141
2021-12-09,9.87232
2021-12-10,8.09308
2021-12-11,8.18906
2021-12-12,3.20354
2021-12-13,6.34869
2021-12-14,9.52281
2021-12-15,8.03332
2021-12-16,8.79663
2021-12-17,8.5852
2021-12-18,5.69902
2021-12-19,2.08348
2021-12-20,3.96912
2021-12-21,7.33339
2021-12-22,7.20526
2021-12-23,7.57651
2021-12-24,6.58547
2021-12-25,2.81057
2021-12-26,1.863
2021-12-27,3.57298
2021-12-28,8.05867
2021-12-29,7.05088
2021-12-30,6.36771
2021-12-31,4.94884
2022-01-01,3.24112
2022-01-02,2.02145
2022-01-03,3.85503
2022-01-04,14.14523
2022-01-05,11.40528
2022-01-06,10.78232
2022-01-07,9.1063
2022-01-08,5.977
2022-01-09,2.78069
2022-01-10,5.20644
2022-01-11,8.75226
2022-01-12,7.89297
2022-01-13,7.39089
2022-01-14,7.4339
2022-01-15,5.06926
2022-01-16,2.29853
2022-01-17,3.69567
2022-01-18,5.5718
2022-01-19,7.81374
2022-01-20,8.10666
2022-01-21,8.48786
2022-01-22,6.94087
2022-01-23,2.95363
2022-01-24,5.66868
2022-01-25,11.41162
2022-01-26,10.14713
2022-01-27,10.72437
2022-01-28,11.34416
2022-01-29,10.25986
2022-01-30,3.43851
2022-01-31,3.68888
2022-02-01,9.70391
2022-02-02,9.55903
2022-02-03,10.97156
2022-02-04,10.21097
2022-02-05,6.78603
2022-02-06,2.8486
2022-02-07,4.87776
2022-02-08,7.55432
2022-02-09,7.46287
2022-02-10,7.62314
2022-02-11,7.13826
2022-02-12,5.99646
2022-02-13,2.68335
2022-02-14,4.49022
2022-02-15,7.43706
2022-02-16,7.3524
2022-02-17,6.67964
2022-02-18,6.71269
2022-02-19,4.92892
2022-02-20,2.11381
2022-02-21,3.44983
2022-02-22,5.67593
2022-02-23,7.36644
2022-02-24,11.05351
2022-02-25,9.6867
2022-02-26,5.75108
2022-02-27,2.17674
2022-02-28,3.71649
2022-03-01,5.76376
2022-03-02,6.17892
2022-03-03,6.53114
2022-03-04,6.16352
2022-03-05,4.72473
2022-03-06,2.20074
2022-03-07,4.1484
2022-03-08,7.6245
2022-03-09,6.25633
2022-03-10,6.62758
2022-03-11,6.59543
2022-03-12,5.23768
2022-03-13,2.49818
2022-03-14,4.86599
2022-03-15,8.45255
2022-03-16,7.75036
2022-03-17,7.80469
2022-03-18,6.91416
2022-03-19,5.32687
2022-03-20,2.2691
