date,사업자금대출
2021-10-14,62.88209
2021-10-15,55.02183
2021-10-16,24.89082
2021-10-17,33.18777
2021-10-18,56.76855
2021-10-19,63.31877
2021-10-20,54.14847
2021-10-21,71.17903
2021-10-22,54.14847
2021-10-23,26.20087
2021-10-24,30.131
2021-10-25,79.0393
2021-10-26,75.54585
2021-10-27,75.10917
2021-10-28,64.62882
2021-10-29,55.02183
2021-10-30,25.76419
2021-10-31,27.94759
2021-11-01,62.00873
2021-11-02,76.41921
2021-11-03,62.00873
2021-11-04,70.74235
2021-11-05,56.33187
2021-11-06,27.51091
2021-11-07,31.44104
2021-11-08,45.85152
2021-11-09,63.31877
2021-11-10,68.12227
2021-11-11,59.38864
2021-11-12,49.34497
2021-11-13,24.89082
2021-11-14,34.49781
2021-11-15,69.43231
2021-11-16,77.72925
2021-11-17,64.19213
2021-11-18,59.38864
2021-11-19,44.1048
2021-11-20,32.31441
2021-11-21,35.80786
2021-11-22,70.74235
2021-11-23,62.88209
2021-11-24,57.64192
2021-11-25,63.75545
2021-11-26,58.0786
2021-11-27,30.131
2021-11-28,35.80786
2021-11-29,75.98253
2021-11-30,73.79912
2021-12-01,64.19213
2021-12-02,71.61572
2021-12-03,45.85152
2021-12-04,36.24454
2021-12-05,35.37117
2021-12-06,81.2227
2021-12-07,54.58515
2021-12-08,63.31877
2021-12-09,62.88209
2021-12-10,45.85152
2021-12-11,36.24454
2021-12-12,27.07423
2021-12-13,64.62882
2021-12-14,48.90829
2021-12-15,48.90829
2021-12-16,58.95196
2021-12-17,44.97816
2021-12-18,22.70742
2021-12-19,35.80786
2021-12-20,54.58515
2021-12-21,85.58951
2021-12-22,51.0917
2021-12-23,58.0786
2021-12-24,46.2882
2021-12-25,17.90393
2021-12-26,25.76419
2021-12-27,52.83842
2021-12-28,59.38864
2021-12-29,51.96506
2021-12-30,50.21834
2021-12-31,37.99126
2022-01-01,23.58078
2022-01-02,40.17467
2022-01-03,74.67248
2022-01-04,60.69868
2022-01-05,62.00873
2022-01-06,63.31877
2022-01-07,44.54148
2022-01-08,36.68122
2022-01-09,31.00436
2022-01-10,76.85589
2022-01-11,57.64192
2022-01-12,55.02183
2022-01-13,72.92576
2022-01-14,58.95196
2022-01-15,34.06113
2022-01-16,39.30131
2022-01-17,79.47598
2022-01-18,74.67248
2022-01-19,55.89519
2022-01-20,66.81222
2022-01-21,48.90829
2022-01-22,31.44104
2022-01-23,35.37117
2022-01-24,77.29257
2022-01-25,70.74235
2022-01-26,59.38864
2022-01-27,58.0786
2022-01-28,48.03493
2022-01-29,21.39737
2022-01-30,24.01746
2022-01-31,15.72052
2022-02-01,23.58078
2022-02-02,30.131
2022-02-03,72.48908
2022-02-04,60.262
2022-02-05,47.16157
2022-02-06,43.23144
2022-02-07,70.74235
2022-02-08,65.93886
2022-02-09,66.81222
2022-02-10,62.44541
2022-02-11,55.45851
2022-02-12,42.35807
2022-02-13,43.66812
2022-02-14,67.2489
2022-02-15,76.85589
2022-02-16,56.76855
2022-02-17,55.45851
2022-02-18,47.59825
2022-02-19,23.58078
2022-02-20,37.99126
2022-02-21,52.40174
2022-02-22,67.2489
2022-02-23,61.57205
2022-02-24,67.68558
2022-02-25,54.14847
2022-02-26,28.82096
2022-02-27,26.63755
2022-02-28,50.65502
2022-03-01,31.44104
2022-03-02,67.68558
2022-03-03,55.89519
2022-03-04,46.2882
2022-03-05,37.1179
2022-03-06,27.51091
2022-03-07,61.13537
2022-03-08,65.93886
2022-03-09,33.62445
2022-03-10,55.02183
2022-03-11,60.262
2022-03-12,25.76419
2022-03-13,30.131
2022-03-14,68.55895
2022-03-15,69.43231
2022-03-16,62.00873
2022-03-17,71.17903
2022-03-18,50.65502
2022-03-19,39.30131
2022-03-20,40.61135
2022-03-21,65.93886
2022-03-22,63.75545
2022-03-23,58.95196
2022-03-24,55.02183
2022-03-25,52.40174
2022-03-26,30.131
2022-03-27,37.99126
2022-03-28,67.2489
2022-03-29,51.52838
2022-03-30,56.76855
2022-03-31,63.31877
2022-04-01,50.65502
2022-04-02,31.44104
2022-04-03,28.82096
2022-04-04,75.54585
2022-04-05,61.57205
2022-04-06,68.12227
2022-04-07,59.38864
2022-04-08,57.64192
2022-04-09,36.24454
2022-04-10,43.23144
2022-04-11,66.37554
2022-04-12,62.44541
2022-04-13,67.68558
2022-04-14,56.76855
2022-04-15,44.97816
2022-04-16,27.94759
2022-04-17,30.56768
2022-04-18,82.53275
2022-04-19,72.92576
2022-04-20,60.262
2022-04-21,58.51528
2022-04-22,64.19213
2022-04-23,21.39737
2022-04-24,31.44104
2022-04-25,75.10917
2022-04-26,85.15283
2022-04-27,71.61572
2022-04-28,73.36244
2022-04-29,51.96506
2022-04-30,34.06113
2022-05-01,29.25764
2022-05-02,67.68558
2022-05-03,77.72925
2022-05-04,55.89519
2022-05-05,30.56768
2022-05-06,51.96506
2022-05-07,35.80786
2022-05-08,29.25764
2022-05-09,70.74235
2022-05-10,68.12227
2022-05-11,75.10917
2022-05-12,69.86899
2022-05-13,57.64192
2022-05-14,41.48471
2022-05-15,41.92139
2022-05-16,70.74235
2022-05-17,60.262
2022-05-18,64.62882
2022-05-19,68.12227
2022-05-20,46.2882
2022-05-21,34.93449
2022-05-22,33.18777
2022-05-23,62.44541
2022-05-24,70.30567
2022-05-25,72.0524
2022-05-26,74.2358
2022-05-27,51.96506
2022-05-28,36.24454
2022-05-29,34.06113
2022-05-30,72.48908
2022-05-31,56.33187
2022-06-01,35.80786
2022-06-02,60.262
2022-06-03,43.66812
2022-06-04,38.42794
2022-06-05,30.131
2022-06-06,40.17467
2022-06-07,67.68558
2022-06-08,68.12227
2022-06-09,58.51528
2022-06-10,46.2882
2022-06-11,31.44104
2022-06-12,38.86462
2022-06-13,79.47598
2022-06-14,74.2358
2022-06-15,64.62882
2022-06-16,66.37554
2022-06-17,45.41484
2022-06-18,35.80786
2022-06-19,23.1441
2022-06-20,68.12227
2022-06-21,59.38864
2022-06-22,68.55895
2022-06-23,62.00873
2022-06-24,58.51528
2022-06-25,40.17467
2022-06-26,29.69432
2022-06-27,69.86899
2022-06-28,63.75545
2022-06-29,63.75545
2022-06-30,51.96506
2022-07-01,52.83842
2022-07-02,32.75109
2022-07-03,38.42794
2022-07-04,68.55895
2022-07-05,68.99563
2022-07-06,54.58515
2022-07-07,57.20524
2022-07-08,43.66812
2022-07-09,25.32751
2022-07-10,30.56768
2022-07-11,59.82532
2022-07-12,52.83842
2022-07-13,56.33187
2022-07-14,64.19213
2022-07-15,57.20524
2022-07-16,40.17467
2022-07-17,30.56768
2022-07-18,59.82532
2022-07-19,55.02183
2022-07-20,73.79912
2022-07-21,65.0655
2022-07-22,55.45851
2022-07-23,30.56768
2022-07-24,37.1179
2022-07-25,65.0655
2022-07-26,64.62882
2022-07-27,57.64192
2022-07-28,54.14847
2022-07-29,48.47161
2022-07-30,27.07423
2022-07-31,22.70742
2022-08-01,60.69868
2022-08-02,39.73799
2022-08-03,44.54148
2022-08-04,46.2882
2022-08-05,41.04803
2022-08-06,24.01746
2022-08-07,28.82096
2022-08-08,57.20524
2022-08-09,57.64192
2022-08-10,50.65502
2022-08-11,43.23144
2022-08-12,47.16157
2022-08-13,21.39737
2022-08-14,27.94759
2022-08-15,37.99126
2022-08-16,62.44541
2022-08-17,61.57205
2022-08-18,61.57205
2022-08-19,54.14847
2022-08-20,39.73799
2022-08-21,35.80786
2022-08-22,69.43231
2022-08-23,67.68558
2022-08-24,59.82532
2022-08-25,58.51528
2022-08-26,52.40174
2022-08-27,23.58078
2022-08-28,39.73799
2022-08-29,67.68558
2022-08-30,65.93886
2022-08-31,66.81222
2022-09-01,65.50218
2022-09-02,60.262
2022-09-03,26.20087
2022-09-04,22.70742
2022-09-05,58.95196
2022-09-06,59.38864
2022-09-07,63.31877
2022-09-08,40.61135
2022-09-09,17.90393
2022-09-10,19.65065
2022-09-11,19.21397
2022-09-12,46.2882
2022-09-13,87.77292
2022-09-14,81.65938
2022-09-15,63.31877
2022-09-16,68.12227
2022-09-17,30.56768
2022-09-18,28.82096
2022-09-19,89.08296
2022-09-20,74.67248
2022-09-21,89.08296
2022-09-22,76.41921
2022-09-23,58.95196
2022-09-24,35.80786
2022-09-25,39.30131
2022-09-26,78.60262
2022-09-27,82.96943
2022-09-28,84.71615
2022-09-29,71.17903
2022-09-30,73.36244
2022-10-01,29.69432
2022-10-02,36.24454
2022-10-03,33.18777
2022-10-04,79.91266
2022-10-05,74.67248
2022-10-06,59.38864
2022-10-07,55.45851
2022-10-08,31.00436
2022-10-09,37.99126
2022-10-10,39.73799
2022-10-11,72.92576
2022-10-12,73.36244
2022-10-13,59.82532
2022-10-14,54.58515
2022-10-15,34.06113
2022-10-16,25.76419
2022-10-17,65.93886
2022-10-18,61.13537
2022-10-19,57.64192
2022-10-20,49.34497
2022-10-21,47.59825
2022-10-22,30.131
2022-10-23,36.68122
2022-10-24,63.31877
2022-10-25,56.76855
2022-10-26,61.13537
2022-10-27,55.02183
2022-10-28,44.1048
2022-10-29,24.89082
2022-10-30,20.96069
2022-10-31,58.95196
2022-11-01,58.51528
2022-11-02,60.69868
2022-11-03,63.75545
2022-11-04,51.96506
2022-11-05,26.63755
2022-11-06,31.00436
2022-11-07,67.2489
2022-11-08,57.20524
2022-11-09,63.31877
2022-11-10,62.00873
2022-11-11,48.90829
2022-11-12,21.83406
2022-11-13,30.56768
2022-11-14,64.19213
2022-11-15,58.51528
2022-11-16,51.0917
2022-11-17,43.23144
2022-11-18,40.17467
2022-11-19,24.45414
2022-11-20,34.06113
2022-11-21,54.14847
2022-11-22,57.20524
2022-11-23,62.88209
2022-11-24,45.85152
2022-11-25,39.73799
2022-11-26,19.21397
2022-11-27,24.45414
2022-11-28,44.54148
2022-11-29,51.96506
2022-11-30,42.35807
2022-12-01,37.99126
2022-12-02,43.66812
2022-12-03,15.72052
2022-12-04,23.1441
2022-12-05,48.47161
2022-12-06,50.21834
2022-12-07,50.65502
2022-12-08,42.35807
2022-12-09,35.80786
2022-12-10,24.89082
2022-12-11,30.131
2022-12-12,44.97816
2022-12-13,55.45851
2022-12-14,45.85152
2022-12-15,36.24454
2022-12-16,40.17467
2022-12-17,22.70742
2022-12-18,24.89082
2022-12-19,37.99126
2022-12-20,38.86462
2022-12-21,40.61135
2022-12-22,34.93449
2022-12-23,40.61135
2022-12-24,17.46724
2022-12-25,26.63755
2022-12-26,55.02183
2022-12-27,49.34497
2022-12-28,46.2882
2022-12-29,51.52838
2022-12-30,31.00436
2022-12-31,19.65065
2023-01-01,25.76419
2023-01-02,49.34497
2023-01-03,63.75545
2023-01-04,39.73799
2023-01-05,56.76855
2023-01-06,45.41484
2023-01-07,21.83406
