date,삼부토건주가
2021-08-23,7.1383
2021-08-24,7.67245
2021-08-25,6.98475
2021-08-26,6.60089
2021-08-27,5.86092
2021-08-28,0.8102
2021-08-29,0.65829
2021-08-30,10.31542
2021-08-31,8.34218
2021-09-01,13.24915
2021-09-02,10.52287
2021-09-03,9.94789
2021-09-04,1.99121
2021-09-05,1.67758
2021-09-06,11.84926
2021-09-07,9.43171
2021-09-08,8.08082
2021-09-09,7.92891
2021-09-10,7.93217
2021-09-11,1.15487
2021-09-12,1.18263
2021-09-13,11.34941
2021-09-14,11.36901
2021-09-15,8.50226
2021-09-16,7.9044
2021-09-17,9.63099
2021-09-18,1.30515
2021-09-19,1.1516
2021-09-20,1.05196
2021-09-21,1.01439
2021-09-22,1.26267
2021-09-23,11.06355
2021-09-24,10.16841
2021-09-25,1.73638
2021-09-26,1.60407
2021-09-27,12.06324
2021-09-28,9.49051
2021-09-29,8.49246
2021-09-30,7.94034
2021-10-01,9.96912
2021-10-02,1.24307
2021-10-03,1.01439
2021-10-04,1.71678
2021-10-05,8.99067
2021-10-06,8.14126
2021-10-07,8.11676
2021-10-08,7.39639
2021-10-09,1.07156
2021-10-10,1.23817
2021-10-11,1.77395
2021-10-12,10.86917
2021-10-13,9.53788
2021-10-14,7.90767
2021-10-15,7.05989
2021-10-16,1.00949
2021-10-17,0.78897
2021-10-18,8.2654
2021-10-19,6.68583
2021-10-20,6.06184
2021-10-21,5.62407
2021-10-22,5.32514
2021-10-23,0.59948
2021-10-24,0.69096
2021-10-25,6.22845
2021-10-26,6.07001
2021-10-27,5.30064
2021-10-28,5.17813
2021-10-29,4.81713
2021-10-30,0.63052
2021-10-31,0.52598
2021-11-01,5.15526
2021-11-02,5.41661
2021-11-03,4.70278
2021-11-04,4.95434
2021-11-05,5.39375
2021-11-06,0.84777
2021-11-07,0.64849
2021-11-08,5.45092
2021-11-09,4.98047
2021-11-10,4.67665
2021-11-11,4.94781
2021-11-12,5.03111
2021-11-13,0.77263
2021-11-14,0.63542
2021-11-15,5.57016
2021-11-16,4.83183
2021-11-17,6.53555
2021-11-18,10.16514
2021-11-19,10.23865
2021-11-20,1.18427
2021-11-21,0.99315
2021-11-22,8.77178
2021-11-23,6.73973
2021-11-24,5.77435
2021-11-25,5.55546
2021-11-26,5.03928
2021-11-27,0.61908
2021-11-28,0.52761
2021-11-29,5.01641
2021-11-30,5.34964
2021-12-01,5.27613
2021-12-02,5.00824
2021-12-03,5.57343
2021-12-04,0.81183
2021-12-05,0.64195
2021-12-06,5.09645
2021-12-07,5.05561
2021-12-08,5.19609
2021-12-09,5.33167
2021-12-10,4.84163
2021-12-11,0.66482
2021-12-12,0.58968
2021-12-13,4.73709
2021-12-14,4.1474
2021-12-15,4.35975
2021-12-16,4.41202
2021-12-17,4.09676
2021-12-18,0.62072
2021-12-19,0.49821
2021-12-20,3.82724
2021-12-21,4.07226
2021-12-22,4.27154
2021-12-23,4.36465
2021-12-24,4.68972
2021-12-25,0.56681
2021-12-26,0.50637
2021-12-27,6.63029
2021-12-28,5.3137
2021-12-29,5.58486
2021-12-30,8.14616
2021-12-31,2.11698
2022-01-01,0.66482
2022-01-02,0.75956
2022-01-03,8.74891
2022-01-04,7.82436
2022-01-05,8.01711
2022-01-06,6.83447
2022-01-07,6.46367
2022-01-08,0.76773
2022-01-09,0.57171
2022-01-10,6.64989
2022-01-11,5.86745
2022-01-12,6.26929
2022-01-13,5.37414
2022-01-14,4.39079
2022-01-15,0.87064
2022-01-16,0.53088
2022-01-17,5.2794
2022-01-18,4.70442
2022-01-19,9.13605
2022-01-20,6.70053
2022-01-21,6.0357
2022-01-22,0.91964
2022-01-23,0.94905
2022-01-24,7.31308
2022-01-25,6.78057
2022-01-26,12.58269
2022-01-27,9.51828
2022-01-28,8.35198
