date,실손보험
2021-07-08,7.88017
2021-07-09,7.04744
2021-07-10,4.04627
2021-07-11,4.80634
2021-07-12,8.64583
2021-07-13,8.19873
2021-07-14,7.50013
2021-07-15,7.22628
2021-07-16,6.47739
2021-07-17,3.54887
2021-07-18,3.54328
2021-07-19,10.45101
2021-07-20,9.17118
2021-07-21,7.65103
2021-07-22,7.08657
2021-07-23,6.71771
2021-07-24,6.33208
2021-07-25,4.06863
2021-07-26,7.12569
2021-07-27,7.34924
2021-07-28,6.14765
2021-07-29,6.36002
2021-07-30,5.7229
2021-07-31,3.09618
2021-08-01,3.02352
2021-08-02,5.48259
2021-08-03,6.20354
2021-08-04,7.09774
2021-08-05,7.62868
2021-08-06,6.00234
2021-08-07,3.95126
2021-08-08,3.72771
2021-08-09,7.03627
2021-08-10,7.52249
2021-08-11,7.50572
2021-08-12,6.93567
2021-08-13,6.47739
2021-08-14,3.86184
2021-08-15,2.96764
2021-08-16,4.51573
2021-08-17,6.72329
2021-08-18,6.96361
2021-08-19,8.0143
2021-08-20,6.63387
2021-08-21,5.15844
2021-08-22,3.72212
2021-08-23,7.60073
2021-08-24,6.98597
2021-08-25,8.27697
2021-08-26,7.03627
2021-08-27,6.72329
2021-08-28,3.90096
2021-08-29,3.61593
2021-08-30,8.28256
2021-08-31,7.28217
2021-09-01,6.48857
2021-09-02,6.52769
2021-09-03,5.52171
2021-09-04,3.23031
2021-09-05,3.06823
2021-09-06,6.81272
2021-09-07,7.15922
2021-09-08,6.0247
2021-09-09,5.96322
2021-09-10,5.4267
2021-09-11,3.92332
2021-09-12,3.11853
2021-09-13,5.97999
2021-09-14,6.14206
2021-09-15,6.03029
2021-09-16,5.24227
2021-09-17,5.09696
2021-09-18,3.11294
2021-09-19,2.15167
2021-09-20,2.59878
2021-09-21,2.81115
2021-09-22,2.87263
2021-09-23,8.00871
2021-09-24,7.10892
2021-09-25,3.56564
2021-09-26,3.16883
2021-09-27,6.51651
2021-09-28,7.01391
2021-09-29,8.10372
2021-09-30,7.12569
2021-10-01,6.18118
2021-10-02,3.83949
2021-10-03,2.8838
2021-10-04,3.86743
2021-10-05,7.6175
