date,만기매칭형채권ETF
2023-10-16,23.95437
2023-10-17,44.10646
2023-10-18,26.23574
2023-10-19,28.89733
2023-10-20,30.41825
2023-10-21,15.20912
2023-10-22,19.77186
2023-10-23,23.57414
2023-10-24,19.77186
2023-10-25,29.65779
2023-10-26,24.71482
2023-10-27,17.11026
2023-10-28,14.06844
2023-10-29,14.44866
2023-10-30,24.71482
2023-10-31,28.51711
2023-11-01,26.99619
2023-11-02,27.75665
2023-11-03,27.37642
2023-11-04,11.40684
2023-11-05,14.06844
2023-11-06,18.25095
2023-11-07,25.09505
2023-11-08,28.89733
2023-11-09,27.37642
2023-11-10,21.673
2023-11-11,14.44866
2023-11-12,15.20912
2023-11-13,16.3498
2023-11-14,26.23574
2023-11-15,21.29277
2023-11-16,19.77186
2023-11-17,20.91254
2023-11-18,11.78707
2023-11-19,18.25095
2023-11-20,46.0076
2023-11-21,53.23193
2023-11-22,84.79087
2023-11-23,56.65399
2023-11-24,44.48669
2023-11-25,25.09505
2023-11-26,15.96958
2023-11-27,54.37262
2023-11-28,36.12167
2023-11-29,30.03802
2023-11-30,32.31939
2023-12-01,28.13688
2023-12-02,17.87072
2023-12-03,25.85551
2023-12-04,26.61596
2023-12-05,23.95437
2023-12-06,30.79847
2023-12-07,33.07984
2023-12-08,25.85551
2023-12-09,17.11026
2023-12-10,12.92775
2023-12-11,33.8403
2023-12-12,36.5019
2023-12-13,34.98098
2023-12-14,25.85551
2023-12-15,31.55893
2023-12-16,18.63117
2023-12-17,14.82889
2023-12-18,42.96577
2023-12-19,27.37642
2023-12-20,27.75665
2023-12-21,21.673
2023-12-22,21.673
2023-12-23,7.22433
2023-12-24,8.36501
2023-12-25,12.92775
2023-12-26,19.39163
2023-12-27,23.19391
2023-12-28,30.41825
2023-12-29,12.92775
2023-12-30,9.12547
2023-12-31,11.02661
2024-01-01,12.54752
2024-01-02,22.05323
2024-01-03,24.71482
2024-01-04,20.53231
2024-01-05,17.49049
2024-01-06,15.58935
2024-01-07,23.19391
2024-01-08,20.15209
2024-01-09,19.0114
2024-01-10,21.673
2024-01-11,20.91254
2024-01-12,17.49049
2024-01-13,12.54752
2024-01-14,14.82889
2024-01-15,18.63117
2024-01-16,22.43346
2024-01-17,23.95437
2024-01-18,27.75665
2024-01-19,20.53231
2024-01-20,10.64638
2024-01-21,16.3498
2024-01-22,17.87072
2024-01-23,20.15209
2024-01-24,20.91254
2024-01-25,22.81368
2024-01-26,17.11026
2024-01-27,11.78707
2024-01-28,17.87072
2024-01-29,23.57414
2024-01-30,23.57414
2024-01-31,19.77186
2024-02-01,18.63117
2024-02-02,15.96958
2024-02-03,8.36501
2024-02-04,10.26615
2024-02-05,25.85551
2024-02-06,25.85551
2024-02-07,16.73003
2024-02-08,14.06844
2024-02-09,11.40684
2024-02-10,10.26615
2024-02-11,6.8441
2024-02-12,20.53231
2024-02-13,26.23574
2024-02-14,19.77186
2024-02-15,15.96958
2024-02-16,19.0114
2024-02-17,9.5057
2024-02-18,13.30798
2024-02-19,14.44866
2024-02-20,39.92395
2024-02-21,100.0
2024-02-22,45.24714
2024-02-23,29.27756
2024-02-24,24.71482
2024-02-25,31.55893
2024-02-26,37.26235
2024-02-27,23.19391
2024-02-28,28.89733
2024-02-29,32.31939
2024-03-01,20.15209
2024-03-02,15.96958
2024-03-03,17.87072
2024-03-04,25.85551
2024-03-05,32.69961
2024-03-06,31.1787
2024-03-07,41.82509
2024-03-08,27.37642
2024-03-09,14.82889
2024-03-10,18.25095
2024-03-11,26.23574
2024-03-12,25.09505
2024-03-13,24.3346
2024-03-14,25.09505
2024-03-15,15.58935
2024-03-16,14.82889
2024-03-17,13.30798
2024-03-18,28.51711
2024-03-19,15.58935
2024-03-20,15.58935
