date,보험조회
2021-05-21,36.14595
2021-05-22,16.19156
2021-05-23,15.96351
2021-05-24,37.51425
2021-05-25,35.4618
2021-05-26,35.9179
2021-05-27,35.80387
2021-05-28,28.62029
2021-05-29,14.36716
2021-05-30,13.2269
2021-05-31,33.6374
2021-06-01,33.6374
2021-06-02,30.44469
2021-06-03,29.76054
2021-06-04,27.02394
2021-06-05,15.96351
2021-06-06,13.68301
2021-06-07,33.75142
2021-06-08,34.43557
2021-06-09,30.44469
2021-06-10,28.96237
2021-06-11,26.45381
2021-06-12,14.93728
2021-06-13,15.96351
2021-06-14,35.57582
2021-06-15,34.32155
2021-06-16,34.20752
2021-06-17,32.15507
2021-06-18,30.90079
2021-06-19,16.41961
2021-06-20,15.84948
2021-06-21,36.60205
2021-06-22,34.89167
2021-06-23,38.1984
2021-06-24,32.49714
2021-06-25,36.60205
2021-06-26,17.90193
2021-06-27,16.87571
2021-06-28,38.6545
2021-06-29,56.21436
2021-06-30,73.2041
2021-07-01,29.64652
2021-07-02,23.71721
2021-07-03,15.96351
2021-07-04,14.02508
2021-07-05,31.35689
2021-07-06,31.58494
2021-07-07,25.99771
2021-07-08,29.07639
2021-07-09,25.42759
2021-07-10,13.91106
2021-07-11,13.68301
2021-07-12,30.78677
2021-07-13,32.49714
2021-07-14,31.81299
2021-07-15,31.12884
2021-07-16,23.03306
2021-07-17,15.96351
2021-07-18,14.25313
2021-07-19,28.39224
2021-07-20,33.6374
2021-07-21,28.39224
2021-07-22,30.21664
2021-07-23,25.99771
2021-07-24,15.05131
2021-07-25,16.87571
2021-07-26,29.64652
2021-07-27,30.90079
2021-07-28,28.62029
2021-07-29,34.32155
2021-07-30,23.26111
2021-07-31,15.39338
2021-08-01,14.70923
2021-08-02,31.58494
2021-08-03,31.01482
2021-08-04,31.12884
2021-08-05,31.24287
2021-08-06,30.67274
2021-08-07,18.35803
2021-08-08,16.53363
2021-08-09,33.97947
2021-08-10,40.0228
2021-08-11,33.52337
2021-08-12,29.30444
2021-08-13,28.05017
2021-08-14,20.29646
2021-08-15,16.98973
2021-08-16,23.26111
2021-08-17,35.68985
2021-08-18,35.34777
2021-08-19,36.14595
2021-08-20,31.35689
2021-08-21,16.76168
2021-08-22,14.48118
2021-08-23,38.31242
2021-08-24,33.6374
2021-08-25,40.70695
2021-08-26,36.94412
2021-08-27,30.21664
2021-08-28,16.53363
2021-08-29,14.13911
2021-08-30,37.85632
2021-08-31,32.26909
2021-09-01,30.78677
2021-09-02,29.98859
2021-09-03,27.25199
2021-09-04,13.56898
2021-09-05,16.30558
2021-09-06,35.68985
2021-09-07,31.35689
2021-09-08,36.03192
2021-09-09,34.0935
2021-09-10,30.33067
2021-09-11,15.27936
2021-09-12,16.53363
2021-09-13,35.57582
2021-09-14,33.40935
2021-09-15,31.81299
2021-09-16,31.24287
2021-09-17,28.27822
2021-09-18,32.72519
2021-09-19,16.53363
