date,종합부동산세계산기
2021-06-13,2.41717
2021-06-14,3.12883
2021-06-15,3.88957
2021-06-16,3.47239
2021-06-17,3.11656
2021-06-18,4.45398
2021-06-19,4.67484
2021-06-20,3.28834
2021-06-21,3.98773
2021-06-22,3.43558
2021-06-23,2.78527
2021-06-24,2.45398
2021-06-25,2.1595
2021-06-26,1.93865
2021-06-27,3.71779
2021-06-28,4.56441
2021-06-29,3.04294
2021-06-30,2.57668
2021-07-01,2.39263
2021-07-02,2.19631
2021-07-03,1.81595
2021-07-04,1.96319
2021-07-05,2.92024
2021-07-06,3.69325
2021-07-07,4.06134
2021-07-08,4.26993
2021-07-09,3.37423
2021-07-10,1.95092
2021-07-11,2.09815
2021-07-12,3.71779
2021-07-13,4.20858
2021-07-14,4.23312
2021-07-15,4.5276
2021-07-16,4.23312
2021-07-17,2.60122
2021-07-18,2.47852
2021-07-19,3.21472
2021-07-20,2.78527
2021-07-21,2.96932
2021-07-22,2.73619
2021-07-23,2.69938
2021-07-24,1.80368
2021-07-25,2.11042
2021-07-26,2.38036
2021-07-27,2.6503
2021-07-28,2.0
2021-07-29,2.19631
2021-07-30,2.26993
2021-07-31,1.66871
2021-08-01,1.54601
2021-08-02,2.0368
2021-08-03,2.18404
2021-08-04,2.07361
2021-08-05,1.97546
2021-08-06,2.4049
2021-08-07,2.34355
2021-08-08,2.02453
2021-08-09,2.94478
2021-08-10,3.2638
2021-08-11,3.31288
2021-08-12,2.82208
2021-08-13,2.6503
2021-08-14,2.11042
2021-08-15,2.07361
2021-08-16,2.44171
2021-08-17,2.95705
2021-08-18,2.57668
2021-08-19,9.07975
2021-08-20,5.97546
2021-08-21,3.19018
2021-08-22,2.30674
2021-08-23,3.36196
2021-08-24,3.7546
2021-08-25,3.25153
2021-08-26,2.69938
2021-08-27,2.71165
2021-08-28,2.07361
2021-08-29,3.88957
2021-08-30,2.79754
2021-08-31,4.49079
2021-09-01,3.85276
2021-09-02,2.68711
2021-09-03,2.62576
2021-09-04,1.86503
2021-09-05,2.47852
2021-09-06,5.6319
2021-09-07,5.20245
2021-09-08,9.88957
2021-09-09,5.27607
2021-09-10,3.65644
2021-09-11,3.77914
2021-09-12,3.91411
2021-09-13,5.05521
2021-09-14,5.00613
2021-09-15,4.47852
2021-09-16,4.99386
2021-09-17,4.95705
2021-09-18,3.34969
2021-09-19,2.33128
2021-09-20,3.10429
2021-09-21,3.65644
2021-09-22,3.53374
2021-09-23,6.53987
2021-09-24,5.58282
2021-09-25,3.49693
2021-09-26,3.90184
2021-09-27,6.41717
2021-09-28,5.6319
2021-09-29,5.61963
2021-09-30,4.45398
2021-10-01,2.95705
2021-10-02,2.01226
2021-10-03,2.20858
2021-10-04,2.53987
2021-10-05,2.61349
2021-10-06,2.36809
2021-10-07,2.55214
2021-10-08,2.13496
2021-10-09,1.49693
2021-10-10,2.0
2021-10-11,2.26993
2021-10-12,2.41717
2021-10-13,2.07361
2021-10-14,2.18404
2021-10-15,2.23312
2021-10-16,1.53374
2021-10-17,1.53374
2021-10-18,2.09815
2021-10-19,2.22085
2021-10-20,1.95092
2021-10-21,1.91411
2021-10-22,1.49693
2021-10-23,1.49693
2021-10-24,1.54601
2021-10-25,2.13496
