date,공모
2022-03-20,9.30979
2022-03-21,16.80042
2022-03-22,15.67683
2022-03-23,16.96094
2022-03-24,16.15837
2022-03-25,12.35955
2022-03-26,6.20652
2022-03-27,6.47405
2022-03-28,14.33921
2022-03-29,16.21187
2022-03-30,16.5864
2022-03-31,16.10486
2022-04-01,14.87426
2022-04-02,6.47405
2022-04-03,6.74157
2022-04-04,13.96468
2022-04-05,14.71375
2022-04-06,16.05136
2022-04-07,16.37239
2022-04-08,15.08828
2022-04-09,6.63456
2022-04-10,6.04601
2022-04-11,13.91118
2022-04-12,15.03477
2022-04-13,14.76725
2022-04-14,16.90743
2022-04-15,17.6565
2022-04-16,9.84483
2022-04-17,7.75815
2022-04-18,15.73033
2022-04-19,16.74692
2022-04-20,17.97752
2022-04-21,15.4093
2022-04-22,14.1252
2022-04-23,6.42054
2022-04-24,7.00909
2022-04-25,14.39272
2022-04-26,17.06795
2022-04-27,15.78384
2022-04-28,15.3558
2022-04-29,13.0551
2022-04-30,5.77849
2022-05-01,5.8855
2022-05-02,15.46281
2022-05-03,13.75066
2022-05-04,13.91118
2022-05-05,6.42054
2022-05-06,11.71749
2022-05-07,5.83199
2022-05-08,5.83199
2022-05-09,14.44622
2022-05-10,20.17121
2022-05-11,18.67308
2022-05-12,14.92776
2022-05-13,13.37613
2022-05-14,5.8855
2022-05-15,7.22311
2022-05-16,14.82075
2022-05-17,13.32263
2022-05-18,12.35955
2022-05-19,13.26912
2022-05-20,12.78758
2022-05-21,6.04601
2022-05-22,5.61797
2022-05-23,14.76725
2022-05-24,15.83734
2022-05-25,15.4093
2022-05-26,13.96468
2022-05-27,11.93151
2022-05-28,5.9925
2022-05-29,6.68806
2022-05-30,17.33547
2022-05-31,12.78758
2022-06-01,7.33012
2022-06-02,12.9481
2022-06-03,12.57356
2022-06-04,7.59764
2022-06-05,7.75815
2022-06-06,8.02568
2022-06-07,14.28571
2022-06-08,17.71
2022-06-09,15.4093
2022-06-10,12.73408
2022-06-11,6.26003
2022-06-12,7.22311
2022-06-13,14.1787
2022-06-14,16.85393
2022-06-15,16.80042
2022-06-16,13.69716
2022-06-17,12.30604
2022-06-18,6.90208
2022-06-19,5.61797
2022-06-20,13.0016
2022-06-21,14.33921
2022-06-22,14.71375
2022-06-23,14.55323
2022-06-24,12.46655
2022-06-25,5.8855
2022-06-26,6.79507
2022-06-27,13.16211
2022-06-28,13.80417
2022-06-29,15.08828
2022-06-30,13.10861
2022-07-01,12.19903
2022-07-02,5.02942
2022-07-03,6.68806
2022-07-04,14.1252
2022-07-05,15.62332
2022-07-06,14.92776
2022-07-07,14.28571
2022-07-08,12.09202
2022-07-09,6.84858
2022-07-10,5.67148
2022-07-11,11.98501
2022-07-12,12.73408
2022-07-13,13.59015
2022-07-14,13.96468
2022-07-15,14.28571
2022-07-16,6.26003
2022-07-17,5.77849
2022-07-18,20.33172
2022-07-19,25.30765
