date,상속세세율
2021-03-01,3.22485
2021-03-02,3.30374
2021-03-03,3.41222
2021-03-04,3.28402
2021-03-05,2.96844
2021-03-06,2.97337
2021-03-07,3.12623
2021-03-08,3.70808
2021-03-09,3.82149
2021-03-10,3.38264
2021-03-11,3.5996
2021-03-12,3.44181
2021-03-13,2.99309
2021-03-14,3.00788
2021-03-15,3.75739
2021-03-16,3.86094
2021-03-17,3.62919
2021-03-18,3.27909
2021-03-19,3.54043
2021-03-20,3.30374
2021-03-21,3.35305
2021-03-22,3.68343
2021-03-23,3.21005
2021-03-24,3.46646
2021-03-25,3.41715
2021-03-26,3.02761
2021-03-27,2.78599
2021-03-28,3.11637
2021-03-29,3.72287
2021-03-30,3.17554
2021-03-31,3.05226
2021-04-01,3.1065
2021-04-02,2.95857
2021-04-03,2.59368
2021-04-04,2.4852
2021-04-05,3.17554
2021-04-06,3.17554
2021-04-07,3.23471
2021-04-08,2.86982
2021-04-09,2.8994
2021-04-10,2.69723
2021-04-11,2.86982
2021-04-12,3.47633
2021-04-13,3.37278
2021-04-14,4.13214
2021-04-15,3.76232
2021-04-16,3.33826
2021-04-17,2.8994
2021-04-18,3.81163
2021-04-19,4.31459
2021-04-20,4.69428
2021-04-21,4.05818
2021-04-22,3.29881
2021-04-23,2.94871
2021-04-24,2.84516
2021-04-25,3.98422
2021-04-26,4.39349
2021-04-27,4.49211
2021-04-28,26.85897
2021-04-29,16.10946
2021-04-30,10.6854
2021-05-01,8.03254
2021-05-02,6.05522
2021-05-03,6.67159
2021-05-04,6.70611
2021-05-05,6.26232
2021-05-06,6.82445
2021-05-07,5.55226
2021-05-08,5.87771
2021-05-09,5.34023
2021-05-10,6.05029
2021-05-11,5.32051
2021-05-12,5.32544
2021-05-13,6.39053
2021-05-14,4.79289
2021-05-15,4.84714
2021-05-16,4.80769
2021-05-17,5.66074
2021-05-18,5.9714
2021-05-19,4.56607
2021-05-20,5.0493
2021-05-21,5.03451
2021-05-22,4.62524
2021-05-23,4.20611
2021-05-24,5.27613
2021-05-25,4.99013
2021-05-26,5.02958
2021-05-27,4.94082
2021-05-28,4.71893
2021-05-29,4.13214
2021-05-30,4.58086
2021-05-31,5.62623
2021-06-01,5.21696
2021-06-02,5.53747
2021-06-03,4.65976
2021-06-04,4.37376
2021-06-05,4.0927
2021-06-06,4.11735
2021-06-07,5.05917
2021-06-08,4.91124
2021-06-09,4.33431
2021-06-10,4.55621
2021-06-11,4.56114
2021-06-12,3.90039
2021-06-13,3.84615
2021-06-14,4.51183
2021-06-15,4.56114
2021-06-16,4.571
2021-06-17,4.23076
2021-06-18,4.28994
2021-06-19,4.04339
2021-06-20,4.714
2021-06-21,4.81755
2021-06-22,3.81656
2021-06-23,4.28007
2021-06-24,4.25049
2021-06-25,4.25542
2021-06-26,4.03353
2021-06-27,4.38856
2021-06-28,4.65483
2021-06-29,4.39842
2021-06-30,4.45266
2021-07-01,3.8856
2021-07-02,3.75246
2021-07-03,3.72287
2021-07-04,3.59467
2021-07-05,4.36883
2021-07-06,4.49704
2021-07-07,4.70907
2021-07-08,4.52169
2021-07-09,3.78698
2021-07-10,3.69822
2021-07-11,3.58481
2021-07-12,4.31952
2021-07-13,5.73471
2021-07-14,4.9852
2021-07-15,4.64003
2021-07-16,4.24063
2021-07-17,3.98422
2021-07-18,4.79783
2021-07-19,5.04437
2021-07-20,4.95562
2021-07-21,4.2998
2021-07-22,4.44773
2021-07-23,3.6785
2021-07-24,3.64398
2021-07-25,4.17652
2021-07-26,4.14201
2021-07-27,4.38856
2021-07-28,4.18639
2021-07-29,4.52169
2021-07-30,4.285
2021-07-31,3.75246
2021-08-01,3.53057
2021-08-02,4.61538
2021-08-03,4.41814
2021-08-04,4.27514
2021-08-05,4.08284
2021-08-06,4.36883
2021-08-07,4.39349
2021-08-08,4.05818
2021-08-09,5.11834
2021-08-10,4.67948
2021-08-11,4.93096
2021-08-12,4.74852
2021-08-13,4.94575
2021-08-14,4.15187
2021-08-15,4.23076
2021-08-16,4.29487
2021-08-17,4.84714
2021-08-18,4.72879
2021-08-19,5.44871
2021-08-20,4.9852
2021-08-21,3.92011
2021-08-22,5.0641
2021-08-23,5.84319
2021-08-24,5.90236
2021-08-25,5.34516
2021-08-26,5.08875
2021-08-27,4.91617
2021-08-28,4.74852
2021-08-29,4.89644
2021-08-30,5.66568
2021-08-31,5.05917
2021-09-01,4.61538
2021-09-02,4.86193
2021-09-03,4.54142
2021-09-04,4.72879
2021-09-05,4.27021
2021-09-06,4.86686
2021-09-07,5.28599
2021-09-08,4.73372
2021-09-09,4.56607
2021-09-10,4.25542
2021-09-11,5.58678
2021-09-12,5.07396
