date,SPDRS&P500
2021-04-10,28.46975
2021-04-11,22.7758
2021-04-12,39.85765
2021-04-13,38.07829
2021-04-14,43.77224
2021-04-15,41.28113
2021-04-16,45.90747
2021-04-17,25.97864
2021-04-18,20.28469
2021-04-19,58.00711
2021-04-20,50.5338
2021-04-21,38.79003
2021-04-22,30.60498
2021-04-23,37.72241
2021-04-24,27.40213
2021-04-25,24.19928
2021-04-26,32.74021
2021-04-27,37.01067
2021-04-28,33.45195
2021-04-29,39.50177
2021-04-30,22.7758
2021-05-01,18.8612
2021-05-02,19.57295
2021-05-03,38.07829
2021-05-04,56.22775
2021-05-05,57.65124
2021-05-06,37.01067
2021-05-07,44.48398
2021-05-08,33.09608
2021-05-09,29.18149
2021-05-10,57.29537
2021-05-11,53.02491
2021-05-12,44.48398
2021-05-13,58.71886
2021-05-14,31.31672
2021-05-15,17.79359
2021-05-16,20.28469
2021-05-17,23.84341
2021-05-18,28.11387
2021-05-19,26.33451
2021-05-20,35.94306
2021-05-21,33.45195
2021-05-22,20.64056
2021-05-23,16.3701
2021-05-24,29.18149
2021-05-25,35.58718
2021-05-26,34.87544
2021-05-27,35.94306
2021-05-28,32.02846
2021-05-29,16.01423
2021-05-30,18.14946
2021-05-31,24.91103
2021-06-01,33.09608
2021-06-02,31.67259
2021-06-03,38.79003
2021-06-04,27.758
2021-06-05,24.19928
2021-06-06,18.8612
2021-06-07,39.1459
2021-06-08,43.77224
2021-06-09,39.50177
2021-06-10,34.87544
2021-06-11,29.53736
2021-06-12,20.64056
2021-06-13,21.70818
2021-06-14,25.62277
2021-06-15,40.56939
2021-06-16,33.45195
2021-06-17,33.09608
2021-06-18,47.68683
2021-06-19,26.69039
2021-06-20,12.81138
2021-06-21,31.67259
2021-06-22,33.09608
2021-06-23,34.51957
2021-06-24,43.77224
2021-06-25,40.92526
2021-06-26,21.35231
2021-06-27,15.65836
2021-06-28,29.89323
2021-06-29,41.63701
2021-06-30,30.96085
2021-07-01,31.31672
2021-07-02,32.38434
2021-07-03,37.72241
2021-07-04,21.35231
2021-07-05,37.36654
2021-07-06,36.29893
2021-07-07,43.77224
2021-07-08,28.46975
2021-07-09,24.55516
