date,베트남환율
2021-03-21,6.27547
2021-03-22,10.5419
2021-03-23,9.86691
2021-03-24,9.43071
2021-03-25,9.60264
2021-03-26,8.90855
2021-03-27,6.41556
2021-03-28,6.82947
2021-03-29,10.20122
2021-03-30,9.73955
2021-03-31,10.45911
2021-04-01,10.12799
2021-04-02,9.42753
2021-04-03,6.83583
2021-04-04,6.70529
2021-04-05,10.6788
2021-04-06,10.98127
2021-04-07,11.68173
2021-04-08,11.00038
2021-04-09,11.10545
2021-04-10,8.64429
2021-04-11,7.64773
2021-04-12,12.28031
2021-04-13,11.51935
2021-04-14,11.92689
2021-04-15,10.8762
2021-04-16,10.23306
2021-04-17,7.07144
2021-04-18,9.37659
2021-04-19,12.25483
2021-04-20,11.12773
2021-04-21,9.18555
2021-04-22,9.34793
2021-04-23,10.03565
2021-04-24,6.37417
2021-04-25,5.78196
2021-04-26,9.26515
2021-04-27,9.83825
2021-04-28,10.45275
2021-04-29,9.60264
2021-04-30,7.10646
2021-05-01,5.73102
2021-05-02,5.23751
2021-05-03,8.19218
2021-05-04,8.97542
2021-05-05,7.81966
2021-05-06,8.90219
2021-05-07,8.1285
2021-05-08,6.21179
2021-05-09,5.46039
2021-05-10,10.22669
2021-05-11,8.87035
2021-05-12,8.99452
2021-05-13,8.87671
2021-05-14,8.49783
2021-05-15,5.44128
2021-05-16,5.54954
2021-05-17,9.32564
2021-05-18,8.63474
2021-05-19,7.10646
2021-05-20,9.16645
2021-05-21,8.19536
2021-05-22,6.13537
2021-05-23,5.13563
2021-05-24,8.67931
2021-05-25,9.3352
2021-05-26,9.55807
2021-05-27,9.04546
2021-05-28,8.66658
2021-05-29,5.58138
2021-05-30,5.44128
2021-05-31,9.80641
2021-06-01,9.61538
2021-06-02,8.65384
2021-06-03,8.03935
2021-06-04,7.50764
2021-06-05,5.03374
2021-06-06,4.87455
2021-06-07,8.345
2021-06-08,8.33863
2021-06-09,8.08074
2021-06-10,9.59628
2021-06-11,8.01706
2021-06-12,5.75012
2021-06-13,4.46064
2021-06-14,7.67002
2021-06-15,7.32934
2021-06-16,8.23357
2021-06-17,10.34768
2021-06-18,7.44714
2021-06-19,5.72465
2021-06-20,4.87773
2021-06-21,8.53922
2021-06-22,7.76872
2021-06-23,7.56495
2021-06-24,6.96956
2021-06-25,7.71459
2021-06-26,4.61347
2021-06-27,5.2598
2021-06-28,8.08074
2021-06-29,7.83558
2021-06-30,8.47554
2021-07-01,7.33252
2021-07-02,7.38346
2021-07-03,4.52114
2021-07-04,4.311
2021-07-05,8.31953
2021-07-06,7.97249
2021-07-07,7.0205
2021-07-08,8.37684
2021-07-09,8.84488
2021-07-10,5.64187
2021-07-11,4.74083
2021-07-12,8.3068
2021-07-13,7.77508
2021-07-14,7.67957
2021-07-15,7.93746
2021-07-16,7.79737
2021-07-17,4.44791
2021-07-18,4.14544
2021-07-19,8.29088
2021-07-20,8.19218
2021-07-21,7.54266
2021-07-22,7.48853
2021-07-23,6.4856
2021-07-24,4.10086
2021-07-25,3.88117
2021-07-26,6.88041
2021-07-27,6.87404
2021-07-28,6.71803
2021-07-29,6.67664
2021-07-30,5.7947
2021-07-31,4.5275
2021-08-01,4.30781
2021-08-02,6.77534
2021-08-03,6.25
2021-08-04,6.4856
2021-08-05,6.93453
2021-08-06,5.97936
2021-08-07,4.12633
2021-08-08,3.79202
2021-08-09,6.93135
2021-08-10,7.28476
2021-08-11,8.90537
2021-08-12,8.88945
2021-08-13,8.49783
2021-08-14,5.00191
2021-08-15,4.36194
2021-08-16,6.61933
2021-08-17,8.90537
2021-08-18,7.74643
2021-08-19,7.68275
2021-08-20,7.82284
2021-08-21,5.06558
2021-08-22,4.75674
2021-08-23,8.00114
2021-08-24,7.52992
2021-08-25,7.45033
2021-08-26,7.14149
2021-08-27,6.41874
2021-08-28,4.34284
2021-08-29,4.0149
2021-08-30,7.18925
2021-08-31,7.42167
2021-09-01,7.25611
2021-09-02,6.29139
2021-09-03,5.76286
2021-09-04,4.00534
2021-09-05,3.89709
2021-09-06,6.63843
2021-09-07,6.50471
2021-09-08,6.32959
2021-09-09,6.24681
2021-09-10,6.24044
2021-09-11,4.00853
2021-09-12,3.82068
2021-09-13,6.91861
2021-09-14,5.9316
2021-09-15,6.66072
2021-09-16,6.06214
2021-09-17,6.0112
2021-09-18,4.50203
2021-09-19,3.67103
2021-09-20,5.42855
2021-09-21,5.76923
2021-09-22,6.02075
2021-09-23,7.90244
2021-09-24,7.20517
2021-09-25,4.44791
2021-09-26,4.04037
2021-09-27,7.16059
2021-09-28,6.71166
2021-09-29,6.95045
2021-09-30,6.78489
2021-10-01,6.65117
2021-10-02,4.86181
2021-10-03,4.06902
2021-10-04,6.06851
2021-10-05,7.98522
2021-10-06,8.67294
2021-10-07,8.48509
2021-10-08,7.63499
2021-10-09,5.67371
2021-10-10,4.96051
2021-10-11,7.15422
2021-10-12,9.59946
2021-10-13,8.56788
2021-10-14,8.91174
2021-10-15,8.80348
2021-10-16,5.27572
2021-10-17,4.88728
2021-10-18,8.01388
2021-10-19,8.5042
2021-10-20,8.83851
2021-10-21,8.14123
2021-10-22,6.97274
2021-10-23,4.69625
2021-10-24,4.5275
2021-10-25,8.56469
2021-10-26,9.01999
2021-10-27,9.01044
2021-10-28,8.09666
2021-10-29,7.80692
2021-10-30,5.85519
