date,선물거래소
2021-07-25,3.24324
2021-07-26,3.78378
2021-07-27,10.27027
2021-07-28,13.51351
2021-07-29,10.27027
2021-07-30,9.18918
2021-07-31,5.4054
2021-08-01,7.02702
2021-08-02,10.27027
2021-08-03,5.94594
2021-08-04,5.94594
2021-08-05,11.35135
2021-08-06,8.64864
2021-08-07,7.56756
2021-08-08,8.1081
2021-08-09,14.05405
2021-08-10,23.24324
2021-08-11,36.75675
2021-08-12,37.83783
2021-08-13,22.7027
2021-08-14,17.29729
2021-08-15,9.72972
2021-08-16,17.83783
2021-08-17,15.13513
2021-08-18,16.75675
2021-08-19,18.91891
2021-08-20,16.21621
2021-08-21,17.29729
2021-08-22,11.89189
2021-08-23,16.21621
2021-08-24,21.62162
2021-08-25,19.45945
2021-08-26,21.62162
2021-08-27,16.21621
2021-08-28,10.81081
2021-08-29,8.1081
2021-08-30,18.91891
2021-08-31,19.45945
2021-09-01,24.86486
2021-09-02,18.37837
2021-09-03,15.67567
2021-09-04,12.97297
2021-09-05,9.72972
2021-09-06,15.67567
2021-09-07,20.0
2021-09-08,22.7027
2021-09-09,16.75675
2021-09-10,21.08108
2021-09-11,11.89189
2021-09-12,10.81081
2021-09-13,11.89189
2021-09-14,14.05405
2021-09-15,18.91891
2021-09-16,17.29729
2021-09-17,18.91891
2021-09-18,14.59459
2021-09-19,8.64864
2021-09-20,8.64864
2021-09-21,12.97297
2021-09-22,16.75675
2021-09-23,25.94594
2021-09-24,24.86486
2021-09-25,17.83783
2021-09-26,16.21621
2021-09-27,15.67567
2021-09-28,17.29729
2021-09-29,22.16216
2021-09-30,16.21621
2021-10-01,19.45945
2021-10-02,14.59459
2021-10-03,12.43243
2021-10-04,14.59459
2021-10-05,23.24324
2021-10-06,25.94594
2021-10-07,24.86486
2021-10-08,20.0
2021-10-09,10.27027
2021-10-10,9.72972
2021-10-11,13.51351
2021-10-12,20.0
2021-10-13,18.91891
2021-10-14,17.83783
2021-10-15,13.51351
2021-10-16,4.32432
2021-10-17,8.1081
2021-10-18,12.97297
2021-10-19,16.21621
2021-10-20,16.21621
2021-10-21,17.29729
2021-10-22,22.7027
2021-10-23,10.27027
2021-10-24,11.35135
2021-10-25,14.05405
2021-10-26,20.0
2021-10-27,20.0
2021-10-28,12.43243
2021-10-29,16.21621
2021-10-30,8.1081
2021-10-31,7.56756
2021-11-01,8.1081
2021-11-02,13.51351
2021-11-03,20.0
2021-11-04,17.83783
2021-11-05,10.81081
2021-11-06,10.27027
2021-11-07,11.35135
2021-11-08,15.67567
2021-11-09,28.1081
2021-11-10,10.81081
2021-11-11,17.83783
2021-11-12,17.29729
2021-11-13,15.13513
2021-11-14,14.59459
2021-11-15,23.24324
2021-11-16,19.45945
2021-11-17,15.67567
2021-11-18,33.51351
2021-11-19,18.91891
2021-11-20,12.43243
2021-11-21,15.13513
2021-11-22,26.48648
2021-11-23,20.0
2021-11-24,20.0
2021-11-25,18.37837
2021-11-26,17.29729
2021-11-27,9.72972
2021-11-28,14.59459
2021-11-29,19.45945
2021-11-30,29.72972
2021-12-01,17.29729
2021-12-02,21.08108
2021-12-03,18.37837
2021-12-04,17.83783
2021-12-05,11.89189
2021-12-06,18.37837
2021-12-07,21.08108
2021-12-08,10.27027
2021-12-09,30.81081
2021-12-10,12.43243
2021-12-11,9.72972
2021-12-12,7.56756
2021-12-13,22.16216
2021-12-14,15.67567
2021-12-15,14.59459
2021-12-16,22.16216
2021-12-17,15.13513
2021-12-18,7.56756
2021-12-19,6.48648
2021-12-20,12.43243
2021-12-21,17.83783
2021-12-22,17.83783
2021-12-23,14.05405
2021-12-24,15.67567
2021-12-25,8.64864
2021-12-26,9.72972
2021-12-27,13.51351
2021-12-28,14.05405
2021-12-29,14.59459
2021-12-30,16.75675
2021-12-31,12.43243
2022-01-01,10.27027
2022-01-02,8.1081
2022-01-03,17.29729
2022-01-04,28.64864
2022-01-05,14.05405
2022-01-06,25.4054
2022-01-07,20.0
2022-01-08,13.51351
2022-01-09,5.94594
2022-01-10,13.51351
2022-01-11,12.43243
2022-01-12,19.45945
2022-01-13,20.54054
2022-01-14,17.29729
2022-01-15,11.35135
2022-01-16,11.89189
2022-01-17,18.37837
2022-01-18,23.24324
2022-01-19,18.91891
2022-01-20,16.21621
2022-01-21,16.21621
2022-01-22,20.54054
2022-01-23,9.18918
2022-01-24,21.08108
2022-01-25,22.16216
2022-01-26,22.16216
2022-01-27,25.94594
2022-01-28,22.7027
2022-01-29,4.86486
2022-01-30,8.64864
2022-01-31,8.1081
2022-02-01,8.1081
2022-02-02,7.02702
2022-02-03,8.64864
2022-02-04,20.0
2022-02-05,11.35135
2022-02-06,14.59459
2022-02-07,20.54054
2022-02-08,23.24324
2022-02-09,16.75675
2022-02-10,24.32432
2022-02-11,22.7027
2022-02-12,8.64864
2022-02-13,8.64864
2022-02-14,18.91891
2022-02-15,21.08108
2022-02-16,20.0
2022-02-17,23.24324
2022-02-18,19.45945
2022-02-19,12.43243
2022-02-20,7.56756
2022-02-21,22.16216
2022-02-22,28.64864
2022-02-23,29.18918
2022-02-24,38.37837
2022-02-25,23.78378
2022-02-26,14.59459
2022-02-27,11.89189
2022-02-28,21.08108
2022-03-01,16.75675
2022-03-02,9.72972
2022-03-03,20.54054
2022-03-04,25.94594
2022-03-05,10.27027
2022-03-06,4.32432
2022-03-07,20.54054
2022-03-08,23.24324
2022-03-09,12.97297
2022-03-10,15.67567
2022-03-11,22.16216
2022-03-12,18.37837
2022-03-13,10.81081
2022-03-14,22.16216
2022-03-15,25.94594
2022-03-16,22.16216
2022-03-17,29.18918
2022-03-18,26.48648
2022-03-19,12.43243
2022-03-20,17.83783
2022-03-21,27.56756
2022-03-22,22.7027
2022-03-23,21.08108
2022-03-24,20.0
2022-03-25,24.32432
2022-03-26,12.97297
2022-03-27,10.81081
2022-03-28,17.29729
2022-03-29,15.67567
2022-03-30,28.1081
2022-03-31,20.54054
2022-04-01,17.29729
2022-04-02,11.35135
2022-04-03,10.27027
2022-04-04,19.45945
2022-04-05,18.37837
2022-04-06,22.16216
2022-04-07,27.02702
2022-04-08,12.97297
2022-04-09,9.72972
2022-04-10,10.27027
2022-04-11,15.13513
2022-04-12,19.45945
2022-04-13,26.48648
2022-04-14,21.62162
2022-04-15,17.83783
2022-04-16,9.18918
2022-04-17,13.51351
2022-04-18,19.45945
2022-04-19,24.32432
2022-04-20,17.83783
2022-04-21,12.97297
2022-04-22,21.62162
2022-04-23,6.48648
2022-04-24,15.67567
2022-04-25,17.29729
2022-04-26,20.54054
2022-04-27,24.32432
2022-04-28,28.64864
2022-04-29,17.83783
2022-04-30,12.97297
2022-05-01,11.89189
2022-05-02,18.91891
2022-05-03,24.32432
2022-05-04,13.51351
2022-05-05,7.56756
2022-05-06,13.51351
2022-05-07,16.21621
2022-05-08,10.81081
2022-05-09,17.83783
2022-05-10,22.7027
2022-05-11,31.89189
2022-05-12,36.75675
2022-05-13,25.4054
2022-05-14,18.37837
2022-05-15,10.27027
2022-05-16,18.37837
2022-05-17,18.91891
2022-05-18,18.37837
2022-05-19,19.45945
2022-05-20,12.43243
2022-05-21,13.51351
2022-05-22,3.24324
2022-05-23,17.83783
2022-05-24,20.54054
2022-05-25,17.29729
2022-05-26,15.67567
2022-05-27,20.0
2022-05-28,8.1081
2022-05-29,12.43243
2022-05-30,24.32432
2022-05-31,21.62162
2022-06-01,12.43243
2022-06-02,17.29729
2022-06-03,12.43243
2022-06-04,13.51351
2022-06-05,9.18918
2022-06-06,8.64864
2022-06-07,13.51351
2022-06-08,22.7027
2022-06-09,17.29729
2022-06-10,18.37837
2022-06-11,11.35135
2022-06-12,15.67567
2022-06-13,31.89189
2022-06-14,25.94594
2022-06-15,28.1081
2022-06-16,26.48648
2022-06-17,23.78378
2022-06-18,7.56756
2022-06-19,14.05405
2022-06-20,21.62162
2022-06-21,24.86486
2022-06-22,14.59459
2022-06-23,22.7027
2022-06-24,23.24324
2022-06-25,15.13513
2022-06-26,9.18918
2022-06-27,11.35135
2022-06-28,27.02702
2022-06-29,19.45945
2022-06-30,16.21621
2022-07-01,20.54054
2022-07-02,16.21621
2022-07-03,8.1081
2022-07-04,19.45945
2022-07-05,19.45945
2022-07-06,18.37837
2022-07-07,22.16216
2022-07-08,17.83783
2022-07-09,7.56756
2022-07-10,14.59459
2022-07-11,16.21621
2022-07-12,19.45945
2022-07-13,18.91891
2022-07-14,28.64864
2022-07-15,18.91891
2022-07-16,12.43243
2022-07-17,10.27027
2022-07-18,21.08108
2022-07-19,18.37837
2022-07-20,17.29729
2022-07-21,17.29729
2022-07-22,17.83783
2022-07-23,12.43243
2022-07-24,8.64864
2022-07-25,22.7027
2022-07-26,21.62162
2022-07-27,21.08108
2022-07-28,15.67567
2022-07-29,18.91891
2022-07-30,16.21621
2022-07-31,9.72972
2022-08-01,17.29729
2022-08-02,21.62162
2022-08-03,21.62162
2022-08-04,16.21621
2022-08-05,19.45945
2022-08-06,8.64864
2022-08-07,14.59459
2022-08-08,23.24324
2022-08-09,15.67567
